1,0.4785714285714286,0.6470588235294118,0.0,0.04444444444444444,0.24275354727566903,0.8461538461538461,0.0,0.02857142857142857,0.2915750915750916,0.5238095238095238,0.0,0.1,0.20793650793650795,"[66, 27, 33]","[3, 0, 1]","[9, 0, 1]"
2,0.45714285714285713,0.6231155778894473,0.11428571428571428,0.0,0.2707305720234251,0.7948717948717948,0.07407407407407407,0.0,0.2896486229819563,0.512396694214876,0.25,0.0,0.25413223140495866,"[62, 24, 35]","[6, 2, 0]","[10, 1, 0]"
4,0.5,0.6633663366336634,0.06666666666666667,0.08333333333333333,0.32964425502075306,0.8589743589743589,0.037037037037037035,0.05714285714285714,0.3177180843847511,0.5403225806451613,0.3333333333333333,0.15384615384615385,0.34250068927488275,"[67, 25, 32]","[1, 1, 1]","[10, 1, 2]"
0,0.4857142857142857,0.6502463054187192,0.06896551724137931,0.041666666666666664,0.33303069964443655,0.8461538461538461,0.037037037037037035,0.02857142857142857,0.3039207705874373,0.528,0.5,0.07692307692307693,0.3683076923076923,"[66, 26, 33]","[0, 1, 1]","[12, 0, 1]"
3,0.5428571428571428,0.7,0.0,0.23529411764705876,0.3350811180961324,0.8974358974358975,0.0,0.17142857142857143,0.3562881562881563,0.5737704918032787,0.0,0.375,0.3162568306010929,"[70, 24, 28]","[1, 0, 1]","[7, 3, 6]"
8,0.5,0.6699507389162562,0.0,0.08695652173913043,0.2716372000072983,0.8717948717948718,0.0,0.05714285714285714,0.30964590964590966,0.544,0.0,0.18181818181818182,0.24193939393939398,"[68, 25, 32]","[3, 0, 1]","[7, 2, 2]"
7,0.5,0.6764705882352942,0.0,0.043478260869565216,0.25051657643185177,0.8846153846153846,0.0,0.02857142857142857,0.30439560439560437,0.5476190476190477,0.0,0.09090909090909091,0.21284271284271286,"[69, 25, 32]","[1, 0, 2]","[8, 2, 1]"
5,0.5071428571428571,0.6699507389162562,0.0,0.12500000000000003,0.28550015918828725,0.8717948717948718,0.0,0.08571428571428572,0.3191697191697192,0.544,0.0,0.23076923076923078,0.2582564102564103,"[68, 26, 31]","[1, 0, 1]","[9, 1, 3]"
9,0.4714285714285714,0.6461538461538461,0.0,0.11111111111111112,0.2608897632727079,0.8076923076923077,0.0,0.08571428571428572,0.2978021978021978,0.5384615384615384,0.0,0.15789473684210525,0.23211875843454788,"[63, 25, 29]","[1, 0, 3]","[14, 2, 3]"
6,0.5285714285714286,0.6799999999999999,0.06451612903225806,0.20408163265306123,0.368410758840034,0.8717948717948718,0.037037037037037035,0.14285714285714285,0.35056301722968386,0.5573770491803278,0.25,0.35714285714285715,0.3881733021077283,"[68, 26, 28]","[1, 1, 2]","[9, 0, 5]"
datasize,140

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
1,[0.         0.         0.00576968 ... 0.00085519 0.00122954 0.        ],[0.         0.00098639 0.00457472 ... 0.         0.00092215 0.        ],[0.00183345 0.         0.00502917 ... 0.0015965  0.00091112 0.        ],[0.00088518 0.00101295 0.00617605 ... 0.00193221 0.00087074 0.        ],[0.         0.00111596 0.00962923 ... 0.         0.         0.        ],[0.         0.00027671 0.00338303 ... 0.00173868 0.00165531 0.        ],[0.00150468 0.0009334  0.000837   ... 0.00433809 0.00253969 0.        ],[0.00112242 0.         0.00196867 ... 0.0025355  0.0004925  0.        ],[0.         0.         0.00196138 ... 0.         0.         0.        ],[0.         0.         0.00225377 ... 0.00239778 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00063018 ... 0.0019955  0.         0.        ],[0.         0.         0.         ... 0.00258871 0.00262316 0.        ],[0.         0.         0.00158728 ... 0.00386965 0.         0.        ],[0.         0.         0.0014877  ... 0.00116969 0.         0.        ],[0.         0.         0.00176074 ... 0.         0.00319901 0.        ],[0.         0.         0.00268018 ... 0.         0.         0.        ],[0.         0.         0.00139673 ... 0.00121667 0.         0.        ],[0.00050774 0.         0.00040129 ... 0.00301992 0.         0.        ],[0.         0.         0.         ... 0.00082279 0.         0.        ],[0.         0.00134224 0.         ... 0.         0.00100597 0.        ],[0.00039929 0.00133578 0.00133489 ... 0.00196911 0.00116632 0.00159126],[0.00041117 0.         0.00107235 ... 0.00217038 0.00068372 0.        ],[0.         0.         0.         ... 0.         0.         0.00188222],[0.00378992 0.00183954 0.         ... 0.         0.00214259 0.        ],[0.        0.0034018 0.        ... 0.        0.        0.       ],[0.         0.00052623 0.00098181 ... 0.00242256 0.         0.        ],[0.         0.         0.00075237 ... 0.01186557 0.         0.00263958],[0.00019652 0.00035925 0.00059764 ... 0.00303168 0.         0.00126514],[0.0007625  0.         0.         ... 0.00361631 0.         0.        ],[0.         0.         0.         ... 0.00063414 0.00182418 0.        ],[0.         0.         0.         ... 0.         0.00340623 0.        ],[0.         0.00126497 0.00078009 ... 0.00357402 0.         0.00034858],[0.         0.00033058 0.00177635 ... 0.00413102 0.0003792  0.        ],[0.         0.00250513 0.00103373 ... 0.00271488 0.         0.00100634]
2,[0.         0.         0.00405864 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00264309 0.         0.00255317],[0.00029443 0.         0.00114333 ... 0.         0.00286705 0.00178468],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.0035143  ... 0.00212441 0.00119166 0.00041614],[0.         0.         0.00039041 ... 0.00072551 0.00165623 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00052795 0.0022406  ... 0.00065633 0.00082508 0.        ],[0.         0.00108315 0.         ... 0.00132943 0.00421432 0.        ],[0.00065698 0.00165195 0.00225174 ... 0.0014161  0.00350833 0.00064141],[0.         0.00160305 0.00185059 ... 0.00291333 0.00235607 0.00037002],[0. 0. 0. ... 0. 0. 0.],[0.0032718 0.        0.        ... 0.        0.        0.       ],[0. 0. 0. ... 0. 0. 0.],[0.00036298 0.00070835 0.00224752 ... 0.00196436 0.00163847 0.        ],[0.         0.         0.         ... 0.         0.00452733 0.        ],[0.         0.00110752 0.00301879 ... 0.         0.00108828 0.        ],[0.         0.         0.         ... 0.00301835 0.         0.        ],[0.         0.         0.00390192 ... 0.00239501 0.         0.        ],[0.         0.         0.00337635 ... 0.00207255 0.         0.        ],[0.         0.00380459 0.00313802 ... 0.0006891  0.         0.        ],[0.         0.         0.00310967 ... 0.00116865 0.         0.        ],[0.         0.         0.00121928 ... 0.         0.         0.        ],[0.         0.         0.0024748  ... 0.         0.         0.00135851],[0. 0. 0. ... 0. 0. 0.],[0.         0.00028207 0.00029239 ... 0.         0.00052283 0.00044284],[0.         0.         0.00144215 ... 0.0015269  0.         0.        ],[0.00069521 0.         0.         ... 0.00093226 0.         0.00033924],[0.00042625 0.         0.00057194 ... 0.00040781 0.00149811 0.00064124],[0.         0.         0.00240674 ... 0.00072723 0.         0.        ],[0.00055683 0.00021079 0.00221338 ... 0.00372002 0.         0.        ],[0.         0.         0.         ... 0.00805466 0.         0.        ],[0.         0.00055238 0.00023788 ... 0.00029078 0.         0.        ],[0.         0.         0.00568292 ... 0.00333445 0.         0.        ],[0.         0.00021484 0.00498675 ... 0.00020904 0.00051911 0.        ]
4,[0.         0.         0.         ... 0.         0.00240815 0.        ],[0.         0.00134853 0.         ... 0.00490958 0.         0.        ],[0.         0.         0.00186941 ... 0.00616929 0.         0.        ],[0.         0.         0.         ... 0.00314723 0.         0.        ],[0.00062829 0.00106636 0.         ... 0.00209699 0.         0.        ],[0.         0.         0.00076685 ... 0.00066991 0.00042803 0.0013508 ],[0.         0.         0.00405587 ... 0.         0.         0.        ],[0.         0.00332106 0.00194334 ... 0.         0.         0.        ],[0.         0.         0.00343015 ... 0.         0.00075337 0.001675  ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00252955 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00181786 0.00361005 ... 0.         0.         0.        ],[0.00071916 0.00113077 0.0059195  ... 0.         0.00168975 0.        ],[0.         0.00189095 0.00328003 ... 0.         0.         0.        ],[0.         0.         0.00671863 ... 0.         0.         0.        ],[0.         0.00072316 0.00432783 ... 0.         0.         0.        ],[0.00174783 0.00022685 0.00205587 ... 0.         0.         0.00172822],[0.         0.         0.0046535  ... 0.         0.         0.00138887],[0.         0.00078306 0.00653977 ... 0.00230266 0.         0.        ],[0.         0.00277142 0.00192792 ... 0.         0.         0.        ],[0.0028846  0.00110061 0.00193436 ... 0.00382698 0.         0.        ],[0.00131879 0.00070891 0.00710955 ... 0.00096734 0.         0.        ],[0.         0.00077156 0.         ... 0.00058468 0.         0.00019528],[0.         0.00136035 0.         ... 0.         0.         0.00018841],[0.         0.         0.         ... 0.         0.00269939 0.        ],[0.         0.         0.00093055 ... 0.00070633 0.00099798 0.        ],[0.         0.00042217 0.00026777 ... 0.         0.00104055 0.        ],[0.00084814 0.00030461 0.0027426  ... 0.00418543 0.         0.00016739],[0.         0.0003208  0.00388688 ... 0.         0.00242901 0.        ],[0.         0.         0.00314811 ... 0.0016252  0.00057179 0.        ],[0.0007946  0.         0.         ... 0.00193869 0.         0.00085301],[0. 0. 0. ... 0. 0. 0.],[0.         0.00273446 0.00143647 ... 0.00160244 0.00157772 0.00040825],[0.         0.         0.00075362 ... 0.         0.00155652 0.00066237]
0,[0.00352168 0.00292008 0.         ... 0.00548394 0.00165363 0.00118846],[0.00128949 0.         0.00018416 ... 0.00334881 0.00125916 0.        ],[0.         0.00322327 0.         ... 0.00278962 0.00131288 0.        ],[0.         0.00716597 0.         ... 0.00605566 0.         0.        ],[0.00089973 0.00027405 0.00109707 ... 0.00305821 0.00064579 0.        ],[0.00069091 0.         0.         ... 0.00237034 0.         0.00150165],[0.         0.00278313 0.00089214 ... 0.00050802 0.00204758 0.        ],[0.         0.00141718 0.         ... 0.0007245  0.0005601  0.        ],[0.         0.00174658 0.0028668  ... 0.00284856 0.00044765 0.        ],[0.         0.00188237 0.         ... 0.00218246 0.00075945 0.00040581],[0.         0.0013485  0.00169164 ... 0.00116018 0.00052488 0.00137058],[0.         0.00260478 0.00363362 ... 0.00205363 0.         0.        ],[0.         0.00426834 0.         ... 0.         0.003924   0.        ],[0.         0.00438725 0.         ... 0.         0.         0.        ],[0.         0.00102477 0.         ... 0.00127556 0.00125439 0.        ],[0.         0.00125366 0.00231032 ... 0.00447799 0.00949957 0.        ],[0.         0.00161604 0.         ... 0.00947095 0.         0.        ],[0.         0.00137088 0.00043126 ... 0.00170553 0.         0.00040238],[0.         0.00173642 0.         ... 0.         0.         0.        ],[0.         0.00162145 0.00246373 ... 0.00413208 0.         0.        ],[0.         0.         0.00214038 ... 0.         0.00489514 0.        ],[0.         0.00395683 0.00165106 ... 0.00130948 0.         0.        ],[0.00017893 0.         0.00211837 ... 0.00242856 0.         0.        ],[0.         0.         0.00258216 ... 0.0016328  0.         0.        ],[0.00086382 0.00153707 0.00091873 ... 0.00256853 0.00083539 0.        ],[0.         0.         0.         ... 0.00265226 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00167932 0.00163896 ... 0.00386279 0.         0.        ],[0.         0.00181044 0.00080205 ... 0.00285238 0.0010759  0.        ],[0.00039928 0.         0.00110826 ... 0.00084316 0.         0.00058915],[0.         0.00061345 0.00254374 ... 0.         0.0021627  0.00206797],[0.         0.         0.00296116 ... 0.         0.         0.        ],[0.00030722 0.00117032 0.00144675 ... 0.001828   0.         0.        ],[0.         0.         0.00148856 ... 0.00106806 0.         0.        ],[0.00137732 0.         0.         ... 0.0015608  0.         0.        ]
3,[0.         0.00155545 0.         ... 0.         0.         0.00087688],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00100722 0.00324922 0.00074898 ... 0.         0.         0.0016583 ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00272994 0.00204535 ... 0.         0.         0.        ],[0.         0.         0.00024805 ... 0.00024323 0.         0.        ],[0.         0.         0.00057831 ... 0.         0.         0.        ],[0.        0.        0.        ... 0.0005211 0.        0.       ],[0.        0.        0.0011276 ... 0.        0.        0.       ],[0.         0.         0.00078429 ... 0.00189962 0.         0.        ],[0.         0.00040024 0.         ... 0.         0.         0.00122328],[0.         0.00191471 0.         ... 0.00231348 0.         0.        ],[0.         0.00215277 0.         ... 0.         0.00162429 0.        ],[0.         0.         0.00189204 ... 0.0006502  0.00082341 0.        ],[0.         0.00173422 0.00209386 ... 0.00149822 0.00096267 0.00026924],[0.0002239  0.         0.0018161  ... 0.00244646 0.         0.        ],[0.         0.         0.00155941 ... 0.00022494 0.         0.00064381],[0.00111702 0.         0.         ... 0.00116765 0.         0.        ],[0.0037072 0.        0.        ... 0.0149123 0.        0.       ],[0.         0.         0.00269891 ... 0.00076883 0.00072828 0.        ],[0.         0.         0.00323473 ... 0.00051127 0.         0.        ],[0.         0.00178978 0.00063346 ... 0.00086698 0.         0.        ],[0.         0.         0.00132403 ... 0.00307568 0.         0.        ],[0.        0.0044385 0.        ... 0.        0.        0.       ],[0.         0.         0.00141837 ... 0.00569904 0.         0.        ],[0.         0.00040068 0.00244743 ... 0.00110677 0.         0.        ],[0.         0.         0.         ... 0.00243263 0.         0.        ],[0.00061487 0.         0.00297372 ... 0.         0.         0.        ],[0.         0.         0.00189871 ... 0.00043834 0.00096281 0.00056242],[0.         0.         0.         ... 0.         0.         0.00147776],[0.         0.00055881 0.00196383 ... 0.         0.         0.00042796],[0.         0.         0.00117171 ... 0.         0.         0.        ],[0.         0.00022476 0.00046304 ... 0.00685816 0.         0.00145968]
8,[0.         0.         0.         ... 0.00917517 0.00191401 0.        ],[0.         0.         0.         ... 0.00267565 0.         0.        ],[0.         0.         0.         ... 0.00550444 0.         0.        ],[0.         0.         0.         ... 0.00785772 0.         0.        ],[0.         0.         0.00099049 ... 0.0064945  0.         0.        ],[0.         0.         0.00203954 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00307986 0.         0.        ],[0.         0.         0.         ... 0.00727833 0.         0.        ],[0.         0.00097815 0.         ... 0.0014626  0.         0.        ],[0.         0.00097815 0.         ... 0.00069908 0.         0.        ],[0.00170852 0.         0.00062967 ... 0.00168529 0.0006935  0.00211302],[0.00063149 0.0012481  0.         ... 0.00052702 0.         0.00239902],[0.         0.00092325 0.00015283 ... 0.0033972  0.         0.00177392],[0.         0.00140148 0.         ... 0.         0.         0.        ],[0.00242589 0.         0.         ... 0.00330026 0.         0.        ],[0.         0.00067144 0.00107521 ... 0.00282642 0.00394815 0.        ],[0.         0.         0.00060105 ... 0.00533748 0.00086383 0.        ],[0.         0.         0.00050732 ... 0.00045603 0.         0.        ],[0.         0.         0.00104322 ... 0.00444575 0.00151446 0.        ],[0.         0.         0.00296752 ... 0.00268789 0.0029761  0.        ],[0.         0.         0.00212521 ... 0.00740988 0.         0.        ],[0.00150272 0.         0.00142012 ... 0.00277004 0.00095126 0.00032319],[0.         0.         0.00177992 ... 0.00106163 0.         0.00315944],[0.         0.         0.         ... 0.007306   0.00364558 0.        ],[0.         0.00362606 0.         ... 0.         0.00231004 0.        ],[0.         0.00176285 0.00265237 ... 0.0016474  0.         0.        ],[0.         0.         0.00249281 ... 0.00085552 0.         0.        ],[0.         0.00070314 0.00348967 ... 0.0029394  0.00307401 0.        ],[0.         0.         0.         ... 0.         0.         0.00161958],[0.         0.0006164  0.00057955 ... 0.         0.         0.        ],[0.00036878 0.         0.00122976 ... 0.00325246 0.         0.        ],[0.         0.         0.         ... 0.00246062 0.00074607 0.        ],[0.00175368 0.         0.00525796 ... 0.         0.         0.        ],[0.         0.002429   0.00127296 ... 0.         0.         0.        ],[0.         0.00267395 0.         ... 0.00450399 0.         0.        ]
7,[0.00091757 0.00092824 0.         ... 0.0004142  0.00063876 0.00134919],[0.         0.         0.         ... 0.         0.         0.00068061],[0.         0.         0.00092165 ... 0.00182472 0.         0.00077607],[0.         0.         0.         ... 0.00180602 0.         0.        ],[0.         0.         0.00386186 ... 0.         0.         0.00129905],[0.         0.         0.         ... 0.         0.00204965 0.        ],[0.         0.00070486 0.         ... 0.         0.         0.        ],[0.00041093 0.         0.00185746 ... 0.         0.00093164 0.        ],[0.00046127 0.00208805 0.00133645 ... 0.0022273  0.00028068 0.00043588],[0.         0.00700909 0.         ... 0.         0.         0.        ],[0.00023351 0.00023523 0.         ... 0.         0.00094625 0.00086328],[0.         0.         0.         ... 0.         0.00166769 0.        ],[0.         0.00129309 0.00100567 ... 0.         0.00106112 0.        ],[0.         0.         0.00276017 ... 0.         0.00275867 0.        ],[0.         0.         0.00182721 ... 0.         0.00116114 0.        ],[0.         0.         0.00366517 ... 0.         0.00296492 0.        ],[0.         0.         0.00106999 ... 0.         0.00158457 0.        ],[0.00092579 0.         0.         ... 0.00043127 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00085454 0.00088711 0.00064537 ... 0.         0.00154037 0.        ],[0.00286247 0.00231917 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00109068 0.         0.        ],[0.         0.00439255 0.         ... 0.00033908 0.         0.        ],[0.00121717 0.00032578 0.00131351 ... 0.0039076  0.         0.        ],[0.         0.00530504 0.         ... 0.00067143 0.         0.        ],[0.00136413 0.         0.         ... 0.00078952 0.         0.00038415],[0.         0.         0.00203736 ... 0.01047932 0.         0.        ],[0.         0.         0.         ... 0.00163781 0.00195425 0.        ],[0.         0.         0.00584836 ... 0.00144422 0.         0.        ],[0.         0.         0.00478741 ... 0.00213793 0.00222694 0.        ],[0.         0.         0.00288902 ... 0.         0.00226553 0.        ],[0.         0.         0.00431719 ... 0.00023594 0.         0.        ],[0.         0.         0.00337589 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.000459   0.00204361 0.         ... 0.00821137 0.00172624 0.        ]
5,[0.00031867 0.         0.         ... 0.         0.00145616 0.        ],[0.00175976 0.00199731 0.00178714 ... 0.         0.         0.        ],[0.00102942 0.         0.00089024 ... 0.00152646 0.         0.        ],[0.         0.         0.00038229 ... 0.00218737 0.00188187 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00069119 0.         ... 0.         0.         0.        ],[0.00163262 0.00120444 0.         ... 0.         0.         0.        ],[0.00084345 0.0007257  0.00082112 ... 0.00426266 0.00149881 0.00109298],[0. 0. 0. ... 0. 0. 0.],[0.        0.        0.        ... 0.0043874 0.        0.       ],[0.         0.         0.00152459 ... 0.00096207 0.         0.        ],[0.00213934 0.00136544 0.00261704 ... 0.00412353 0.00121498 0.0009149 ],[0.00211928 0.         0.00220485 ... 0.0019549  0.         0.        ],[0.00094376 0.         0.         ... 0.00240819 0.00063215 0.00151573],[0.00044875 0.00186188 0.00211548 ... 0.00359488 0.         0.        ],[0.0004316  0.         0.         ... 0.00191575 0.         0.00073779],[0.         0.         0.         ... 0.00150708 0.         0.00247369],[0.         0.00039149 0.00242711 ... 0.00154205 0.         0.        ],[0.         0.         0.         ... 0.00313886 0.00047015 0.0012323 ],[0.00046202 0.         0.00228517 ... 0.0020145  0.         0.00136241],[0.         0.         0.00170876 ... 0.         0.00329156 0.        ],[0.         0.00094319 0.         ... 0.         0.         0.00214942],[0.         0.         0.00298155 ... 0.         0.         0.00024303],[0.         0.         0.00239447 ... 0.         0.         0.        ],[0.00064149 0.         0.00093652 ... 0.0003322  0.         0.00046356],[0.         0.         0.00125021 ... 0.00068383 0.         0.00119344],[0.         0.00046897 0.0008698  ... 0.0005085  0.         0.        ],[0.         0.00125097 0.00392148 ... 0.         0.         0.        ],[0.0007203  0.         0.00149841 ... 0.         0.         0.        ],[0.00035622 0.00042376 0.00170143 ... 0.         0.         0.        ],[0.         0.00157951 0.00241292 ... 0.         0.         0.00082955],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.0013857  ... 0.00104118 0.         0.        ],[0.00123977 0.         0.00124834 ... 0.         0.00092718 0.        ],[0.         0.         0.00239427 ... 0.00408677 0.00052424 0.        ]
9,[0.         0.         0.0008827  ... 0.00173846 0.         0.00058743],[0.00314051 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00063801 0.00126244 0.        ],[0.         0.         0.00103829 ... 0.00031611 0.         0.00058383],[0.00231638 0.         0.00098318 ... 0.00089643 0.0027961  0.        ],[0.         0.00221583 0.00096995 ... 0.00257684 0.         0.        ],[0.00061913 0.         0.         ... 0.00093294 0.00092972 0.0027381 ],[0.         0.         0.00195528 ... 0.         0.00053278 0.00016499],[0.00055702 0.         0.00282914 ... 0.00166726 0.00026194 0.        ],[0.        0.        0.        ... 0.0027289 0.        0.       ],[0.         0.00045508 0.         ... 0.         0.00032752 0.        ],[0.         0.         0.         ... 0.00193641 0.         0.00059189],[0.         0.00067114 0.00122857 ... 0.         0.00148892 0.        ],[0.         0.00078022 0.         ... 0.00166311 0.00171754 0.        ],[0.00098226 0.         0.00242998 ... 0.00163008 0.00016818 0.00255721],[0.         0.00073011 0.         ... 0.00153246 0.00253578 0.        ],[0.00036201 0.00048386 0.00016665 ... 0.00043205 0.         0.00128993],[0.00017    0.         0.00029041 ... 0.00070786 0.00128716 0.00043871],[0.         0.         0.0009085  ... 0.00030823 0.         0.        ],[0.00075591 0.         0.         ... 0.00246163 0.00108563 0.        ],[0.00087794 0.00140032 0.         ... 0.00157953 0.00056039 0.        ],[0.         0.         0.         ... 0.00807228 0.         0.        ],[0.         0.         0.00205677 ... 0.00180796 0.         0.        ],[0.         0.00108308 0.         ... 0.00284358 0.0021961  0.        ],[0.00096876 0.         0.         ... 0.00029003 0.00045395 0.        ],[0.         0.         0.00062008 ... 0.         0.00075334 0.        ],[0.00108558 0.00152384 0.         ... 0.         0.         0.        ],[0.00060932 0.         0.         ... 0.00069914 0.         0.        ],[0.00045094 0.00044266 0.00201408 ... 0.         0.         0.        ],[0.         0.00272215 0.         ... 0.         0.00239161 0.        ],[0.         0.         0.00407307 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00423258 0.         0.00047052],[0.00066955 0.00084745 0.00098291 ... 0.00285164 0.0012258  0.00114076],[0.00084361 0.         0.00119839 ... 0.00148316 0.00341119 0.        ],[0.00057748 0.         0.00351984 ... 0.         0.         0.        ]
6,[0.         0.         0.         ... 0.00083153 0.00050551 0.        ],[0.         0.         0.00106708 ... 0.00063581 0.         0.00066899],[0.00176184 0.         0.         ... 0.00105526 0.         0.        ],[0.         0.00097811 0.         ... 0.00030106 0.         0.        ],[0.00134895 0.00036656 0.00132455 ... 0.00381998 0.         0.        ],[0.         0.         0.         ... 0.00028689 0.         0.        ],[0.         0.00096374 0.         ... 0.         0.         0.        ],[0.         0.00193101 0.         ... 0.00336933 0.         0.        ],[0.         0.00100721 0.0006832  ... 0.00251847 0.00057283 0.        ],[0.        0.0037669 0.        ... 0.        0.        0.       ],[0.         0.         0.         ... 0.         0.00100266 0.00100061],[0.         0.         0.00170204 ... 0.         0.00071662 0.        ],[0.         0.00651786 0.00470144 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00024177 0.00104808 0.00108587 ... 0.00069715 0.         0.00029468],[0.         0.00705237 0.         ... 0.         0.         0.        ],[0.         0.0024321  0.00108499 ... 0.00039714 0.         0.00032816],[0. 0. 0. ... 0. 0. 0.],[0.         0.00340717 0.00095056 ... 0.         0.         0.00061865],[0.         0.00879879 0.00181474 ... 0.         0.         0.00169893],[0.         0.00635571 0.         ... 0.         0.         0.        ],[0.         0.00455116 0.         ... 0.         0.         0.        ],[0.         0.00466983 0.         ... 0.         0.00130499 0.        ],[0.0004716  0.0008905  0.00208615 ... 0.00072489 0.         0.00055128],[0.         0.         0.         ... 0.         0.         0.00158221],[0.         0.         0.00212269 ... 0.00218321 0.00185757 0.        ],[0.         0.00016854 0.0032282  ... 0.00159164 0.         0.00162342],[0.         0.         0.         ... 0.00601038 0.         0.        ],[0.         0.         0.00211244 ... 0.         0.         0.        ],[0.         0.         0.00214261 ... 0.00088257 0.00061322 0.        ],[0.         0.00154036 0.00204059 ... 0.         0.00032736 0.        ],[0.         0.00076045 0.00231654 ... 0.00288632 0.         0.        ],[0.00053479 0.0008448  0.00092411 ... 0.00051487 0.00079574 0.00069091],[0.         0.00084753 0.         ... 0.0014131  0.00142055 0.        ],[0.         0.00064984 0.00558083 ... 0.00305807 0.         0.00249343]
