1,0.5214285714285715,0.15789473684210525,0.0,0.6862745098039216,0.3320620290042442,0.0967741935483871,0.0,0.9210526315789473,0.33927560837577814,0.42857142857142855,0.0,0.546875,0.32514880952380953,"[3, 1, 3]","[2, 0, 3]","[26, 32, 70]"
2,0.5142857142857142,0.1081081081081081,0.0,0.6763285024154589,0.3076257822234084,0.06451612903225806,0.0,0.9210526315789473,0.32852292020373514,0.3333333333333333,0.0,0.5343511450381679,0.28922815945716707,"[2, 1, 3]","[0, 0, 3]","[29, 32, 70]"
0,0.4642857142857143,0.09302325581395349,0.04651162790697675,0.6391752577319588,0.28240823938280235,0.06451612903225806,0.030303030303030304,0.8157894736842105,0.30353621100649963,0.16666666666666666,0.1,0.5254237288135594,0.264030131826742,"[2, 4, 6]","[1, 1, 8]","[28, 28, 62]"
3,0.5285714285714286,0.19047619047619047,0.0,0.7035175879396984,0.32931377441213067,0.12903225806451613,0.0,0.9210526315789473,0.35002829654782114,0.36363636363636365,0.0,0.5691056910569106,0.3109140182310914,"[4, 4, 3]","[3, 0, 3]","[24, 29, 70]"
4,0.45714285714285713,0.05128205128205128,0.0,0.6494845360824743,0.24886319089006737,0.03225806451612903,0.0,0.8289473684210527,0.28706847764572724,0.125,0.0,0.5338983050847458,0.21963276836158194,"[1, 3, 4]","[5, 0, 9]","[25, 30, 63]"
7,0.5,0.0,0.0,0.6796116504854369,0.22653721682847897,0.0,0.0,0.9210526315789473,0.30701754385964913,0.0,0.0,0.5384615384615384,0.1794871794871795,"[0, 2, 2]","[2, 0, 4]","[29, 31, 70]"
8,0.5,0.05555555555555555,0.0,0.6764705882352942,0.27585570442408625,0.03225806451612903,0.0,0.9078947368421053,0.3133842671194114,0.2,0.0,0.5390625,0.24635416666666665,"[1, 2, 2]","[2, 0, 5]","[28, 31, 69]"
9,0.4928571428571429,0.15384615384615383,0.045454545454545456,0.6598984771573604,0.3308704185756265,0.0967741935483871,0.030303030303030304,0.8552631578947368,0.3274467939153847,0.375,0.09090909090909091,0.5371900826446281,0.33436639118457306,"[3, 2, 3]","[2, 1, 8]","[26, 30, 65]"
5,0.5214285714285715,0.2105263157894737,0.0,0.6798029556650248,0.3581414879093873,0.12903225806451613,0.0,0.9078947368421053,0.3456423316355404,0.5714285714285714,0.0,0.5433070866141733,0.37157855268091494,"[4, 1, 2]","[1, 0, 5]","[26, 32, 69]"
6,0.5285714285714286,0.17777777777777778,0.0,0.7035175879396984,0.314148160991823,0.12903225806451613,0.0,0.9210526315789473,0.35002829654782114,0.2857142857142857,0.0,0.5691056910569106,0.2849399922570654,"[4, 6, 4]","[1, 0, 2]","[26, 27, 70]"
datasize,140

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
1,[0.         0.00089651 0.         ... 0.         0.         0.00068474],[0.00044174 0.00170639 0.         ... 0.         0.0019222  0.        ],[0.         0.         0.         ... 0.         0.00193012 0.        ],[0.00076604 0.00035876 0.         ... 0.00133153 0.00161823 0.00044747],[0.00036153 0.         0.00019656 ... 0.00150851 0.00255055 0.00109228],[0.         0.00213398 0.         ... 0.00205796 0.00199575 0.        ],[0.         0.00046918 0.00092856 ... 0.00163914 0.         0.        ],[0.         0.         0.         ... 0.00133918 0.         0.        ],[0.         0.00665045 0.         ... 0.         0.         0.        ],[0.         0.00300117 0.00049591 ... 0.         0.00053836 0.        ],[0.0005033  0.00115653 0.         ... 0.00107097 0.         0.        ],[0.         0.00043394 0.         ... 0.00197575 0.         0.        ],[0.00183002 0.00053691 0.00049581 ... 0.         0.         0.        ],[0.         0.00041364 0.00379792 ... 0.         0.00104897 0.00068777],[0.         0.         0.00063577 ... 0.         0.         0.        ],[0.00044764 0.         0.00126192 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00071817 0.00197996 ... 0.00046453 0.         0.        ],[0.00140645 0.00151925 0.         ... 0.         0.         0.        ],[0.00100089 0.         0.         ... 0.         0.         0.        ],[0.00126681 0.00329989 0.         ... 0.         0.         0.        ],[0.00032021 0.0009063  0.00045016 ... 0.         0.         0.        ],[0.         0.00021166 0.00063597 ... 0.00073585 0.00091071 0.00115415],[0.         0.00168441 0.00095851 ... 0.00061197 0.000757   0.        ],[0.         0.00344561 0.         ... 0.         0.         0.        ],[0.00169728 0.00227349 0.         ... 0.         0.         0.        ],[0.00159681 0.00113623 0.00015982 ... 0.         0.         0.        ],[0.00038804 0.00052694 0.00127266 ... 0.         0.00072166 0.        ],[0.00052279 0.00070259 0.         ... 0.         0.00097059 0.00059113],[0.00138747 0.00184213 0.         ... 0.         0.         0.00041931],[0.00278714 0.         0.         ... 0.         0.         0.00033162],[0.         0.0019751  0.         ... 0.         0.         0.00048087],[0.         0.         0.00118516 ... 0.         0.00113509 0.00016437],[0.00177971 0.         0.         ... 0.00085737 0.         0.        ],[0.00302599 0.         0.         ... 0.         0.00276088 0.        ]
2,[0.         0.         0.00239005 ... 0.00179831 0.00032255 0.00134582],[0.         0.00021197 0.00177198 ... 0.         0.00087752 0.        ],[0.00068215 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00144995 ... 0.00068979 0.         0.        ],[0.00016815 0.         0.00306008 ... 0.         0.         0.        ],[0.         0.00055563 0.         ... 0.         0.         0.        ],[0.         0.00065566 0.0018934  ... 0.         0.00082419 0.        ],[0.         0.         0.00141588 ... 0.00052157 0.         0.00039518],[0.00056301 0.0018133  0.00413695 ... 0.         0.         0.        ],[0.         0.         0.00641543 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00662024 0.         0.        ],[0.00044357 0.00032841 0.00273079 ... 0.         0.         0.        ],[0.         0.         0.00199206 ... 0.         0.         0.        ],[0.000325   0.         0.00156965 ... 0.         0.         0.        ],[0.0002593  0.00042876 0.00661025 ... 0.0007035  0.         0.00169032],[0.         0.00096058 0.00110442 ... 0.         0.00362589 0.        ],[0.00046055 0.00111466 0.00199421 ... 0.         0.         0.        ],[0.00129422 0.         0.00605279 ... 0.00035628 0.         0.00085679],[0.00121167 0.00156599 0.00272643 ... 0.         0.00151309 0.0018423 ],[0.         0.         0.00813384 ... 0.         0.         0.        ],[0.00064304 0.00073453 0.00215364 ... 0.         0.         0.00203855],[0.00221485 0.         0.00479367 ... 0.         0.         0.        ],[0.00132567 0.         0.00194275 ... 0.         0.00050399 0.        ],[0.0003755  0.         0.00376761 ... 0.         0.00155277 0.        ],[0.00022458 0.         0.00545806 ... 0.         0.         0.        ],[0.00017498 0.00032807 0.00350103 ... 0.         0.         0.        ],[0.         0.00180471 0.00174659 ... 0.         0.         0.        ],[0.00142173 0.         0.00417203 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00049134 0.         0.00138605 ... 0.0013055  0.         0.        ],[0.         0.         0.00118214 ... 0.00055519 0.         0.        ],[0.         0.         0.         ... 0.00088446 0.00263456 0.        ],[0.00107228 0.00134768 0.00057545 ... 0.         0.         0.00187217],[0.00133003 0.         0.00070265 ... 0.00047996 0.0013398  0.        ],[0.0002859  0.00122259 0.00406579 ... 0.         0.00043778 0.        ]
0,[0.         0.         0.00081502 ... 0.         0.00074808 0.        ],[0.         0.         0.00332955 ... 0.         0.         0.        ],[0.         0.00064087 0.00613486 ... 0.00076177 0.00121392 0.        ],[0.         0.         0.         ... 0.         0.00260001 0.        ],[0.         0.         0.         ... 0.         0.00086424 0.00045664],[0.00048105 0.         0.00130958 ... 0.         0.00145114 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00275042 0.         ... 0.0019133  0.00163805 0.        ],[0.00145164 0.00328167 0.         ... 0.0012579  0.00166146 0.        ],[0.         0.         0.00160353 ... 0.         0.         0.        ],[0.         0.00095005 0.00041543 ... 0.00195343 0.00205512 0.00067628],[0.         0.0016755  0.         ... 0.         0.00227836 0.        ],[0.         0.00038332 0.         ... 0.         0.00313443 0.00088655],[0.         0.00092244 0.         ... 0.         0.00116396 0.        ],[0.         0.         0.         ... 0.         0.         0.00039824],[0.00022509 0.0033378  0.         ... 0.         0.         0.        ],[0.         0.00208929 0.00164664 ... 0.         0.0023895  0.00090451],[0.00069254 0.00234839 0.00071496 ... 0.         0.00152874 0.        ],[0.         0.00072574 0.         ... 0.         0.         0.        ],[0.00100821 0.         0.00211183 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00160918 0.00313839 0.        ],[0.00134127 0.         0.0008752  ... 0.00195942 0.         0.        ],[0.         0.         0.00319852 ... 0.         0.         0.        ],[0.00085074 0.         0.         ... 0.         0.00083015 0.        ],[0.00046708 0.         0.0029774  ... 0.         0.         0.        ],[0.00277135 0.         0.         ... 0.00126986 0.00101995 0.        ],[0.00126911 0.         0.00226238 ... 0.         0.00280371 0.        ],[0.00080049 0.         0.00565696 ... 0.         0.00226097 0.        ],[0.00035905 0.00104442 0.00265434 ... 0.         0.00180796 0.        ],[0.00139502 0.00157175 0.00352445 ... 0.00029309 0.00213419 0.        ],[0.         0.         0.00201627 ... 0.         0.00215845 0.        ],[0.00021478 0.00028344 0.00236579 ... 0.         0.00438903 0.        ],[0.00151529 0.00104607 0.00218264 ... 0.         0.00166573 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00177478 0.00195305 ... 0.00101839 0.00285797 0.        ]
3,[0.         0.         0.         ... 0.00494577 0.         0.        ],[0.         0.         0.00119996 ... 0.00222976 0.         0.        ],[0.         0.         0.00173518 ... 0.00222976 0.         0.        ],[0.0005353  0.         0.         ... 0.003588   0.         0.00042967],[0.         0.         0.         ... 0.00452266 0.00116142 0.        ],[0.00132722 0.00104892 0.         ... 0.00352091 0.         0.        ],[0.         0.         0.         ... 0.00323943 0.         0.        ],[0.00112312 0.00168051 0.         ... 0.00196147 0.00153674 0.        ],[0.00194469 0.         0.         ... 0.         0.         0.        ],[0.         0.00122898 0.         ... 0.00266883 0.00100945 0.00062926],[0.         0.         0.         ... 0.0020811  0.00021001 0.00198883],[0.         0.         0.         ... 0.0039891  0.00142051 0.00023216],[0.         0.         0.         ... 0.00219076 0.00062293 0.00207008],[0.00163415 0.         0.         ... 0.00248816 0.         0.        ],[0.         0.00100271 0.         ... 0.00317982 0.         0.        ],[0.00017951 0.         0.         ... 0.00134735 0.         0.00017198],[0.00035335 0.         0.00313947 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00195566],[0.         0.         0.00196952 ... 0.00281781 0.00091146 0.        ],[0.00114616 0.00125899 0.00147548 ... 0.         0.0002726  0.        ],[0.00265881 0.0012722  0.         ... 0.         0.00072909 0.00117753],[0.00117968 0.         0.         ... 0.         0.         0.        ],[0.00146806 0.         0.         ... 0.00079082 0.         0.00087269],[0.00115797 0.         0.00115234 ... 0.         0.         0.00049465],[0.0016945  0.         0.         ... 0.         0.         0.00190706],[0.00102549 0.         0.00148409 ... 0.         0.00278001 0.        ],[0.         0.00077411 0.00071819 ... 0.00032606 0.00062904 0.00046117],[0.         0.0006709  0.00100848 ... 0.00113116 0.00016455 0.        ],[0.         0.00118934 0.         ... 0.00149321 0.00205193 0.        ],[0.         0.00105826 0.00144063 ... 0.00067183 0.001667   0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00073997 0.00041971 0.00089191 ... 0.00033627 0.00027413 0.        ],[0.         0.         0.         ... 0.00177745 0.         0.00234586],[0. 0. 0. ... 0. 0. 0.],[0.00127896 0.         0.00363211 ... 0.         0.         0.00117409]
4,[0.         0.         0.00278504 ... 0.00034149 0.00035855 0.        ],[0.00111012 0.         0.00041465 ... 0.         0.0002203  0.00122489],[0.0009115  0.         0.         ... 0.0018679  0.         0.00096831],[0.00058482 0.         0.         ... 0.         0.00071186 0.        ],[0.         0.00141211 0.00209728 ... 0.0003322  0.0015757  0.00124835],[0.         0.00069003 0.00122503 ... 0.         0.00058097 0.        ],[0.         0.00061469 0.         ... 0.00182796 0.         0.00132615],[0.         0.         0.         ... 0.00115813 0.0017589  0.        ],[0.         0.         0.00304376 ... 0.00079082 0.         0.0040251 ],[0.         0.         0.00291479 ... 0.         0.         0.        ],[0.         0.00086712 0.00228312 ... 0.00195676 0.         0.        ],[0.         0.00047841 0.00047378 ... 0.00127304 0.         0.        ],[0.         0.         0.         ... 0.         0.0019962  0.00030473],[0.00050198 0.         0.         ... 0.00162685 0.         0.        ],[0.         0.         0.0032362  ... 0.00049907 0.         0.        ],[0.         0.         0.00146357 ... 0.00131307 0.         0.        ],[0.         0.00069893 0.0009286  ... 0.         0.00046374 0.        ],[0.         0.         0.         ... 0.         0.00238608 0.        ],[0.         0.         0.00019777 ... 0.00068758 0.         0.00062986],[0.00022597 0.         0.         ... 0.         0.         0.        ],[0.         0.00141421 0.00110177 ... 0.         0.         0.        ],[0.         0.00160909 0.         ... 0.         0.00026287 0.00103445],[0.00063755 0.         0.0013682  ... 0.00362493 0.         0.        ],[0.         0.         0.001312   ... 0.         0.00328387 0.        ],[0.         0.00091545 0.00068259 ... 0.         0.0009826  0.        ],[0.         0.         0.00034315 ... 0.         0.00192999 0.        ],[0.         0.         0.         ... 0.         0.00217286 0.        ],[0.00048354 0.0012551  0.         ... 0.00106222 0.00320309 0.00259252],[0.         0.         0.00111115 ... 0.00235041 0.00136943 0.00059574],[0.         0.         0.00161678 ... 0.00022033 0.         0.        ],[0.00049397 0.00071653 0.00075733 ... 0.         0.00145461 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00053798 0.00035331],[0.         0.00043998 0.         ... 0.         0.         0.        ],[0.00087307 0.00122721 0.00107822 ... 0.         0.         0.        ]
7,[0.00111482 0.00133983 0.00104376 ... 0.00035805 0.         0.        ],[0.00153084 0.00179253 0.         ... 0.00048797 0.         0.        ],[0.         0.00042358 0.00072196 ... 0.00019803 0.         0.00089015],[0.00118186 0.         0.00135361 ... 0.00094737 0.         0.        ],[0.         0.         0.         ... 0.00076903 0.00065981 0.        ],[0.         0.         0.         ... 0.00130348 0.         0.        ],[0.         0.         0.00326255 ... 0.00189983 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.0016638  0.         0.00264915 ... 0.         0.         0.00255334],[0.         0.         0.00020338 ... 0.00094173 0.00096265 0.        ],[0.         0.         0.00281605 ... 0.00355451 0.         0.00100898],[0.         0.         0.         ... 0.         0.00142381 0.        ],[0.00049252 0.         0.00441036 ... 0.00190936 0.00170081 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00186221 0.         ... 0.00140115 0.         0.        ],[0.00054352 0.         0.         ... 0.0014143  0.         0.        ],[0.         0.         0.         ... 0.00067164 0.00241777 0.00248825],[0.         0.         0.         ... 0.         0.         0.00408926],[0.00093455 0.         0.0023717  ... 0.         0.00589753 0.        ],[0.         0.         0.00437972 ... 0.         0.         0.        ],[0.00036545 0.00072208 0.00123669 ... 0.00161341 0.         0.        ],[0.00099932 0.         0.         ... 0.         0.00166101 0.        ],[0.         0.         0.00082382 ... 0.         0.0005118  0.        ],[0.00062273 0.00102898 0.00311081 ... 0.00159898 0.00055735 0.00073851],[0.00212259 0.         0.00457651 ... 0.         0.0007114  0.00080966],[0.00050889 0.00091195 0.00176277 ... 0.00195504 0.         0.00109542],[0.         0.         0.00051581 ... 0.00092165 0.00107378 0.00192527],[0.00128912 0.         0.00113026 ... 0.00068165 0.         0.00035333],[0.0015835  0.00169321 0.00027371 ... 0.00100074 0.         0.00036206],[0.00037117 0.         0.00044428 ... 0.         0.00117852 0.        ],[0.         0.00083271 0.00269539 ... 0.00024195 0.00162162 0.        ],[0.00090539 0.00136374 0.         ... 0.00079905 0.00143821 0.        ],[0.00023759 0.00049824 0.         ... 0.00086039 0.         0.00024995],[0.         0.0007472  0.00166978 ... 0.         0.         0.        ],[0.         0.         0.00205194 ... 0.00182312 0.         0.        ]
8,[0.         0.00027326 0.00213407 ... 0.         0.         0.00049918],[0.        0.        0.0038234 ... 0.        0.        0.       ],[0.00057841 0.         0.00219599 ... 0.00070586 0.         0.        ],[0.00082947 0.         0.00171917 ... 0.         0.00092016 0.        ],[0.         0.         0.00352036 ... 0.0003257  0.         0.        ],[0.         0.00128663 0.00068615 ... 0.         0.00240688 0.        ],[0.00158698 0.00128113 0.0026053  ... 0.         0.         0.        ],[0.00146822 0.00247104 0.         ... 0.         0.         0.        ],[0.00053219 0.00184626 0.00043002 ... 0.         0.         0.00026066],[0.         0.         0.00074125 ... 0.         0.00052103 0.        ],[0.         0.         0.00038464 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00030638 ... 0.         0.         0.        ],[0.         0.         0.00234339 ... 0.         0.00194072 0.        ],[0.00032069 0.00068553 0.00038855 ... 0.         0.         0.00130042],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00130621 0.         0.         ... 0.         0.00240427 0.00071295],[0.         0.00150997 0.         ... 0.         0.00224949 0.00095682],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00068215 ... 0.         0.002271   0.        ],[0.         0.00027719 0.00097553 ... 0.00224612 0.00227154 0.        ],[0.         0.         0.         ... 0.         0.00425661 0.        ],[0.         0.00052424 0.00220504 ... 0.00179682 0.00152697 0.0003276 ],[0.         0.         0.00170074 ... 0.         0.         0.        ],[0.00057308 0.00052257 0.00087676 ... 0.         0.         0.00105382],[0.        0.        0.        ... 0.0007654 0.        0.       ],[0.00081271 0.         0.00149845 ... 0.00078038 0.         0.        ],[0.         0.         0.         ... 0.00061955 0.         0.00147735],[0.         0.00096437 0.         ... 0.00263532 0.         0.        ],[0.00028069 0.00079717 0.         ... 0.00259563 0.         0.        ],[0.         0.00130283 0.         ... 0.00247999 0.         0.00036441],[0.00103203 0.         0.         ... 0.00254907 0.         0.        ],[0.00228982 0.00188507 0.         ... 0.003711   0.00187183 0.        ]
9,[0.         0.00034671 0.         ... 0.00107807 0.00144858 0.        ],[0.         0.         0.         ... 0.0011713  0.00115625 0.        ],[0.         0.         0.         ... 0.         0.00035632 0.        ],[0.         0.         0.         ... 0.00103787 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00132049 0.         0.         ... 0.         0.         0.        ],[0.00117899 0.         0.         ... 0.         0.         0.        ],[0.         0.00089367 0.00116372 ... 0.00214439 0.00059312 0.        ],[0.         0.         0.00055951 ... 0.00448781 0.         0.        ],[0.         0.00096691 0.         ... 0.00224421 0.00118284 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00062215 0.00247987 0.00041851 ... 0.         0.00177138 0.00046494],[0.00025526 0.00390577 0.         ... 0.         0.00023849 0.        ],[0.0004584  0.00164318 0.         ... 0.         0.00153088 0.        ],[0.         0.00259959 0.         ... 0.         0.         0.        ],[0.00042672 0.         0.00153078 ... 0.         0.00123938 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00094335 0.         0.00217932 ... 0.         0.         0.00091607],[0. 0. 0. ... 0. 0. 0.],[0.00163534 0.00153548 0.         ... 0.         0.         0.        ],[0.00195851 0.00082993 0.00120074 ... 0.         0.00161268 0.0003771 ],[0.00124453 0.         0.         ... 0.         0.00246964 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00227134 ... 0.00208188 0.00312771 0.        ],[0.         0.         0.         ... 0.         0.00526779 0.        ],[0.         0.00030716 0.         ... 0.00132052 0.         0.        ],[0.         0.         0.00167708 ... 0.00260376 0.         0.        ],[0.00145726 0.         0.00230231 ... 0.0029275  0.00065158 0.        ],[0.00097151 0.00264431 0.         ... 0.00594161 0.         0.        ],[0.         0.00214507 0.00141054 ... 0.00040841 0.         0.        ],[0.00037113 0.00083388 0.00355013 ... 0.         0.         0.        ],[0.00025059 0.         0.         ... 0.00031556 0.         0.        ],[0.         0.00141079 0.         ... 0.         0.00138144 0.        ],[0.00082585 0.         0.         ... 0.         0.         0.00131332],[0.         0.00153516 0.0024273  ... 0.         0.         0.        ]
5,[0.         0.00285459 0.00189211 ... 0.00021675 0.         0.        ],[0.         0.00059477 0.         ... 0.00143615 0.         0.        ],[0.00041053 0.00088556 0.00051282 ... 0.00106533 0.00094313 0.        ],[0.         0.         0.00204051 ... 0.00117375 0.         0.        ],[0.0008153  0.         0.         ... 0.         0.         0.00041198],[0. 0. 0. ... 0. 0. 0.],[0.00100411 0.00371544 0.         ... 0.         0.         0.        ],[0.         0.00257167 0.00327146 ... 0.00049951 0.         0.00078162],[0. 0. 0. ... 0. 0. 0.],[0.00117408 0.00056352 0.00047741 ... 0.         0.         0.        ],[0.         0.         0.00372577 ... 0.         0.         0.        ],[0.         0.         0.00179141 ... 0.00369455 0.         0.        ],[0.         0.00110664 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00108987 0.00341301 0.         ... 0.00086347 0.0003359  0.        ],[0.00107197 0.         0.         ... 0.00201741 0.         0.00245568],[0.         0.00138371 0.         ... 0.         0.00318103 0.        ],[0.         0.         0.00046951 ... 0.00147422 0.00061392 0.00080557],[0.00027486 0.         0.00251739 ... 0.         0.         0.00048814],[0.         0.00177171 0.00183158 ... 0.         0.         0.00129549],[0.         0.         0.00062343 ... 0.00087689 0.00037805 0.        ],[0.00069649 0.         0.         ... 0.00092578 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00126579 0.0022542  ... 0.         0.         0.        ],[0.00021856 0.00125817 0.00033714 ... 0.00099611 0.00129404 0.        ],[0.00027265 0.         0.         ... 0.         0.00052537 0.        ],[0.00037281 0.         0.00100634 ... 0.         0.         0.        ],[0.         0.00235161 0.00049215 ... 0.         0.         0.        ],[0.00046726 0.00203353 0.00166371 ... 0.00125229 0.         0.        ],[0.         0.00075306 0.00119081 ... 0.         0.         0.00039191],[0.         0.         0.00148951 ... 0.00186941 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00246642 ... 0.         0.00034167 0.        ],[0.         0.         0.00205665 ... 0.00139695 0.         0.        ],[0.00167084 0.0006483  0.00085441 ... 0.         0.         0.0011794 ]
6,[0.         0.00395208 0.         ... 0.         0.00141581 0.        ],[0.         0.00212115 0.         ... 0.00031919 0.         0.        ],[0.         0.0014079  0.00243661 ... 0.00232919 0.         0.        ],[0.00072623 0.00105593 0.00169032 ... 0.00109614 0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00109716],[0. 0. 0. ... 0. 0. 0.],[0.         0.00222088 0.00341508 ... 0.         0.         0.00039997],[0.        0.        0.        ... 0.0008688 0.        0.       ],[0.         0.00210822 0.00510523 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00065314 ... 0.00183955 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00042576 0.0005792  0.        ],[0.00047084 0.         0.         ... 0.00178521 0.         0.        ],[0.         0.         0.00116818 ... 0.00214691 0.         0.00045476],[0.         0.         0.         ... 0.         0.         0.00024815],[0.         0.00232492 0.00076942 ... 0.         0.         0.        ],[0.00156002 0.00052072 0.00067642 ... 0.00036377 0.         0.00160791],[0.         0.00267504 0.         ... 0.00150856 0.00160252 0.00074239],[0.00118658 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00201671 ... 0.00082905 0.         0.00221082],[0.         0.         0.00099546 ... 0.         0.         0.        ],[0.         0.         0.00157533 ... 0.         0.         0.00060899],[0.         0.         0.         ... 0.         0.00184698 0.00334495],[0.00054569 0.00116389 0.         ... 0.00164209 0.         0.        ],[0.00072512 0.00246113 0.         ... 0.00040688 0.         0.        ],[0.0019594  0.00213875 0.         ... 0.00057045 0.00206763 0.        ],[0.00045058 0.         0.00060784 ... 0.00273752 0.         0.00017876],[0.00131408 0.         0.00071364 ... 0.         0.         0.00028054],[0.         0.         0.         ... 0.         0.00379907 0.        ],[0.         0.00163877 0.         ... 0.         0.00293518 0.        ],[0.         0.00386801 0.         ... 0.         0.         0.        ],[0.00063409 0.00192811 0.00025563 ... 0.00163585 0.         0.0012623 ],[0.         0.00091057 0.         ... 0.         0.         0.        ],[0.         0.00234773 0.         ... 0.         0.         0.00192615]
