2,0.42857142857142855,0.5793103448275863,0.07692307692307693,0.3855421686746988,0.3570869561324176,0.6666666666666666,0.05263157894736842,0.41025641025641024,0.3765182186234817,0.5121951219512195,0.14285714285714285,0.36363636363636365,0.33956287614824204,"[42, 20, 20]","[9, 2, 3]","[12, 16, 16]"
1,0.45714285714285713,0.6438356164383563,0.0,0.41463414634146334,0.3534831460674157,0.746031746031746,0.0,0.4358974358974359,0.393976393976394,0.5662650602409639,0.0,0.3953488372093023,0.32053796581675537,"[47, 23, 13]","[5, 0, 9]","[11, 15, 17]"
3,0.4142857142857143,0.5945945945945945,0.038461538461538464,0.32499999999999996,0.32541026569048753,0.6984126984126984,0.02631578947368421,0.3333333333333333,0.3526872737399053,0.5176470588235295,0.07142857142857142,0.3170731707317073,0.30204960032793604,"[44, 21, 20]","[7, 1, 6]","[12, 16, 13]"
4,0.4642857142857143,0.6344827586206897,0.08163265306122448,0.39534883720930236,0.3862617957983857,0.7301587301587301,0.05263157894736842,0.4358974358974359,0.4062292483345115,0.5609756097560976,0.18181818181818182,0.3617021276595745,0.36816530641128464,"[46, 19, 17]","[4, 2, 5]","[13, 17, 17]"
0,0.4357142857142857,0.5921052631578948,0.12244897959183672,0.32911392405063294,0.371611642147848,0.7142857142857143,0.07894736842105263,0.3333333333333333,0.3755221386800334,0.5056179775280899,0.2727272727272727,0.325,0.3677817500851209,"[45, 23, 21]","[3, 3, 5]","[15, 12, 13]"
8,0.44285714285714284,0.6250000000000001,0.03773584905660377,0.3855421686746988,0.35399584852193633,0.7142857142857143,0.02631578947368421,0.41025641025641024,0.3836193046719362,0.5555555555555556,0.06666666666666667,0.36363636363636365,0.32861952861952864,"[45, 20, 16]","[7, 1, 7]","[11, 17, 16]"
5,0.42857142857142855,0.6052631578947368,0.0,0.3544303797468355,0.3217878547386729,0.7301587301587301,0.0,0.358974358974359,0.363044363044363,0.5168539325842697,0.0,0.35,0.2889513108614232,"[46, 23, 20]","[6, 0, 5]","[11, 15, 14]"
6,0.4785714285714286,0.6442953020134227,0.04081632653061224,0.4390243902439025,0.3838503579694462,0.7619047619047619,0.02631578947368421,0.46153846153846156,0.4165863376389692,0.5581395348837209,0.09090909090909091,0.4186046511627907,0.35588442565186756,"[48, 22, 16]","[5, 1, 5]","[10, 15, 18]"
9,0.45714285714285713,0.5972222222222223,0.14035087719298245,0.43037974683544306,0.3981194353621618,0.6825396825396826,0.10526315789473684,0.4358974358974359,0.4079000921106184,0.5308641975308642,0.21052631578947367,0.425,0.3887968377734459,"[43, 22, 16]","[9, 4, 6]","[11, 12, 17]"
7,0.44285714285714284,0.5972222222222223,0.07692307692307693,0.40476190476190477,0.3693558696674979,0.6825396825396826,0.05263157894736842,0.4358974358974359,0.3903562324614956,0.5308641975308642,0.14285714285714285,0.37777777777777777,0.35049970605526165,"[43, 21, 17]","[7, 2, 5]","[13, 15, 17]"
datasize,140

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
2,[0. 0. 0. ... 0. 0. 0.],[0.00503826 0.         0.00316917 ... 0.0042889  0.00083924 0.        ],[0.00026257 0.00103977 0.00017195 ... 0.         0.00029771 0.00182364],[0.0017362 0.        0.        ... 0.        0.        0.       ],[0.00083928 0.         0.0020658  ... 0.00180998 0.         0.00120511],[0.         0.         0.00112252 ... 0.         0.         0.00093131],[0.         0.         0.00598845 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00119682 0.0020276  ... 0.         0.         0.        ],[0.00226362 0.         0.         ... 0.00253192 0.         0.        ],[0.00201233 0.         0.00538803 ... 0.00117624 0.00110502 0.0028728 ],[0.00132924 0.         0.00645243 ... 0.         0.         0.        ],[0.00177977 0.         0.00658491 ... 0.         0.         0.        ],[0.00124783 0.00335107 0.         ... 0.         0.00047934 0.00111061],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00157911 ... 0.         0.         0.00126317],[0.         0.         0.00181297 ... 0.         0.         0.        ],[0.       0.       0.001075 ... 0.       0.       0.      ],[0.         0.         0.00045351 ... 0.         0.         0.0007351 ],[0.00109257 0.         0.00112945 ... 0.         0.00142602 0.        ],[0.         0.         0.0005432  ... 0.00028322 0.         0.00162487],[0.         0.         0.00259296 ... 0.         0.         0.        ],[0.         0.00130881 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00173321 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00061174 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00074766 0.00181348 0.00166701 ... 0.         0.00056435 0.        ],[0.00074766 0.         0.00488265 ... 0.         0.00123206 0.        ],[0.         0.         0.         ... 0.         0.         0.00154779],[0.         0.         0.0032206  ... 0.00075332 0.00062736 0.00391191],[0.         0.00026856 0.00097562 ... 0.00041279 0.         0.00103164]
1,[0.00025676 0.00045133 0.00184726 ... 0.         0.00064879 0.        ],[0.         0.00346395 0.0012665  ... 0.00107858 0.         0.        ],[0.         0.00042247 0.0015758  ... 0.00045825 0.         0.        ],[0.00379948 0.0010695  0.00160418 ... 0.         0.         0.        ],[0.         0.00035983 0.00131814 ... 0.00052841 0.         0.0008256 ],[0.         0.00146022 0.00453304 ... 0.00117402 0.00094778 0.        ],[0.         0.00046788 0.00441584 ... 0.00052684 0.         0.        ],[0.0010029  0.         0.00355575 ... 0.         0.00092964 0.00080268],[0.         0.         0.00096281 ... 0.00076197 0.00097251 0.        ],[0.00093967 0.         0.00149424 ... 0.0010385  0.         0.        ],[0.00098202 0.         0.0041178  ... 0.         0.00089137 0.        ],[0.         0.         0.         ... 0.00050951 0.00097719 0.00313442],[0.         0.00122918 0.00027103 ... 0.00151375 0.         0.        ],[0.00118495 0.         0.         ... 0.         0.00119496 0.        ],[0.         0.         0.00359563 ... 0.         0.         0.        ],[0.00060527 0.00074035 0.         ... 0.00098455 0.         0.00044221],[0.00037934 0.00143558 0.00036116 ... 0.00093013 0.00026965 0.00226513],[0.00123096 0.         0.00034375 ... 0.00067638 0.         0.        ],[0.         0.00236742 0.00579781 ... 0.         0.         0.        ],[0.00149055 0.         0.00143664 ... 0.00173713 0.         0.0017792 ],[0.00070384 0.0012955  0.00150862 ... 0.00217298 0.         0.00130101],[0.         0.         0.         ... 0.         0.         0.00157982],[0.00092517 0.00194082 0.0044526  ... 0.00074817 0.         0.00187708],[0.         0.         0.00387055 ... 0.00175615 0.         0.00031988],[0.         0.         0.00284234 ... 0.         0.         0.        ],[0.         0.00142424 0.00309672 ... 0.00099443 0.         0.        ],[0.         0.         0.00982228 ... 0.00236285 0.         0.        ],[0.         0.00043204 0.00048754 ... 0.         0.         0.        ],[0.         0.         0.00873034 ... 0.         0.         0.        ],[0.00101494 0.         0.00193704 ... 0.         0.         0.        ],[0.00230321 0.00056668 0.00210573 ... 0.         0.00083504 0.00140716],[0.         0.         0.00904696 ... 0.         0.         0.        ],[0.         0.         0.00889563 ... 0.         0.         0.        ],[0.00252532 0.00100324 0.0012761  ... 0.001116   0.         0.00149375],[0.         0.00091026 0.00251789 ... 0.00214197 0.0006819  0.00120274]
3,[0.         0.00053857 0.         ... 0.00038794 0.         0.0018359 ],[0.         0.00266008 0.         ... 0.         0.         0.        ],[0.         0.         0.00155125 ... 0.00067603 0.00115683 0.        ],[0.00126637 0.         0.         ... 0.00059132 0.         0.        ],[0.         0.00048513 0.00041184 ... 0.00198797 0.         0.        ],[0.         0.00135714 0.0009919  ... 0.00092182 0.         0.00209743],[0.         0.         0.00101982 ... 0.00117895 0.00102612 0.        ],[0.         0.         0.         ... 0.00178538 0.         0.00189144],[0.         0.00211726 0.00106086 ... 0.         0.         0.00144284],[0.00090132 0.00106693 0.00058346 ... 0.         0.         0.        ],[0.       0.       0.001981 ... 0.       0.       0.      ],[0.         0.         0.         ... 0.         0.         0.00231683],[0.00085193 0.00183032 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00152928 0.         0.        ],[0.00049983 0.         0.0011972  ... 0.00065959 0.         0.00085283],[0.         0.         0.         ... 0.00177882 0.00081955 0.        ],[0.         0.00062884 0.         ... 0.00298608 0.00150373 0.00133068],[0.         0.00167445 0.         ... 0.         0.00075198 0.        ],[0.00031291 0.00071367 0.00140144 ... 0.00041358 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00043399 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00175191 ... 0.         0.         0.0006256 ],[0.         0.00216913 0.         ... 0.         0.         0.        ],[0.00031396 0.00089307 0.00143827 ... 0.         0.00020299 0.        ],[0.0009652 0.        0.        ... 0.        0.        0.       ],[0.         0.00304011 0.         ... 0.         0.00579581 0.        ],[0.         0.00059667 0.00056904 ... 0.         0.         0.        ],[0.00049423 0.00098037 0.00268025 ... 0.         0.00049104 0.        ],[0.         0.00069468 0.00133381 ... 0.00303638 0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00168527],[0.         0.00091097 0.00126265 ... 0.00194087 0.         0.        ],[0.         0.         0.00172376 ... 0.00289951 0.         0.00052479],[0. 0. 0. ... 0. 0. 0.],[0.         0.00370997 0.         ... 0.00095843 0.         0.00245739]
4,[0.         0.         0.00105123 ... 0.         0.00036864 0.00060988],[0.         0.         0.00642708 ... 0.         0.         0.        ],[0.         0.         0.00842225 ... 0.         0.00158126 0.        ],[0.         0.         0.00074325 ... 0.00047852 0.         0.        ],[0.         0.00177246 0.00039013 ... 0.         0.00046352 0.00118134],[0.         0.00164391 0.00213691 ... 0.         0.00045133 0.00048359],[0.         0.         0.00287276 ... 0.00067888 0.         0.00123891],[0.         0.         0.00776932 ... 0.         0.         0.        ],[0.         0.00142681 0.00383483 ... 0.         0.00080847 0.        ],[0.         0.         0.00140925 ... 0.         0.00085273 0.00086459],[0.         0.         0.         ... 0.         0.00075035 0.        ],[0.         0.         0.         ... 0.00255325 0.00045012 0.00344434],[0.         0.         0.         ... 0.         0.00155943 0.        ],[0.00107942 0.         0.00113676 ... 0.00137988 0.00037465 0.0006483 ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00708117 0.         ... 0.         0.         0.00085399],[0.         0.00140402 0.00616671 ... 0.         0.         0.        ],[0.         0.00116495 0.00156668 ... 0.         0.         0.00103027],[0.         0.         0.00396634 ... 0.         0.         0.        ],[0.         0.00151642 0.00430818 ... 0.         0.         0.00160974],[0.         0.00176067 0.0029468  ... 0.         0.         0.00252231],[0.         0.         0.         ... 0.         0.00396202 0.        ],[0.00084535 0.         0.00522376 ... 0.         0.         0.00507768],[0.         0.         0.0003954  ... 0.         0.         0.00217172],[0.         0.         0.00066086 ... 0.0016157  0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00158133],[0.         0.         0.         ... 0.00128595 0.00215358 0.00120296],[0.         0.         0.00124564 ... 0.         0.         0.00046045],[0.         0.         0.00154614 ... 0.00147886 0.         0.        ],[0.00138122 0.         0.00094629 ... 0.         0.         0.00133813],[0.00140501 0.         0.         ... 0.00156785 0.         0.        ],[0.         0.00159281 0.00054332 ... 0.00246785 0.         0.00273498],[0.00250402 0.         0.         ... 0.         0.         0.        ],[0.         0.00144965 0.00029708 ... 0.         0.         0.00307093],[0.         0.00043787 0.         ... 0.         0.00039687 0.0009672 ]
0,[0.         0.00228778 0.00231175 ... 0.         0.         0.        ],[0.         0.         0.00251511 ... 0.         0.         0.        ],[0.         0.00037943 0.00137738 ... 0.         0.         0.        ],[0.00286363 0.         0.00256168 ... 0.         0.         0.        ],[0.         0.         0.00321664 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00082422 0.00052189 ... 0.00042193 0.00197003 0.        ],[0.         0.         0.00087281 ... 0.00089904 0.00044422 0.        ],[0.         0.00277573 0.0004013  ... 0.00042282 0.         0.        ],[0.         0.00070767 0.0001965  ... 0.00051078 0.00104223 0.00029886],[0.         0.         0.00020524 ... 0.00030423 0.         0.        ],[0.        0.        0.0009876 ... 0.        0.0007684 0.0011395],[0.         0.         0.00055624 ... 0.00040286 0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00192479],[0.         0.         0.00231295 ... 0.         0.         0.00240327],[0. 0. 0. ... 0. 0. 0.],[0.00040887 0.         0.00168345 ... 0.000821   0.         0.00217207],[0.00053991 0.         0.00301319 ... 0.00103914 0.         0.        ],[0.00113416 0.         0.00170684 ... 0.00131753 0.         0.00237176],[0.00137018 0.00088383 0.00141693 ... 0.00156814 0.00024774 0.00101141],[0.         0.00043595 0.00326186 ... 0.00102453 0.         0.00135993],[0.00031066 0.         0.00113906 ... 0.00157055 0.0004385  0.00062392],[0.00074608 0.00051295 0.0009792  ... 0.00166304 0.         0.00020942],[0.         0.00081052 0.00133478 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00168091 0.         0.        ],[0.         0.         0.         ... 0.         0.00174982 0.        ],[0.         0.00106966 0.00133758 ... 0.00190197 0.         0.        ],[0.         0.00149254 0.         ... 0.00117533 0.         0.        ],[0.        0.        0.        ... 0.0018647 0.        0.       ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00060691 0.         ... 0.00183588 0.         0.        ],[0.         0.00162567 0.00177278 ... 0.00108968 0.         0.00144309],[0.         0.         0.         ... 0.00141658 0.         0.        ],[0.         0.00053716 0.00072944 ... 0.         0.00130078 0.        ],[0.         0.0008034  0.00051907 ... 0.         0.0011412  0.00094859]
8,[0.         0.00226901 0.         ... 0.         0.00147441 0.        ],[0.00168507 0.00483112 0.00127755 ... 0.         0.         0.        ],[0.         0.00178062 0.         ... 0.         0.         0.        ],[0.         0.00246952 0.         ... 0.         0.         0.00282557],[0.         0.         0.00121051 ... 0.00086767 0.         0.        ],[0.         0.         0.00269158 ... 0.         0.         0.00142435],[0.00132503 0.         0.         ... 0.00221807 0.         0.        ],[0.00066281 0.00099669 0.         ... 0.0003227  0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00345609],[0.00134814 0.         0.00132599 ... 0.         0.00033185 0.00019672],[0.         0.         0.         ... 0.00119369 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00286525 0.         ... 0.         0.         0.        ],[0.00034137 0.         0.00179757 ... 0.00275687 0.00067769 0.        ],[0.         0.         0.         ... 0.00037383 0.         0.00115377],[0.         0.00030312 0.         ... 0.00065679 0.         0.        ],[0.         0.         0.00324173 ... 0.         0.00115582 0.        ],[0.         0.         0.00101954 ... 0.         0.         0.        ],[0.00083897 0.         0.000449   ... 0.         0.00189586 0.00055879],[0. 0. 0. ... 0. 0. 0.],[0.         0.00023513 0.00062008 ... 0.         0.         0.00104215],[0.         0.         0.00069636 ... 0.         0.         0.00089664],[0.         0.         0.00117541 ... 0.         0.         0.        ],[0.         0.00027909 0.00180456 ... 0.00061221 0.00102787 0.00072018],[0.         0.00082365 0.         ... 0.         0.         0.00465532],[0.         0.         0.         ... 0.         0.         0.00376297],[0.00164479 0.         0.00061204 ... 0.         0.         0.        ],[0.         0.00105158 0.00073017 ... 0.         0.         0.0009888 ],[0.         0.         0.00146152 ... 0.         0.         0.        ],[0.00049528 0.         0.00109289 ... 0.         0.         0.00121404],[0.         0.         0.         ... 0.00352942 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
5,[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00211603 ... 0.         0.00033581 0.00129905],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00054287 0.00179111 0.0008027 ],[0.         0.         0.00517204 ... 0.         0.         0.        ],[0.0004178  0.         0.00186676 ... 0.         0.         0.        ],[0.00028392 0.00174726 0.         ... 0.         0.00067536 0.0006935 ],[0.0004655  0.         0.00028367 ... 0.0005712  0.         0.        ],[0.00044706 0.00049074 0.00028373 ... 0.         0.         0.0017824 ],[0.00035229 0.         0.00021174 ... 0.         0.00055987 0.00075901],[0.         0.00127274 0.         ... 0.         0.         0.        ],[0.         0.         0.00148303 ... 0.00064717 0.         0.        ],[0.00153865 0.         0.         ... 0.         0.0005407  0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00088929 0.         ... 0.         0.00078963 0.        ],[0.         0.         0.00071384 ... 0.00055011 0.00144349 0.        ],[0.         0.         0.00306036 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00273563 ... 0.         0.00129008 0.        ],[0.         0.         0.00118248 ... 0.         0.         0.        ],[0.00496306 0.         0.00334125 ... 0.         0.         0.        ],[0.         0.         0.00108188 ... 0.00149444 0.00136551 0.        ],[0.         0.00667512 0.         ... 0.         0.         0.00562357],[0.         0.00272829 0.00109122 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00167696 0.         0.00127354 ... 0.00128739 0.00122636 0.00061507],[0.         0.0004964  0.00038138 ... 0.00082226 0.         0.00104964],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00294109 ... 0.00134594 0.         0.        ],[0.         0.         0.00295005 ... 0.         0.00101314 0.        ],[0.         0.         0.00394929 ... 0.00677749 0.         0.00204461],[0.00075528 0.         0.00086108 ... 0.         0.00078097 0.        ],[0.00079707 0.         0.         ... 0.         0.         0.        ],[0.         0.00125221 0.00170892 ... 0.00127841 0.00104044 0.        ],[0.0008287  0.         0.00026454 ... 0.         0.         0.        ]
6,[0.         0.         0.         ... 0.         0.0010808  0.00226723],[0.         0.00087291 0.         ... 0.         0.         0.        ],[0.         0.00022088 0.00037844 ... 0.00084783 0.00086077 0.00119288],[0.         0.00138755 0.00107051 ... 0.0008713  0.         0.00130894],[0.         0.         0.00086945 ... 0.         0.         0.00307051],[0.         0.00151562 0.00114043 ... 0.         0.         0.00099905],[0.         0.00067106 0.         ... 0.00261641 0.         0.        ],[0.         0.         0.         ... 0.00246209 0.         0.0009334 ],[0.         0.00111913 0.00156718 ... 0.00231455 0.         0.        ],[0.         0.00213808 0.00120762 ... 0.         0.         0.        ],[0.00144338 0.         0.00248805 ... 0.00078465 0.         0.00192056],[0.00074409 0.00110402 0.00215078 ... 0.00063714 0.00025465 0.        ],[0.         0.         0.00183334 ... 0.00070131 0.         0.        ],[0.         0.00135152 0.         ... 0.         0.         0.        ],[0.00057984 0.         0.         ... 0.         0.00047491 0.00046528],[0.         0.         0.0022182  ... 0.00576745 0.         0.        ],[0.         0.00064523 0.         ... 0.00109714 0.         0.        ],[0.         0.00032713 0.00119176 ... 0.00088327 0.         0.0005885 ],[0.         0.00218694 0.00306965 ... 0.         0.         0.00114453],[0.         0.00025552 0.00385165 ... 0.00078597 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00220597 0.00029786 ... 0.00038004 0.         0.00078285],[0.         0.00221062 0.00161374 ... 0.00115172 0.         0.00079165],[0.         0.         0.00292583 ... 0.00092862 0.         0.        ],[0.00070158 0.00147911 0.         ... 0.00157404 0.         0.        ],[0.0014954  0.         0.00179942 ... 0.00085811 0.         0.        ],[0.         0.         0.00257207 ... 0.00061714 0.         0.00058122],[0.         0.         0.00061222 ... 0.00108102 0.         0.0011314 ],[0.00278467 0.         0.         ... 0.         0.         0.        ],[0.00043839 0.         0.00113209 ... 0.00130107 0.         0.        ],[0.         0.         0.003165   ... 0.         0.         0.00021202],[0.         0.00158394 0.         ... 0.00524473 0.         0.        ],[0.00056938 0.         0.00084989 ... 0.00041671 0.         0.00240567],[0.00056417 0.00061017 0.00223254 ... 0.         0.         0.00075381],[0.00069141 0.00144635 0.00241682 ... 0.00308871 0.00039021 0.00213176]
9,[0.00036251 0.         0.         ... 0.00148074 0.00040335 0.00049632],[0.         0.         0.0030981  ... 0.         0.000945   0.00076593],[0.         0.         0.         ... 0.         0.00065793 0.00259195],[0.00063661 0.         0.         ... 0.         0.00042078 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00135564 0.00038153 0.00150025 ... 0.         0.         0.0006569 ],[0.         0.00248675 0.         ... 0.         0.00323148 0.        ],[0.         0.00129457 0.00141172 ... 0.00084339 0.00219282 0.        ],[0.00089857 0.         0.         ... 0.         0.00621179 0.        ],[0.         0.         0.         ... 0.         0.00046177 0.        ],[0.00084486 0.         0.         ... 0.00043037 0.00162879 0.        ],[0.00044369 0.         0.         ... 0.00142719 0.         0.        ],[0.00088531 0.         0.         ... 0.         0.         0.        ],[0.00130258 0.00019758 0.         ... 0.00145006 0.00152425 0.0007134 ],[0.00027079 0.         0.00040274 ... 0.         0.00335775 0.00228684],[0.         0.         0.         ... 0.00019516 0.00209733 0.00083137],[0. 0. 0. ... 0. 0. 0.],[0.00076071 0.00166633 0.         ... 0.         0.         0.        ],[0.00033315 0.         0.00226558 ... 0.         0.00174323 0.        ],[0.        0.        0.        ... 0.0013391 0.        0.       ],[0.         0.         0.00437356 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00048176 0.00136454 0.00201473 ... 0.         0.00135919 0.00061639],[0.00106512 0.         0.00391782 ... 0.00025744 0.         0.        ],[0.         0.         0.00186737 ... 0.00052977 0.00036525 0.00120313],[0.00121764 0.00063523 0.00174321 ... 0.00407603 0.         0.00086096],[0.         0.         0.00797545 ... 0.         0.         0.        ],[0.00058798 0.         0.00295661 ... 0.00206573 0.         0.00112631],[0.         0.00062288 0.00354065 ... 0.00189955 0.         0.        ],[0.         0.         0.00307148 ... 0.00143615 0.         0.        ],[0.         0.         0.00493047 ... 0.00098967 0.         0.        ],[0.00038513 0.         0.0032418  ... 0.00063739 0.         0.00231239],[0.         0.         0.00564854 ... 0.00046676 0.00180653 0.        ],[0.         0.00053676 0.00431733 ... 0.00117902 0.00216917 0.        ],[0.         0.         0.00596283 ... 0.00311202 0.         0.00242525]
7,[0.00124136 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00175195],[0.        0.        0.        ... 0.        0.0004138 0.       ],[0.00292233 0.         0.         ... 0.         0.00191648 0.        ],[0.         0.00118336 0.00026374 ... 0.         0.         0.        ],[0.00110737 0.         0.         ... 0.         0.         0.        ],[0.00143504 0.         0.00106663 ... 0.         0.         0.        ],[0.         0.         0.00275313 ... 0.         0.00188456 0.        ],[0.0004506  0.00062565 0.00291615 ... 0.00027714 0.0009582  0.0012191 ],[0.         0.00080518 0.0027397  ... 0.00174649 0.00247326 0.        ],[0.00142102 0.00187389 0.001814   ... 0.00106504 0.00098561 0.00129568],[0.00070049 0.00224523 0.0030821  ... 0.         0.         0.        ],[0.0012896  0.00040992 0.00223439 ... 0.00423631 0.         0.        ],[0.         0.         0.00088283 ... 0.         0.         0.        ],[0.         0.         0.00433757 ... 0.         0.         0.        ],[0.         0.         0.00256228 ... 0.00156694 0.         0.00066933],[0.         0.         0.00669351 ... 0.00281242 0.         0.        ],[0.         0.         0.00259478 ... 0.00068241 0.00137508 0.        ],[0.         0.00148035 0.00244198 ... 0.         0.         0.        ],[0.         0.         0.00427403 ... 0.         0.         0.        ],[0.00121924 0.00117567 0.         ... 0.00056551 0.         0.        ],[0.         0.00045834 0.00176081 ... 0.         0.         0.        ],[0.00138628 0.0012167  0.0028289  ... 0.         0.         0.0006045 ],[0.         0.         0.00138076 ... 0.         0.         0.00065271],[0.         0.         0.00077215 ... 0.         0.         0.        ],[0.         0.         0.00429255 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00074342 0.         ... 0.00067971 0.         0.        ],[0.         0.         0.00283641 ... 0.00047839 0.         0.        ],[0.00148825 0.         0.00272775 ... 0.00115539 0.00311433 0.00032668],[0.00246014 0.00134355 0.00331759 ... 0.00174007 0.         0.        ],[0.00095205 0.         0.00132891 ... 0.00075706 0.         0.00075912],[0.00131527 0.         0.00118766 ... 0.         0.         0.        ],[0.00085015 0.00089714 0.00160019 ... 0.00161292 0.         0.00070209],[0.         0.         0.00237109 ... 0.         0.         0.        ]
