2,0.5714285714285714,0.6961325966850829,0.0,0.39534883720930236,0.36753868248073945,0.7875,0.0,0.3617021276595745,0.38306737588652484,0.6237623762376238,0,0.4358974358974359,0.35321993737835317,"[63, 8, 30]","[0, 0, 0]","[17, 5, 17]"
4,0.5571428571428572,0.6923076923076923,0.0,0.3529411764705882,0.35247324387619616,0.7875,0.0,0.3191489361702128,0.36888297872340425,0.6176470588235294,0,0.39473684210526316,0.3374613003095976,"[63, 7, 32]","[0, 0, 0]","[17, 6, 15]"
1,0.5857142857142857,0.71875,0.0,0.34666666666666673,0.36964972496119786,0.8625,0.0,0.2765957446808511,0.37969858156028374,0.6160714285714286,0,0.4642857142857143,0.3601190476190476,"[69, 9, 34]","[0, 0, 0]","[11, 4, 13]"
0,0.6214285714285714,0.7474747474747475,0.0,0.38235294117647056,0.4078250729047055,0.925,0.0,0.2765957446808511,0.40053191489361706,0.6271186440677966,0.0,0.6190476190476191,0.4153887543718053,"[74, 10, 34]","[1, 0, 0]","[5, 3, 13]"
3,0.6,0.723404255319149,0.0,0.4050632911392405,0.3864103391471223,0.85,0.0,0.3404255319148936,0.39680851063829786,0.6296296296296297,0,0.5,0.37654320987654327,"[68, 9, 31]","[0, 0, 0]","[12, 4, 16]"
8,0.5714285714285714,0.7021276595744681,0.0,0.3544303797468354,0.36149063955835586,0.825,0.0,0.2978723404255319,0.37429078014184397,0.6111111111111112,0,0.4375,0.34953703703703703,"[66, 9, 33]","[0, 0, 0]","[14, 4, 14]"
7,0.5571428571428572,0.6881720430107526,0.0,0.345679012345679,0.35170051152781223,0.8,0.0,0.2978723404255319,0.36595744680851067,0.6037735849056604,0,0.4117647058823529,0.3385127635960044,"[64, 9, 33]","[0, 0, 0]","[16, 4, 14]"
5,0.5642857142857143,0.6989247311827956,0.0,0.345679012345679,0.3553215229582568,0.8125,0.0,0.2978723404255319,0.3701241134751773,0.6132075471698113,0,0.4117647058823529,0.3416574176840547,"[65, 8, 33]","[0, 0, 0]","[15, 5, 14]"
9,0.6,0.7253886010362695,0.0,0.37837837837837834,0.3850555439664756,0.875,0.0,0.2978723404255319,0.39095744680851063,0.6194690265486725,0,0.5185185185185185,0.37932918168906365,"[70, 10, 33]","[0, 0, 0]","[10, 3, 14]"
6,0.5928571428571429,0.708994708994709,0.0,0.41558441558441556,0.38759217615391167,0.8375,0.0,0.3404255319148936,0.3926418439716312,0.6146788990825688,0.0,0.5333333333333333,0.38267074413863406,"[67, 11, 31]","[1, 0, 0]","[12, 2, 16]"
datasize,140

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
2,[0.000429   0.0003773  0.00145336 ... 0.00097008 0.00349524 0.        ],[0.         0.         0.         ... 0.00201236 0.00374444 0.        ],[0.         0.         0.00116968 ... 0.         0.00704304 0.        ],[0.         0.         0.00139326 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00197163 0.00287062 0.        ],[0.         0.         0.00119007 ... 0.00133017 0.00298131 0.        ],[0.         0.         0.         ... 0.0012971  0.00355469 0.        ],[0.         0.00327077 0.0009664  ... 0.         0.00072497 0.0010159 ],[0. 0. 0. ... 0. 0. 0.],[0.        0.        0.        ... 0.0014754 0.        0.       ],[0.         0.         0.00063889 ... 0.00301839 0.         0.00086673],[0.         0.00358718 0.         ... 0.         0.00036316 0.        ],[0.         0.         0.00028378 ... 0.00132054 0.         0.00053499],[0.00015646 0.00364415 0.00100005 ... 0.00040463 0.00021422 0.00118399],[0.00089919 0.00173115 0.00022574 ... 0.0011761  0.00040658 0.00079604],[0.00064514 0.         0.00101626 ... 0.         0.         0.00267163],[0.00039817 0.00080416 0.00119582 ... 0.00030275 0.00083312 0.00090001],[0.         0.         0.00166398 ... 0.00030335 0.0005478  0.00132466],[0.00106    0.         0.00168274 ... 0.         0.00053337 0.        ],[0.00131768 0.         0.00184546 ... 0.         0.00192043 0.00043721],[0.         0.         0.00140694 ... 0.0011015  0.00064809 0.00018463],[0.00069189 0.         0.00158416 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.0010819  0.00182092],[0.00102109 0.         0.00455744 ... 0.00138203 0.00063646 0.        ],[0.00079726 0.         0.         ... 0.00070284 0.         0.00220494],[0.00142908 0.         0.00107209 ... 0.         0.         0.00266611],[0.         0.         0.00117252 ... 0.         0.00042993 0.        ],[0.0004297  0.         0.00020209 ... 0.         0.         0.00177741],[0.00144614 0.         0.00155336 ... 0.00365591 0.         0.00201016],[0.00159682 0.         0.00022982 ... 0.00059521 0.00051559 0.00125902],[0.         0.00058536 0.         ... 0.00077863 0.         0.00115908],[0.         0.00120387 0.00378708 ... 0.00043321 0.         0.00234658],[0.         0.         0.         ... 0.         0.         0.00218582],[0.         0.         0.00097524 ... 0.00333581 0.         0.00191641],[0.00097364 0.         0.         ... 0.         0.         0.00143172]
4,[0.         0.00074578 0.         ... 0.00072504 0.         0.        ],[0.         0.00684192 0.         ... 0.00133812 0.         0.        ],[0.         0.         0.00301115 ... 0.00336016 0.00566127 0.00127365],[0.         0.00053375 0.00303173 ... 0.00242206 0.         0.00021986],[0.00023345 0.0063315  0.         ... 0.00124337 0.         0.00109255],[0.         0.         0.         ... 0.00090341 0.00163678 0.00163178],[0.         0.00099409 0.         ... 0.00145054 0.         0.00134261],[0.00015835 0.         0.00305847 ... 0.         0.         0.00140886],[0.         0.00369675 0.00212518 ... 0.         0.00085079 0.00020722],[0.         0.00447021 0.00359098 ... 0.00101783 0.         0.00262186],[0.00036986 0.00265328 0.0035588  ... 0.00242674 0.         0.        ],[0.         0.00305722 0.00221926 ... 0.00148265 0.         0.0002186 ],[0.         0.00215352 0.00312064 ... 0.00150173 0.         0.        ],[0.         0.00213481 0.00049366 ... 0.00051018 0.         0.00263706],[0. 0. 0. ... 0. 0. 0.],[0.         0.00408935 0.         ... 0.         0.         0.        ],[0.         0.00267341 0.         ... 0.00330364 0.         0.        ],[0.         0.0032646  0.         ... 0.00105513 0.         0.        ],[0.         0.         0.00122811 ... 0.00744261 0.         0.00079951],[0.         0.00225616 0.00058423 ... 0.00070402 0.0030281  0.00168902],[0.         0.         0.00089419 ... 0.00070045 0.00212263 0.00046954],[0.         0.         0.00038656 ... 0.00669182 0.00316023 0.        ],[0.00114686 0.         0.00193773 ... 0.00374279 0.00351264 0.        ],[0.00108195 0.00226541 0.00300597 ... 0.00126616 0.00362914 0.        ],[0.0002569  0.00073024 0.00045377 ... 0.         0.00282549 0.00026359],[0.00020459 0.         0.00314123 ... 0.00247443 0.00302997 0.        ],[0.0005056  0.00185461 0.00297574 ... 0.0020289  0.00221066 0.        ],[0.         0.00778274 0.00475479 ... 0.00706078 0.         0.        ],[0.         0.00714551 0.00343412 ... 0.         0.00264381 0.00125664],[0.         0.         0.00201985 ... 0.         0.         0.        ],[0.         0.         0.00191192 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00067369 0.00020097 0.00440914 ... 0.         0.0029     0.        ],[0.         0.00291452 0.00032158 ... 0.         0.00258114 0.        ],[0.00204966 0.         0.00224341 ... 0.00293457 0.         0.00583222]
1,[0.0014147  0.00037739 0.         ... 0.00081896 0.         0.00036725],[0.00243053 0.00111067 0.00185422 ... 0.00280645 0.         0.00072883],[0.00060046 0.         0.         ... 0.00088744 0.00739345 0.00017106],[0.00130518 0.00233521 0.00121624 ... 0.         0.00218059 0.00095703],[0.00217887 0.         0.00389596 ... 0.         0.00442163 0.        ],[0.         0.00038938 0.00263066 ... 0.00337646 0.         0.00140633],[0.        0.        0.0013262 ... 0.0014372 0.        0.       ],[0.         0.         0.00414189 ... 0.00384144 0.00316923 0.        ],[0.00057531 0.         0.00044482 ... 0.         0.00237008 0.00019829],[0.00427257 0.0005999  0.         ... 0.         0.00195025 0.        ],[0.         0.         0.0004887  ... 0.00499029 0.         0.        ],[0.         0.         0.         ... 0.00142191 0.00325377 0.        ],[0.         0.         0.         ... 0.00146093 0.00176859 0.        ],[0.         0.         0.         ... 0.00670151 0.         0.        ],[0.00101064 0.         0.00022658 ... 0.00152352 0.         0.        ],[0.         0.         0.         ... 0.00147746 0.         0.        ],[0.00287524 0.00024614 0.00093148 ... 0.00327003 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00028846 0.         0.00286151],[0.00047922 0.         0.         ... 0.00076291 0.00132427 0.00187136],[0.00124658 0.         0.00128069 ... 0.00031769 0.00171129 0.00198039],[0.         0.0003126  0.00144421 ... 0.00027882 0.         0.00317181],[0.         0.         0.00394252 ... 0.         0.00165366 0.00262047],[0.         0.         0.00071614 ... 0.00279284 0.00113682 0.00289141],[0.00080373 0.         0.         ... 0.         0.         0.00392834],[0.         0.00027311 0.         ... 0.         0.00186116 0.        ],[0.00272511 0.         0.         ... 0.00378412 0.         0.        ],[0.00068236 0.00054622 0.         ... 0.00068353 0.         0.        ],[0.00165022 0.         0.         ... 0.         0.         0.00149127],[0.00149418 0.         0.00169191 ... 0.         0.00050359 0.00518271],[0.         0.         0.         ... 0.         0.00066357 0.        ],[0.00249001 0.00189065 0.         ... 0.00378171 0.         0.00106509],[0.00167978 0.00234423 0.         ... 0.00079674 0.         0.        ],[0.00250768 0.00038264 0.         ... 0.00068552 0.         0.        ],[0.         0.         0.00232593 ... 0.0006465  0.         0.00065996]
0,[0.00114634 0.         0.         ... 0.         0.         0.        ],[0.00029721 0.00167082 0.00156332 ... 0.00091224 0.         0.        ],[0.         0.00037076 0.00183282 ... 0.00061128 0.         0.0007473 ],[0.         0.         0.         ... 0.00386399 0.         0.        ],[0.         0.         0.00096924 ... 0.00380406 0.         0.        ],[0.         0.         0.         ... 0.00269961 0.         0.        ],[0.         0.00030047 0.         ... 0.00118511 0.00199753 0.        ],[0.00019016 0.00039164 0.         ... 0.         0.00230112 0.00031586],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.0005345 0.        0.0003438 ... 0.        0.        0.       ],[0.00035476 0.         0.00166378 ... 0.00100759 0.         0.00014526],[0.         0.         0.         ... 0.00267764 0.00146751 0.00036918],[0.         0.         0.         ... 0.         0.00134199 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.0044226  0.00071321 0.        ],[0.00090372 0.00306963 0.00058858 ... 0.         0.         0.        ],[0.         0.         0.00073332 ... 0.00119348 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00072217 0.         0.00336751 ... 0.00273409 0.00033779 0.        ],[0.00103439 0.         0.00067872 ... 0.00540154 0.00017439 0.00030536],[0.00120135 0.00104816 0.         ... 0.002665   0.00276873 0.00070877],[0.         0.         0.         ... 0.00516647 0.         0.        ],[0.00044518 0.         0.         ... 0.00144123 0.         0.        ],[0.00112525 0.00301434 0.         ... 0.00236852 0.00353727 0.0003127 ],[0.         0.00218301 0.         ... 0.         0.0027619  0.00086783],[0. 0. 0. ... 0. 0. 0.],[0.         0.00058065 0.         ... 0.00148039 0.00298465 0.        ],[0.         0.         0.00180963 ... 0.00138556 0.00097913 0.        ],[0.0030292  0.         0.00026896 ... 0.         0.         0.        ],[0.00068027 0.         0.         ... 0.00273394 0.         0.        ],[0.         0.         0.         ... 0.00377013 0.00042466 0.        ],[0.0022326  0.00014826 0.         ... 0.00211548 0.00037104 0.        ],[0.00279202 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00171353 ... 0.00069276 0.00074282 0.0018692 ]
3,[0.0014456  0.00281906 0.00117259 ... 0.00187062 0.         0.00016841],[0.00154269 0.00175716 0.         ... 0.00045807 0.         0.00127785],[0.         0.00202019 0.         ... 0.00108756 0.00082308 0.00032473],[0.0009965  0.         0.         ... 0.00294824 0.00070459 0.        ],[0.         0.         0.         ... 0.00046979 0.         0.        ],[0.         0.         0.00017505 ... 0.00117072 0.00054758 0.00058957],[0.00083879 0.00016139 0.00173658 ... 0.         0.         0.        ],[0.         0.0003683  0.00054173 ... 0.00028715 0.         0.        ],[0.         0.         0.00219945 ... 0.         0.         0.        ],[0.00035868 0.         0.         ... 0.00301609 0.         0.00071409],[0.         0.         0.         ... 0.00505989 0.         0.        ],[0.         0.00169943 0.00254707 ... 0.00217607 0.         0.        ],[0.00110878 0.00188256 0.0017509  ... 0.00215048 0.         0.        ],[0.         0.         0.00099598 ... 0.00137191 0.         0.        ],[0.00092698 0.         0.         ... 0.         0.         0.00077788],[0.00341847 0.00117309 0.         ... 0.         0.         0.00075599],[0.         0.00299214 0.         ... 0.00235308 0.         0.00051014],[0.0001685  0.0013801  0.00034903 ... 0.         0.00198357 0.        ],[0.00126387 0.         0.00092443 ... 0.         0.         0.0004797 ],[0.00064694 0.00194804 0.         ... 0.         0.         0.        ],[0.         0.00151301 0.00158383 ... 0.00124893 0.00250758 0.00043709],[0.00061352 0.00100197 0.00022058 ... 0.         0.         0.0033807 ],[0.00059709 0.00190316 0.00154897 ... 0.         0.         0.00131283],[0.00155976 0.         0.00065644 ... 0.00060543 0.         0.00186545],[0.00028628 0.         0.         ... 0.002719   0.00031901 0.        ],[0.00164676 0.0011341  0.00069274 ... 0.00183287 0.         0.        ],[0.         0.         0.         ... 0.00279891 0.         0.        ],[0.00081718 0.0020181  0.         ... 0.00100119 0.         0.00185075],[0.         0.00084727 0.         ... 0.0023403  0.         0.        ],[0.         0.         0.00054008 ... 0.00235952 0.         0.00254997],[0.         0.         0.0014786  ... 0.00270076 0.         0.00312393],[0.         0.00149181 0.         ... 0.0028633  0.         0.00245597],[0.00025613 0.00133416 0.         ... 0.00163671 0.00123117 0.00213076],[0.         0.00149181 0.         ... 0.00190348 0.         0.00218096],[0.         0.         0.00036046 ... 0.00200084 0.00145021 0.00168233]
8,[0.00030806 0.         0.00042729 ... 0.         0.00054903 0.00066848],[0.00103223 0.00057855 0.00043278 ... 0.         0.         0.00329582],[0.0011174  0.         0.00051842 ... 0.         0.00316953 0.        ],[0.         0.00044256 0.00148538 ... 0.         0.         0.        ],[0.         0.00030188 0.0011297  ... 0.00120927 0.00230558 0.00138775],[0.         0.         0.         ... 0.         0.00142056 0.00102203],[0.00025589 0.00077942 0.00108837 ... 0.00107205 0.         0.        ],[0.00050098 0.00124913 0.00094482 ... 0.00371023 0.         0.        ],[0.00230001 0.         0.00049734 ... 0.00149666 0.         0.00218498],[0.         0.00061933 0.00111502 ... 0.00154643 0.00174686 0.        ],[0.00074578 0.         0.         ... 0.         0.00359226 0.        ],[0.         0.00089193 0.         ... 0.         0.00421611 0.        ],[0.         0.         0.         ... 0.         0.         0.00072621],[0.00123299 0.         0.0009156  ... 0.         0.         0.        ],[0.         0.         0.00135724 ... 0.         0.00214669 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00090355 0.00288198 0.         ... 0.         0.         0.        ],[0.         0.         0.00036254 ... 0.         0.         0.00086288],[0.       0.       0.       ... 0.002527 0.       0.      ],[0.         0.00039985 0.         ... 0.00095969 0.00070661 0.        ],[0.         0.         0.00115595 ... 0.         0.         0.        ],[0.00127947 0.         0.0002899  ... 0.00117692 0.00071337 0.00121911],[0.00135977 0.         0.         ... 0.00132486 0.         0.00089245],[0.00041593 0.00356722 0.         ... 0.00130952 0.00519396 0.00103144],[0.00285837 0.00071447 0.         ... 0.00206784 0.         0.        ],[0.0012211  0.00165587 0.         ... 0.00144566 0.00103119 0.00158349],[0.         0.00031638 0.00218421 ... 0.00204906 0.00055791 0.00017194],[0.         0.         0.         ... 0.00219927 0.         0.        ],[0.00222245 0.00034398 0.         ... 0.00131298 0.00077585 0.        ],[0.00169886 0.         0.0019714  ... 0.00200456 0.0008196  0.        ],[0.00118413 0.         0.00234564 ... 0.00148029 0.00091961 0.        ],[0.00199652 0.         0.00193192 ... 0.00052276 0.00093452 0.        ],[0.00050613 0.         0.0008759  ... 0.         0.         0.        ],[0.00089774 0.00016671 0.00309464 ... 0.         0.00070089 0.        ],[0.         0.         0.00222046 ... 0.         0.         0.        ]
7,[0.         0.0019885  0.00107308 ... 0.         0.00030138 0.        ],[0.00064273 0.00216977 0.         ... 0.         0.         0.        ],[0.         0.         0.00095923 ... 0.         0.         0.        ],[0.0008302  0.00054057 0.         ... 0.00310185 0.00037188 0.        ],[0.00083178 0.00073912 0.00099052 ... 0.00224904 0.         0.        ],[0.         0.00067619 0.00111171 ... 0.00180068 0.         0.        ],[0.         0.00092609 0.00351791 ... 0.00325944 0.         0.00118678],[0.00169788 0.00097927 0.00287123 ... 0.00302108 0.         0.00099252],[0.00061618 0.00215574 0.00149534 ... 0.00031287 0.         0.002015  ],[0.00039401 0.00105445 0.0027222  ... 0.00493636 0.         0.        ],[0.         0.         0.00050047 ... 0.         0.00057394 0.00061932],[0.00046846 0.         0.00323499 ... 0.         0.00037432 0.00017947],[0.00122225 0.         0.00270833 ... 0.00223294 0.00191924 0.00036458],[0.         0.         0.00092859 ... 0.00113619 0.00053754 0.        ],[0.00108075 0.00158535 0.00427476 ... 0.00184652 0.00067534 0.00019086],[0.00036123 0.         0.00214743 ... 0.00321377 0.         0.        ],[0.00066123 0.00128184 0.00246376 ... 0.001388   0.00130765 0.        ],[0.00138185 0.00128184 0.00253862 ... 0.0013689  0.         0.        ],[0.         0.         0.         ... 0.         0.00137508 0.00232705],[0.00125941 0.         0.         ... 0.00362459 0.         0.        ],[0.         0.         0.         ... 0.00480848 0.00042683 0.        ],[0.00080826 0.         0.         ... 0.00482127 0.         0.        ],[0.         0.00217929 0.         ... 0.0048694  0.00086522 0.        ],[0.00033175 0.00249106 0.0008789  ... 0.00219483 0.00055614 0.00054241],[0.         0.         0.         ... 0.         0.         0.00079929],[0.         0.         0.00073299 ... 0.00024011 0.00181129 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00034094 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00108319 0.        ],[0.00169161 0.         0.         ... 0.         0.         0.        ],[0.00287889 0.00197953 0.00080089 ... 0.         0.00138505 0.        ],[0.         0.         0.00161821 ... 0.00111635 0.         0.00057014],[0.00158794 0.00168993 0.00092976 ... 0.         0.00133065 0.        ],[0.         0.00488317 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00068488 0.        ]
5,[0.         0.00405821 0.         ... 0.00209914 0.         0.00033265],[0.00067015 0.0012951  0.00400378 ... 0.         0.00220021 0.00093091],[0.         0.00014446 0.         ... 0.         0.00220898 0.        ],[0.         0.         0.         ... 0.00038347 0.0012631  0.00083781],[0.00084071 0.         0.00292719 ... 0.00120558 0.         0.        ],[0.         0.         0.         ... 0.00344917 0.         0.        ],[0.00561954 0.         0.         ... 0.0057343  0.         0.        ],[0.         0.0002187  0.00136708 ... 0.00188099 0.         0.00078217],[0.00088304 0.00290213 0.00116902 ... 0.         0.00132487 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00193289 0.00065484 0.00186513 ... 0.00138185 0.         0.00109937],[0.00077115 0.         0.         ... 0.0014518  0.00087613 0.00122918],[0.00032652 0.         0.00263604 ... 0.00312297 0.00325785 0.00291711],[0.00305176 0.00057134 0.         ... 0.00364036 0.00086272 0.        ],[0.00183525 0.00129209 0.00137364 ... 0.         0.00168471 0.00041728],[0.00138552 0.         0.         ... 0.         0.         0.00137225],[0.00092287 0.00314152 0.         ... 0.         0.         0.        ],[0.00221889 0.         0.         ... 0.00417679 0.         0.        ],[0.         0.00097497 0.00043925 ... 0.00303365 0.00214691 0.        ],[0.0008782  0.00216692 0.0006325  ... 0.00184159 0.         0.        ],[0.00163286 0.00087497 0.         ... 0.00151704 0.00079111 0.00190261],[0.00038543 0.0033208  0.00142886 ... 0.00219953 0.         0.        ],[0.         0.00476472 0.00268709 ... 0.00171475 0.00266826 0.        ],[0.00065872 0.00307209 0.         ... 0.00097343 0.00337024 0.00126568],[0.00092797 0.00396221 0.00047437 ... 0.00140073 0.00268423 0.0012588 ],[0.00052609 0.00478304 0.00058591 ... 0.00306752 0.00231676 0.        ],[0.00195371 0.00403334 0.00026903 ... 0.         0.00295431 0.00210984],[0.00154074 0.00346627 0.00116172 ... 0.0005085  0.00239857 0.00147541],[0.00050965 0.00379844 0.00228737 ... 0.00108621 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00076239 0.0029559  0.00215387 ... 0.         0.00091853 0.        ],[0.         0.00407062 0.         ... 0.00253216 0.         0.        ],[0.00058624 0.00593409 0.00195432 ... 0.00081346 0.00201995 0.00147634],[0.00120775 0.00267843 0.00124462 ... 0.00057162 0.00211868 0.        ],[0.00095684 0.00642913 0.00094758 ... 0.00207722 0.00163178 0.        ]
9,[0.00049963 0.00169194 0.         ... 0.00218679 0.         0.00241019],[0.         0.         0.00403318 ... 0.00428447 0.         0.        ],[0.00044283 0.00452314 0.         ... 0.00120724 0.00057965 0.00145161],[0.         0.         0.         ... 0.00226801 0.         0.        ],[0.         0.         0.         ... 0.00294363 0.         0.        ],[0.00216323 0.00187341 0.         ... 0.00182797 0.         0.        ],[0.         0.         0.         ... 0.00111339 0.         0.        ],[0.00058694 0.         0.         ... 0.00279239 0.00159234 0.00032606],[0.         0.         0.00097478 ... 0.00070209 0.00154709 0.00041346],[0.         0.00115343 0.00056831 ... 0.00333685 0.00026374 0.        ],[0.00032386 0.         0.         ... 0.         0.00109243 0.        ],[0.         0.         0.         ... 0.         0.00034708 0.        ],[0.         0.00117922 0.00082505 ... 0.00161772 0.0026562  0.        ],[0.         0.00021101 0.         ... 0.00298001 0.00141421 0.        ],[0.         0.0013826  0.         ... 0.00065581 0.         0.        ],[0.         0.00209038 0.         ... 0.00203841 0.         0.        ],[0.         0.00035957 0.00260843 ... 0.00036269 0.         0.        ],[0.00208667 0.         0.         ... 0.00299541 0.00053905 0.        ],[0.         0.         0.         ... 0.         0.         0.00275286],[0.         0.         0.00075392 ... 0.00378013 0.         0.        ],[0.00113705 0.         0.         ... 0.00037802 0.00166995 0.00049445],[0.0023512  0.00178082 0.         ... 0.00039974 0.         0.        ],[0.00037726 0.         0.         ... 0.00099562 0.00300426 0.00201756],[0.         0.         0.         ... 0.00302481 0.00391496 0.        ],[0.0015767  0.00225682 0.         ... 0.         0.00237557 0.00036532],[0.         0.00409231 0.00052539 ... 0.00027252 0.00157956 0.        ],[0.         0.00184979 0.         ... 0.00203571 0.00187736 0.        ],[0.00057825 0.00199928 0.         ... 0.         0.00213179 0.        ],[0.00109205 0.         0.00074321 ... 0.00154467 0.00184844 0.        ],[0.00050487 0.         0.00068675 ... 0.00276477 0.00179617 0.        ],[0.00052129 0.00027525 0.00078041 ... 0.00377954 0.00180293 0.        ],[0.00076068 0.         0.         ... 0.00388877 0.00266424 0.        ],[0.00050712 0.         0.         ... 0.00310558 0.00205827 0.        ],[0.00037702 0.00052653 0.00046372 ... 0.         0.00148198 0.00027819],[0.00124679 0.         0.         ... 0.         0.         0.00087593]
6,[0.00019347 0.00256524 0.         ... 0.00555697 0.         0.        ],[0.00086263 0.00139812 0.         ... 0.00492822 0.         0.0012258 ],[0.0003868  0.00349319 0.00146103 ... 0.00437868 0.         0.        ],[0.00137782 0.00250682 0.00030714 ... 0.00478693 0.         0.        ],[0.         0.         0.         ... 0.01346218 0.         0.        ],[0.         0.         0.         ... 0.01973126 0.         0.00193321],[0.00081783 0.0044287  0.         ... 0.         0.         0.        ],[0.         0.00400358 0.0006997  ... 0.00361729 0.         0.00097219],[0.         0.         0.         ... 0.00330575 0.         0.        ],[0.         0.00492127 0.00020511 ... 0.00591178 0.         0.        ],[0.         0.00747078 0.         ... 0.00871498 0.         0.        ],[0.         0.00605346 0.00116657 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00031109 0.00317108 0.         ... 0.00133753 0.         0.00110201],[0.         0.00125928 0.         ... 0.         0.         0.00019972],[0.00281861 0.00810356 0.         ... 0.00452691 0.00237441 0.00156028],[0.         0.00353624 0.         ... 0.00771576 0.         0.00034157],[0.         0.00171002 0.00052033 ... 0.00461622 0.         0.        ],[0.         0.         0.00086379 ... 0.00489288 0.         0.        ],[0.00014468 0.0022122  0.00030099 ... 0.00588873 0.00030339 0.        ],[0.00033943 0.00203338 0.         ... 0.00490613 0.         0.00050695],[0.         0.         0.         ... 0.00303171 0.         0.00142807],[0.         0.00224563 0.00038906 ... 0.00341421 0.         0.        ],[0.00118977 0.0040783  0.         ... 0.00653769 0.         0.        ],[0.00077081 0.005529   0.00429175 ... 0.         0.         0.0012709 ],[0.         0.00643921 0.00276324 ... 0.00235061 0.0004891  0.        ],[0.         0.         0.00359217 ... 0.00412821 0.         0.        ],[0.00084587 0.         0.00299139 ... 0.00217536 0.         0.00091864],[0.         0.00132791 0.00239179 ... 0.0025898  0.         0.        ],[0.00363933 0.         0.         ... 0.00507371 0.         0.        ],[0.00114627 0.00031419 0.00094273 ... 0.00310266 0.         0.00014089],[0.00098474 0.0008738  0.         ... 0.00487994 0.00182734 0.00309658],[0.00114861 0.         0.         ... 0.00296802 0.         0.0031141 ],[0.00172292 0.         0.         ... 0.00463866 0.         0.        ],[0.00017152 0.00208917 0.00016582 ... 0.00164843 0.         0.00054608]
