2,0.5540540540540541,0.7121951219512195,0.10810810810810811,0.25925925925925924,0.4023034930416243,0.8902439024390244,0.06666666666666667,0.19444444444444445,0.3837850045167119,0.5934959349593496,0.2857142857142857,0.3888888888888889,0.4226997031875081,"[73, 24, 26]","[2, 2, 3]","[7, 4, 7]"
4,0.5337837837837838,0.6802030456852791,0.14285714285714288,0.3157894736842105,0.4041010300145362,0.8170731707317073,0.1,0.25,0.3890243902439024,0.5826086956521739,0.25,0.42857142857142855,0.4203933747412008,"[67, 25, 23]","[5, 3, 4]","[10, 2, 9]"
3,0.5067567567567568,0.6938775510204082,0.05128205128205128,0.19672131147540983,0.328916158724295,0.8292682926829268,0.03333333333333333,0.16666666666666666,0.34308943089430893,0.5964912280701754,0.1111111111111111,0.24,0.31586744639376213,"[68, 22, 24]","[2, 1, 6]","[12, 7, 6]"
0,0.4527027027027027,0.6130653266331658,0.04761904761904761,0.18181818181818182,0.29711292832166075,0.7439024390243902,0.03333333333333333,0.1388888888888889,0.30537488708220417,0.5213675213675214,0.08333333333333333,0.2631578947368421,0.2892862498125656,"[61, 26, 30]","[10, 1, 1]","[11, 3, 5]"
1,0.5135135135135135,0.6565656565656566,0.2439024390243902,0.2105263157894737,0.4023432845468927,0.7926829268292683,0.16666666666666666,0.16666666666666666,0.37533875338753386,0.5603448275862069,0.45454545454545453,0.2857142857142857,0.433534855948649,"[65, 22, 29]","[5, 5, 1]","[12, 3, 6]"
5,0.5067567567567568,0.6458333333333333,0.18181818181818182,0.3,0.39345512816933653,0.7560975609756098,0.13333333333333333,0.25,0.379810298102981,0.5636363636363636,0.2857142857142857,0.375,0.4081168831168831,"[62, 24, 24]","[7, 4, 3]","[13, 2, 9]"
8,0.47297297297297297,0.653061224489796,0.04761904761904761,0.1724137931034483,0.30352508665886885,0.7804878048780488,0.03333333333333333,0.1388888888888889,0.3175700090334237,0.5614035087719298,0.08333333333333333,0.22727272727272727,0.29066985645933013,"[64, 23, 27]","[7, 1, 4]","[11, 6, 5]"
6,0.5337837837837838,0.6631578947368423,0.2564102564102564,0.3283582089552239,0.4517988309952053,0.7682926829268293,0.16666666666666666,0.3055555555555556,0.41350496838301715,0.5833333333333334,0.5555555555555556,0.3548387096774194,0.4979091995221028,"[63, 20, 25]","[4, 5, 0]","[15, 5, 11]"
7,0.47297297297297297,0.6326530612244897,0.0,0.26229508196721313,0.3058446134745037,0.7560975609756098,0.0,0.2222222222222222,0.3261065943992773,0.543859649122807,0.0,0.32,0.287953216374269,"[62, 28, 24]","[5, 0, 4]","[15, 2, 8]"
9,0.47297297297297297,0.6391752577319588,0.163265306122449,0.1509433962264151,0.333322200998535,0.7560975609756098,0.13333333333333333,0.1111111111111111,0.3335140018066847,0.5535714285714286,0.21052631578947367,0.23529411764705882,0.33313062066932037,"[62, 23, 27]","[10, 4, 5]","[10, 3, 4]"
datasize,148

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
2,[0.         0.00215212 0.00134184 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00584943 0.        ],[0.00112973 0.00196121 0.00018583 ... 0.00178206 0.         0.        ],[0.00057706 0.00239217 0.00016874 ... 0.         0.00053951 0.00026642],[0.         0.00947171 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00409592 0.00181879 ... 0.         0.00416577 0.        ],[0.00128501 0.00223598 0.         ... 0.         0.00038414 0.00110934],[0.01495484 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00109718 0.         0.        ],[0.         0.         0.         ... 0.00251635 0.         0.        ],[0.         0.         0.         ... 0.00108276 0.         0.        ],[0.00319138 0.00032843 0.         ... 0.0003174  0.00050879 0.00051049],[0.       0.       0.000934 ... 0.       0.       0.      ],[0.         0.         0.00502276 ... 0.         0.00446886 0.        ],[0.         0.         0.         ... 0.00642869 0.00853308 0.        ],[0.00134584 0.         0.00040445 ... 0.00184311 0.00235217 0.        ],[0.         0.00228784 0.         ... 0.00056826 0.00342376 0.        ],[0.         0.00889284 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00127619 0.         0.        ],[0.         0.         0.00461327 ... 0.         0.         0.        ],[0.         0.         0.00556359 ... 0.         0.         0.        ],[0.         0.         0.00552732 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.01221925 ... 0.         0.         0.        ],[0.        0.        0.        ... 0.        0.0033379 0.       ],[0.         0.00518961 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00411311 0.         0.        ],[0.         0.         0.         ... 0.00250896 0.         0.        ],[0.         0.         0.00149517 ... 0.00203307 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00244359 ... 0.         0.         0.        ],[0.         0.00324021 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
4,[0.         0.         0.00921258 ... 0.         0.         0.        ],[0.         0.         0.00921258 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00895349 0.         0.        ],[0.         0.         0.         ... 0.00361151 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.        0.        0.        ... 0.        0.0030945 0.       ],[0.01022634 0.         0.         ... 0.00856622 0.         0.        ],[0.         0.         0.         ... 0.00927377 0.         0.        ],[0.         0.         0.         ... 0.00834385 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00740419 0.         ... 0.         0.         0.        ],[0.         0.00655487 0.         ... 0.         0.         0.        ],[0.00222784 0.00403905 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00229136 0.         0.        ],[0.         0.         0.         ... 0.00567651 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00663048 0.         0.        ],[0.00471427 0.00027966 0.         ... 0.00298608 0.00070882 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00417038 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00102352 0.         0.00130576],[0. 0. 0. ... 0. 0. 0.],[0.00070725 0.         0.00188548 ... 0.         0.00128917 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00382206 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00050094 0.00327971 0.00083042 ... 0.         0.00195154 0.        ]
3,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00315843 0.         ... 0.         0.         0.        ],[0.        0.        0.0059835 ... 0.0043949 0.        0.       ],[0.00079078 0.         0.         ... 0.         0.         0.        ],[0.         0.00209607 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00658736 ... 0.         0.         0.00236982],[0. 0. 0. ... 0. 0. 0.],[0.00035797 0.         0.00234979 ... 0.         0.         0.        ],[0.00153027 0.00094407 0.00233502 ... 0.         0.         0.00054287],[0.         0.         0.00705545 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00337475 0.         0.        ],[0.00299167 0.         0.00370309 ... 0.         0.         0.        ],[0.         0.         0.00076068 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00214979 0.         0.00183937],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00112719 ... 0.0031508  0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.01098519 ... 0.         0.         0.0034596 ],[0.         0.         0.         ... 0.00141529 0.         0.00723541],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00130725 0.         0.00072768 ... 0.         0.00072476 0.        ],[0.         0.         0.         ... 0.01167099 0.         0.        ],[0.         0.         0.         ... 0.0077243  0.         0.00526814],[0.00042516 0.001471   0.0008935  ... 0.00200625 0.00038632 0.00075924],[0.         0.         0.         ... 0.         0.00326698 0.        ],[0.         0.         0.00362189 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.01367069 0.         0.         ... 0.01177913 0.         0.        ],[0.         0.         0.         ... 0.01373057 0.         0.        ],[0.         0.         0.         ... 0.         0.00598831 0.        ]
0,[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.01441827 ... 0.         0.         0.        ],[0.01103647 0.00609884 0.         ... 0.         0.         0.        ],[0.00363987 0.         0.         ... 0.00157945 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.01199214 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00071846 0.00371726 0.        ],[0.00627562 0.         0.0052767  ... 0.         0.         0.        ],[0.         0.         0.00865822 ... 0.         0.0066531  0.        ],[0.         0.         0.00905104 ... 0.00127915 0.         0.        ],[0.         0.         0.00051783 ... 0.         0.00048151 0.        ],[0.         0.         0.00307545 ... 0.         0.         0.        ],[0.         0.         0.00118243 ... 0.00054802 0.00023049 0.        ],[0.00146966 0.         0.         ... 0.         0.         0.        ],[0.         0.0019169  0.         ... 0.         0.         0.00141074],[0.         0.01322552 0.         ... 0.         0.         0.        ],[0.         0.00169278 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00312464 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00251632 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00221403 0.         ... 0.         0.         0.        ],[0.         0.         0.00355874 ... 0.0056373  0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00504517 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00455759 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00296888 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00498353 0.         0.        ]
1,[0.         0.         0.         ... 0.01012424 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00071582 0.         0.         ... 0.         0.         0.00131085],[0.         0.         0.         ... 0.01316981 0.         0.        ],[0.         0.         0.         ... 0.01051945 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00127898 0.         ... 0.00122352 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00250154 0.         ... 0.0113535  0.         0.        ],[0.         0.00496862 0.         ... 0.         0.         0.        ],[0.         0.00201951 0.         ... 0.0022328  0.         0.        ],[0.         0.00109116 0.         ... 0.00213552 0.         0.00073975],[0.00065551 0.00036014 0.         ... 0.00072001 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00117705 ... 0.         0.         0.00067418],[0. 0. 0. ... 0. 0. 0.],[0.00069355 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00125856 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00143164 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00187906 0.         ... 0.0019906  0.         0.00216812],[0. 0. 0. ... 0. 0. 0.],[0.       0.       0.       ... 0.       0.       0.000367],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
5,[0. 0. 0. ... 0. 0. 0.],[0.         0.00972917 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00291059 0.00341983 ... 0.         0.         0.        ],[0.00227278 0.         0.00047432 ... 0.         0.         0.        ],[0.         0.00427    0.         ... 0.0018417  0.         0.00156993],[0.         0.00724187 0.         ... 0.         0.         0.00156993],[0.00350017 0.         0.         ... 0.         0.         0.        ],[0.         0.00303584 0.         ... 0.         0.         0.        ],[0.         0.00356712 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00186738 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00265643 0.00313196 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00040474 ... 0.         0.         0.00182261],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.        0.0024701 0.        ... 0.        0.        0.       ],[0. 0. 0. ... 0. 0. 0.],[0.        0.        0.0015822 ... 0.        0.        0.       ],[0. 0. 0. ... 0. 0. 0.],[0.00209474 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00145773 0.         0.         ... 0.0064312  0.         0.        ],[0.         0.         0.         ... 0.00284818 0.         0.        ],[0.         0.         0.         ... 0.00743662 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.0029245  0.         0.00065232],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00111812 0.         0.        ],[0.00232269 0.         0.         ... 0.         0.         0.        ]
8,[0.         0.00556142 0.         ... 0.         0.         0.        ],[0.         0.00466673 0.         ... 0.         0.         0.        ],[0.         0.00560929 0.         ... 0.         0.         0.        ],[0.         0.00757521 0.         ... 0.         0.         0.        ],[0.         0.00134498 0.         ... 0.         0.0008569  0.        ],[0.00079342 0.0003046  0.00159748 ... 0.         0.000442   0.00061777],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00164917 ... 0.         0.         0.        ],[0.         0.00308023 0.         ... 0.         0.         0.        ],[0.         0.00759578 0.         ... 0.         0.         0.        ],[0.         0.00489147 0.0014104  ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00228212 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.        0.        0.0029523 ... 0.        0.        0.       ],[0.00117121 0.         0.00200462 ... 0.         0.00351657 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00855495 0.         0.         ... 0.         0.         0.        ],[0.00846236 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00073426 ... 0.002129   0.         0.        ],[0.         0.00995968 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00347942 0.0200974  0.         ... 0.         0.         0.        ],[0.         0.00170842 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00628263 0.         ... 0.         0.         0.        ],[0.00589717 0.00381872 0.         ... 0.00173078 0.         0.        ],[0.         0.         0.         ... 0.00228662 0.         0.        ],[0.         0.         0.00338547 ... 0.00176846 0.         0.        ],[0.00772396 0.00659345 0.         ... 0.         0.         0.        ],[0.00217053 0.         0.         ... 0.         0.         0.        ],[0.00446461 0.00086658 0.         ... 0.         0.         0.        ]
6,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00106927 ... 0.00193225 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00076648 0.00016966 ... 0.00035843 0.         0.        ],[0.         0.         0.00240347 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00819499 ... 0.         0.         0.        ],[0.         0.         0.00514563 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00201463 0.00135268 0.         ... 0.00078124 0.00098164 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00389442 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00605437 0.        ],[0.00161175 0.         0.         ... 0.00746232 0.         0.        ],[0.         0.         0.00391392 ... 0.00370457 0.         0.        ],[0.        0.        0.        ... 0.0016368 0.        0.       ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.01359961 0.         0.        ],[0.         0.         0.         ... 0.01213456 0.00529601 0.        ],[0.         0.         0.         ... 0.01036227 0.         0.        ],[0.         0.         0.         ... 0.01326368 0.         0.        ],[0.         0.00269118 0.00222399 ... 0.         0.         0.        ],[0.         0.         0.00088303 ... 0.00465254 0.         0.        ],[0.         0.00075856 0.00149024 ... 0.00133818 0.         0.        ],[0.         0.         0.         ... 0.00910714 0.         0.        ],[0.         0.         0.00599528 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.]
7,[0.00614061 0.         0.01252027 ... 0.         0.         0.        ],[0.00521056 0.01252864 0.         ... 0.00844391 0.         0.        ],[0.         0.00156279 0.0012341  ... 0.00082809 0.00130315 0.        ],[0.         0.01221661 0.         ... 0.00841773 0.         0.        ],[0.         0.         0.         ... 0.00850272 0.         0.        ],[0.         0.01708279 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00177746 0.        ],[0.00615032 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00102738 0.         0.         ... 0.         0.         0.        ],[0.00273176 0.         0.00100707 ... 0.00262282 0.00171512 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.0003461 0.        0.        ... 0.        0.        0.       ],[0.         0.         0.         ... 0.         0.         0.00273711],[0.         0.         0.         ... 0.00165735 0.         0.00080871],[0.0029636  0.         0.         ... 0.         0.00148156 0.        ],[0.         0.         0.00735636 ... 0.         0.         0.        ],[0.00040425 0.         0.00074457 ... 0.         0.         0.        ],[0.         0.         0.00411024 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00149158 0.         0.        ],[0.         0.00071807 0.00148676 ... 0.00163671 0.         0.00111941],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00122506 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00330202],[0.         0.00316872 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00180604 ... 0.         0.         0.        ],[0.         0.00230229 0.00082723 ... 0.00052024 0.         0.        ],[0.00039269 0.01554266 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00479768]
9,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00045666 ... 0.00182007 0.         0.0012002 ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00507777 ... 0.         0.00322648 0.        ],[0.         0.         0.         ... 0.         0.00277561 0.        ],[0.         0.         0.         ... 0.         0.00182557 0.        ],[0.         0.         0.         ... 0.         0.         0.00452457],[0. 0. 0. ... 0. 0. 0.],[0.0086236  0.         0.         ... 0.         0.         0.00445571],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00098407 0.         ... 0.00148492 0.00082728 0.        ],[0.0024786  0.         0.         ... 0.00160586 0.         0.        ],[0.00403931 0.         0.         ... 0.00482172 0.00044225 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00115857 ... 0.         0.0004681  0.        ],[0.         0.         0.         ... 0.00264795 0.         0.        ],[0.         0.         0.         ... 0.         0.00462419 0.        ],[0.         0.00336126 0.         ... 0.00414201 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.003655   0.         ... 0.00156188 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00088449 0.         0.        ]
