2,0.4594594594594595,0.6242038216560509,0.19047619047619047,0.34210526315789475,0.39371075788142723,0.7101449275362319,0.15,0.3333333333333333,0.3978260869565218,0.5568181818181818,0.2608695652173913,0.35135135135135137,0.3896796994623081,"[49, 21, 18]","[9, 6, 8]","[11, 13, 13]"
4,0.44594594594594594,0.625,0.0,0.3902439024390244,0.339050509170387,0.7246376811594203,0.0,0.41025641025641024,0.3782980304719435,0.5494505494505495,0.0,0.37209302325581395,0.30718119090212115,"[50, 25, 16]","[7, 0, 7]","[12, 15, 16]"
0,0.47297297297297297,0.6335403726708074,0.06896551724137932,0.44155844155844154,0.3887450663446642,0.7391304347826086,0.05,0.4358974358974359,0.4083426235600149,0.5543478260869565,0.1111111111111111,0.4473684210526316,0.37094245275023313,"[51, 25, 16]","[10, 2, 6]","[8, 13, 17]"
3,0.4864864864864865,0.6459627329192545,0.03636363636363636,0.47500000000000003,0.39146477261618373,0.7536231884057971,0.025,0.48717948717948717,0.42193422519509477,0.5652173913043478,0.06666666666666667,0.4634146341463415,0.36509956403911864,"[52, 26, 14]","[8, 1, 6]","[9, 13, 19]"
1,0.4797297297297297,0.6424242424242425,0.13333333333333333,0.39436619718309857,0.40268192053419294,0.7681159420289855,0.1,0.358974358974359,0.40903010033444814,0.5520833333333334,0.2,0.4375,0.3965277777777778,"[53, 25, 18]","[9, 4, 7]","[7, 11, 14]"
8,0.4391891891891892,0.6296296296296297,0.07407407407407408,0.3,0.34577075264337187,0.7391304347826086,0.05,0.3076923076923077,0.36560758082497213,0.5483870967741935,0.14285714285714285,0.2926829268292683,0.3279757221535349,"[51, 20, 22]","[7, 2, 5]","[11, 18, 12]"
9,0.44594594594594594,0.6075949367088608,0.13559322033898305,0.3544303797468355,0.3755246506433991,0.6956521739130435,0.1,0.358974358974359,0.38487551096246747,0.5393258426966292,0.21052631578947367,0.35,0.36661738616203426,"[48, 26, 15]","[5, 4, 10]","[16, 10, 14]"
6,0.4864864864864865,0.6415094339622641,0.14035087719298245,0.42500000000000004,0.41504207434131013,0.7391304347826086,0.1,0.4358974358974359,0.42500929022668155,0.5666666666666667,0.23529411764705882,0.4146341463414634,0.4055316435517296,"[51, 21, 18]","[9, 4, 4]","[9, 15, 17]"
7,0.5202702702702703,0.6951219512195121,0.14545454545454545,0.4155844155844156,0.4371936095937089,0.8260869565217391,0.1,0.41025641025641024,0.4454477889260498,0.6,0.26666666666666666,0.42105263157894735,0.42923976608187137,"[57, 21, 17]","[5, 4, 6]","[7, 15, 16]"
5,0.4391891891891892,0.6274509803921569,0.09374999999999999,0.3544303797468355,0.3621456940475014,0.6956521739130435,0.075,0.358974358974359,0.37654217762913417,0.5714285714285714,0.125,0.35,0.34880952380952374,"[48, 20, 16]","[12, 3, 9]","[9, 17, 14]"
datasize,148

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
2,[0.         0.         0.         ... 0.         0.00256862 0.        ],[0.         0.         0.         ... 0.         0.00246125 0.00327093],[0.00255654 0.00024761 0.         ... 0.         0.00084349 0.        ],[0.00603585 0.00062366 0.00173984 ... 0.00053386 0.00185075 0.        ],[0.00202061 0.00032877 0.00161821 ... 0.00036156 0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00702459],[0.        0.        0.        ... 0.        0.        0.0062449],[0.         0.         0.00150048 ... 0.         0.         0.00707322],[0.00136359 0.00033386 0.         ... 0.         0.         0.        ],[0.00544158 0.         0.00116895 ... 0.         0.         0.00054185],[0.         0.00174867 0.         ... 0.         0.         0.00878197],[0.0025188  0.         0.         ... 0.         0.         0.00589451],[0.         0.         0.         ... 0.         0.         0.00472222],[0.         0.00122876 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00153513 0.0022223  0.         ... 0.         0.0012814  0.        ],[0.00228867 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00101352 ... 0.         0.         0.001383  ],[0.00770932 0.         0.         ... 0.         0.         0.        ],[0.00140176 0.         0.00031839 ... 0.         0.00136461 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00288782 0.00157348 0.         ... 0.         0.00165475 0.        ],[0.         0.         0.         ... 0.0024368  0.00129825 0.        ],[0.        0.        0.0008821 ... 0.        0.        0.       ],[0.         0.         0.00480542 ... 0.         0.         0.        ],[0.00146688 0.         0.         ... 0.         0.00286985 0.00225038],[0.0060844 0.        0.        ... 0.        0.        0.       ],[0.00571655 0.         0.00184339 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00211345 0.        ],[0.00154262 0.0006141  0.         ... 0.         0.         0.00168484],[0.         0.         0.00034462 ... 0.         0.0009137  0.00206086],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00255202 0.00170664 0.         ... 0.         0.         0.00238582],[0. 0. 0. ... 0. 0. 0.],[0.00037221 0.         0.00158621 ... 0.00051042 0.00103287 0.00144447]
4,[0.00076971 0.00046413 0.00120662 ... 0.00033809 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.0010446  ... 0.00109324 0.00067951 0.00087428],[0.00188972 0.         0.         ... 0.         0.         0.        ],[0.00071838 0.         0.         ... 0.         0.         0.        ],[0.         0.00102037 0.         ... 0.00107678 0.         0.        ],[0.00392055 0.         0.         ... 0.00055664 0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00367027],[0.00117529 0.         0.00094439 ... 0.00048788 0.00027974 0.00049904],[0.00286197 0.         0.         ... 0.00028113 0.00029144 0.00053944],[0.00259206 0.00108229 0.00109156 ... 0.00108509 0.         0.        ],[0.00387022 0.         0.         ... 0.         0.         0.        ],[0.00240928 0.         0.0034011  ... 0.         0.         0.00135277],[0.         0.         0.00080919 ... 0.         0.         0.00135277],[0.0017617  0.00074971 0.0026733  ... 0.00277953 0.         0.00183143],[0.0013137 0.        0.        ... 0.        0.        0.       ],[0.00464467 0.         0.00246154 ... 0.00161436 0.         0.00171706],[0.0046685 0.        0.        ... 0.        0.        0.       ],[0.0005982  0.00020296 0.00061459 ... 0.00022444 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.0028175  0.         0.00126677 ... 0.         0.         0.        ],[0.00116409 0.         0.         ... 0.         0.00061108 0.        ],[0.0009363  0.         0.00119731 ... 0.         0.0008096  0.00071058],[0.00955626 0.         0.         ... 0.         0.         0.        ],[0.00176467 0.00110619 0.         ... 0.00178618 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00151912 0.00072455 0.00193243 ... 0.00108444 0.00069509 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.        0.        0.        ... 0.0008086 0.        0.       ],[0. 0. 0. ... 0. 0. 0.],[0.0043137 0.        0.        ... 0.        0.        0.       ],[0.         0.         0.00257457 ... 0.         0.         0.        ],[0.0010564  0.         0.         ... 0.         0.00107667 0.        ],[0.00293107 0.00186876 0.00061721 ... 0.         0.00124257 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00803035 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00138693 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00208488 0.00056105 0.         ... 0.00026391 0.00066457 0.00072823],[0.         0.00163431 0.         ... 0.00143222 0.         0.00147458],[0. 0. 0. ... 0. 0. 0.],[0.00041276 0.00033166 0.         ... 0.00019375 0.00061655 0.00044364],[0.         0.00272904 0.         ... 0.         0.         0.        ],[0.00145833 0.         0.         ... 0.00061003 0.         0.        ],[0.         0.00112944 0.         ... 0.00042673 0.00115205 0.00167546],[0.00042022 0.         0.         ... 0.00058677 0.00016785 0.00091792],[0.         0.         0.         ... 0.         0.00050526 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00206674 0.         0.         ... 0.00079017 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00046775 0.         0.         ... 0.00057659 0.         0.        ],[0.00337104 0.         0.         ... 0.         0.         0.        ],[0.00101775 0.00071808 0.         ... 0.00131544 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00101519 0.0001967  0.00150291 ... 0.00142184 0.         0.        ],[0.00230612 0.         0.         ... 0.         0.         0.        ],[0.         0.00226052 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00741633 0.         0.        ],[0.00442495 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00163526 ... 0.00179039 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00107196 ... 0.0007071  0.         0.00034822],[0.         0.00071559 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00364806 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00201623 0.         0.         ... 0.         0.00241831 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00125151 0.         0.        ],[0. 0. 0. ... 0. 0. 0.]
3,[0.00395731 0.00153357 0.         ... 0.         0.         0.00289313],[0.        0.        0.        ... 0.        0.        0.0048079],[0.00214714 0.00086606 0.         ... 0.00076729 0.00080179 0.00254387],[0.00322497 0.         0.         ... 0.         0.         0.00120614],[0.00237571 0.         0.         ... 0.         0.         0.        ],[0.00236686 0.00067989 0.         ... 0.         0.         0.        ],[0.00109155 0.         0.         ... 0.         0.00080649 0.0019729 ],[0.00321804 0.         0.         ... 0.         0.         0.        ],[0.00160671 0.         0.         ... 0.         0.         0.        ],[0.00157919 0.         0.00190082 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00074536 0.         0.00085448 ... 0.00111087 0.00115808 0.        ],[0.       0.       0.       ... 0.000747 0.       0.      ],[0.         0.         0.         ... 0.00047364 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00253947 ... 0.00185491 0.         0.        ],[0.        0.        0.        ... 0.        0.0013719 0.       ],[0. 0. 0. ... 0. 0. 0.],[0.00303308 0.         0.         ... 0.00183537 0.         0.        ],[0.00194729 0.00043399 0.00118926 ... 0.00054641 0.00075065 0.00089582],[0. 0. 0. ... 0. 0. 0.],[0.00065293 0.00036572 0.00050264 ... 0.00066046 0.         0.        ],[0.00135387 0.00023769 0.         ... 0.         0.0014354  0.        ],[0.         0.00386285 0.         ... 0.         0.         0.        ],[0.00150544 0.         0.00060138 ... 0.00081544 0.         0.        ],[0.0003967  0.         0.0002573  ... 0.         0.00027813 0.00151297],[0.         0.         0.         ... 0.         0.00403601 0.        ],[0.         0.         0.         ... 0.         0.         0.01101073],[0. 0. 0. ... 0. 0. 0.],[0.00052225 0.         0.         ... 0.         0.         0.00027181],[0.00419841 0.         0.         ... 0.00066138 0.         0.00039088],[0.         0.         0.         ... 0.         0.         0.00238263],[0. 0. 0. ... 0. 0. 0.],[0.00288612 0.         0.         ... 0.00063829 0.         0.00186413],[0.00264122 0.         0.         ... 0.         0.         0.        ],[0.00416325 0.         0.         ... 0.         0.         0.00569009],[0. 0. 0. ... 0. 0. 0.]
1,[0.00828011 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00970792 0.         0.         ... 0.         0.         0.        ],[0.00281492 0.         0.         ... 0.         0.         0.        ],[0.00285168 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00168334 0.         0.         ... 0.         0.         0.        ],[0.00257333 0.         0.         ... 0.         0.         0.00065181],[0. 0. 0. ... 0. 0. 0.],[0.00843317 0.         0.         ... 0.00067067 0.         0.00083182],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.01241721 0.         0.         ... 0.         0.         0.        ],[0.00964769 0.         0.         ... 0.         0.         0.        ],[0.00293817 0.         0.         ... 0.00058687 0.         0.00107561],[0. 0. 0. ... 0. 0. 0.],[0.00464593 0.         0.00069155 ... 0.         0.         0.00301295],[0.00623068 0.         0.         ... 0.00132929 0.         0.        ],[0.00149227 0.00157628 0.00042016 ... 0.0002586  0.00129256 0.0008566 ],[0.00340768 0.         0.         ... 0.00115872 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00133866 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00222408],[0.00190828 0.         0.         ... 0.         0.         0.00132568],[0. 0. 0. ... 0. 0. 0.],[0.00563933 0.         0.         ... 0.         0.         0.00068344],[0.         0.         0.         ... 0.00350564 0.         0.        ],[0.00063565 0.         0.00073159 ... 0.         0.         0.0009326 ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00222444 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00182481 0.00079722 0.00143402 ... 0.         0.00161982 0.00132588],[0.         0.         0.00058588 ... 0.00039334 0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00048661],[0.         0.         0.         ... 0.00078571 0.         0.00094982]
8,[0.00351827 0.         0.00057813 ... 0.00037101 0.00131479 0.        ],[0.00262292 0.         0.         ... 0.00086568 0.         0.        ],[0.01696672 0.         0.         ... 0.         0.         0.        ],[0.00741904 0.0007371  0.         ... 0.         0.         0.00142669],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.        0.0044211 0.        ... 0.        0.        0.       ],[0.         0.         0.         ... 0.00137435 0.         0.        ],[0.00203389 0.00092319 0.00029085 ... 0.00051077 0.00101685 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00305843 0.00050596 0.00167049 ... 0.00102493 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00645328 0.         0.00433739 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00067651 0.         0.         ... 0.         0.00050576 0.        ],[0.00700492 0.         0.         ... 0.         0.         0.        ],[0.00121806 0.         0.         ... 0.         0.00077483 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00511164 0.         0.         ... 0.         0.         0.        ],[0.00208043 0.         0.00142921 ... 0.00258932 0.         0.        ],[0.00196435 0.         0.         ... 0.         0.00148957 0.        ],[0.00175348 0.         0.00096558 ... 0.0014184  0.         0.00063343],[0.00306557 0.         0.         ... 0.         0.         0.        ],[0.00222756 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00385843],[0. 0. 0. ... 0. 0. 0.],[0.00143969 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00381114 0.         0.         ... 0.00027989 0.         0.00092402],[0.         0.         0.         ... 0.00123779 0.         0.        ],[0.         0.         0.         ... 0.         0.00133602 0.00301241],[0.         0.         0.         ... 0.         0.00133602 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00176518 0.00049632 0.         ... 0.0005435  0.00052755 0.00134863],[0.         0.00059973 0.00114033 ... 0.         0.         0.00200051]
9,[0.00101295 0.00031942 0.00097338 ... 0.         0.         0.00175116],[0.00214119 0.         0.00088193 ... 0.         0.         0.00205441],[0.00138918 0.         0.00089648 ... 0.00031394 0.00013921 0.00194122],[0.00290384 0.00053761 0.         ... 0.         0.         0.00214648],[0.         0.         0.00123294 ... 0.00131372 0.0006312  0.00253865],[0.0026303  0.         0.         ... 0.         0.00239819 0.        ],[0.         0.         0.00105585 ... 0.         0.00020929 0.00207575],[0.0040097  0.         0.00078832 ... 0.         0.00041976 0.00174118],[0.00751646 0.         0.         ... 0.         0.00077635 0.        ],[0.0014495  0.0016265  0.00094955 ... 0.00187956 0.00128967 0.        ],[0.         0.         0.00125719 ... 0.         0.         0.        ],[0.         0.         0.00296502 ... 0.         0.00083466 0.        ],[0.         0.         0.         ... 0.         0.00148058 0.        ],[0.00167744 0.         0.         ... 0.0005808  0.00078408 0.00161078],[0.         0.         0.00235238 ... 0.         0.00117935 0.00101426],[0.00144592 0.         0.         ... 0.         0.0010729  0.00045657],[0.         0.         0.         ... 0.00029751 0.00033589 0.        ],[0.         0.         0.         ... 0.00255898 0.         0.        ],[0.         0.         0.         ... 0.         0.00109357 0.00208232],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00471443],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00264252 0.         0.         ... 0.         0.         0.        ],[0.00340372 0.         0.00037557 ... 0.         0.         0.00395791],[0.         0.00872063 0.         ... 0.         0.00591917 0.        ],[0.         0.         0.         ... 0.         0.00558702 0.        ],[0.         0.         0.         ... 0.         0.         0.00221573],[0.00308611 0.         0.         ... 0.         0.         0.        ],[0.00326486 0.         0.         ... 0.00198753 0.         0.        ],[0.00182272 0.00300576 0.         ... 0.00264302 0.         0.        ],[0.         0.00286174 0.         ... 0.         0.         0.        ],[0.         0.00099513 0.         ... 0.0007264  0.00019784 0.00151864],[0.         0.         0.         ... 0.         0.         0.00809566],[0.         0.         0.         ... 0.00331288 0.         0.        ],[0.         0.00119531 0.00147196 ... 0.00097221 0.         0.00075322]
6,[0.00213878 0.00091004 0.         ... 0.00056172 0.         0.        ],[0.00137903 0.00050848 0.         ... 0.         0.         0.00305504],[0.         0.         0.         ... 0.00360216 0.         0.        ],[0.00268897 0.         0.         ... 0.00080173 0.         0.0010725 ],[0.00530806 0.         0.         ... 0.         0.         0.        ],[0.00512664 0.         0.         ... 0.         0.         0.        ],[0.00308494 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00281475 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00203778 0.         0.         ... 0.00186007 0.00138691 0.00171771],[0.         0.         0.00095394 ... 0.         0.00136908 0.        ],[0.         0.         0.         ... 0.00065018 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00254723 ... 0.         0.00305318 0.        ],[0.         0.         0.00615727 ... 0.         0.         0.        ],[0.      0.      0.00493 ... 0.      0.      0.     ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00298524 0.        ],[0.0003193  0.         0.00030046 ... 0.         0.00162709 0.00092554],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00490789 ... 0.         0.00300651 0.        ],[0.         0.00049778 0.         ... 0.00081518 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00285575 0.0021063  0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00034065 0.         0.0012252  ... 0.         0.         0.00087746],[0.00304473 0.         0.         ... 0.00162971 0.         0.        ],[0.00579523 0.         0.00609905 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00357624 0.         0.00165263 ... 0.         0.         0.        ],[0.00646677 0.         0.         ... 0.         0.         0.        ]
7,[0.00540088 0.         0.         ... 0.         0.         0.        ],[0.00839953 0.00165773 0.         ... 0.         0.         0.00135359],[0.00525101 0.00143606 0.         ... 0.         0.         0.        ],[0.         0.00099639 0.         ... 0.         0.00052934 0.        ],[0.0042736  0.0006805  0.         ... 0.         0.         0.00021757],[0.00104668 0.         0.         ... 0.         0.00088085 0.00056745],[0.00210443 0.         0.         ... 0.         0.         0.        ],[0.0010395  0.         0.         ... 0.00377293 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00413207 ... 0.         0.         0.00162287],[0.00336477 0.00120177 0.         ... 0.         0.         0.        ],[0.00713051 0.         0.         ... 0.         0.         0.        ],[0.         0.00280877 0.00382397 ... 0.00679489 0.         0.        ],[0.00525687 0.00280877 0.         ... 0.         0.         0.        ],[0.00161728 0.00274822 0.         ... 0.         0.         0.        ],[0.00877916 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.        0.0022256 0.        ... 0.        0.        0.0007045],[0.00231048 0.         0.00201575 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00036613 0.         ... 0.00173398 0.         0.00148308],[0.00067704 0.         0.00124589 ... 0.         0.         0.00028016],[0.00102708 0.         0.00106656 ... 0.         0.         0.00082445],[0.         0.         0.00100153 ... 0.00057491 0.00029788 0.        ],[0.00109223 0.         0.         ... 0.         0.         0.        ],[0.         0.00248961 0.         ... 0.         0.00295598 0.        ],[0.00041379 0.         0.00038403 ... 0.00040475 0.00063668 0.        ],[0.         0.         0.         ... 0.00113896 0.00030251 0.000548  ],[0.         0.         0.00062286 ... 0.         0.         0.00105214],[0.00172986 0.         0.00040049 ... 0.         0.00038842 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00242547 0.         0.00089455 ... 0.         0.         0.        ],[0.0056826 0.        0.        ... 0.        0.0028254 0.       ],[0.         0.         0.         ... 0.         0.         0.00269111],[0.0027288  0.         0.00064277 ... 0.00035815 0.00064744 0.        ]
5,[0.         0.         0.         ... 0.         0.00199311 0.        ],[0.         0.         0.         ... 0.         0.00206065 0.        ],[0.0005924  0.         0.0003581  ... 0.         0.         0.00078486],[0.00091453 0.         0.00116357 ... 0.         0.         0.        ],[0.001479   0.00133681 0.         ... 0.         0.         0.00112431],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00357838 0.        ],[0.00147275 0.00128435 0.00081191 ... 0.00077764 0.         0.        ],[0.00026654 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00050992 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00164931 0.         0.0009789  ... 0.         0.         0.        ],[0.         0.0021407  0.         ... 0.         0.         0.00168369],[0.         0.         0.00080398 ... 0.         0.         0.        ],[0.         0.         0.00528981 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00680708 ... 0.         0.         0.        ],[0.00366956 0.00229538 0.         ... 0.         0.         0.        ],[0.00472737 0.00282296 0.         ... 0.         0.         0.        ],[0.00154269 0.00141546 0.00088506 ... 0.0005681  0.0007032  0.        ],[0.         0.         0.         ... 0.0060215  0.         0.00987153],[0.         0.         0.00328233 ... 0.         0.         0.        ],[0.         0.         0.00230269 ... 0.         0.         0.        ],[0.0005585  0.         0.         ... 0.00095076 0.00108262 0.        ],[0.         0.00024684 0.         ... 0.         0.         0.        ],[0.         0.         0.00255562 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00223193 0.         0.        ],[0.00152047 0.         0.         ... 0.00175263 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00059496 0.00036179 ... 0.         0.         0.00110047],[0.00083804 0.         0.0013295  ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00254826 0.         0.         ... 0.         0.         0.        ],[0.00080738 0.00212149 0.         ... 0.00273025 0.         0.        ],[0.00082738 0.         0.         ... 0.         0.         0.        ],[0.00143581 0.         0.         ... 0.00236827 0.         0.        ]
