4,0.5135135135135135,0.6274509803921569,0.23728813559322035,0.5,0.4738857057676291,0.7384615384615385,0.17073170731707318,0.5,0.46973108192620394,0.5454545454545454,0.3888888888888889,0.5,0.4781144781144781,"[48, 24, 16]","[6, 7, 5]","[11, 10, 21]"
0,0.527027027027027,0.6394557823129251,0.31746031746031744,0.48837209302325585,0.4952470263426223,0.7230769230769231,0.24390243902439024,0.5,0.4889931207004377,0.573170731707317,0.45454545454545453,0.4772727272727273,0.5016629711751662,"[47, 21, 14]","[5, 10, 7]","[13, 10, 21]"
2,0.5,0.5866666666666667,0.27272727272727276,0.525,0.4710514522888425,0.676923076923077,0.21951219512195122,0.5,0.4654784240150094,0.5176470588235295,0.36,0.5526315789473685,0.4767595459236326,"[44, 24, 17]","[12, 9, 4]","[9, 8, 21]"
1,0.527027027027027,0.6193548387096774,0.3103448275862069,0.5060240963855421,0.5047338429553172,0.7384615384615385,0.21951219512195122,0.5,0.4859912445278299,0.5333333333333333,0.5294117647058824,0.5121951219512195,0.5249800733301451,"[48, 24, 18]","[5, 9, 3]","[12, 8, 21]"
3,0.5608108108108109,0.6622516556291391,0.28571428571428575,0.5853658536585366,0.525061019030199,0.7692307692307693,0.21951219512195122,0.5714285714285714,0.5200571785937639,0.5813953488372093,0.4090909090909091,0.6,0.5301620859760394,"[50, 24, 12]","[7, 9, 6]","[8, 8, 24]"
9,0.5202702702702703,0.6233766233766234,0.32727272727272727,0.45977011494252873,0.5081149186867847,0.7384615384615385,0.21951219512195122,0.47619047619047616,0.4780547365913219,0.5393258426966292,0.6428571428571429,0.4444444444444444,0.5422091433327388,"[48, 21, 20]","[3, 9, 2]","[14, 11, 20]"
8,0.4864864864864865,0.6233766233766234,0.18181818181818182,0.4367816091954023,0.4385785694404161,0.7384615384615385,0.12195121951219512,0.4523809523809524,0.437597903451562,0.5393258426966292,0.35714285714285715,0.4222222222222222,0.43956364068723625,"[48, 25, 16]","[2, 5, 7]","[15, 11, 19]"
7,0.5337837837837838,0.631578947368421,0.3870967741935484,0.46341463414634143,0.5129024009914782,0.7384615384615385,0.2926829268292683,0.4523809523809524,0.49450847255725305,0.5517241379310345,0.5714285714285714,0.475,0.5327175697865353,"[48, 20, 19]","[5, 12, 4]","[12, 9, 19]"
5,0.5405405405405406,0.6405228758169935,0.3809523809523809,0.47500000000000003,0.5162896121063227,0.7538461538461538,0.2926829268292683,0.4523809523809524,0.49963667768545816,0.5568181818181818,0.5454545454545454,0.5,0.5340909090909091,"[49, 20, 19]","[6, 12, 4]","[10, 9, 19]"
6,0.527027027027027,0.6535947712418302,0.29508196721311475,0.46341463414634143,0.4888970281473102,0.7692307692307693,0.21951219512195122,0.4523809523809524,0.4803746389112243,0.5681818181818182,0.45,0.475,0.49772727272727274,"[50, 23, 15]","[3, 9, 8]","[12, 9, 19]"
datasize,148

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
4,[0. 0. 0. ... 0. 0. 0.],[0.00190882 0.00138652 0.00030235 ... 0.00123918 0.         0.        ],[0.         0.         0.         ... 0.         0.00210642 0.        ],[0.         0.         0.         ... 0.00102483 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00272763 0.         0.002504   ... 0.         0.         0.00223967],[0. 0. 0. ... 0. 0. 0.],[0.0022052  0.         0.         ... 0.         0.         0.00217831],[0. 0. 0. ... 0. 0. 0.],[0.00212948 0.00220017 0.00054896 ... 0.         0.00027897 0.        ],[0.00432747 0.         0.         ... 0.00098629 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00248766 ... 0.         0.         0.        ],[0.         0.00068949 0.00073501 ... 0.00029265 0.         0.00043734],[0.00286838 0.         0.00058162 ... 0.         0.00093672 0.        ],[0.00172352 0.00247691 0.00040551 ... 0.00018089 0.00064519 0.        ],[0.00202323 0.         0.00228643 ... 0.         0.00180494 0.00124786],[0.0009027  0.00091665 0.00119485 ... 0.         0.         0.00038661],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00035233 ... 0.00224064 0.00135024 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00082711 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00062422 ... 0.00033854 0.00153151 0.        ],[0.         0.00172073 0.         ... 0.         0.00119757 0.        ],[0.00765872 0.         0.         ... 0.         0.         0.        ],[0.         0.0005817  0.00111123 ... 0.00049815 0.00021873 0.        ],[0.         0.00082402 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.001462   0.00109045 0.         ... 0.         0.         0.        ],[0.00294459 0.         0.         ... 0.0017356  0.         0.        ],[0.0023247  0.00073373 0.         ... 0.         0.         0.        ],[0.00276636 0.         0.         ... 0.00293479 0.         0.        ],[0.00123865 0.00033087 0.         ... 0.00251129 0.00054521 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00051609 ... 0.00022441 0.         0.00157198],[0.00261634 0.00092421 0.         ... 0.00029389 0.0004814  0.00072074]
0,[0.00100409 0.00154711 0.         ... 0.         0.         0.        ],[0.         0.00055925 0.         ... 0.         0.         0.        ],[0.00189367 0.         0.         ... 0.00044301 0.         0.        ],[0.00412243 0.00301503 0.         ... 0.         0.         0.        ],[0.00144841 0.00176566 0.         ... 0.00101028 0.         0.        ],[0.       0.       0.       ... 0.001612 0.       0.      ],[0.00426229 0.         0.00163918 ... 0.         0.         0.        ],[0.         0.00144705 0.00025916 ... 0.         0.00059016 0.00024262],[0.00068647 0.00109985 0.         ... 0.         0.         0.        ],[0.         0.00463234 0.         ... 0.         0.00138179 0.00033268],[0.         0.         0.         ... 0.         0.00224082 0.        ],[0.00185763 0.0017008  0.00077818 ... 0.00036069 0.00117451 0.        ],[0.00066085 0.0012434  0.         ... 0.00036879 0.         0.00038269],[0.00319807 0.00057344 0.         ... 0.00123717 0.00040622 0.        ],[0.         0.         0.         ... 0.         0.00044174 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.01152418 0.         0.         ... 0.         0.         0.        ],[0.         0.00095339 0.         ... 0.00062736 0.00054982 0.00094503],[0.         0.         0.00152756 ... 0.         0.         0.00234677],[0.00216662 0.00208024 0.00059936 ... 0.00037716 0.         0.        ],[0.00154315 0.00084712 0.00028253 ... 0.         0.00070635 0.        ],[0.00093752 0.00136114 0.         ... 0.         0.         0.        ],[0.00055968 0.000676   0.         ... 0.         0.00076627 0.        ],[0.00290041 0.         0.         ... 0.         0.0012863  0.        ],[0.         0.00056509 0.0015499  ... 0.         0.         0.00081183],[0.         0.         0.         ... 0.00068265 0.         0.00063009],[0.         0.         0.00081041 ... 0.00030238 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.        0.        0.        ... 0.0012919 0.        0.       ],[0.         0.         0.         ... 0.00167416 0.00189259 0.        ],[0.00125313 0.         0.         ... 0.00087872 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00050727 0.00033108 ... 0.0003254  0.         0.00059097],[0.00309054 0.         0.00268097 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00176732 0.         0.        ],[0.         0.00085658 0.         ... 0.         0.         0.        ]
2,[0. 0. 0. ... 0. 0. 0.],[0.00261982 0.00269441 0.00349316 ... 0.         0.         0.00074017],[0.         0.         0.00181534 ... 0.         0.00087027 0.        ],[0.00169712 0.         0.0002968  ... 0.00156082 0.         0.        ],[0.         0.00025909 0.         ... 0.         0.00026238 0.00188964],[0.00089322 0.00123923 0.00140645 ... 0.         0.00025628 0.00030253],[0.00134996 0.         0.00123611 ... 0.         0.         0.        ],[0.         0.00108127 0.00034978 ... 0.00044026 0.         0.00114435],[0.         0.         0.00040347 ... 0.         0.00036351 0.00182692],[0.         0.         0.00155833 ... 0.00074235 0.         0.00240134],[0.         0.         0.00080012 ... 0.00122541 0.         0.00097728],[0.00041264 0.         0.00050264 ... 0.00085881 0.00100767 0.00158234],[0.00259101 0.         0.         ... 0.         0.         0.00279572],[0.00651943 0.         0.00688063 ... 0.         0.         0.        ],[0.00109281 0.         0.00132681 ... 0.         0.         0.        ],[0.00180137 0.         0.         ... 0.         0.         0.0017797 ],[0.00241283 0.         0.00224724 ... 0.         0.00388551 0.        ],[0.0023017  0.         0.00140175 ... 0.00052332 0.         0.00077477],[0.         0.         0.00031013 ... 0.00093525 0.         0.00067729],[0.00203647 0.00022317 0.00065492 ... 0.         0.         0.        ],[0.00132013 0.00020614 0.00220535 ... 0.0002191  0.         0.        ],[0.         0.00165326 0.00100852 ... 0.0016232  0.00139688 0.        ],[0.00027931 0.00059107 0.00030398 ... 0.00043429 0.         0.00115852],[0.00077873 0.00101207 0.00212157 ... 0.         0.         0.        ],[0.00200981 0.0004544  0.         ... 0.00031356 0.         0.00059827],[0.         0.         0.00168823 ... 0.00049842 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00086486 ... 0.         0.00090136 0.000626  ],[0.00244264 0.         0.00056748 ... 0.         0.00060871 0.00131926],[0.00396789 0.         0.         ... 0.         0.         0.00044966],[0.00169394 0.         0.00031608 ... 0.00170288 0.00107969 0.00245344],[0.00099578 0.         0.         ... 0.         0.00130711 0.00221685],[0.         0.         0.         ... 0.         0.00026544 0.        ],[0.00252283 0.         0.         ... 0.00262383 0.         0.        ],[0.         0.         0.00177324 ... 0.         0.         0.        ],[0.00106046 0.         0.00021601 ... 0.00065857 0.         0.00043901],[0.00085604 0.00068433 0.00114359 ... 0.00045536 0.00168803 0.00192647]
1,[0.         0.         0.00090122 ... 0.         0.         0.        ],[0.00065172 0.         0.00090844 ... 0.         0.00053184 0.        ],[0.         0.         0.0022838  ... 0.         0.         0.00134236],[0.         0.         0.00232697 ... 0.         0.00083326 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00074221],[0.         0.         0.00102594 ... 0.         0.         0.00122291],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00093881 0.         0.0005826  ... 0.00072466 0.         0.001141  ],[0.00305693 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00023548 ... 0.         0.         0.0005864 ],[0.         0.         0.         ... 0.         0.         0.00050941],[0. 0. 0. ... 0. 0. 0.],[0.00203231 0.00065558 0.         ... 0.00093367 0.         0.        ],[0.00299744 0.00061911 0.         ... 0.         0.         0.00146911],[0.00264133 0.00068933 0.00022861 ... 0.         0.         0.        ],[0.         0.00038472 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00124186 0.00050075],[0. 0. 0. ... 0. 0. 0.],[0.00308525 0.         0.         ... 0.         0.         0.        ],[0.        0.        0.        ... 0.        0.0083012 0.       ],[0.         0.00141694 0.         ... 0.00066581 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00110806 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00220618 0.0010255  0.         ... 0.         0.         0.        ],[0.00202608 0.         0.00126459 ... 0.         0.         0.        ]
3,[0.00141851 0.002433   0.         ... 0.         0.         0.        ],[0.0009195  0.00363106 0.00067238 ... 0.         0.         0.00152983],[0.         0.         0.00279304 ... 0.         0.         0.        ],[0.00259732 0.0046213  0.         ... 0.         0.         0.        ],[0.        0.0053857 0.        ... 0.        0.        0.       ],[0.00068018 0.00216238 0.00119755 ... 0.00104237 0.00238351 0.        ],[0.         0.         0.00051575 ... 0.0008923  0.0004825  0.        ],[0.00106613 0.00211218 0.00089951 ... 0.         0.         0.        ],[0.00025951 0.0017455  0.         ... 0.         0.         0.        ],[0.         0.00486868 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00276031 0.         ... 0.00039522 0.         0.00030956],[0.         0.0019082  0.         ... 0.00085371 0.00053663 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00049367 0.00259138 0.         ... 0.         0.00101143 0.        ],[0.         0.00179866 0.00029709 ... 0.         0.         0.        ],[0.0003261  0.00174188 0.00182168 ... 0.00071803 0.00044586 0.00023   ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.0002972  0.         0.00082453],[0.00101428 0.         0.         ... 0.         0.         0.00247139],[0.         0.         0.         ... 0.00472554 0.         0.00225535],[0.         0.         0.00037526 ... 0.00158308 0.         0.00053895],[0. 0. 0. ... 0. 0. 0.],[0.00139416 0.         0.         ... 0.         0.00125391 0.00075257],[0.00088732 0.00027548 0.00159208 ... 0.         0.0004343  0.        ],[0.         0.         0.         ... 0.00152214 0.         0.        ],[0.00192597 0.         0.00087653 ... 0.         0.00087788 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00220918 0.         ... 0.         0.         0.        ],[0.00149789 0.0017851  0.         ... 0.         0.         0.        ],[0.001402   0.00097859 0.         ... 0.         0.00069394 0.        ],[0.00173481 0.00165507 0.         ... 0.         0.         0.        ],[0.00101098 0.         0.0006524  ... 0.00018579 0.         0.00030158],[0. 0. 0. ... 0. 0. 0.],[0.00244923 0.00260199 0.00105827 ... 0.         0.         0.        ],[0.         0.00188094 0.         ... 0.00084671 0.         0.        ]
9,[0.00854418 0.         0.         ... 0.         0.         0.        ],[0.         0.00201359 0.         ... 0.00256898 0.00340073 0.        ],[0.         0.00018858 0.00078749 ... 0.00038331 0.00070706 0.00037967],[0.         0.         0.00173613 ... 0.         0.00119545 0.        ],[0.         0.         0.001168   ... 0.00044377 0.0010613  0.        ],[0.         0.         0.00111985 ... 0.         0.00042816 0.00145653],[0.         0.         0.         ... 0.         0.00100181 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00062152 0.00041741 ... 0.00101845 0.00200728 0.00069322],[0.00088906 0.00109813 0.         ... 0.         0.00382881 0.        ],[0.         0.         0.         ... 0.00041952 0.00234881 0.        ],[0.         0.00026905 0.00032368 ... 0.00030161 0.00173146 0.        ],[0.         0.         0.         ... 0.00030648 0.         0.00117619],[0.         0.         0.         ... 0.         0.00568822 0.        ],[0.00474206 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00025884 0.00047254 0.00037394],[0.00200049 0.         0.         ... 0.         0.         0.        ],[0.00242566 0.         0.         ... 0.         0.         0.00180429],[0.00114475 0.00182841 0.         ... 0.00051872 0.         0.        ],[0.         0.         0.         ... 0.00031164 0.         0.00185157],[0.00057851 0.00219771 0.00158871 ... 0.00060783 0.         0.00034548],[0.00148774 0.00398413 0.         ... 0.         0.0004598  0.0028144 ],[0.         0.00943611 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00103037 0.         0.         ... 0.00077404 0.         0.        ],[0.         0.000682   0.         ... 0.00161427 0.         0.00111773],[0.         0.         0.00088198 ... 0.         0.00024731 0.00028504],[0.         0.00798776 0.         ... 0.         0.         0.        ],[0.         0.00183636 0.0004699  ... 0.         0.         0.        ],[0.         0.00324427 0.00093571 ... 0.         0.         0.        ],[0.0028041  0.         0.00185951 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00043047 0.0007108  0.00039824 ... 0.         0.         0.00337886],[0.         0.00258034 0.00151322 ... 0.         0.         0.00220859],[0.00145448 0.00161206 0.         ... 0.         0.0002617  0.        ],[0.         0.         0.         ... 0.00071061 0.         0.        ],[0.         0.         0.00403456 ... 0.         0.         0.        ]
8,[0.00091052 0.         0.00070831 ... 0.00056264 0.         0.        ],[0.         0.00065595 0.00115479 ... 0.         0.         0.0004014 ],[0.0006831  0.         0.00021226 ... 0.         0.00098391 0.00166851],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00218852],[0.00047373 0.         0.00052545 ... 0.         0.00073052 0.00122818],[0.         0.         0.00180559 ... 0.         0.         0.        ],[0.         0.         0.00095419 ... 0.         0.         0.        ],[0.0004705  0.00299604 0.00065695 ... 0.         0.00148679 0.00397352],[0.00047585 0.00174793 0.00123355 ... 0.         0.         0.        ],[0.00207283 0.00185577 0.00091724 ... 0.00067705 0.         0.        ],[0.00172774 0.00167038 0.         ... 0.         0.         0.00087824],[0.00093956 0.00201825 0.         ... 0.         0.         0.00135841],[0.00211451 0.         0.00235943 ... 0.         0.         0.        ],[0.00123835 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00023908 0.00062604 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00059145 0.00192169 0.00022219 ... 0.         0.         0.00125612],[0.         0.         0.00201425 ... 0.         0.00077013 0.        ],[0.00098401 0.         0.         ... 0.         0.         0.        ],[0.         0.00068292 0.00133539 ... 0.00018548 0.00018601 0.00085136],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00044607 ... 0.00101039 0.         0.00173957],[0.0025127  0.00088582 0.         ... 0.         0.         0.        ],[0.00776733 0.         0.         ... 0.         0.0027478  0.        ],[0.         0.         0.         ... 0.         0.         0.00524318],[0.         0.         0.00084277 ... 0.         0.00020312 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00350761 0.         0.         ... 0.         0.         0.        ],[0.00558309 0.         0.         ... 0.         0.         0.        ],[0.00299632 0.         0.00227249 ... 0.         0.         0.        ],[0.         0.         0.00065348 ... 0.         0.         0.        ],[0.         0.00432421 0.         ... 0.         0.         0.        ],[0.00142977 0.00069611 0.00201921 ... 0.00070804 0.         0.        ],[0.01462945 0.         0.         ... 0.         0.         0.        ],[0.00077434 0.00269806 0.         ... 0.         0.         0.        ],[0.02309787 0.         0.         ... 0.         0.         0.        ]
7,[0.00143847 0.         0.         ... 0.         0.         0.        ],[0.00251418 0.         0.00017976 ... 0.00095899 0.         0.        ],[0.00247287 0.         0.00047623 ... 0.00079439 0.00043599 0.        ],[0.         0.00069569 0.00030847 ... 0.         0.0013939  0.        ],[0.00144089 0.0014331  0.00047118 ... 0.         0.00094765 0.00188782],[0.00126122 0.00136083 0.00017434 ... 0.00018509 0.00080303 0.        ],[0.         0.         0.         ... 0.         0.00212524 0.00086511],[0.0043872  0.         0.00192882 ... 0.         0.         0.00052282],[0.         0.00253398 0.00062994 ... 0.         0.         0.        ],[0.00282217 0.         0.         ... 0.         0.00050674 0.        ],[0.01490984 0.         0.         ... 0.         0.         0.        ],[0.00426107 0.         0.0012278  ... 0.         0.         0.        ],[0.00173485 0.         0.         ... 0.00119275 0.         0.        ],[0.         0.         0.         ... 0.         0.00116281 0.        ],[0.         0.00192676 0.00084695 ... 0.00102343 0.0011044  0.        ],[0.         0.00163429 0.         ... 0.         0.         0.        ],[0.00037806 0.         0.         ... 0.00036409 0.         0.        ],[0.00187924 0.         0.00177174 ... 0.         0.         0.        ],[0.         0.00131326 0.0004792  ... 0.         0.0008804  0.        ],[0.         0.         0.         ... 0.00128438 0.         0.        ],[0.00082358 0.00155745 0.00101032 ... 0.         0.         0.        ],[0.00117229 0.00172241 0.         ... 0.         0.         0.0005146 ],[0.         0.00173989 0.         ... 0.         0.         0.        ],[0.0012028  0.00140119 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00156995 0.00181436 0.         ... 0.00071205 0.         0.        ],[0.00197465 0.00163893 0.         ... 0.         0.         0.        ],[0.00133598 0.00111622 0.         ... 0.         0.         0.        ],[0.00302874 0.00843591 0.         ... 0.         0.         0.        ],[0.00277928 0.00169873 0.00091272 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00143852 0.         ... 0.         0.         0.        ],[0.         0.00137804 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00140186 0.         0.        ],[0.         0.         0.         ... 0.00201637 0.00057695 0.        ],[0.00044382 0.         0.         ... 0.         0.         0.        ],[0.         0.00062591 0.         ... 0.         0.00053533 0.00021529]
5,[0.00233218 0.00057308 0.00072853 ... 0.00123516 0.00082116 0.00076184],[0.00033797 0.00231772 0.         ... 0.         0.         0.        ],[0.00214434 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00148676 0.00078527 0.00068762 ... 0.         0.         0.        ],[0.00037221 0.0013038  0.00133129 ... 0.         0.         0.        ],[0.         0.00130244 0.         ... 0.         0.         0.00119322],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00070014 ... 0.00107866 0.         0.        ],[0.         0.         0.00049039 ... 0.00109122 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00102615 ... 0.00307412 0.         0.00076766],[0.         0.         0.         ... 0.00680566 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00174171 0.00061278 0.00052095 ... 0.         0.00023569 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00181503 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00180052 0.        ],[0.         0.00158233 0.00050868 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00113649],[0.00283461 0.00151352 0.00090783 ... 0.         0.         0.00081919],[0.00354554 0.         0.00107334 ... 0.         0.         0.        ],[0.         0.00123647 0.0010084  ... 0.         0.         0.00197977],[0.         0.         0.00045932 ... 0.         0.         0.        ],[0.         0.00132832 0.         ... 0.00044542 0.0004158  0.00099145],[0.         0.         0.0013432  ... 0.         0.00030332 0.00062759],[0.         0.         0.00786536 ... 0.         0.         0.        ],[0.00195827 0.00079151 0.         ... 0.         0.         0.        ],[0.         0.         0.00365416 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00129265 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00611763],[0.00075024 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00156991 ... 0.         0.         0.00322364],[0.00159635 0.         0.00121561 ... 0.00052762 0.         0.00138282]
6,[0. 0. 0. ... 0. 0. 0.],[0.00329648 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00104114 ... 0.00100459 0.00471427 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00127823 ... 0.         0.         0.        ],[0.         0.         0.00179575 ... 0.00095677 0.         0.        ],[0.         0.00220336 0.         ... 0.         0.00337257 0.        ],[0.00044017 0.0002117  0.         ... 0.00038847 0.         0.00117955],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00143498 0.         0.        ],[0.00156129 0.         0.         ... 0.         0.         0.        ],[0.00138887 0.         0.         ... 0.         0.         0.        ],[0.0036484  0.         0.00082374 ... 0.00053505 0.         0.        ],[0.00022722 0.         0.00056358 ... 0.00065544 0.         0.0016494 ],[0.         0.         0.         ... 0.00066281 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00145079 0.         0.00072741 ... 0.00025903 0.         0.        ],[0.00122534 0.         0.00083035 ... 0.00051182 0.         0.00028681],[0.         0.00189501 0.         ... 0.00058392 0.         0.        ],[0.         0.00133564 0.00031503 ... 0.         0.         0.        ],[0.00016684 0.         0.00037323 ... 0.00147999 0.0006911  0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00035993 0.         0.        ],[0.         0.         0.         ... 0.00032895 0.00032418 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00652195 ... 0.00496677 0.         0.        ],[0.00061634 0.         0.00136502 ... 0.0013669  0.00027301 0.        ],[0.         0.         0.00428064 ... 0.         0.00451403 0.        ],[0.00145107 0.         0.00060904 ... 0.         0.         0.        ],[0.00174254 0.         0.         ... 0.         0.002796   0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00147713 0.         0.         ... 0.         0.         0.        ],[0.0008997  0.00046247 0.         ... 0.         0.00171185 0.        ],[0.00171732 0.00054242 0.         ... 0.         0.00064841 0.        ],[0.         0.         0.00164635 ... 0.         0.         0.        ],[0.00096249 0.00091788 0.         ... 0.         0.         0.        ]
