4,0.5067567567567568,0.05128205128205128,0.0,0.6788990825688074,0.26385106963178423,0.03125,0.0,0.9024390243902439,0.31122967479674796,0.14285714285714285,0.0,0.5441176470588235,0.22899159663865545,"[1, 2, 4]","[1, 0, 4]","[30, 32, 74]"
0,0.527027027027027,0.05555555555555555,0.0,0.7064220183486238,0.2955264148575731,0.03125,0.0,0.9390243902439024,0.3234247967479675,0.25,0.0,0.5661764705882353,0.27205882352941174,"[1, 3, 0]","[3, 0, 5]","[28, 31, 77]"
2,0.49324324324324326,0.05405405405405406,0.0425531914893617,0.6698113207547169,0.29057948473920714,0.03125,0.029411764705882353,0.8658536585365854,0.3088384744141559,0.2,0.07692307692307693,0.5461538461538461,0.27435897435897433,"[1, 2, 2]","[3, 1, 9]","[28, 31, 71]"
3,0.4797297297297297,0.046511627906976744,0.0,0.6572769953051643,0.2442544305601915,0.03125,0.0,0.8536585365853658,0.29496951219512196,0.09090909090909091,0.0,0.5343511450381679,0.2084200786490863,"[1, 3, 7]","[1, 0, 5]","[30, 31, 70]"
1,0.527027027027027,0.18181818181818182,0.0,0.6883720930232559,0.3178784895623674,0.125,0.0,0.9024390243902439,0.34247967479674796,0.3333333333333333,0.0,0.556390977443609,0.29657477025898077,"[4, 2, 6]","[1, 0, 2]","[27, 32, 74]"
5,0.4797297297297297,0.05263157894736842,0.04651162790697674,0.6418604651162791,0.28202357834384206,0.03125,0.029411764705882353,0.8414634146341463,0.3007083931133429,0.16666666666666666,0.1111111111111111,0.518796992481203,0.2655249234196603,"[1, 0, 5]","[0, 1, 8]","[31, 33, 69]"
8,0.5608108108108109,0.05714285714285714,0.1818181818181818,0.7188940092165899,0.3987940999156646,0.03125,0.11764705882352941,0.9512195121951219,0.3667055236728838,0.3333333333333333,0.4,0.5777777777777777,0.43703703703703706,"[1, 1, 1]","[3, 4, 3]","[28, 29, 78]"
9,0.4527027027027027,0.047619047619047616,0.04081632653061225,0.6341463414634146,0.2553832333933844,0.03125,0.029411764705882353,0.7926829268292683,0.2844482305117169,0.1,0.06666666666666667,0.5284552845528455,0.23170731707317072,"[1, 2, 7]","[4, 1, 10]","[27, 31, 65]"
7,0.527027027027027,0.22222222222222224,0.047619047619047616,0.6889952153110047,0.3566963508572647,0.15625,0.029411764705882353,0.8780487804878049,0.35457018173122906,0.38461538461538464,0.125,0.5669291338582677,0.3588481728245507,"[5, 3, 5]","[2, 1, 5]","[25, 30, 72]"
6,0.44594594594594594,0.0,0.0,0.6376811594202899,0.21256038647342995,0.0,0.0,0.8048780487804879,0.2682926829268293,0.0,0.0,0.528,0.17600000000000002,"[0, 4, 4]","[3, 0, 12]","[29, 30, 66]"
datasize,148

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
4,[0.         0.         0.         ... 0.00124445 0.         0.        ],[0.        0.        0.0025133 ... 0.        0.        0.       ],[0.00124846 0.         0.         ... 0.         0.         0.        ],[0.00659136 0.         0.         ... 0.         0.         0.        ],[0.00079597 0.         0.         ... 0.         0.         0.        ],[0.         0.00119313 0.0038044  ... 0.         0.         0.        ],[0.00092439 0.00201845 0.000519   ... 0.00088158 0.00029819 0.00065997],[0.00037618 0.         0.         ... 0.00121316 0.         0.00099391],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00049716 0.         0.0002826 ],[0.00115277 0.00049573 0.         ... 0.00183317 0.00031931 0.        ],[0.         0.         0.         ... 0.00350106 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00255584 0.         0.         ... 0.         0.00100402 0.        ],[0.         0.         0.         ... 0.         0.00278306 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.0008911  0.00146274 0.00070986 ... 0.         0.00095605 0.00023833],[0.         0.         0.         ... 0.         0.00472604 0.        ],[0.0029811 0.        0.        ... 0.        0.        0.       ],[0.00439457 0.         0.00454394 ... 0.00184524 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00145283 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00109178 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00240776 ... 0.         0.         0.        ],[0.00315489 0.         0.00216064 ... 0.         0.         0.        ],[0.         0.         0.00214965 ... 0.         0.         0.        ],[0.         0.00080713 0.         ... 0.         0.         0.00067212],[0.         0.         0.00135764 ... 0.00182886 0.         0.        ],[0.         0.         0.         ... 0.         0.00169625 0.        ],[0.00805348 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00076572 0.        ],[0.         0.00029539 0.00062496 ... 0.00065252 0.         0.        ],[0.         0.         0.         ... 0.         0.00032282 0.        ],[0.         0.         0.00169126 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.0003457 0.        0.        ... 0.        0.        0.       ]
0,[0.         0.00069606 0.         ... 0.00060605 0.00082482 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00147853 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00108856 0.         ... 0.00064938 0.         0.        ],[0.         0.         0.         ... 0.         0.00244548 0.        ],[0.00176731 0.         0.         ... 0.         0.00055005 0.        ],[0.        0.0014196 0.        ... 0.        0.        0.       ],[0.         0.         0.00140191 ... 0.         0.         0.00045235],[0.0034033  0.         0.         ... 0.         0.00040912 0.        ],[0.         0.00081508 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00483409 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00233864],[0.         0.         0.00077733 ... 0.         0.         0.        ],[0.         0.00156511 0.         ... 0.         0.00078177 0.        ],[0.       0.000934 0.       ... 0.       0.       0.      ],[0. 0. 0. ... 0. 0. 0.],[0.00017089 0.00651551 0.         ... 0.         0.         0.        ],[0.         0.         0.00028542 ... 0.00257348 0.00052399 0.        ],[0.00080416 0.00085145 0.00039285 ... 0.         0.         0.        ],[0.00120855 0.         0.         ... 0.         0.         0.        ],[0.0005326  0.00035882 0.         ... 0.         0.         0.        ],[0.00713748 0.         0.         ... 0.         0.         0.        ],[0.00072483 0.00457906 0.         ... 0.00029551 0.         0.00069255],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00088468],[0. 0. 0. ... 0. 0. 0.],[0.         0.00205714 0.00022391 ... 0.00210846 0.         0.00095775],[0.00108148 0.         0.00071517 ... 0.00066959 0.00068364 0.00026948],[0. 0. 0. ... 0. 0. 0.],[0.00387636 0.00051685 0.         ... 0.00063549 0.00129809 0.00114208],[0.0033078 0.        0.        ... 0.        0.        0.       ],[0.0017004  0.         0.00060668 ... 0.00074441 0.00029291 0.        ],[0.00226901 0.00124508 0.         ... 0.         0.0001384  0.        ]
2,[0.00232929 0.00015912 0.00123057 ... 0.00065033 0.00064229 0.        ],[0.         0.         0.         ... 0.         0.         0.00972884],[0.         0.         0.         ... 0.         0.00355193 0.00447924],[0. 0. 0. ... 0. 0. 0.],[0.         0.00070243 0.         ... 0.00066307 0.00121838 0.00169635],[0.00066383 0.0010614  0.         ... 0.         0.         0.00108284],[0.         0.         0.         ... 0.         0.         0.00092719],[0. 0. 0. ... 0. 0. 0.],[0.00189139 0.         0.         ... 0.00050036 0.         0.        ],[0.        0.        0.        ... 0.        0.0011062 0.       ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00504982 0.         ... 0.         0.         0.        ],[0.0036194  0.00485154 0.         ... 0.         0.         0.        ],[0.00223457 0.0043721  0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00061727 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00077467 0.00197788 0.         ... 0.         0.         0.00052369],[0.         0.         0.00066588 ... 0.00128177 0.         0.        ],[0.         0.         0.00402963 ... 0.         0.         0.        ],[0.         0.00577208 0.00048828 ... 0.         0.         0.00146927],[0.         0.00228649 0.         ... 0.00067498 0.         0.0004361 ],[0.00042064 0.         0.         ... 0.         0.0018042  0.        ],[0.         0.00493728 0.         ... 0.         0.         0.        ],[0.         0.00434842 0.00403388 ... 0.         0.         0.        ],[0.00030027 0.00059825 0.         ... 0.         0.         0.00068446],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00269025 ... 0.         0.         0.        ],[0.         0.         0.00429468 ... 0.         0.         0.00187988],[0. 0. 0. ... 0. 0. 0.],[0.00235308 0.00170077 0.00029121 ... 0.         0.         0.        ],[0.00504887 0.         0.         ... 0.         0.         0.00035778],[0.0014139  0.000787   0.00055087 ... 0.00031765 0.         0.        ],[0.00215427 0.00041362 0.00080756 ... 0.         0.00136763 0.00041003],[0.00185337 0.         0.         ... 0.0002857  0.         0.        ],[0.00260111 0.00212052 0.00048177 ... 0.00028493 0.00042397 0.00040688]
3,[0.0016775  0.         0.         ... 0.         0.00219375 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00158042 0.         0.00033217 ... 0.         0.00137403 0.        ],[0.00590668 0.00345701 0.         ... 0.         0.         0.        ],[0.00054057 0.         0.00073442 ... 0.         0.00156048 0.        ],[0.         0.         0.         ... 0.         0.00250687 0.        ],[0.00209497 0.         0.00097862 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00045879 0.00123803 ... 0.         0.         0.        ],[0.         0.00015522 0.00051842 ... 0.00273738 0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00041647],[0.00036803 0.00015297 0.         ... 0.0001618  0.         0.        ],[0.         0.         0.00062083 ... 0.         0.         0.        ],[0.         0.         0.00104086 ... 0.         0.         0.        ],[0.         0.0004755  0.00060589 ... 0.         0.         0.        ],[0.01009877 0.         0.         ... 0.00729534 0.         0.        ],[0.00039499 0.         0.00213821 ... 0.         0.         0.        ],[0.         0.         0.00166196 ... 0.         0.         0.        ],[0.         0.00162431 0.00213075 ... 0.00160791 0.00070703 0.00098934],[0.00208942 0.         0.         ... 0.00100902 0.         0.        ],[0.00150138 0.0007383  0.00135757 ... 0.         0.00060827 0.00064888],[0.00214315 0.00031727 0.         ... 0.00034128 0.         0.        ],[0.00557298 0.         0.         ... 0.         0.         0.        ],[0.00597679 0.         0.         ... 0.         0.         0.        ],[0.00145965 0.00056906 0.         ... 0.         0.         0.        ],[0.00309024 0.         0.         ... 0.0019367  0.         0.        ],[0.         0.00073517 0.0009673  ... 0.         0.00192445 0.        ],[0.         0.         0.         ... 0.00196955 0.         0.        ],[0.00677768 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00286727 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00252926],[0.         0.         0.         ... 0.         0.         0.00255433],[0.00273449 0.00040266 0.         ... 0.00094879 0.00190069 0.00055209],[0.00289331 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
1,[0.00091687 0.         0.         ... 0.00089074 0.00060887 0.00065921],[0.00123135 0.         0.         ... 0.         0.         0.00112222],[0.         0.00023281 0.         ... 0.         0.         0.00067848],[0.         0.         0.00075093 ... 0.         0.         0.00063319],[0.         0.00191377 0.         ... 0.         0.         0.00228378],[0.         0.00041751 0.         ... 0.         0.         0.        ],[0.0017009  0.         0.         ... 0.00048313 0.         0.        ],[0.00120107 0.         0.0004521  ... 0.00091256 0.0011752  0.        ],[0.         0.         0.00077232 ... 0.         0.         0.        ],[0.         0.00031499 0.00038819 ... 0.00052103 0.00115532 0.        ],[0.         0.         0.00068597 ... 0.         0.00085458 0.        ],[0.00032035 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.0006168  0.         0.00055275],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00133578],[0.         0.         0.00153072 ... 0.         0.         0.        ],[0.00155437 0.         0.         ... 0.00113261 0.00089023 0.        ],[0.         0.         0.         ... 0.         0.00149759 0.00333517],[0.         0.         0.         ... 0.         0.         0.00203844],[0. 0. 0. ... 0. 0. 0.],[0.00100913 0.         0.00063417 ... 0.00072522 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00030249 0.         ... 0.00028473 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00341154 0.        ],[0.         0.         0.00032631 ... 0.         0.         0.        ],[0.00343233 0.         0.         ... 0.         0.         0.        ],[0.00087967 0.00272882 0.         ... 0.         0.         0.00037045],[0.         0.         0.         ... 0.         0.00108996 0.        ],[0.00269301 0.00066146 0.001204   ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00312176],[0.         0.         0.00140032 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00115975 0.00138111],[0.         0.         0.00225643 ... 0.         0.         0.        ]
5,[0.00125853 0.         0.         ... 0.00106117 0.00137964 0.00304277],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00301706 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00278511 ... 0.         0.         0.        ],[0.00344092 0.         0.00223922 ... 0.         0.         0.00168765],[0.         0.         0.         ... 0.00484079 0.         0.        ],[0.00491242 0.         0.         ... 0.         0.         0.        ],[0.         0.00155782 0.         ... 0.00179328 0.         0.00042004],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00149359 0.         0.        ],[0.00381983 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00315157 0.         0.        ],[0.00115801 0.         0.00158913 ... 0.         0.         0.00034035],[0. 0. 0. ... 0. 0. 0.],[0.00088821 0.         0.         ... 0.         0.         0.00086729],[0.         0.         0.         ... 0.         0.         0.00105725],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00851778],[0. 0. 0. ... 0. 0. 0.],[0.00050647 0.         0.00122643 ... 0.00163434 0.00118066 0.        ],[0.00069963 0.         0.         ... 0.00043494 0.00081528 0.00159203],[0.00053943 0.         0.         ... 0.00035802 0.0012506  0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00145609 0.         0.         ... 0.         0.         0.        ],[0.0055423  0.00114592 0.         ... 0.         0.         0.00534795],[0.         0.         0.         ... 0.00084555 0.00199824 0.00094571],[0.         0.         0.00068552 ... 0.         0.00401522 0.00049987],[0.00156982 0.00213701 0.         ... 0.         0.00382283 0.        ],[0.00304848 0.         0.00380446 ... 0.         0.00302113 0.        ],[0.         0.         0.00565377 ... 0.         0.0045317  0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00452415 0.        ],[0.         0.         0.00180323 ... 0.         0.         0.        ]
8,[0.00716067 0.         0.         ... 0.         0.         0.        ],[0.00543908 0.         0.         ... 0.00260691 0.00190916 0.        ],[0.00823435 0.         0.         ... 0.         0.         0.        ],[0.00306308 0.         0.0007283  ... 0.         0.         0.        ],[0.00202319 0.         0.         ... 0.         0.         0.        ],[0.00572308 0.         0.         ... 0.         0.         0.        ],[0.0061758  0.         0.         ... 0.         0.00178397 0.        ],[0.0085629 0.        0.        ... 0.        0.        0.       ],[0. 0. 0. ... 0. 0. 0.],[0.0016277 0.        0.        ... 0.        0.        0.       ],[0. 0. 0. ... 0. 0. 0.],[0.00159237 0.00049005 0.         ... 0.         0.00168334 0.        ],[0.00381989 0.00171404 0.         ... 0.00129624 0.00347236 0.        ],[0.00397387 0.         0.         ... 0.         0.00022383 0.        ],[0.00129663 0.00176619 0.         ... 0.00107551 0.00126562 0.        ],[0.00170278 0.         0.         ... 0.         0.         0.        ],[0.00143339 0.00040293 0.0001819  ... 0.         0.00177225 0.        ],[0.00325435 0.         0.         ... 0.0023874  0.00376147 0.        ],[0.0022318  0.         0.         ... 0.         0.00097302 0.        ],[0.         0.         0.0004552  ... 0.         0.00058506 0.        ],[0.00385228 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00268482 0.00040083 0.         ... 0.         0.00058458 0.        ],[0.00360489 0.         0.         ... 0.00297446 0.00123181 0.        ],[0.00122035 0.         0.         ... 0.         0.00222061 0.        ],[0.00351575 0.         0.         ... 0.         0.00107239 0.        ],[0.00117552 0.         0.         ... 0.         0.00141306 0.        ],[0.00079154 0.         0.         ... 0.         0.00035198 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00092607],[0.         0.         0.         ... 0.         0.00122903 0.00146724],[0.         0.         0.         ... 0.00108785 0.00056735 0.00127982],[0.00041608 0.002864   0.         ... 0.         0.         0.00240723],[0.00251816 0.0017911  0.         ... 0.         0.00076874 0.        ],[0.         0.         0.         ... 0.00104539 0.         0.        ],[0.         0.00144547 0.         ... 0.         0.0004798  0.        ],[0.         0.         0.00161329 ... 0.         0.         0.        ]
9,[0.00218153 0.00121518 0.00042869 ... 0.         0.00069321 0.00185057],[0.         0.         0.         ... 0.         0.         0.00384191],[0.         0.         0.         ... 0.         0.         0.00130744],[0.00202773 0.00137504 0.         ... 0.00161246 0.00266243 0.00207395],[0.         0.         0.         ... 0.00398873 0.         0.        ],[0.00208139 0.         0.0004567  ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.0011061  ... 0.00121144 0.         0.0003626 ],[0.0005473  0.         0.0010177  ... 0.         0.         0.00065655],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00177475 0.         0.        ],[0.00589752 0.         0.00058118 ... 0.00161555 0.00267652 0.        ],[0.00365759 0.         0.         ... 0.         0.         0.        ],[0.00518702 0.         0.         ... 0.00119103 0.         0.00187683],[0.00064908 0.00051753 0.00130812 ... 0.00050873 0.00251918 0.        ],[0.00199386 0.         0.         ... 0.00098525 0.         0.00122482],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00036162 0.         0.         ... 0.         0.         0.00139403],[0.00148949 0.         0.         ... 0.         0.00122611 0.0012283 ],[0.00804636 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00090111 0.         ... 0.         0.         0.00053111],[0.0019006  0.00105129 0.         ... 0.         0.00103627 0.        ],[0.0028107 0.        0.        ... 0.        0.        0.       ],[0. 0. 0. ... 0. 0. 0.],[0.00413617 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00288335 0.         0.        ],[0.00513231 0.         0.         ... 0.         0.         0.        ],[0.         0.00068203 0.         ... 0.00197398 0.00057272 0.        ],[0.00123021 0.         0.         ... 0.         0.00137284 0.003236  ],[0.00049069 0.         0.         ... 0.         0.00047262 0.00028098],[0.00107106 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00342772],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00017283 ... 0.00055222 0.00056101 0.00147222],[0.        0.        0.        ... 0.000597  0.        0.0008934]
7,[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00150709 0.         0.        ],[0.00119387 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00103531 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00086935 ... 0.00053757 0.         0.        ],[0.         0.         0.         ... 0.00079228 0.         0.        ],[0.00251432 0.         0.         ... 0.00093897 0.         0.        ],[0.         0.         0.         ... 0.00191573 0.00151618 0.00051167],[0. 0. 0. ... 0. 0. 0.],[0.00373125 0.         0.         ... 0.         0.         0.        ],[0.         0.00036001 0.         ... 0.00126669 0.00142484 0.        ],[0.0033442  0.         0.         ... 0.00354139 0.         0.        ],[0.         0.00120285 0.         ... 0.00228459 0.00074454 0.        ],[0.00099342 0.         0.         ... 0.00063792 0.         0.00037129],[0.00324227 0.         0.         ... 0.         0.         0.        ],[0.00566566 0.         0.         ... 0.00178257 0.         0.        ],[0.         0.00251918 0.         ... 0.00236144 0.         0.        ],[0.0044039  0.         0.         ... 0.00326569 0.         0.        ],[0.00264298 0.         0.00185045 ... 0.         0.         0.        ],[0.00046463 0.         0.00229484 ... 0.001852   0.         0.        ],[0.00134772 0.         0.00054877 ... 0.00223116 0.         0.        ],[0.00173608 0.         0.         ... 0.00097175 0.         0.00080114],[0.00136129 0.         0.         ... 0.         0.         0.        ],[0.00034908 0.00133174 0.00051836 ... 0.00311129 0.         0.00038637],[0.         0.00094886 0.         ... 0.00129289 0.         0.        ],[0.         0.00050656 0.         ... 0.00145143 0.00035515 0.        ],[0.         0.00163998 0.         ... 0.00126542 0.         0.        ],[0.         0.         0.         ... 0.01106133 0.         0.        ],[0.         0.00037061 0.         ... 0.00170815 0.         0.        ],[0.         0.00021576 0.         ... 0.00136005 0.00104634 0.        ],[0.         0.         0.         ... 0.00297042 0.         0.        ],[0.         0.         0.         ... 0.00285321 0.00324244 0.        ],[0.        0.        0.        ... 0.0046361 0.        0.       ],[0.00145492 0.         0.         ... 0.00278679 0.         0.        ],[0.         0.         0.         ... 0.00238145 0.00165865 0.        ],[0.00230173 0.         0.         ... 0.00062256 0.         0.        ]
6,[0.         0.         0.         ... 0.00123082 0.         0.        ],[0.         0.00118646 0.         ... 0.         0.         0.        ],[0.00078676 0.         0.00098262 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00160394 ... 0.00216866 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.002605 0.       0.       ... 0.       0.       0.      ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00098921 ... 0.         0.         0.        ],[0.00131568 0.         0.         ... 0.         0.         0.        ],[0.0018102  0.00135151 0.         ... 0.         0.         0.        ],[0.         0.         0.00221549 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00075241 0.         0.        ],[0.00071115 0.         0.         ... 0.00171269 0.         0.        ],[0.00538184 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00354542 0.         0.         ... 0.00202039 0.         0.        ],[0.00580596 0.         0.0012602  ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00272489 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00186077 0.         0.         ... 0.         0.00128951 0.        ],[0.         0.         0.         ... 0.         0.         0.00168184],[0.00365501 0.         0.         ... 0.         0.         0.        ],[0.00063148 0.         0.00162596 ... 0.         0.00230452 0.        ],[0.00422626 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00262933 0.        ],[0.         0.         0.         ... 0.         0.00366983 0.00350282],[0.00056096 0.         0.         ... 0.         0.00137151 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00097861 0.         0.00059711 ... 0.         0.         0.        ]
