2,0.5540540540540541,0.6666666666666667,0.0,0.40909090909090906,0.3649455684353404,0.7710843373493976,0.0,0.36,0.3770281124497992,0.5871559633027523,0.0,0.47368421052631576,0.353613391276356,"[64, 13, 32]","[1, 0, 0]","[18, 2, 18]"
4,0.5472972972972973,0.6701570680628272,0.0,0.38202247191011235,0.3560643275660646,0.7710843373493976,0.0,0.34,0.37036144578313257,0.5925925925925926,0.0,0.4358974358974359,0.34283000949667614,"[64, 11, 33]","[1, 0, 0]","[18, 4, 17]"
0,0.6013513513513513,0.7113402061855669,0.0,0.45977011494252873,0.3985814830938906,0.8313253012048193,0.0,0.4,0.4104417670682731,0.6216216216216216,0,0.5405405405405406,0.3873873873873874,"[69, 12, 30]","[0, 0, 0]","[14, 3, 20]"
3,0.5743243243243243,0.6979166666666667,0.0,0.4137931034482759,0.3777450502513626,0.8072289156626506,0.0,0.36,0.3890763052208836,0.6146788990825688,0.0,0.4864864864864865,0.3670551285230184,"[67, 11, 31]","[1, 0, 1]","[15, 4, 18]"
1,0.5743243243243243,0.700507614213198,0.0,0.38554216867469876,0.373294199751923,0.8313253012048193,0.0,0.32,0.3837751004016064,0.6052631578947368,0.0,0.48484848484848486,0.36337054758107384,"[69, 11, 34]","[1, 0, 0]","[13, 4, 16]"
8,0.5743243243243243,0.6974358974358973,0.0,0.39534883720930236,0.37263159933002216,0.8192771084337349,0.0,0.34,0.386425702811245,0.6071428571428571,0,0.4722222222222222,0.35978835978835977,"[68, 11, 33]","[0, 0, 0]","[15, 4, 17]"
5,0.6283783783783784,0.74,0.0,0.46913580246913583,0.4194459534611761,0.891566265060241,0.0,0.38,0.42385542168674695,0.6324786324786325,0,0.6129032258064516,0.41512728609502797,"[74, 12, 31]","[0, 0, 0]","[9, 3, 19]"
9,0.5743243243243243,0.7000000000000001,0.0,0.379746835443038,0.3764270531075944,0.8433734939759037,0.0,0.3,0.3811244979919679,0.5982905982905983,0.0,0.5172413793103449,0.3718439925336477,"[70, 12, 35]","[2, 0, 0]","[11, 3, 15]"
7,0.5135135135135135,0.6455026455026456,0.0,0.32608695652173914,0.3270387933145064,0.7349397590361446,0.0,0.3,0.3449799196787149,0.5754716981132075,0,0.35714285714285715,0.31087151841868826,"[61, 10, 35]","[0, 0, 0]","[22, 5, 15]"
6,0.6148648648648649,0.7216494845360825,0.0,0.4827586206896552,0.4099743398214282,0.8433734939759037,0.0,0.42,0.4211244979919679,0.6306306306306306,0,0.5675675675675675,0.3993993993993994,"[70, 12, 29]","[0, 0, 0]","[13, 3, 21]"
datasize,148

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
2,[0.         0.         0.         ... 0.         0.00217671 0.        ],[0.00251838 0.00189421 0.00025199 ... 0.         0.00037038 0.        ],[0.         0.00251014 0.         ... 0.         0.         0.        ],[0.0019184  0.00087813 0.00065012 ... 0.00237915 0.         0.        ],[0.         0.00341694 0.         ... 0.         0.         0.        ],[0.0021438  0.00089652 0.         ... 0.00031423 0.         0.00314023],[0.         0.         0.         ... 0.00352161 0.         0.00278646],[0.         0.         0.         ... 0.         0.         0.00139739],[0.         0.         0.         ... 0.         0.00155402 0.        ],[0.00289996 0.00027069 0.         ... 0.00152153 0.         0.00091907],[0.0002751  0.00159579 0.         ... 0.00051202 0.00058794 0.00025224],[0.         0.00160606 0.00060886 ... 0.00064999 0.         0.        ],[0.         0.00241418 0.         ... 0.         0.         0.        ],[0.         0.00131834 0.         ... 0.         0.         0.        ],[0.         0.00031737 0.00049092 ... 0.00106032 0.         0.        ],[0.         0.00169187 0.         ... 0.         0.00014501 0.00079709],[0.         0.00543308 0.00129068 ... 0.         0.00198603 0.        ],[0.00359231 0.00378876 0.00108299 ... 0.         0.00044345 0.        ],[0.00024136 0.00028272 0.00061752 ... 0.00140352 0.         0.00030792],[0.00396459 0.00279754 0.         ... 0.00077984 0.00069766 0.        ],[0.         0.00204288 0.         ... 0.00029341 0.00145007 0.        ],[0.         0.0003346  0.         ... 0.00104408 0.00155742 0.        ],[0.00212973 0.00030653 0.         ... 0.         0.         0.        ],[0.0017776  0.         0.         ... 0.00241734 0.00104367 0.        ],[0.         0.00272883 0.00114626 ... 0.         0.         0.00122639],[0.00165523 0.         0.0002577  ... 0.00207808 0.         0.        ],[0.         0.00030858 0.00023928 ... 0.00450963 0.         0.        ],[0.00081474 0.00207957 0.         ... 0.00241087 0.         0.        ],[0.         0.00033461 0.         ... 0.00085632 0.         0.        ],[0.0019468  0.00431962 0.00050847 ... 0.00102278 0.         0.        ],[0.         0.         0.00060707 ... 0.         0.00274028 0.        ],[0.         0.00122501 0.         ... 0.00441856 0.00157381 0.        ],[0.         0.00271947 0.         ... 0.00386545 0.00338208 0.        ],[0.         0.00159947 0.         ... 0.         0.00285516 0.        ],[0.00598236 0.00246752 0.         ... 0.         0.         0.        ],[0.00198599 0.00185064 0.         ... 0.         0.00073561 0.00107403],[0.         0.00261437 0.         ... 0.00100621 0.         0.        ]
4,[0.0009978  0.00313228 0.         ... 0.00419395 0.         0.        ],[0.         0.         0.         ... 0.00893749 0.         0.        ],[0.0003207  0.00326441 0.         ... 0.00031933 0.00389792 0.00040695],[0.         0.         0.         ... 0.00436531 0.         0.        ],[0.         0.         0.         ... 0.00638535 0.         0.        ],[0.         0.         0.         ... 0.00843952 0.         0.        ],[0.         0.00180249 0.         ... 0.00400837 0.00294289 0.        ],[0.00751482 0.         0.         ... 0.         0.         0.        ],[0.         0.00173722 0.         ... 0.00067247 0.0028956  0.        ],[0.00248131 0.00161636 0.         ... 0.00445161 0.         0.00138335],[0.00097137 0.00215699 0.00177518 ... 0.00563219 0.0013086  0.        ],[0.         0.         0.00040911 ... 0.00133373 0.         0.00362194],[0.         0.00214586 0.         ... 0.0010064  0.         0.        ],[0.00179347 0.         0.         ... 0.         0.         0.        ],[0.00173565 0.00151551 0.00170213 ... 0.00112394 0.         0.00065002],[0.00339722 0.         0.         ... 0.         0.         0.00185852],[0.00695022 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00034598 0.00224392 0.        ],[0.00270696 0.         0.         ... 0.00251831 0.         0.        ],[0.00119536 0.         0.         ... 0.00879946 0.         0.        ],[0.         0.         0.00184918 ... 0.         0.         0.        ],[0.00484138 0.         0.         ... 0.         0.         0.00056324],[0.00046998 0.         0.0003968  ... 0.00193276 0.0011258  0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00469468 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00488109 0.         0.        ],[0.00308104 0.         0.         ... 0.         0.         0.        ],[0.00121761 0.         0.00258554 ... 0.00061149 0.         0.001331  ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00287749 ... 0.         0.         0.00067971],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.        0.        0.        ... 0.        0.0026036 0.       ],[0.         0.         0.         ... 0.         0.         0.00097487],[0.         0.         0.00223231 ... 0.00094459 0.         0.        ],[0.00166539 0.00073042 0.         ... 0.00067598 0.         0.        ]
0,[0.00060696 0.         0.         ... 0.00069855 0.         0.        ],[0.00345134 0.00217515 0.         ... 0.00175139 0.         0.00030035],[0.         0.         0.         ... 0.00197845 0.01074213 0.        ],[0.         0.00065593 0.         ... 0.00473452 0.         0.        ],[0.         0.00084594 0.00023369 ... 0.00199945 0.         0.        ],[0.00029002 0.00113216 0.         ... 0.00686398 0.         0.        ],[0.00033847 0.002445   0.         ... 0.00422973 0.         0.        ],[0.00395992 0.00291315 0.00061768 ... 0.00248972 0.00363539 0.        ],[0.         0.00849768 0.         ... 0.         0.         0.        ],[0.00028262 0.00290942 0.         ... 0.0019841  0.00291902 0.        ],[0.00365381 0.00580025 0.         ... 0.         0.         0.        ],[0.00364549 0.00236925 0.         ... 0.00188954 0.00134244 0.        ],[0.00054853 0.0067249  0.         ... 0.00488661 0.00091697 0.        ],[0.         0.00883023 0.00155377 ... 0.00665737 0.         0.        ],[0.         0.00569846 0.         ... 0.         0.         0.00061188],[0.00325318 0.00299222 0.         ... 0.00639118 0.         0.        ],[0.00239157 0.0022788  0.         ... 0.00333126 0.         0.00012644],[0.00161442 0.00581181 0.00116439 ... 0.         0.00075927 0.        ],[0.         0.00973396 0.         ... 0.         0.         0.00488076],[0.         0.01732926 0.         ... 0.         0.         0.        ],[0.00391058 0.00497592 0.         ... 0.00672083 0.00165436 0.        ],[0.00437448 0.00575012 0.         ... 0.00842403 0.         0.        ],[0.0025189  0.00591858 0.         ... 0.00977824 0.         0.        ],[0.         0.00489633 0.         ... 0.         0.00058418 0.00037569],[0.        0.0067034 0.        ... 0.        0.        0.       ],[0.00735315 0.00739454 0.         ... 0.         0.00668937 0.        ],[0.         0.00788557 0.         ... 0.         0.00548535 0.00097585],[0.00111    0.0005981  0.         ... 0.00458662 0.00119289 0.        ],[0.00039307 0.00081447 0.         ... 0.00680938 0.00054828 0.        ],[0.         0.00175191 0.         ... 0.00696519 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.0058434  0.00080096 0.        ],[0.         0.00123811 0.00086848 ... 0.00795638 0.         0.        ],[0.00288777 0.         0.00092894 ... 0.00861807 0.00363577 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00105322 0.00173652 ... 0.00603904 0.         0.        ],[0.         0.         0.         ... 0.01162831 0.         0.        ]
3,[0.00172407 0.00015173 0.00056969 ... 0.00090939 0.00407879 0.00068922],[0.00550848 0.         0.0010789  ... 0.00506478 0.00420886 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00343791 0.         0.00028865 ... 0.         0.00189091 0.00112136],[0.0027472  0.00410351 0.00054135 ... 0.00363958 0.00156948 0.00033254],[0.         0.00178974 0.         ... 0.         0.00336427 0.        ],[0.         0.         0.         ... 0.00507567 0.00664385 0.00120375],[0.00421132 0.00778152 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00569796 0.         0.        ],[0.00029447 0.         0.00328067 ... 0.00577588 0.00342557 0.00059717],[0.00181004 0.         0.00165527 ... 0.00304481 0.         0.        ],[0.         0.         0.         ... 0.00608962 0.         0.        ],[0.         0.00344868 0.00113335 ... 0.00687645 0.         0.00047136],[0.0010133  0.0020836  0.00167421 ... 0.00482916 0.         0.        ],[0.         0.00051362 0.00022805 ... 0.00269921 0.0002105  0.        ],[0.00071977 0.         0.         ... 0.00250841 0.00049812 0.0008991 ],[0.         0.00024921 0.         ... 0.00239834 0.         0.        ],[0.         0.00031158 0.00102808 ... 0.00556776 0.00300972 0.        ],[0.         0.         0.         ... 0.01646617 0.         0.        ],[0.00094451 0.00321881 0.         ... 0.0038108  0.         0.00154723],[0.         0.00729929 0.00303025 ... 0.00284152 0.         0.        ],[0.0010861  0.0005886  0.         ... 0.00072039 0.         0.        ],[0.00238094 0.00317991 0.         ... 0.00170123 0.         0.00066285],[0.         0.         0.         ... 0.00203975 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00431844 0.0011035  0.00202708 ... 0.         0.         0.        ],[0.00190911 0.00174576 0.0029729  ... 0.00064516 0.         0.        ],[0.00138357 0.         0.         ... 0.00093385 0.00091755 0.00035665],[0.         0.         0.         ... 0.         0.00228105 0.003318  ],[0.00086049 0.00247241 0.         ... 0.0011792  0.         0.00029092],[0.         0.01358033 0.         ... 0.00122745 0.         0.        ],[0.         0.00049779 0.         ... 0.         0.0012862  0.        ],[0.         0.00910844 0.         ... 0.         0.         0.        ],[0.         0.         0.00186909 ... 0.         0.         0.        ],[0.         0.00398936 0.         ... 0.00332153 0.         0.        ],[0.00064252 0.         0.00155047 ... 0.0010008  0.00078648 0.00287836]
1,[0.         0.00241282 0.         ... 0.0039443  0.         0.        ],[0.         0.00206067 0.         ... 0.00296326 0.00029959 0.        ],[0.00132059 0.00393745 0.00085816 ... 0.00143717 0.00090119 0.        ],[0.00123295 0.00268227 0.00072088 ... 0.00092631 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00176683 0.00189588 0.         ... 0.00488962 0.         0.        ],[0.00264472 0.00277061 0.         ... 0.00093885 0.00253186 0.00077094],[0. 0. 0. ... 0. 0. 0.],[0.         0.00196593 0.00053531 ... 0.00089696 0.00169336 0.        ],[0.00120205 0.00193595 0.         ... 0.00154434 0.0032997  0.00062972],[0.0017404  0.00163863 0.00068162 ... 0.00199887 0.0058281  0.00103534],[0.00323149 0.00293181 0.         ... 0.         0.00350445 0.00112105],[0.00141515 0.         0.         ... 0.00156551 0.00433709 0.00072524],[0.00130928 0.00023797 0.         ... 0.00428229 0.00473432 0.00069827],[0.         0.00025707 0.         ... 0.00230668 0.00119976 0.00294327],[0.00110309 0.         0.         ... 0.0011636  0.00471806 0.        ],[0.        0.        0.        ... 0.0155559 0.        0.       ],[0.00076013 0.00080549 0.0019867  ... 0.00251605 0.         0.        ],[0.         0.         0.00298497 ... 0.         0.         0.        ],[0.         0.00064365 0.00164302 ... 0.0019793  0.         0.00144601],[0. 0. 0. ... 0. 0. 0.],[0.00071068 0.         0.00107776 ... 0.         0.00392347 0.00078899],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00057256],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00197566 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00296819 0.         0.        ],[0.00328169 0.         0.00112831 ... 0.         0.00225414 0.00057418],[0.         0.         0.         ... 0.00368435 0.         0.0013127 ],[0.         0.         0.         ... 0.00258977 0.00252746 0.        ],[0.         0.00074989 0.         ... 0.         0.         0.00125309],[0.00056182 0.         0.00071694 ... 0.         0.00270076 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00501892 0.         0.         ... 0.00819519 0.00379419 0.        ]
8,[0.         0.         0.         ... 0.00526408 0.00242478 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00110634 ... 0.         0.00495697 0.00098843],[0.         0.00075073 0.00116843 ... 0.00433949 0.00232294 0.        ],[0.         0.         0.         ... 0.00118984 0.0087902  0.        ],[0.         0.00760699 0.         ... 0.         0.         0.        ],[0.00454817 0.         0.00109706 ... 0.         0.00486138 0.        ],[0.00099086 0.00152943 0.0007656  ... 0.         0.00821182 0.        ],[0.         0.         0.         ... 0.         0.00567045 0.        ],[0.0006785  0.00070532 0.00075753 ... 0.00277021 0.         0.        ],[0.         0.00027133 0.0006867  ... 0.         0.         0.        ],[0.00309432 0.00357369 0.         ... 0.         0.00331391 0.        ],[0.00188887 0.00155801 0.0005246  ... 0.00025177 0.00207121 0.        ],[0.         0.00074475 0.00174146 ... 0.         0.00198567 0.        ],[0.         0.         0.         ... 0.00518133 0.         0.        ],[0.         0.00275055 0.         ... 0.         0.         0.        ],[0.00035112 0.0005772  0.         ... 0.00113606 0.00093214 0.00073172],[0.         0.         0.         ... 0.00039586 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00084519 ... 0.         0.00174158 0.        ],[0.         0.         0.         ... 0.         0.01037029 0.        ],[0.00079848 0.00060219 0.         ... 0.         0.00162968 0.00053145],[0.         0.         0.00036042 ... 0.         0.00267289 0.        ],[0.         0.00647839 0.         ... 0.         0.         0.        ],[0.00107204 0.00076373 0.00042008 ... 0.00371585 0.00126039 0.        ],[0.0032765  0.00192189 0.00077125 ... 0.0004367  0.00162371 0.        ],[0.00248691 0.00239438 0.00133215 ... 0.00051756 0.00110914 0.        ],[0.00122162 0.         0.         ... 0.         0.         0.        ],[0.00135862 0.         0.         ... 0.         0.         0.        ],[0.00079052 0.00089002 0.00093537 ... 0.         0.00016673 0.        ],[0.         0.00312286 0.00126789 ... 0.         0.         0.        ],[0.         0.00082864 0.0021043  ... 0.00056015 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00230653 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00185873 0.00033405 0.         ... 0.         0.         0.        ]
5,[0.         0.00266844 0.         ... 0.00227211 0.         0.        ],[0.         0.00041032 0.00171795 ... 0.00040265 0.0027883  0.00201088],[0.         0.00190289 0.00165983 ... 0.00064534 0.00625529 0.        ],[0.         0.00119759 0.00088197 ... 0.00058466 0.00209912 0.        ],[0.         0.         0.00154345 ... 0.00102847 0.0076     0.00050397],[0.         0.         0.00125766 ... 0.00295258 0.00225194 0.        ],[0.         0.         0.00629404 ... 0.         0.         0.        ],[0.         0.00027724 0.00344134 ... 0.00200575 0.00171144 0.        ],[0.00277838 0.         0.00687053 ... 0.         0.         0.        ],[0.         0.00549733 0.0033095  ... 0.00953318 0.         0.        ],[0.00156532 0.         0.00097797 ... 0.00262566 0.00174377 0.00097206],[0.00121416 0.00131555 0.00044175 ... 0.00410254 0.00308326 0.00177691],[0.         0.00049491 0.002525   ... 0.00732326 0.         0.        ],[0.         0.         0.00235062 ... 0.00639692 0.         0.        ],[0.         0.         0.         ... 0.00412443 0.         0.        ],[0.00179411 0.00037592 0.00245572 ... 0.00263823 0.00021185 0.00079202],[0.         0.0014     0.00032283 ... 0.00217989 0.00047389 0.00071269],[0.         0.00133714 0.00067807 ... 0.00442974 0.         0.        ],[0.00035364 0.00096257 0.00169511 ... 0.00300455 0.         0.        ],[0.         0.         0.00204187 ... 0.00447368 0.00082836 0.        ],[0.00011348 0.00055125 0.00093184 ... 0.00397873 0.00089846 0.0006872 ],[0.         0.00064389 0.00123946 ... 0.00643458 0.00051975 0.        ],[0.00287192 0.         0.         ... 0.01064135 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00987408 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.0005169  ... 0.00403767 0.0009748  0.        ],[0.00080197 0.         0.         ... 0.00224537 0.00398228 0.00053516],[0.         0.         0.         ... 0.00549546 0.         0.        ],[0.00506899 0.00345093 0.         ... 0.00829742 0.00088685 0.        ],[0.         0.00135941 0.         ... 0.         0.         0.        ],[0.00206193 0.         0.         ... 0.         0.00046158 0.        ],[0.         0.         0.00150884 ... 0.         0.         0.00028924],[0.         0.         0.00089434 ... 0.00026746 0.00351073 0.        ],[0.00165572 0.         0.         ... 0.00295579 0.00169937 0.00243026],[0.00165472 0.         0.         ... 0.00603523 0.         0.00048895]
9,[0.00219392 0.         0.         ... 0.00174594 0.00092949 0.00048297],[0. 0. 0. ... 0. 0. 0.],[0.00255005 0.         0.         ... 0.         0.00906635 0.        ],[0.00711306 0.         0.         ... 0.00582843 0.         0.        ],[0.00112886 0.         0.00057405 ... 0.00480553 0.         0.00060679],[0.         0.         0.         ... 0.00688576 0.00115068 0.00218227],[0.         0.         0.00160571 ... 0.01099508 0.00046787 0.        ],[0.         0.00068371 0.         ... 0.00596854 0.00027323 0.00036037],[0.00560986 0.         0.         ... 0.00400007 0.         0.        ],[0.         0.         0.         ... 0.00373793 0.00252754 0.00125332],[0.0025485  0.         0.00065007 ... 0.00862998 0.00025268 0.        ],[0.00297082 0.         0.         ... 0.00041066 0.00253618 0.00035482],[0.         0.         0.         ... 0.         0.00084265 0.        ],[0.00506184 0.         0.00099549 ... 0.00171726 0.00062302 0.        ],[0.00080222 0.00026727 0.00059901 ... 0.00250252 0.         0.        ],[0.00237709 0.         0.00015334 ... 0.00187244 0.00245164 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00042892 0.         0.0013863  ... 0.00163388 0.         0.00082632],[0.00013218 0.00013875 0.         ... 0.00138578 0.00399597 0.00093744],[0.00219908 0.         0.         ... 0.00046686 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00145679 0.         0.         ... 0.00035941 0.00077515 0.        ],[0.         0.00047705 0.         ... 0.00443269 0.00304319 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00411413 0.         0.00175015 ... 0.00195825 0.00083211 0.00118077],[0.0020521  0.00091598 0.         ... 0.00064352 0.00155398 0.00038224],[0.         0.00322007 0.         ... 0.00309183 0.         0.        ],[0.00436253 0.         0.         ... 0.00099373 0.00235326 0.        ],[0.00214437 0.         0.         ... 0.00249901 0.00140326 0.00113481],[0.00431301 0.         0.00249872 ... 0.00255269 0.         0.00240598],[0.00543818 0.00205772 0.         ... 0.         0.         0.        ],[0.00376165 0.         0.         ... 0.00263098 0.00269287 0.        ],[0.         0.00473248 0.         ... 0.         0.         0.00543785],[0.00476618 0.00091403 0.00053699 ... 0.00230501 0.00101127 0.00165442]
7,[0.         0.00083189 0.00108681 ... 0.         0.         0.        ],[0.         0.00158706 0.         ... 0.0009859  0.00057206 0.0001341 ],[0.         0.00078609 0.         ... 0.         0.         0.        ],[0.         0.00179075 0.00071092 ... 0.00158468 0.         0.        ],[0.         0.         0.         ... 0.00265306 0.00050264 0.        ],[0.         0.         0.         ... 0.         0.00163187 0.        ],[0.0012336 0.        0.0005741 ... 0.        0.        0.       ],[0.         0.         0.         ... 0.         0.00233792 0.        ],[0.         0.         0.00041397 ... 0.00307166 0.00189357 0.00061676],[0.00591638 0.         0.         ... 0.0032412  0.         0.        ],[0.00330439 0.         0.         ... 0.00526355 0.         0.        ],[0.         0.         0.00152459 ... 0.00361134 0.         0.        ],[0.         0.00927221 0.         ... 0.00101715 0.         0.        ],[0.         0.00957999 0.         ... 0.         0.00614945 0.        ],[0.         0.0065091  0.00065667 ... 0.00522141 0.         0.        ],[0.00050936 0.         0.         ... 0.00093414 0.0034706  0.00053832],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00078154 0.00307759 0.0005881 ],[0.         0.         0.         ... 0.         0.00417921 0.        ],[0.00113599 0.00087278 0.         ... 0.         0.00455667 0.        ],[0.         0.         0.         ... 0.00172086 0.         0.        ],[0.         0.         0.         ... 0.00777286 0.         0.        ],[0.00575074 0.         0.         ... 0.00388712 0.         0.        ],[0.         0.         0.0054634  ... 0.00522697 0.         0.        ],[0.         0.         0.0013615  ... 0.00485307 0.         0.00440359],[0.001582   0.         0.         ... 0.00447415 0.00262434 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00124391 0.00096979 0.00035915 ... 0.00314791 0.00205603 0.        ],[0.00296866 0.         0.00039517 ... 0.00346962 0.00260612 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00249757 0.         0.00067761 ... 0.00278625 0.00406349 0.        ],[0.         0.         0.         ... 0.         0.00410734 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00313162 0.         0.         ... 0.         0.00476316 0.00037784],[0.00225394 0.00111533 0.         ... 0.         0.00314319 0.00173283],[0.00261003 0.00099134 0.         ... 0.         0.00457337 0.        ],[0.         0.00308487 0.         ... 0.         0.00301521 0.00160406]
6,[0.         0.         0.00166851 ... 0.00087197 0.         0.00078422],[0. 0. 0. ... 0. 0. 0.],[0.         0.00058041 0.         ... 0.         0.         0.        ],[0.         0.         0.00205581 ... 0.00040549 0.00053822 0.        ],[0.         0.         0.00106105 ... 0.00233176 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.        0.0036763 0.        ... 0.        0.        0.       ],[0.00019531 0.00115245 0.         ... 0.00325248 0.         0.        ],[0.         0.00586577 0.00075374 ... 0.00238405 0.0012822  0.        ],[0.         0.00286046 0.         ... 0.         0.         0.        ],[0.         0.00721392 0.00357188 ... 0.00158492 0.         0.        ],[0.         0.00209244 0.0016039  ... 0.         0.00048794 0.00033617],[0.00048593 0.00471773 0.00154779 ... 0.00100993 0.         0.        ],[0.         0.00247191 0.00424098 ... 0.00184273 0.00274798 0.        ],[0.         0.00323638 0.         ... 0.         0.         0.        ],[0.         0.         0.00102305 ... 0.00038565 0.00201996 0.00045955],[0.         0.00307509 0.         ... 0.00048364 0.         0.        ],[0.         0.00339589 0.         ... 0.         0.00864037 0.        ],[0.00235568 0.00306579 0.00247206 ... 0.00136397 0.00215113 0.        ],[0.0025217  0.00372607 0.00148385 ... 0.         0.00843494 0.00103341],[0.         0.         0.         ... 0.00515516 0.         0.0018696 ],[0.         0.00105618 0.00052607 ... 0.0042878  0.00046151 0.        ],[0.         0.00404883 0.         ... 0.         0.01263426 0.        ],[0.         0.00418769 0.         ... 0.00364953 0.01050803 0.        ],[0.         0.         0.         ... 0.00076097 0.00913841 0.        ],[0.         0.         0.         ... 0.         0.02719471 0.        ],[0.         0.00216289 0.         ... 0.00093316 0.00031362 0.        ],[0.         0.00377098 0.         ... 0.00262186 0.         0.        ],[0.         0.00189215 0.         ... 0.00134252 0.         0.        ],[0.         0.         0.         ... 0.00493105 0.         0.        ],[0.0021142  0.         0.         ... 0.00092891 0.00449138 0.00045874],[0.00128754 0.00346795 0.         ... 0.00178186 0.         0.00045857],[0.         0.00777194 0.         ... 0.         0.00087413 0.        ],[0.00142181 0.00153584 0.         ... 0.         0.         0.        ],[0.         0.00394312 0.         ... 0.         0.00131976 0.        ],[0.         0.00280761 0.00046601 ... 0.00081404 0.00174617 0.        ],[0.         0.00104855 0.         ... 0.00084894 0.         0.        ]
