2,0.5285714285714286,0.6764705882352942,0.049999999999999996,0.22222222222222224,0.3649128438126923,0.8518518518518519,0.03225806451612903,0.14285714285714285,0.3423223530750412,0.5609756097560976,0.1111111111111111,0.5,0.3906955736224029,"[69, 30, 24]","[8, 1, 0]","[4, 0, 4]"
0,0.4928571428571429,0.66,0.04878048780487805,0.10256410256410255,0.2918507121061475,0.8148148148148148,0.03225806451612903,0.07142857142857142,0.3061671502531717,0.5546218487394958,0.1,0.18181818181818182,0.2788133435192259,"[66, 28, 25]","[8, 1, 1]","[7, 2, 2]"
3,0.5071428571428571,0.6900000000000001,0.05128205128205128,0.04878048780487805,0.2817293382680847,0.8518518518518519,0.03225806451612903,0.03571428571428571,0.3066080673607555,0.5798319327731093,0.125,0.07692307692307693,0.2605850032320621,"[69, 26, 24]","[4, 1, 3]","[8, 4, 1]"
4,0.5142857142857142,0.6829268292682927,0.10256410256410256,0.0,0.28929146730682903,0.8641975308641975,0.06451612903225806,0.0,0.3095712199654852,0.5645161290322581,0.25,0.0,0.27150537634408606,"[70, 28, 26]","[4, 2, 2]","[7, 1, 0]"
1,0.5428571428571428,0.7164179104477612,0.15000000000000002,0.05128205128205127,0.3409359632751724,0.8888888888888888,0.0967741935483871,0.03571428571428571,0.3404591227171872,0.6,0.3333333333333333,0.09090909090909091,0.3414141414141414,"[72, 24, 24]","[3, 3, 3]","[6, 4, 1]"
5,0.5071428571428571,0.6934673366834171,0.0,0.10526315789473682,0.28279831847472636,0.8518518518518519,0.0,0.07142857142857142,0.30776014109347444,0.5847457627118644,0.0,0.2,0.26158192090395477,"[69, 28, 21]","[7, 0, 5]","[5, 3, 2]"
6,0.5428571428571428,0.712871287128713,0.17777777777777778,0.0,0.3147945909723739,0.8888888888888888,0.12903225806451613,0.0,0.3393070489844683,0.5950413223140496,0.2857142857142857,0.0,0.29358520267611177,"[72, 25, 24]","[6, 4, 4]","[3, 2, 0]"
8,0.4857142857142857,0.6666666666666667,0.08888888888888889,0.0,0.26126004338761843,0.8148148148148148,0.06451612903225806,0.0,0.293110314615691,0.5641025641025641,0.14285714285714285,0.0,0.23565323565323562,"[66, 27, 24]","[8, 2, 4]","[7, 2, 0]"
7,0.5357142857142857,0.714975845410628,0.05405405405405405,0.0,0.27969145616204444,0.9135802469135802,0.03225806451612903,0.0,0.3152794371432364,0.5873015873015873,0.16666666666666666,0.0,0.25132275132275134,"[74, 27, 25]","[2, 1, 3]","[5, 3, 0]"
9,0.5642857142857143,0.7121951219512195,0.15789473684210525,0.16216216216216214,0.4052051915128893,0.9012345679012346,0.0967741935483871,0.10714285714285714,0.3683838728641596,0.5887096774193549,0.42857142857142855,0.3333333333333333,0.4502048131080389,"[73, 27, 24]","[3, 3, 1]","[5, 1, 3]"
datasize,140

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
2,[0. 0. 0. ... 0. 0. 0.],[0.00077609 0.00083443 0.00045482 ... 0.00158169 0.00031704 0.        ],[0.         0.         0.         ... 0.00135028 0.         0.        ],[0.        0.0054196 0.        ... 0.006099  0.        0.       ],[0.         0.00094225 0.00028834 ... 0.         0.00128167 0.        ],[0.         0.         0.00414653 ... 0.         0.         0.        ],[0.         0.00164229 0.         ... 0.00123915 0.         0.        ],[0.         0.         0.         ... 0.00138816 0.         0.        ],[0.         0.         0.         ... 0.00226291 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.        0.0029649 0.        ... 0.        0.        0.       ],[0.00178805 0.00045986 0.         ... 0.00175932 0.         0.        ],[0.00068179 0.00191898 0.         ... 0.00416078 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00303703 0.         0.        ],[0.         0.00407965 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00380159 0.         0.        ],[0.00394149 0.00193175 0.00031522 ... 0.         0.         0.        ],[0.00437902 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00094002 0.         0.00123792 ... 0.00101223 0.         0.00135596],[0.         0.00462585 0.         ... 0.         0.         0.        ],[0.00132453 0.00171808 0.         ... 0.         0.         0.        ],[0.00288314 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00182875 0.         0.        ],[0.         0.         0.         ... 0.00182841 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00015358 ... 0.00101565 0.         0.        ],[0. 0. 0. ... 0. 0. 0.]
0,[0.00164254 0.         0.         ... 0.00595709 0.         0.00395936],[0.00506625 0.         0.         ... 0.00818445 0.         0.        ],[0.00549951 0.         0.         ... 0.00595788 0.         0.        ],[0.         0.         0.         ... 0.00341294 0.         0.        ],[0.00385525 0.         0.         ... 0.00365573 0.         0.00209716],[0.         0.00221867 0.         ... 0.         0.         0.        ],[0.0015879  0.00095979 0.00307742 ... 0.         0.         0.00187018],[0.         0.         0.         ... 0.00132814 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00095236 0.         ... 0.         0.         0.        ],[0.00070029 0.00215351 0.00184033 ... 0.         0.001425   0.        ],[0.00561033 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00033709 ... 0.         0.00026225 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00120656 ... 0.00101562 0.         0.00218172],[0.         0.         0.         ... 0.00224759 0.00509201 0.        ],[0.         0.         0.         ... 0.         0.         0.00571602],[0.00123885 0.00078991 0.00159318 ... 0.         0.         0.00437015],[0.         0.         0.00073255 ... 0.         0.         0.00719466],[0.         0.         0.00122857 ... 0.         0.         0.00664002],[0.         0.00601252 0.         ... 0.         0.         0.00134346],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00213727 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00989144],[0.         0.         0.         ... 0.         0.00504352 0.        ],[0.         0.         0.         ... 0.         0.         0.00119441],[0.         0.         0.         ... 0.         0.         0.00495258],[0.00076026 0.         0.00045955 ... 0.         0.         0.00195342],[0.         0.         0.00174668 ... 0.         0.00048213 0.        ],[0.         0.         0.         ... 0.         0.         0.01065514],[0.        0.        0.0014604 ... 0.        0.        0.       ],[0.00063999 0.00068444 0.         ... 0.         0.         0.00145317],[0.         0.         0.         ... 0.         0.         0.00332254],[0.         0.00272671 0.         ... 0.         0.         0.        ]
3,[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00160108],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.0032074  0.         ... 0.         0.         0.00365044],[0.0010826  0.         0.         ... 0.         0.         0.00036801],[0.         0.         0.         ... 0.         0.         0.00069494],[0.         0.         0.         ... 0.00150124 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00073734 0.         0.         ... 0.00189442 0.00074992 0.00179328],[0.         0.         0.         ... 0.00405147 0.         0.        ],[0.         0.00272426 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00142164 0.00123375 0.00172056],[0.00346713 0.00510758 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.        0.        0.        ... 0.        0.0016712 0.       ],[0.         0.00161057 0.         ... 0.00074236 0.         0.        ],[0.         0.00239384 0.00421904 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00386912 0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00140579],[0.         0.00180164 0.         ... 0.00176464 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.002232 0.       0.       ... 0.       0.       0.      ],[0.         0.00165634 0.         ... 0.         0.         0.        ],[0.00224733 0.00275675 0.         ... 0.         0.         0.        ],[0.00315291 0.0009482  0.         ... 0.         0.         0.        ]
4,[0.         0.00662262 0.         ... 0.         0.         0.        ],[0.         0.00192237 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00194604],[0.         0.         0.00450099 ... 0.         0.         0.        ],[0.         0.00224527 0.         ... 0.         0.         0.        ],[0.00554134 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00504864 ... 0.         0.         0.        ],[0.01178792 0.00372011 0.         ... 0.         0.         0.        ],[0.00659846 0.         0.         ... 0.         0.         0.        ],[0.00573119 0.         0.         ... 0.         0.00114823 0.        ],[0.00337658 0.         0.         ... 0.         0.         0.00084174],[0.006685   0.00384304 0.         ... 0.         0.         0.        ],[0.00716742 0.         0.00431645 ... 0.         0.00239533 0.        ],[0.00659905 0.0096585  0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00727512 0.        ],[0.         0.         0.         ... 0.         0.00216736 0.        ],[0.0012574  0.00067269 0.00062146 ... 0.00042668 0.         0.        ],[0.        0.        0.        ... 0.        0.0022584 0.       ],[0.         0.         0.         ... 0.         0.00221284 0.        ],[0.00218394 0.00557064 0.         ... 0.         0.         0.        ],[0.00610019 0.         0.         ... 0.00363914 0.         0.        ],[0.00108201 0.00439495 0.00328615 ... 0.         0.00122205 0.        ],[0.         0.         0.         ... 0.         0.00074112 0.        ],[0.        0.0108566 0.        ... 0.        0.        0.       ],[0.         0.01168447 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00237547],[0.         0.00129944 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00125937 0.00536325 0.         ... 0.         0.         0.00040582],[0.         0.00617512 0.         ... 0.         0.         0.        ],[0.       0.004629 0.       ... 0.       0.       0.      ],[0.00547591 0.         0.00073239 ... 0.         0.         0.        ],[0.         0.00364832 0.         ... 0.         0.         0.        ],[0.         0.00567177 0.         ... 0.         0.         0.        ],[0.00505139 0.         0.         ... 0.         0.         0.        ]
1,[0.00265406 0.0006     0.00034685 ... 0.         0.         0.        ],[0.00941176 0.         0.         ... 0.         0.         0.        ],[0.01039824 0.         0.         ... 0.         0.         0.        ],[0.00260317 0.         0.         ... 0.00117569 0.         0.        ],[0.00999797 0.         0.         ... 0.         0.         0.00423471],[0.01087807 0.         0.00279865 ... 0.         0.         0.        ],[0.         0.00193965 0.         ... 0.         0.         0.00085788],[0.00626366 0.         0.         ... 0.         0.         0.        ],[0.00163086 0.         0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.        0.        0.        ... 0.        0.        0.0133544],[0.         0.         0.         ... 0.         0.         0.00042009],[0.         0.         0.         ... 0.00200766 0.         0.        ],[0.         0.         0.00068549 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00377195 0.         ... 0.         0.         0.        ],[0.         0.00206381 0.         ... 0.         0.00194238 0.        ],[0.         0.00269984 0.         ... 0.         0.         0.        ],[0.         0.00175241 0.         ... 0.00094911 0.         0.        ],[0.00100581 0.00081368 0.00041368 ... 0.         0.         0.        ],[0.         0.0003746  0.00209433 ... 0.00030737 0.         0.        ],[0.         0.00083526 0.00027641 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00120648 0.         0.00021449],[0.00501499 0.00747807 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00348744 0.00092974 0.        ],[0.         0.00101547 0.00064791 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.00159375 0.00141154 0.00179606 ... 0.0012666  0.         0.00346323],[0.         0.00282312 0.00408925 ... 0.         0.         0.        ],[0.         0.         0.00080008 ... 0.00061064 0.         0.00045753],[0.         0.         0.00392843 ... 0.         0.         0.00228764],[0.        0.        0.        ... 0.        0.        0.0017151],[0.00143669 0.         0.00108881 ... 0.0007714  0.         0.        ],[0. 0. 0. ... 0. 0. 0.]
5,[0.         0.00031032 0.00083972 ... 0.         0.0015782  0.        ],[0.         0.00134409 0.         ... 0.00382857 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00126363 0.         0.        ],[0.         0.00118092 0.         ... 0.         0.         0.        ],[0.00020642 0.00050267 0.         ... 0.00217399 0.         0.00032468],[0.00100777 0.         0.00178058 ... 0.00130106 0.         0.        ],[0.         0.00160016 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00083603 ... 0.         0.         0.        ],[0.         0.00338698 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00379715],[0.         0.00613495 0.         ... 0.         0.         0.        ],[0.00219901 0.         0.         ... 0.         0.         0.        ],[0.         0.00216912 0.         ... 0.         0.         0.        ],[0.         0.00188559 0.         ... 0.00276536 0.         0.        ],[0.        0.0023462 0.        ... 0.        0.        0.       ],[0.00264027 0.         0.         ... 0.         0.         0.00238255],[0.         0.         0.001097   ... 0.00064351 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00165865 0.         0.        ],[0.         0.00448976 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00296157 0.         0.00234452],[0.00153729 0.         0.         ... 0.         0.         0.        ],[0.00120607 0.         0.         ... 0.00287807 0.         0.        ],[0.00423533 0.         0.         ... 0.00098997 0.         0.        ],[0.         0.00184062 0.00038531 ... 0.         0.         0.        ],[0.         0.00277033 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00172606 0.         0.        ],[0.        0.        0.0012062 ... 0.        0.        0.       ],[0.         0.         0.00113871 ... 0.         0.         0.00236336],[0.         0.         0.00073047 ... 0.0025393  0.         0.        ],[0.00103923 0.         0.         ... 0.         0.         0.        ],[0.         0.00356804 0.         ... 0.         0.         0.00110097]
6,[0.00040008 0.00088528 0.0005823  ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00336113 0.        ],[0.         0.         0.         ... 0.         0.00437863 0.        ],[0.00686983 0.         0.         ... 0.         0.         0.        ],[0.         0.00173589 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00337529 ... 0.         0.         0.00170714],[0.00076731 0.00213628 0.00070719 ... 0.         0.         0.00031989],[0.         0.         0.         ... 0.         0.00055512 0.        ],[0.00211886 0.         0.         ... 0.         0.00260077 0.        ],[0.       0.       0.001384 ... 0.       0.       0.      ],[0.         0.         0.00136288 ... 0.         0.         0.00161783],[0.         0.00150968 0.         ... 0.00042356 0.00094065 0.00033751],[0.00770128 0.0010997  0.00234894 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00408846 0.        ],[0.00874178 0.         0.00984534 ... 0.         0.         0.        ],[0.0030394  0.         0.00039771 ... 0.         0.         0.        ],[0.         0.00180591 0.         ... 0.         0.         0.        ],[0.         0.00091128 0.         ... 0.         0.00068472 0.00251287],[0.         0.         0.         ... 0.         0.         0.00380193],[0.         0.         0.00564839 ... 0.         0.         0.        ],[0.00857515 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00147325 ... 0.         0.         0.        ],[0.00087205 0.00191684 0.         ... 0.00265312 0.         0.        ],[0.00695832 0.         0.00297713 ... 0.         0.         0.        ],[0.00176723 0.00082958 0.         ... 0.         0.         0.00134504],[0.         0.00020507 0.00020355 ... 0.00050238 0.00042809 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00742487 0.         0.         ... 0.00442761 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00133709 0.00113577 0.         ... 0.00303141 0.         0.        ],[0.         0.0012281  0.00050411 ... 0.00171607 0.0006564  0.        ],[0.00103902 0.         0.         ... 0.         0.         0.        ],[0.00198211 0.         0.         ... 0.         0.         0.00107423],[0.        0.0011815 0.        ... 0.        0.        0.       ]
8,[0.00108618 0.         0.         ... 0.         0.         0.        ],[0.00093864 0.00118547 0.         ... 0.00198482 0.         0.        ],[0.         0.00179253 0.         ... 0.         0.         0.        ],[0.         0.00065978 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00360284],[0.         0.00378262 0.00244995 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00137434 ... 0.         0.         0.        ],[0.00076911 0.         0.         ... 0.00400927 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00171431 0.        ],[0.         0.         0.         ... 0.         0.         0.00436682],[0.00010971 0.00025729 0.00064986 ... 0.         0.00038189 0.        ],[0.         0.00435994 0.         ... 0.00739917 0.         0.00082951],[0. 0. 0. ... 0. 0. 0.],[0.         0.00202148 0.         ... 0.004664   0.         0.00162662],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00159842 ... 0.         0.         0.        ],[0.         0.         0.00178584 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.000984 0.       0.       ... 0.       0.       0.      ],[0.         0.         0.         ... 0.00626276 0.         0.        ],[0.         0.         0.00397593 ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.0005296  0.         0.00147526 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00355821 0.         0.        ],[0.         0.00490282 0.         ... 0.         0.         0.        ],[0.         0.         0.00059616 ... 0.00124037 0.         0.        ],[0.         0.         0.00424136 ... 0.00416676 0.         0.        ],[0.         0.00319619 0.00157588 ... 0.         0.         0.        ],[0.         0.00332183 0.         ... 0.         0.         0.        ],[0.         0.00073898 0.         ... 0.         0.         0.        ],[0.         0.00335208 0.         ... 0.         0.         0.        ],[0.        0.        0.0075979 ... 0.        0.        0.       ]
7,[0. 0. 0. ... 0. 0. 0.],[0.         0.00205436 0.         ... 0.         0.         0.        ],[0.         0.00606965 0.         ... 0.         0.         0.00501942],[0.       0.       0.       ... 0.007206 0.       0.      ],[0.         0.         0.         ... 0.00149481 0.         0.00565932],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00189565 0.00558682],[0.         0.         0.         ... 0.0015133  0.         0.00435076],[0.002295 0.       0.       ... 0.       0.       0.      ],[0.00279099 0.         0.         ... 0.         0.         0.00124345],[0.0011192  0.00063091 0.         ... 0.00098341 0.         0.00099414],[0.         0.         0.         ... 0.         0.         0.00463919],[0.00309644 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.00552582 ... 0.         0.         0.        ],[0.         0.00497912 0.         ... 0.         0.         0.00428206],[0.00070879 0.00027094 0.0015691  ... 0.00052564 0.00070006 0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.00126302 0.         ... 0.00142854 0.         0.        ],[0.00155149 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00195219 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.00069372 0.00217985 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.         0.00634195],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00032298 ... 0.00078675 0.         0.00032897],[0.         0.         0.00091501 ... 0.         0.00113293 0.00143251],[0.         0.00012768 0.         ... 0.         0.         0.00074583],[0.         0.00251538 0.         ... 0.         0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.00117586 0.        ],[0.         0.         0.00165705 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00122162 0.00036427],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
9,[0.         0.         0.         ... 0.         0.00304395 0.        ],[0.00338405 0.         0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.         0.00212272 0.        ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.00081735 ... 0.00072561 0.00079108 0.        ],[0.         0.         0.         ... 0.00193629 0.00044839 0.00054881],[0.         0.         0.00037338 ... 0.         0.000982   0.        ],[0.         0.         0.         ... 0.00524098 0.0041775  0.        ],[0.00103642 0.         0.         ... 0.         0.00260404 0.        ],[0.         0.         0.         ... 0.         0.0027413  0.00296269],[0.         0.         0.00245619 ... 0.         0.         0.        ],[0.00075862 0.         0.         ... 0.00189984 0.         0.00103453],[0. 0. 0. ... 0. 0. 0.],[0.00079122 0.00128482 0.         ... 0.         0.         0.        ],[0.00188575 0.0007746  0.         ... 0.00043398 0.         0.        ],[0.         0.         0.         ... 0.00201363 0.         0.        ],[0.00156875 0.00111438 0.00131519 ... 0.00072615 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.00250693 0.         0.        ],[0.         0.00292288 0.         ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00252905 0.         0.        ],[0. 0. 0. ... 0. 0. 0.],[0.00388394 0.         0.         ... 0.00216794 0.         0.        ],[0.         0.         0.         ... 0.00153842 0.         0.        ],[0.         0.         0.         ... 0.00164059 0.00182318 0.        ],[0.         0.         0.00155167 ... 0.         0.         0.        ],[0.         0.         0.         ... 0.00239461 0.         0.        ],[0.00101968 0.00104182 0.00069442 ... 0.00126342 0.         0.00074154],[0.         0.00121053 0.00064334 ... 0.00172702 0.00041044 0.        ],[0.         0.         0.00095751 ... 0.         0.         0.        ],[0.00126268 0.         0.         ... 0.00184464 0.         0.        ],[0.00320427 0.         0.         ... 0.         0.         0.        ]
