,0,1,2,accuracy,macro avg,weighted avg
precision,0.6037735849056604,0.3333333333333333,0.3548387096774194,0.5428571428571428,0.4306485426388044,0.4893835318667941
recall,0.8205128205128205,0.037037037037037035,0.3142857142857143,0.5428571428571428,0.39061185727852393,0.5428571428571428
f1-score,0.6956521739130435,0.06666666666666667,0.3333333333333333,0.5428571428571428,0.36521739130434777,0.483768115942029
support,78.0,27.0,35.0,0.5428571428571428,140.0,140.0
precision,0.6037735849056604,0.3333333333333333,0.3548387096774194,0.5428571428571428,0.4306485426388044,0.4893835318667941
recall,0.8205128205128205,0.037037037037037035,0.3142857142857143,0.5428571428571428,0.39061185727852393,0.5428571428571428
f1-score,0.6956521739130435,0.06666666666666667,0.3333333333333333,0.5428571428571428,0.36521739130434777,0.483768115942029
support,78.0,27.0,35.0,0.5428571428571428,140.0,140.0
precision,0.6037735849056604,0.3333333333333333,0.3548387096774194,0.5428571428571428,0.4306485426388044,0.4893835318667941
recall,0.8205128205128205,0.037037037037037035,0.3142857142857143,0.5428571428571428,0.39061185727852393,0.5428571428571428
f1-score,0.6956521739130435,0.06666666666666667,0.3333333333333333,0.5428571428571428,0.36521739130434777,0.483768115942029
support,78.0,27.0,35.0,0.5428571428571428,140.0,140.0
precision,0.6037735849056604,0.3333333333333333,0.3548387096774194,0.5428571428571428,0.4306485426388044,0.4893835318667941
recall,0.8205128205128205,0.037037037037037035,0.3142857142857143,0.5428571428571428,0.39061185727852393,0.5428571428571428
f1-score,0.6956521739130435,0.06666666666666667,0.3333333333333333,0.5428571428571428,0.36521739130434777,0.483768115942029
support,78.0,27.0,35.0,0.5428571428571428,140.0,140.0
precision,0.6037735849056604,0.3333333333333333,0.3548387096774194,0.5428571428571428,0.4306485426388044,0.4893835318667941
recall,0.8205128205128205,0.037037037037037035,0.3142857142857143,0.5428571428571428,0.39061185727852393,0.5428571428571428
f1-score,0.6956521739130435,0.06666666666666667,0.3333333333333333,0.5428571428571428,0.36521739130434777,0.483768115942029
support,78.0,27.0,35.0,0.5428571428571428,140.0,140.0
precision,0.6037735849056604,0.3333333333333333,0.3548387096774194,0.5428571428571428,0.4306485426388044,0.4893835318667941
recall,0.8205128205128205,0.037037037037037035,0.3142857142857143,0.5428571428571428,0.39061185727852393,0.5428571428571428
f1-score,0.6956521739130435,0.06666666666666667,0.3333333333333333,0.5428571428571428,0.36521739130434777,0.483768115942029
support,78.0,27.0,35.0,0.5428571428571428,140.0,140.0
precision,0.6037735849056604,0.3333333333333333,0.3548387096774194,0.5428571428571428,0.4306485426388044,0.4893835318667941
recall,0.8205128205128205,0.037037037037037035,0.3142857142857143,0.5428571428571428,0.39061185727852393,0.5428571428571428
f1-score,0.6956521739130435,0.06666666666666667,0.3333333333333333,0.5428571428571428,0.36521739130434777,0.483768115942029
support,78.0,27.0,35.0,0.5428571428571428,140.0,140.0
precision,0.6037735849056604,0.3333333333333333,0.3548387096774194,0.5428571428571428,0.4306485426388044,0.4893835318667941
recall,0.8205128205128205,0.037037037037037035,0.3142857142857143,0.5428571428571428,0.39061185727852393,0.5428571428571428
f1-score,0.6956521739130435,0.06666666666666667,0.3333333333333333,0.5428571428571428,0.36521739130434777,0.483768115942029
support,78.0,27.0,35.0,0.5428571428571428,140.0,140.0
precision,0.6037735849056604,0.3333333333333333,0.3548387096774194,0.5428571428571428,0.4306485426388044,0.4893835318667941
recall,0.8205128205128205,0.037037037037037035,0.3142857142857143,0.5428571428571428,0.39061185727852393,0.5428571428571428
f1-score,0.6956521739130435,0.06666666666666667,0.3333333333333333,0.5428571428571428,0.36521739130434777,0.483768115942029
support,78.0,27.0,35.0,0.5428571428571428,140.0,140.0
precision,0.6037735849056604,0.3333333333333333,0.3548387096774194,0.5428571428571428,0.4306485426388044,0.4893835318667941
recall,0.8205128205128205,0.037037037037037035,0.3142857142857143,0.5428571428571428,0.39061185727852393,0.5428571428571428
f1-score,0.6956521739130435,0.06666666666666667,0.3333333333333333,0.5428571428571428,0.36521739130434777,0.483768115942029
support,78.0,27.0,35.0,0.5428571428571428,140.0,140.0
