,0,1,2,accuracy,macro avg,weighted avg
precision,0.5630252100840336,0.09090909090909091,0.2,0.5,0.2846447669977082,0.38588017024991816
recall,0.8271604938271605,0.03225806451612903,0.07142857142857142,0.5,0.3102823765906203,0.5
f1-score,0.67,0.047619047619047616,0.10526315789473682,0.5,0.2742940685045948,0.41923970640887936
support,81.0,31.0,28.0,0.5,140.0,140.0
precision,0.5630252100840336,0.09090909090909091,0.2,0.5,0.2846447669977082,0.38588017024991816
recall,0.8271604938271605,0.03225806451612903,0.07142857142857142,0.5,0.3102823765906203,0.5
f1-score,0.67,0.047619047619047616,0.10526315789473682,0.5,0.2742940685045948,0.41923970640887936
support,81.0,31.0,28.0,0.5,140.0,140.0
precision,0.5630252100840336,0.09090909090909091,0.2,0.5,0.2846447669977082,0.38588017024991816
recall,0.8271604938271605,0.03225806451612903,0.07142857142857142,0.5,0.3102823765906203,0.5
f1-score,0.67,0.047619047619047616,0.10526315789473682,0.5,0.2742940685045948,0.41923970640887936
support,81.0,31.0,28.0,0.5,140.0,140.0
precision,0.5630252100840336,0.09090909090909091,0.2,0.5,0.2846447669977082,0.38588017024991816
recall,0.8271604938271605,0.03225806451612903,0.07142857142857142,0.5,0.3102823765906203,0.5
f1-score,0.67,0.047619047619047616,0.10526315789473682,0.5,0.2742940685045948,0.41923970640887936
support,81.0,31.0,28.0,0.5,140.0,140.0
precision,0.5630252100840336,0.09090909090909091,0.2,0.5,0.2846447669977082,0.38588017024991816
recall,0.8271604938271605,0.03225806451612903,0.07142857142857142,0.5,0.3102823765906203,0.5
f1-score,0.67,0.047619047619047616,0.10526315789473682,0.5,0.2742940685045948,0.41923970640887936
support,81.0,31.0,28.0,0.5,140.0,140.0
precision,0.5630252100840336,0.09090909090909091,0.2,0.5,0.2846447669977082,0.38588017024991816
recall,0.8271604938271605,0.03225806451612903,0.07142857142857142,0.5,0.3102823765906203,0.5
f1-score,0.67,0.047619047619047616,0.10526315789473682,0.5,0.2742940685045948,0.41923970640887936
support,81.0,31.0,28.0,0.5,140.0,140.0
precision,0.5630252100840336,0.09090909090909091,0.2,0.5,0.2846447669977082,0.38588017024991816
recall,0.8271604938271605,0.03225806451612903,0.07142857142857142,0.5,0.3102823765906203,0.5
f1-score,0.67,0.047619047619047616,0.10526315789473682,0.5,0.2742940685045948,0.41923970640887936
support,81.0,31.0,28.0,0.5,140.0,140.0
precision,0.5630252100840336,0.09090909090909091,0.2,0.5,0.2846447669977082,0.38588017024991816
recall,0.8271604938271605,0.03225806451612903,0.07142857142857142,0.5,0.3102823765906203,0.5
f1-score,0.67,0.047619047619047616,0.10526315789473682,0.5,0.2742940685045948,0.41923970640887936
support,81.0,31.0,28.0,0.5,140.0,140.0
precision,0.5630252100840336,0.09090909090909091,0.2,0.5,0.2846447669977082,0.38588017024991816
recall,0.8271604938271605,0.03225806451612903,0.07142857142857142,0.5,0.3102823765906203,0.5
f1-score,0.67,0.047619047619047616,0.10526315789473682,0.5,0.2742940685045948,0.41923970640887936
support,81.0,31.0,28.0,0.5,140.0,140.0
precision,0.5630252100840336,0.09090909090909091,0.2,0.5,0.2846447669977082,0.38588017024991816
recall,0.8271604938271605,0.03225806451612903,0.07142857142857142,0.5,0.3102823765906203,0.5
f1-score,0.67,0.047619047619047616,0.10526315789473682,0.5,0.2742940685045948,0.41923970640887936
support,81.0,31.0,28.0,0.5,140.0,140.0
