,0,1,2,accuracy,macro avg,weighted avg
precision,0.6075949367088608,0.41509433962264153,0.375,0.5214285714285715,0.4658964254438341,0.5025804786925517
recall,0.7058823529411765,0.43137254901960786,0.14285714285714285,0.5214285714285715,0.42670401493930904,0.5214285714285715
f1-score,0.653061224489796,0.4230769230769231,0.20689655172413796,0.5214285714285715,0.42767823309695235,0.5023565280602579
support,68.0,51.0,21.0,0.5214285714285715,140.0,140.0
precision,0.6075949367088608,0.41509433962264153,0.375,0.5214285714285715,0.4658964254438341,0.5025804786925517
recall,0.7058823529411765,0.43137254901960786,0.14285714285714285,0.5214285714285715,0.42670401493930904,0.5214285714285715
f1-score,0.653061224489796,0.4230769230769231,0.20689655172413796,0.5214285714285715,0.42767823309695235,0.5023565280602579
support,68.0,51.0,21.0,0.5214285714285715,140.0,140.0
precision,0.6075949367088608,0.41509433962264153,0.375,0.5214285714285715,0.4658964254438341,0.5025804786925517
recall,0.7058823529411765,0.43137254901960786,0.14285714285714285,0.5214285714285715,0.42670401493930904,0.5214285714285715
f1-score,0.653061224489796,0.4230769230769231,0.20689655172413796,0.5214285714285715,0.42767823309695235,0.5023565280602579
support,68.0,51.0,21.0,0.5214285714285715,140.0,140.0
precision,0.6075949367088608,0.41509433962264153,0.375,0.5214285714285715,0.4658964254438341,0.5025804786925517
recall,0.7058823529411765,0.43137254901960786,0.14285714285714285,0.5214285714285715,0.42670401493930904,0.5214285714285715
f1-score,0.653061224489796,0.4230769230769231,0.20689655172413796,0.5214285714285715,0.42767823309695235,0.5023565280602579
support,68.0,51.0,21.0,0.5214285714285715,140.0,140.0
precision,0.6075949367088608,0.41509433962264153,0.375,0.5214285714285715,0.4658964254438341,0.5025804786925517
recall,0.7058823529411765,0.43137254901960786,0.14285714285714285,0.5214285714285715,0.42670401493930904,0.5214285714285715
f1-score,0.653061224489796,0.4230769230769231,0.20689655172413796,0.5214285714285715,0.42767823309695235,0.5023565280602579
support,68.0,51.0,21.0,0.5214285714285715,140.0,140.0
precision,0.6075949367088608,0.41509433962264153,0.375,0.5214285714285715,0.4658964254438341,0.5025804786925517
recall,0.7058823529411765,0.43137254901960786,0.14285714285714285,0.5214285714285715,0.42670401493930904,0.5214285714285715
f1-score,0.653061224489796,0.4230769230769231,0.20689655172413796,0.5214285714285715,0.42767823309695235,0.5023565280602579
support,68.0,51.0,21.0,0.5214285714285715,140.0,140.0
precision,0.6075949367088608,0.41509433962264153,0.375,0.5214285714285715,0.4658964254438341,0.5025804786925517
recall,0.7058823529411765,0.43137254901960786,0.14285714285714285,0.5214285714285715,0.42670401493930904,0.5214285714285715
f1-score,0.653061224489796,0.4230769230769231,0.20689655172413796,0.5214285714285715,0.42767823309695235,0.5023565280602579
support,68.0,51.0,21.0,0.5214285714285715,140.0,140.0
precision,0.6075949367088608,0.41509433962264153,0.375,0.5214285714285715,0.4658964254438341,0.5025804786925517
recall,0.7058823529411765,0.43137254901960786,0.14285714285714285,0.5214285714285715,0.42670401493930904,0.5214285714285715
f1-score,0.653061224489796,0.4230769230769231,0.20689655172413796,0.5214285714285715,0.42767823309695235,0.5023565280602579
support,68.0,51.0,21.0,0.5214285714285715,140.0,140.0
precision,0.6075949367088608,0.41509433962264153,0.375,0.5214285714285715,0.4658964254438341,0.5025804786925517
recall,0.7058823529411765,0.43137254901960786,0.14285714285714285,0.5214285714285715,0.42670401493930904,0.5214285714285715
f1-score,0.653061224489796,0.4230769230769231,0.20689655172413796,0.5214285714285715,0.42767823309695235,0.5023565280602579
support,68.0,51.0,21.0,0.5214285714285715,140.0,140.0
precision,0.6075949367088608,0.41509433962264153,0.375,0.5214285714285715,0.4658964254438341,0.5025804786925517
recall,0.7058823529411765,0.43137254901960786,0.14285714285714285,0.5214285714285715,0.42670401493930904,0.5214285714285715
f1-score,0.653061224489796,0.4230769230769231,0.20689655172413796,0.5214285714285715,0.42767823309695235,0.5023565280602579
support,68.0,51.0,21.0,0.5214285714285715,140.0,140.0
