,0,1,2,accuracy,macro avg,weighted avg
precision,0.058823529411764705,0.17647058823529413,0.5471698113207547,0.44285714285714284,0.2608213096559378,0.35165688917076265
recall,0.03225806451612903,0.09090909090909091,0.7631578947368421,0.44285714285714284,0.29544168338735405,0.44285714285714284
f1-score,0.041666666666666664,0.12000000000000001,0.6373626373626373,0.44285714285714284,0.2663431013431013,0.3835087650444793
support,31.0,33.0,76.0,0.44285714285714284,140.0,140.0
precision,0.058823529411764705,0.17647058823529413,0.5471698113207547,0.44285714285714284,0.2608213096559378,0.35165688917076265
recall,0.03225806451612903,0.09090909090909091,0.7631578947368421,0.44285714285714284,0.29544168338735405,0.44285714285714284
f1-score,0.041666666666666664,0.12000000000000001,0.6373626373626373,0.44285714285714284,0.2663431013431013,0.3835087650444793
support,31.0,33.0,76.0,0.44285714285714284,140.0,140.0
precision,0.058823529411764705,0.17647058823529413,0.5471698113207547,0.44285714285714284,0.2608213096559378,0.35165688917076265
recall,0.03225806451612903,0.09090909090909091,0.7631578947368421,0.44285714285714284,0.29544168338735405,0.44285714285714284
f1-score,0.041666666666666664,0.12000000000000001,0.6373626373626373,0.44285714285714284,0.2663431013431013,0.3835087650444793
support,31.0,33.0,76.0,0.44285714285714284,140.0,140.0
precision,0.058823529411764705,0.17647058823529413,0.5471698113207547,0.44285714285714284,0.2608213096559378,0.35165688917076265
recall,0.03225806451612903,0.09090909090909091,0.7631578947368421,0.44285714285714284,0.29544168338735405,0.44285714285714284
f1-score,0.041666666666666664,0.12000000000000001,0.6373626373626373,0.44285714285714284,0.2663431013431013,0.3835087650444793
support,31.0,33.0,76.0,0.44285714285714284,140.0,140.0
precision,0.058823529411764705,0.17647058823529413,0.5471698113207547,0.44285714285714284,0.2608213096559378,0.35165688917076265
recall,0.03225806451612903,0.09090909090909091,0.7631578947368421,0.44285714285714284,0.29544168338735405,0.44285714285714284
f1-score,0.041666666666666664,0.12000000000000001,0.6373626373626373,0.44285714285714284,0.2663431013431013,0.3835087650444793
support,31.0,33.0,76.0,0.44285714285714284,140.0,140.0
precision,0.058823529411764705,0.17647058823529413,0.5471698113207547,0.44285714285714284,0.2608213096559378,0.35165688917076265
recall,0.03225806451612903,0.09090909090909091,0.7631578947368421,0.44285714285714284,0.29544168338735405,0.44285714285714284
f1-score,0.041666666666666664,0.12000000000000001,0.6373626373626373,0.44285714285714284,0.2663431013431013,0.3835087650444793
support,31.0,33.0,76.0,0.44285714285714284,140.0,140.0
precision,0.058823529411764705,0.17647058823529413,0.5471698113207547,0.44285714285714284,0.2608213096559378,0.35165688917076265
recall,0.03225806451612903,0.09090909090909091,0.7631578947368421,0.44285714285714284,0.29544168338735405,0.44285714285714284
f1-score,0.041666666666666664,0.12000000000000001,0.6373626373626373,0.44285714285714284,0.2663431013431013,0.3835087650444793
support,31.0,33.0,76.0,0.44285714285714284,140.0,140.0
precision,0.058823529411764705,0.17647058823529413,0.5471698113207547,0.44285714285714284,0.2608213096559378,0.35165688917076265
recall,0.03225806451612903,0.09090909090909091,0.7631578947368421,0.44285714285714284,0.29544168338735405,0.44285714285714284
f1-score,0.041666666666666664,0.12000000000000001,0.6373626373626373,0.44285714285714284,0.2663431013431013,0.3835087650444793
support,31.0,33.0,76.0,0.44285714285714284,140.0,140.0
precision,0.058823529411764705,0.17647058823529413,0.5471698113207547,0.44285714285714284,0.2608213096559378,0.35165688917076265
recall,0.03225806451612903,0.09090909090909091,0.7631578947368421,0.44285714285714284,0.29544168338735405,0.44285714285714284
f1-score,0.041666666666666664,0.12000000000000001,0.6373626373626373,0.44285714285714284,0.2663431013431013,0.3835087650444793
support,31.0,33.0,76.0,0.44285714285714284,140.0,140.0
precision,0.058823529411764705,0.17647058823529413,0.5471698113207547,0.44285714285714284,0.2608213096559378,0.35165688917076265
recall,0.03225806451612903,0.09090909090909091,0.7631578947368421,0.44285714285714284,0.29544168338735405,0.44285714285714284
f1-score,0.041666666666666664,0.12000000000000001,0.6373626373626373,0.44285714285714284,0.2663431013431013,0.3835087650444793
support,31.0,33.0,76.0,0.44285714285714284,140.0,140.0
