,0,1,2,accuracy,macro avg,weighted avg
precision,0.5487804878048781,0.2608695652173913,0.4,0.4642857142857143,0.4032166843407565,0.42918724435691563
recall,0.7142857142857143,0.15789473684210525,0.358974358974359,0.4642857142857143,0.4103849367007262,0.4642857142857143
f1-score,0.6206896551724138,0.19672131147540983,0.37837837837837845,0.4642857142857143,0.39859644834206737,0.43811153477631715
support,63.0,38.0,39.0,0.4642857142857143,140.0,140.0
precision,0.5487804878048781,0.2608695652173913,0.4,0.4642857142857143,0.4032166843407565,0.42918724435691563
recall,0.7142857142857143,0.15789473684210525,0.358974358974359,0.4642857142857143,0.4103849367007262,0.4642857142857143
f1-score,0.6206896551724138,0.19672131147540983,0.37837837837837845,0.4642857142857143,0.39859644834206737,0.43811153477631715
support,63.0,38.0,39.0,0.4642857142857143,140.0,140.0
precision,0.5487804878048781,0.2608695652173913,0.4,0.4642857142857143,0.4032166843407565,0.42918724435691563
recall,0.7142857142857143,0.15789473684210525,0.358974358974359,0.4642857142857143,0.4103849367007262,0.4642857142857143
f1-score,0.6206896551724138,0.19672131147540983,0.37837837837837845,0.4642857142857143,0.39859644834206737,0.43811153477631715
support,63.0,38.0,39.0,0.4642857142857143,140.0,140.0
precision,0.5487804878048781,0.2608695652173913,0.4,0.4642857142857143,0.4032166843407565,0.42918724435691563
recall,0.7142857142857143,0.15789473684210525,0.358974358974359,0.4642857142857143,0.4103849367007262,0.4642857142857143
f1-score,0.6206896551724138,0.19672131147540983,0.37837837837837845,0.4642857142857143,0.39859644834206737,0.43811153477631715
support,63.0,38.0,39.0,0.4642857142857143,140.0,140.0
precision,0.5487804878048781,0.2608695652173913,0.4,0.4642857142857143,0.4032166843407565,0.42918724435691563
recall,0.7142857142857143,0.15789473684210525,0.358974358974359,0.4642857142857143,0.4103849367007262,0.4642857142857143
f1-score,0.6206896551724138,0.19672131147540983,0.37837837837837845,0.4642857142857143,0.39859644834206737,0.43811153477631715
support,63.0,38.0,39.0,0.4642857142857143,140.0,140.0
precision,0.5487804878048781,0.2608695652173913,0.4,0.4642857142857143,0.4032166843407565,0.42918724435691563
recall,0.7142857142857143,0.15789473684210525,0.358974358974359,0.4642857142857143,0.4103849367007262,0.4642857142857143
f1-score,0.6206896551724138,0.19672131147540983,0.37837837837837845,0.4642857142857143,0.39859644834206737,0.43811153477631715
support,63.0,38.0,39.0,0.4642857142857143,140.0,140.0
precision,0.5487804878048781,0.2608695652173913,0.4,0.4642857142857143,0.4032166843407565,0.42918724435691563
recall,0.7142857142857143,0.15789473684210525,0.358974358974359,0.4642857142857143,0.4103849367007262,0.4642857142857143
f1-score,0.6206896551724138,0.19672131147540983,0.37837837837837845,0.4642857142857143,0.39859644834206737,0.43811153477631715
support,63.0,38.0,39.0,0.4642857142857143,140.0,140.0
precision,0.5487804878048781,0.2608695652173913,0.4,0.4642857142857143,0.4032166843407565,0.42918724435691563
recall,0.7142857142857143,0.15789473684210525,0.358974358974359,0.4642857142857143,0.4103849367007262,0.4642857142857143
f1-score,0.6206896551724138,0.19672131147540983,0.37837837837837845,0.4642857142857143,0.39859644834206737,0.43811153477631715
support,63.0,38.0,39.0,0.4642857142857143,140.0,140.0
precision,0.5487804878048781,0.2608695652173913,0.4,0.4642857142857143,0.4032166843407565,0.42918724435691563
recall,0.7142857142857143,0.15789473684210525,0.358974358974359,0.4642857142857143,0.4103849367007262,0.4642857142857143
f1-score,0.6206896551724138,0.19672131147540983,0.37837837837837845,0.4642857142857143,0.39859644834206737,0.43811153477631715
support,63.0,38.0,39.0,0.4642857142857143,140.0,140.0
precision,0.5487804878048781,0.2608695652173913,0.4,0.4642857142857143,0.4032166843407565,0.42918724435691563
recall,0.7142857142857143,0.15789473684210525,0.358974358974359,0.4642857142857143,0.4103849367007262,0.4642857142857143
f1-score,0.6206896551724138,0.19672131147540983,0.37837837837837845,0.4642857142857143,0.39859644834206737,0.43811153477631715
support,63.0,38.0,39.0,0.4642857142857143,140.0,140.0
