,0,1,2,accuracy,macro avg,weighted avg
precision,0.6559139784946236,1.0,0.4888888888888889,0.6071428571428571,0.7149342891278375,0.6317921146953405
recall,0.7625,0.15384615384615385,0.46808510638297873,0.6071428571428571,0.4614770867430442,0.6071428571428571
f1-score,0.7052023121387283,0.2666666666666667,0.47826086956521735,0.6071428571428571,0.4833766161235375,0.5882936607666439
support,80.0,13.0,47.0,0.6071428571428571,140.0,140.0
precision,0.6559139784946236,1.0,0.4888888888888889,0.6071428571428571,0.7149342891278375,0.6317921146953405
recall,0.7625,0.15384615384615385,0.46808510638297873,0.6071428571428571,0.4614770867430442,0.6071428571428571
f1-score,0.7052023121387283,0.2666666666666667,0.47826086956521735,0.6071428571428571,0.4833766161235375,0.5882936607666439
support,80.0,13.0,47.0,0.6071428571428571,140.0,140.0
precision,0.6559139784946236,1.0,0.4888888888888889,0.6071428571428571,0.7149342891278375,0.6317921146953405
recall,0.7625,0.15384615384615385,0.46808510638297873,0.6071428571428571,0.4614770867430442,0.6071428571428571
f1-score,0.7052023121387283,0.2666666666666667,0.47826086956521735,0.6071428571428571,0.4833766161235375,0.5882936607666439
support,80.0,13.0,47.0,0.6071428571428571,140.0,140.0
precision,0.6559139784946236,1.0,0.4888888888888889,0.6071428571428571,0.7149342891278375,0.6317921146953405
recall,0.7625,0.15384615384615385,0.46808510638297873,0.6071428571428571,0.4614770867430442,0.6071428571428571
f1-score,0.7052023121387283,0.2666666666666667,0.47826086956521735,0.6071428571428571,0.4833766161235375,0.5882936607666439
support,80.0,13.0,47.0,0.6071428571428571,140.0,140.0
precision,0.6559139784946236,1.0,0.4888888888888889,0.6071428571428571,0.7149342891278375,0.6317921146953405
recall,0.7625,0.15384615384615385,0.46808510638297873,0.6071428571428571,0.4614770867430442,0.6071428571428571
f1-score,0.7052023121387283,0.2666666666666667,0.47826086956521735,0.6071428571428571,0.4833766161235375,0.5882936607666439
support,80.0,13.0,47.0,0.6071428571428571,140.0,140.0
precision,0.6559139784946236,1.0,0.4888888888888889,0.6071428571428571,0.7149342891278375,0.6317921146953405
recall,0.7625,0.15384615384615385,0.46808510638297873,0.6071428571428571,0.4614770867430442,0.6071428571428571
f1-score,0.7052023121387283,0.2666666666666667,0.47826086956521735,0.6071428571428571,0.4833766161235375,0.5882936607666439
support,80.0,13.0,47.0,0.6071428571428571,140.0,140.0
precision,0.6559139784946236,1.0,0.4888888888888889,0.6071428571428571,0.7149342891278375,0.6317921146953405
recall,0.7625,0.15384615384615385,0.46808510638297873,0.6071428571428571,0.4614770867430442,0.6071428571428571
f1-score,0.7052023121387283,0.2666666666666667,0.47826086956521735,0.6071428571428571,0.4833766161235375,0.5882936607666439
support,80.0,13.0,47.0,0.6071428571428571,140.0,140.0
precision,0.6559139784946236,1.0,0.4888888888888889,0.6071428571428571,0.7149342891278375,0.6317921146953405
recall,0.7625,0.15384615384615385,0.46808510638297873,0.6071428571428571,0.4614770867430442,0.6071428571428571
f1-score,0.7052023121387283,0.2666666666666667,0.47826086956521735,0.6071428571428571,0.4833766161235375,0.5882936607666439
support,80.0,13.0,47.0,0.6071428571428571,140.0,140.0
precision,0.6559139784946236,1.0,0.4888888888888889,0.6071428571428571,0.7149342891278375,0.6317921146953405
recall,0.7625,0.15384615384615385,0.46808510638297873,0.6071428571428571,0.4614770867430442,0.6071428571428571
f1-score,0.7052023121387283,0.2666666666666667,0.47826086956521735,0.6071428571428571,0.4833766161235375,0.5882936607666439
support,80.0,13.0,47.0,0.6071428571428571,140.0,140.0
precision,0.6559139784946236,1.0,0.4888888888888889,0.6071428571428571,0.7149342891278375,0.6317921146953405
recall,0.7625,0.15384615384615385,0.46808510638297873,0.6071428571428571,0.4614770867430442,0.6071428571428571
f1-score,0.7052023121387283,0.2666666666666667,0.47826086956521735,0.6071428571428571,0.4833766161235375,0.5882936607666439
support,80.0,13.0,47.0,0.6071428571428571,140.0,140.0
