,0,1,2,accuracy,macro avg,weighted avg
precision,0.5945945945945946,0.41935483870967744,0.5428571428571428,0.5428571428571428,0.5189355253871383,0.5301135170720425
recall,0.7213114754098361,0.325,0.48717948717948717,0.5428571428571428,0.5111636541964412,0.5428571428571428
f1-score,0.6518518518518518,0.36619718309859156,0.5135135135135135,0.5428571428571428,0.5105208494879857,0.5316991236709546
support,61.0,40.0,39.0,0.5428571428571428,140.0,140.0
precision,0.5945945945945946,0.41935483870967744,0.5428571428571428,0.5428571428571428,0.5189355253871383,0.5301135170720425
recall,0.7213114754098361,0.325,0.48717948717948717,0.5428571428571428,0.5111636541964412,0.5428571428571428
f1-score,0.6518518518518518,0.36619718309859156,0.5135135135135135,0.5428571428571428,0.5105208494879857,0.5316991236709546
support,61.0,40.0,39.0,0.5428571428571428,140.0,140.0
precision,0.5945945945945946,0.41935483870967744,0.5428571428571428,0.5428571428571428,0.5189355253871383,0.5301135170720425
recall,0.7213114754098361,0.325,0.48717948717948717,0.5428571428571428,0.5111636541964412,0.5428571428571428
f1-score,0.6518518518518518,0.36619718309859156,0.5135135135135135,0.5428571428571428,0.5105208494879857,0.5316991236709546
support,61.0,40.0,39.0,0.5428571428571428,140.0,140.0
precision,0.5945945945945946,0.41935483870967744,0.5428571428571428,0.5428571428571428,0.5189355253871383,0.5301135170720425
recall,0.7213114754098361,0.325,0.48717948717948717,0.5428571428571428,0.5111636541964412,0.5428571428571428
f1-score,0.6518518518518518,0.36619718309859156,0.5135135135135135,0.5428571428571428,0.5105208494879857,0.5316991236709546
support,61.0,40.0,39.0,0.5428571428571428,140.0,140.0
precision,0.5945945945945946,0.41935483870967744,0.5428571428571428,0.5428571428571428,0.5189355253871383,0.5301135170720425
recall,0.7213114754098361,0.325,0.48717948717948717,0.5428571428571428,0.5111636541964412,0.5428571428571428
f1-score,0.6518518518518518,0.36619718309859156,0.5135135135135135,0.5428571428571428,0.5105208494879857,0.5316991236709546
support,61.0,40.0,39.0,0.5428571428571428,140.0,140.0
precision,0.5945945945945946,0.41935483870967744,0.5428571428571428,0.5428571428571428,0.5189355253871383,0.5301135170720425
recall,0.7213114754098361,0.325,0.48717948717948717,0.5428571428571428,0.5111636541964412,0.5428571428571428
f1-score,0.6518518518518518,0.36619718309859156,0.5135135135135135,0.5428571428571428,0.5105208494879857,0.5316991236709546
support,61.0,40.0,39.0,0.5428571428571428,140.0,140.0
precision,0.5945945945945946,0.41935483870967744,0.5428571428571428,0.5428571428571428,0.5189355253871383,0.5301135170720425
recall,0.7213114754098361,0.325,0.48717948717948717,0.5428571428571428,0.5111636541964412,0.5428571428571428
f1-score,0.6518518518518518,0.36619718309859156,0.5135135135135135,0.5428571428571428,0.5105208494879857,0.5316991236709546
support,61.0,40.0,39.0,0.5428571428571428,140.0,140.0
precision,0.5945945945945946,0.41935483870967744,0.5428571428571428,0.5428571428571428,0.5189355253871383,0.5301135170720425
recall,0.7213114754098361,0.325,0.48717948717948717,0.5428571428571428,0.5111636541964412,0.5428571428571428
f1-score,0.6518518518518518,0.36619718309859156,0.5135135135135135,0.5428571428571428,0.5105208494879857,0.5316991236709546
support,61.0,40.0,39.0,0.5428571428571428,140.0,140.0
precision,0.5945945945945946,0.41935483870967744,0.5428571428571428,0.5428571428571428,0.5189355253871383,0.5301135170720425
recall,0.7213114754098361,0.325,0.48717948717948717,0.5428571428571428,0.5111636541964412,0.5428571428571428
f1-score,0.6518518518518518,0.36619718309859156,0.5135135135135135,0.5428571428571428,0.5105208494879857,0.5316991236709546
support,61.0,40.0,39.0,0.5428571428571428,140.0,140.0
precision,0.5945945945945946,0.41935483870967744,0.5428571428571428,0.5428571428571428,0.5189355253871383,0.5301135170720425
recall,0.7213114754098361,0.325,0.48717948717948717,0.5428571428571428,0.5111636541964412,0.5428571428571428
f1-score,0.6518518518518518,0.36619718309859156,0.5135135135135135,0.5428571428571428,0.5105208494879857,0.5316991236709546
support,61.0,40.0,39.0,0.5428571428571428,140.0,140.0
