datasize,104

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.5192307692307693,0.6511627906976744,0.29268292682926833,0.3157894736842105,0.4505409582689336,0.8076923076923077,0.23076923076923078,0.23076923076923078,0.42307692307692313,0.5454545454545454,0.4,0.5,0.48181818181818176,"[42, 18, 17]","[6, 6, 3]","[4, 2, 6]"
1,0.375,0.544,0.04651162790697675,0.2,0.2759447746938659,0.6538461538461539,0.038461538461538464,0.15384615384615385,0.28205128205128205,0.4657534246575342,0.058823529411764705,0.2857142857142857,0.2700970799278615,"[34, 23, 16]","[10, 1, 6]","[8, 2, 4]"
2,0.4519230769230769,0.5982905982905983,0.24999999999999994,0.2790697674418605,0.3830610702171567,0.6730769230769231,0.23076923076923078,0.23076923076923078,0.37820512820512825,0.5384615384615384,0.2727272727272727,0.35294117647058826,0.3880433292197998,"[35, 17, 13]","[9, 6, 7]","[8, 3, 6]"
3,0.41346153846153844,0.5691056910569106,0.15,0.2222222222222222,0.32518591580166895,0.6730769230769231,0.11538461538461539,0.19230769230769232,0.3269230769230769,0.49295774647887325,0.21428571428571427,0.2631578947368421,0.32346711850047655,"[35, 19, 17]","[7, 3, 4]","[10, 4, 5]"
4,0.4230769230769231,0.5641025641025641,0.2272727272727273,0.25531914893617025,0.3547985284958701,0.6346153846153846,0.19230769230769232,0.23076923076923078,0.3525641025641026,0.5076923076923077,0.2777777777777778,0.2857142857142857,0.35706145706145703,"[33, 16, 16]","[9, 5, 4]","[10, 5, 6]"
5,0.47115384615384615,0.608,0.25,0.2790697674418605,0.3970009079717693,0.7307692307692307,0.19230769230769232,0.23076923076923078,0.3846153846153846,0.5205479452054794,0.35714285714285715,0.35294117647058826,0.41021065960630826,"[38, 17, 18]","[7, 5, 2]","[7, 4, 6]"
6,0.40384615384615385,0.5555555555555555,0.14285714285714285,0.2,0.31474783018960656,0.6730769230769231,0.11538461538461539,0.15384615384615385,0.31410256410256415,0.47297297297297297,0.1875,0.2857142857142857,0.3153957528957529,"[35, 21, 18]","[9, 3, 4]","[8, 2, 4]"
7,0.4230769230769231,0.5669291338582677,0.10526315789473684,0.2790697674418605,0.33326796103811207,0.6923076923076923,0.07692307692307693,0.23076923076923078,0.3333333333333333,0.48,0.16666666666666666,0.35294117647058826,0.33320261437908494,"[36, 22, 17]","[7, 2, 3]","[9, 2, 6]"
8,0.4807692307692308,0.6178861788617886,0.15384615384615388,0.3913043478260869,0.40134258225897335,0.7307692307692307,0.11538461538461539,0.34615384615384615,0.3974358974358974,0.5352112676056338,0.23076923076923078,0.45,0.4053268327916215,"[38, 19, 14]","[7, 3, 3]","[7, 4, 9]"
9,0.36538461538461536,0.5087719298245613,0.2,0.18181818181818185,0.300354426829346,0.5576923076923077,0.19230769230769232,0.15384615384615385,0.30128205128205127,0.46774193548387094,0.20833333333333334,0.2222222222222222,0.2994324970131422,"[29, 16, 17]","[14, 5, 5]","[9, 5, 4]"
