datasize,60

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.55,0.7096774193548387,0.0,0.0,0.23655913978494625,0.8461538461538461,0.0,0.0,0.28205128205128205,0.6111111111111112,0.0,0.0,0.20370370370370372,"[33, 9, 12]","[1, 0, 0]","[5, 0, 0]"
1,0.55,0.7032967032967034,0.14285714285714285,0.0,0.2898790707009885,0.8205128205128205,0.1111111111111111,0.0,0.31054131054131057,0.6153846153846154,0.2,0.0,0.2717948717948718,"[32, 8, 12]","[4, 1, 0]","[3, 0, 0]"
2,0.5833333333333334,0.7446808510638298,0.0,0.0,0.24822695035460993,0.8974358974358975,0.0,0.0,0.29914529914529914,0.6363636363636364,0.0,0.0,0.21212121212121213,"[35, 9, 11]","[2, 0, 1]","[2, 0, 0]"
3,0.55,0.7252747252747251,0.0,0.0,0.24175824175824173,0.8461538461538461,0.0,0.0,0.28205128205128205,0.6346153846153846,0.0,0.0,0.21153846153846154,"[33, 8, 11]","[1, 0, 1]","[5, 1, 0]"
4,0.48333333333333334,0.6516853932584269,0.0,0.0,0.21722846441947563,0.7435897435897436,0.0,0.0,0.24786324786324787,0.58,0.0,0.0,0.19333333333333333,"[29, 9, 12]","[2, 0, 0]","[8, 0, 0]"
5,0.5333333333333333,0.6956521739130435,0.0,0.0,0.23188405797101447,0.8205128205128205,0.0,0.0,0.2735042735042735,0.6037735849056604,0.0,0.0,0.2012578616352201,"[32, 9, 12]","[3, 0, 0]","[4, 0, 0]"
6,0.55,0.7032967032967034,0.16666666666666666,0.0,0.31336441336441334,0.8205128205128205,0.1111111111111111,0.0,0.31054131054131057,0.6153846153846154,0.3333333333333333,0.0,0.3162393162393162,"[32, 8, 12]","[2, 1, 0]","[5, 0, 0]"
7,0.5166666666666667,0.6888888888888889,0.0,0.0,0.2296296296296296,0.7948717948717948,0.0,0.0,0.26495726495726496,0.6078431372549019,0.0,0.0,0.2026143790849673,"[31, 8, 12]","[3, 0, 0]","[5, 1, 0]"
8,0.6333333333333333,0.7755102040816326,0.0,0.0,0.2585034013605442,0.9743589743589743,0.0,0.0,0.3247863247863248,0.6440677966101694,0.0,0,0.21468926553672316,"[38, 9, 12]","[1, 0, 0]","[0, 0, 0]"
9,0.5333333333333333,0.6956521739130435,0.0,0.0,0.23188405797101447,0.8205128205128205,0.0,0.0,0.2735042735042735,0.6037735849056604,0.0,0.0,0.2012578616352201,"[32, 9, 12]","[3, 0, 0]","[4, 0, 0]"
