datasize,60

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.4,0.2222222222222222,0.09523809523809525,0.5555555555555556,0.29500280431190595,0.1875,0.09090909090909091,0.6060606060606061,0.2948232323232323,0.2727272727272727,0.1,0.5128205128205128,0.29518259518259515,"[3, 2, 6]","[2, 1, 7]","[11, 8, 20]"
1,0.4,0.19354838709677422,0.0,0.5753424657534246,0.25709219858156024,0.1875,0.0,0.6363636363636364,0.2746212121212121,0.2,0.0,0.525,0.2416666666666667,"[3, 4, 8]","[1, 0, 4]","[12, 7, 21]"
2,0.43333333333333335,0.3125,0.10526315789473685,0.5797101449275361,0.33373178506375223,0.3125,0.09090909090909091,0.6060606060606061,0.336489898989899,0.3125,0.125,0.5555555555555556,0.33101851851851855,"[5, 3, 8]","[2, 1, 5]","[9, 7, 20]"
3,0.38333333333333336,0.13793103448275862,0.18181818181818182,0.5507246376811594,0.29096803266575755,0.125,0.18181818181818182,0.5757575757575758,0.29419191919191917,0.15384615384615385,0.18181818181818182,0.5277777777777778,0.28781403781403786,"[2, 3, 8]","[3, 2, 6]","[11, 6, 19]"
4,0.4666666666666667,0.08695652173913043,0.0,0.6506024096385542,0.2564182431076133,0.0625,0.0,0.8181818181818182,0.2935606060606061,0.14285714285714285,0.0,0.54,0.2276190476190476,"[1, 2, 4]","[1, 0, 2]","[14, 9, 27]"
5,0.26666666666666666,0.06060606060606061,0.0,0.4411764705882353,0.16726085785362302,0.0625,0.0,0.45454545454545453,0.17234848484848486,0.058823529411764705,0.0,0.42857142857142855,0.16246498599439776,"[1, 3, 13]","[3, 0, 5]","[12, 8, 15]"
6,0.36666666666666664,0.3225806451612903,0.0,0.5,0.2744423632333987,0.3125,0.0,0.5151515151515151,0.2758838383838384,0.3333333333333333,0.0,0.4857142857142857,0.273015873015873,"[5, 1, 9]","[3, 0, 7]","[8, 10, 17]"
7,0.3333333333333333,0.22222222222222224,0.09999999999999999,0.46874999999999994,0.2650727473255413,0.25,0.09090909090909091,0.45454545454545453,0.26515151515151514,0.2,0.1111111111111111,0.4838709677419355,0.26499402628434887,"[4, 3, 13]","[3, 1, 5]","[9, 7, 15]"
8,0.38333333333333336,0.3076923076923077,0.0,0.5277777777777778,0.2851224361736711,0.25,0.0,0.5757575757575758,0.27525252525252525,0.4,0.0,0.48717948717948717,0.29572649572649573,"[4, 0, 6]","[3, 0, 8]","[9, 11, 19]"
9,0.38333333333333336,0.07692307692307693,0.0,0.5569620253164557,0.2150016165535079,0.0625,0.0,0.6666666666666666,0.24305555555555555,0.1,0.0,0.4782608695652174,0.1927536231884058,"[1, 1, 8]","[1, 0, 3]","[14, 10, 22]"
