datasize,60

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.48333333333333334,0.5882352941176471,0.0,0.4090909090909091,0.335453258457071,0.6896551724137931,0.0,0.391304347826087,0.36031984007996004,0.5128205128205128,0,0.42857142857142855,0.3137973137973138,"[20, 5, 14]","[0, 0, 0]","[9, 3, 9]"
1,0.43333333333333335,0.5396825396825397,0.0,0.391304347826087,0.31080649005621536,0.5862068965517241,0.0,0.391304347826087,0.3258370814592704,0.5,0.0,0.391304347826087,0.2971014492753623,"[17, 5, 12]","[1, 0, 2]","[11, 3, 9]"
2,0.5333333333333333,0.6206896551724138,0.16666666666666666,0.52,0.44373980013316466,0.6206896551724138,0.125,0.5652173913043478,0.43696901549225386,0.6206896551724138,0.25,0.48148148148148145,0.4507237122179651,"[18, 3, 8]","[1, 1, 2]","[10, 4, 13]"
3,0.5166666666666667,0.6031746031746031,0.0,0.5217391304347826,0.3755603397637054,0.6551724137931034,0.0,0.5217391304347826,0.39230384807596197,0.5588235294117647,0.0,0.5217391304347826,0.3601875532821824,"[19, 6, 9]","[1, 0, 2]","[9, 2, 12]"
4,0.4666666666666667,0.5517241379310345,0.0,0.48,0.34445752011309216,0.5517241379310345,0.0,0.5217391304347826,0.3578210894552723,0.5517241379310345,0.0,0.4444444444444444,0.33205619412515963,"[16, 3, 10]","[3, 0, 1]","[10, 5, 12]"
5,0.45,0.5000000000000001,0.0,0.4999999999999999,0.3333391286206058,0.5172413793103449,0.0,0.5217391304347826,0.34632683658170915,0.4838709677419355,0.0,0.48,0.32129032258064516,"[15, 6, 10]","[3, 0, 1]","[11, 2, 12]"
6,0.43333333333333335,0.5373134328358208,0.0,0.37209302325581395,0.3062197131296171,0.6206896551724138,0.0,0.34782608695652173,0.32283858070964516,0.47368421052631576,0.0,0.4,0.2912280701754386,"[18, 6, 14]","[1, 0, 1]","[10, 2, 8]"
7,0.45,0.5538461538461539,0.13333333333333333,0.39999999999999997,0.36779685810822865,0.6206896551724138,0.125,0.34782608695652173,0.3645052473763119,0.5,0.14285714285714285,0.47058823529411764,0.3711484593837535,"[18, 4, 14]","[5, 1, 1]","[6, 3, 8]"
8,0.43333333333333335,0.5671641791044776,0.0,0.31818181818181823,0.29732868757259,0.6551724137931034,0.0,0.30434782608695654,0.31984007996002,0.5,0.0,0.3333333333333333,0.27777777777777773,"[19, 4, 15]","[0, 0, 1]","[10, 4, 7]"
9,0.45,0.5538461538461539,0.0,0.4090909090909091,0.3228298659014403,0.6206896551724138,0.0,0.391304347826087,0.33733133433283363,0.5,0.0,0.42857142857142855,0.30952380952380953,"[18, 6, 12]","[1, 0, 2]","[10, 2, 9]"
