datasize,60

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.43333333333333335,0.5789473684210527,0.14285714285714288,0.25000000000000006,0.3410709157538514,0.6666666666666666,0.125,0.18181818181818182,0.32449494949494945,0.5116279069767442,0.16666666666666666,0.4,0.35943152454780364,"[22, 14, 7]","[8, 2, 2]","[3, 0, 2]"
1,0.5333333333333333,0.6666666666666667,0.411764705882353,0.14285714285714288,0.4317834247798106,0.7272727272727273,0.4375,0.09090909090909091,0.418560606060606,0.6153846153846154,0.3888888888888889,0.3333333333333333,0.4458689458689458,"[24, 9, 6]","[7, 7, 4]","[2, 0, 1]"
2,0.45,0.5714285714285714,0.29411764705882354,0.25000000000000006,0.38544969378956406,0.6060606060606061,0.3125,0.18181818181818182,0.3667929292929293,0.5405405405405406,0.2777777777777778,0.4,0.40610610610610615,"[20, 10, 7]","[11, 5, 2]","[2, 1, 2]"
3,0.5666666666666667,0.6753246753246752,0.4444444444444444,0.25000000000000006,0.47805161794117884,0.7878787878787878,0.375,0.18181818181818182,0.44823232323232326,0.5909090909090909,0.5454545454545454,0.4,0.5121212121212121,"[26, 10, 8]","[4, 6, 1]","[3, 0, 2]"
4,0.5166666666666667,0.6486486486486487,0.3076923076923077,0.3,0.42781030753811256,0.7272727272727273,0.25,0.2727272727272727,0.4166666666666667,0.5853658536585366,0.4,0.3333333333333333,0.4395663956639566,"[24, 11, 6]","[4, 4, 2]","[5, 1, 3]"
5,0.4,0.5428571428571428,0.25,0.1111111111111111,0.3038298623367455,0.5757575757575758,0.25,0.09090909090909091,0.3055555555555556,0.5135135135135135,0.25,0.14285714285714285,0.30212355212355213,"[19, 10, 8]","[10, 4, 2]","[4, 2, 1]"
6,0.5166666666666667,0.6493506493506495,0.25,0.3157894736842105,0.42200194627379095,0.7575757575757576,0.1875,0.2727272727272727,0.4059343434343434,0.5681818181818182,0.375,0.375,0.43939393939393945,"[25, 12, 7]","[4, 3, 1]","[4, 1, 3]"
7,0.5166666666666667,0.6666666666666667,0.3448275862068966,0.12500000000000003,0.3901143725474273,0.7575757575757576,0.3125,0.09090909090909091,0.38699494949494945,0.5952380952380952,0.38461538461538464,0.2,0.3932844932844933,"[25, 10, 7]","[5, 5, 3]","[3, 1, 1]"
8,0.43333333333333335,0.611111111111111,0.1875,0.12500000000000003,0.3161093102965626,0.6666666666666666,0.1875,0.09090909090909091,0.31502525252525254,0.5641025641025641,0.1875,0.2,0.3172008547008547,"[22, 13, 4]","[7, 3, 6]","[4, 0, 1]"
9,0.5333333333333333,0.6756756756756757,0.41379310344827586,0.11764705882352942,0.4102268225119057,0.7575757575757576,0.375,0.09090909090909091,0.4078282828282828,0.6097560975609756,0.46153846153846156,0.16666666666666666,0.41265374192203463,"[25, 8, 8]","[5, 6, 2]","[3, 2, 1]"
