Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,1,0,-1
0.5416666666666666,0.6944444444444445,0.0,0.19999999999999998,0.4080645161290323,0.5681818181818182,0.0,1.0,0.5227272727272728,0.8928571428571429,0.0,0.1111111111111111,0.33465608465608465,[25  3  0],[11  0  0],[8 0 1]
0.5833333333333334,0.7352941176470589,0.0,0.375,0.3777819221683452,0.625,0.0,0.42857142857142855,0.3511904761904762,0.8928571428571429,0.0,0.3333333333333333,0.4087301587301588,[25  0  3],[10  0  1],[5 1 3]
0.5833333333333334,0.7222222222222223,0.15384615384615385,0.1818181818181818,0.44060702464732154,0.5909090909090909,0.5,0.5,0.5303030303030303,0.9285714285714286,0.09090909090909091,0.1111111111111111,0.37686387686387685,[26  1  1],[10  1  0],[8 0 1]
0.5416666666666666,0.7058823529411764,0.0,0.26666666666666666,0.3336838415702769,0.6,0.0,0.3333333333333333,0.3111111111111111,0.8571428571428571,0.0,0.2222222222222222,0.35978835978835977,[24  2  2],[9 0 2],[7 0 2]
0.5416666666666666,0.7123287671232876,0.0,0.0,0.2374429223744292,0.5777777777777777,0.0,0.0,0.19259259259259257,0.9285714285714286,0.0,0.0,0.30952380952380953,[26  1  1],[11  0  0],[8 1 0]
0.5416666666666666,0.676470588235294,0.13333333333333333,0.30769230769230765,0.407469064276879,0.575,0.25,0.5,0.44166666666666665,0.8214285714285714,0.09090909090909091,0.2222222222222222,0.3781866281866282,[23  3  2],[10  1  0],[7 0 2]
0.5208333333333334,0.6857142857142857,0.0,0.15384615384615383,0.2962728328581987,0.5714285714285714,0.0,0.25,0.2738095238095238,0.8571428571428571,0.0,0.1111111111111111,0.32275132275132273,[24  2  2],[10  0  1],[8 0 1]
0.5416666666666666,0.7027027027027025,0.0,0.0,0.0,0.5652173913043478,0.0,nan,nan,0.9285714285714286,0.0,0.0,0.30952380952380953,[26  2  0],[11  0  0],[9 0 0]
0.5416666666666666,0.7123287671232876,0.0,0.0,0.0,0.5777777777777777,nan,0.0,nan,0.9285714285714286,0.0,0.0,0.30952380952380953,[26  0  2],[10  0  1],[9 0 0]
0.5416666666666666,0.6969696969696969,0.15384615384615385,0.23529411764705882,0.4117099048810123,0.6052631578947368,0.5,0.25,0.45175438596491224,0.8214285714285714,0.09090909090909091,0.2222222222222222,0.3781866281866282,[23  1  4],[8 1 2],[7 0 2]
