Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,1,0,-1
0.4791666666666667,0.6571428571428571,0.0,0.0,0.21904761904761902,0.6388888888888888,0.0,0.0,0.21296296296296294,0.6764705882352942,0.0,0,0.22549019607843138,[23  4  7],[13  0  1],[0 0 0]
0.4583333333333333,0.6176470588235294,0.09523809523809523,0.0,0.2410100271992855,0.6176470588235294,0.14285714285714285,0.0,0.2535014005602241,0.6176470588235294,0.07142857142857142,0,0.22969187675070027,[21  6  7],[13  1  0],[0 0 0]
0.4166666666666667,0.6031746031746031,0.1,0.0,0.23780224166029199,0.6551724137931034,0.16666666666666666,0.0,0.2739463601532567,0.5588235294117647,0.07142857142857142,0,0.21008403361344538,[19  5 10],[10  1  3],[0 0 0]
0.4583333333333333,0.6363636363636364,0.09090909090909091,0.0,0.24409120676311247,0.65625,0.125,0.0,0.2604166666666667,0.6176470588235294,0.07142857142857142,0,0.22969187675070027,[21  7  6],[11  1  2],[0 0 0]
0.3541666666666667,0.5245901639344261,0.09090909090909091,0.0,0.20585600889520336,0.5925925925925926,0.125,0.0,0.2391975308641975,0.47058823529411764,0.07142857142857142,0,0.18067226890756302,[16  7 11],[11  1  2],[0 0 0]
0.4583333333333333,0.6268656716417911,0.11111111111111112,0.0,0.2584555703721663,0.6363636363636364,0.25,0.0,0.29545454545454547,0.6176470588235294,0.07142857142857142,0,0.22969187675070027,[21  3 10],[12  1  1],[0 0 0]
0.4375,0.6176470588235294,0.0,0.0,0.20588235294117646,0.6176470588235294,0.0,0.0,0.2058823529411765,0.6176470588235294,0.0,0,0.2058823529411765,[21  4  9],[13  0  1],[0 0 0]
0.4791666666666667,0.6470588235294118,0.11111111111111112,0.0,0.26596802570182826,0.6470588235294118,0.25,0.0,0.29901960784313725,0.6470588235294118,0.07142857142857142,0,0.23949579831932774,[22  3  9],[12  1  1],[0 0 0]
0.5,0.6666666666666666,0.1,0.0,0.26134039429352207,0.6571428571428571,0.16666666666666666,0.0,0.27460317460317457,0.6764705882352942,0.07142857142857142,0,0.24929971988795518,[23  5  6],[12  1  1],[0 0 0]
0.5208333333333334,0.7164179104477613,0.11111111111111112,0.0,0.2886324879358514,0.7272727272727273,0.25,0.0,0.32575757575757575,0.7058823529411765,0.07142857142857142,0,0.25910364145658266,[24  3  7],[9 1 4],[0 0 0]
