Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,1,0,-1
0.5,0.5882352941176471,0.0,0.4864864864864864,0.3649503508032051,0.5172413793103449,0.0,0.5625,0.35991379310344823,0.6818181818181818,0.0,0.42857142857142855,0.3701298701298701,[15  1  6],[4 0 1],[10  2  9]
0.625,0.6666666666666667,0.25,0.6500000000000001,0.5294815781788104,0.6153846153846154,0.3333333333333333,0.6842105263157895,0.5443094916779128,0.7272727272727273,0.2,0.6190476190476191,0.5154401154401155,[16  1  5],[3 1 1],[ 7  1 13]
0.5208333333333334,0.6333333333333333,0.0,0.3870967741935483,0.0,0.5,nan,0.6,nan,0.8636363636363636,0.0,0.2857142857142857,0.38311688311688313,[19  0  3],[4 0 1],[15  0  6]
0.5208333333333334,0.5957446808510639,0.22222222222222224,0.5,0.44144279133325137,0.56,0.25,0.5263157894736842,0.445438596491228,0.6363636363636364,0.2,0.47619047619047616,0.4375180375180376,[14  1  7],[2 1 2],[ 9  2 10]
0.5625,0.6153846153846153,0.0,0.5641025641025642,0.0,0.5333333333333333,nan,0.6111111111111112,nan,0.7272727272727273,0.0,0.5238095238095238,0.4170274170274171,[16  0  6],[4 0 1],[10  0 11]
0.4583333333333333,0.5098039215686274,0.0,0.4615384615384615,0.3275299651039296,0.4482758620689655,0.0,0.5,0.3160919540229885,0.5909090909090909,0.0,0.42857142857142855,0.3398268398268398,[13  1  8],[4 0 1],[12  0  9]
0.5625,0.5777777777777778,0.0,0.6222222222222222,0.4001977336679595,0.5652173913043478,0.0,0.5833333333333334,0.3828502415458937,0.5909090909090909,0.0,0.6666666666666666,0.41919191919191917,[13  1  8],[3 0 2],[ 7  0 14]
0.5208333333333334,0.6046511627906977,0.0,0.5333333333333333,0.38009397307310017,0.6190476190476191,0.0,0.5,0.373015873015873,0.5909090909090909,0.0,0.5714285714285714,0.3874458874458875,[13  0  9],[2 0 3],[ 6  3 12]
0.6041666666666666,0.6785714285714287,0.0,0.5714285714285714,0.0,0.5588235294117647,nan,0.7142857142857143,nan,0.8636363636363636,0.0,0.47619047619047616,0.4466089466089466,[19  0  3],[4 0 1],[11  0 10]
0.5416666666666666,0.5714285714285714,0.0,0.5853658536585366,0.3871474650566537,0.5185185185185185,0.0,0.6,0.3728395061728395,0.6363636363636364,0.0,0.5714285714285714,0.4025974025974026,[14  1  7],[4 0 1],[ 9  0 12]
