datasize,60

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.5319444444444444,0.6958174904942965,0.0303030303030303,0.1473684210526316,0.31923640122619185,0.8714285714285714,0.01818181818181818,0.1037037037037037,0.3311046977713645,0.5791139240506329,0.09090909090909091,0.2545454545454545,0.30818948983505945,"[366, 150, 116]","[25, 3, 5]","[29, 12, 14]"
1,0.5541666666666667,0.7156673114119922,0.059405940594059396,0.22549019607843138,0.36428968675049395,0.8809523809523809,0.03636363636363636,0.17037037037037037,0.3625621292287959,0.6026058631921825,0.16216216216216217,0.3333333333333333,0.366033786229226,"[370, 138, 106]","[25, 6, 6]","[25, 21, 23]"
2,0.5472222222222223,0.7091087169441724,0.07843137254901962,0.2232558139534884,0.3659092607092104,0.861904761904762,0.048484848484848485,0.17777777777777778,0.3627224627224627,0.6023294509151415,0.20512820512820512,0.3,0.3691525520144489,"[362, 137, 102]","[22, 8, 9]","[36, 20, 24]"
3,0.5291666666666667,0.6948989412897015,0.042105263157894736,0.15165876777251186,0.3258007060087562,0.8595238095238096,0.024242424242424242,0.11851851851851852,0.3340949174282508,0.5831987075928917,0.16,0.21052631578947367,0.31790834112745514,"[361, 139, 119]","[21, 4, 0]","[38, 22, 16]"
4,0.5208333333333334,0.6871401151631479,0.020408163265306124,0.14851485148514848,0.30546596876588095,0.8523809523809524,0.012121212121212121,0.1111111111111111,0.3252044252044252,0.5755627009646302,0.06451612903225806,0.22388059701492538,0.28798647567060454,"[358, 150, 114]","[23, 2, 6]","[39, 13, 15]"
5,0.5388888888888889,0.69921875,0.06,0.2222222222222222,0.3544908455283118,0.8523809523809524,0.03636363636363636,0.17777777777777778,0.3555074555074555,0.5927152317880795,0.17142857142857143,0.2962962962962963,0.3534800331709824,"[358, 140, 106]","[24, 6, 5]","[38, 19, 24]"
6,0.5666666666666667,0.7244401168451801,0.0891089108910891,0.2559241706161137,0.39157779099261714,0.8857142857142857,0.05454545454545454,0.2,0.3800865800865801,0.6128500823723229,0.24324324324324326,0.35526315789473684,0.40378549450343426,"[372, 134, 101]","[21, 9, 7]","[27, 22, 27]"
7,0.5458333333333333,0.7058823529411764,0.0495049504950495,0.21890547263681592,0.35439192916849616,0.8714285714285714,0.030303030303030304,0.16296296296296298,0.3548981882315216,0.593192868719611,0.13513513513513514,0.3333333333333333,0.3538871123960265,"[366, 140, 111]","[30, 5, 2]","[24, 20, 22]"
8,0.55,0.704995287464656,0.07920792079207921,0.1581920903954802,0.36198763232612824,0.8904761904761904,0.048484848484848485,0.1037037037037037,0.34755491422158086,0.5834633385335414,0.21621621621621623,0.3333333333333333,0.3776709626943637,"[374, 146, 121]","[29, 8, 0]","[17, 11, 14]"
9,0.5555555555555556,0.712121212121212,0.09045226130653265,0.16216216216216217,0.3687872982185542,0.8952380952380953,0.05454545454545454,0.1111111111111111,0.3536315536315537,0.5911949685534591,0.2647058823529412,0.3,0.3853002836354668,"[376, 146, 114]","[19, 9, 6]","[25, 10, 15]"
