datasize,60

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.43472222222222223,0.6171310629514964,0.08641975308641975,0.0,0.2361429406613163,0.5862745098039216,0.06666666666666667,0.0,0.21764705882352942,0.6514161220043573,0.12280701754385964,0.0,0.2580743798494056,"[299, 160, 0]","[100, 14, 0]","[111, 36, 0]"
1,0.4791666666666667,0.639757820383451,0.17777777777777776,0.0,0.2772087076488793,0.6215686274509804,0.13333333333333333,0.0,0.25163398692810457,0.659043659043659,0.26666666666666666,0.0,0.3085701085701085,"[317, 164, 0]","[77, 28, 0]","[116, 18, 0]"
2,0.45555555555555555,0.6209016393442623,0.16025641025641024,0.0,0.26464185884027935,0.5941176470588235,0.11904761904761904,0.0,0.2377217553688142,0.6502145922746781,0.24509803921568626,0.0,0.2984375438301215,"[303, 163, 0]","[77, 25, 0]","[130, 22, 0]"
3,0.45,0.6211055276381908,0.09345794392523364,0.0,0.2405569344526898,0.6058823529411764,0.07142857142857142,0.0,0.22577030812324927,0.6371134020618556,0.13513513513513514,0.0,0.25741617906566355,"[309, 176, 0]","[96, 15, 0]","[105, 19, 0]"
4,0.4375,0.6059365404298875,0.11242603550295857,0.0,0.24076639850933387,0.5803921568627451,0.09047619047619047,0.0,0.22362278244631187,0.6338329764453962,0.1484375,0.0,0.26075682548179874,"[296, 171, 0]","[109, 19, 0]","[105, 20, 0]"
5,0.4777777777777778,0.6412060301507538,0.15873015873015875,0.0,0.27106862151876426,0.6254901960784314,0.11904761904761904,0.0,0.24817927170868348,0.6577319587628866,0.23809523809523808,0.0,0.2986090656193749,"[319, 166, 0]","[80, 25, 0]","[111, 19, 0]"
6,0.44722222222222224,0.6210418794688458,0.11145510835913314,0.0,0.24644417527070972,0.596078431372549,0.08571428571428572,0.0,0.2272642390289449,0.6481876332622601,0.1592920353982301,0.0,0.26915988955349673,"[304, 165, 0]","[95, 18, 0]","[111, 27, 0]"
7,0.41805555555555557,0.5834207764952781,0.13649851632047477,0.0,0.24117531599032724,0.5450980392156862,0.10952380952380952,0.0,0.21820728291316524,0.6275395033860045,0.18110236220472442,0.0,0.26954728853024296,"[278, 165, 0]","[104, 23, 0]","[128, 22, 0]"
8,0.4513888888888889,0.6189516129032258,0.11320754716981132,0.0,0.24704338334023962,0.6019607843137255,0.08571428571428572,0.0,0.2292250233426704,0.6369294605809128,0.16666666666666666,0.0,0.26786537574919317,"[307, 175, 0]","[90, 18, 0]","[113, 17, 0]"
9,0.4666666666666667,0.6401590457256461,0.09523809523809522,0.0,0.2507883122052896,0.6313725490196078,0.06666666666666667,0.0,0.23267973856209148,0.6491935483870968,0.16666666666666666,0.0,0.27195340501792115,"[322, 174, 0]","[70, 14, 0]","[118, 22, 0]"
