datasize,100

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.51,0.6805555555555556,0.13793103448275862,0.0,0.2790963967299565,0.8032786885245902,0.1111111111111111,0.0,0.3047965998785671,0.5903614457831325,0.18181818181818182,0.0,0.2573932092004381,"[49, 14, 20]","[8, 2, 1]","[4, 2, 0]"
1,0.52,0.6756756756756757,0.15384615384615383,0.0,0.2915144811081196,0.819672131147541,0.1111111111111111,0.0,0.31026108075288406,0.5747126436781609,0.25,0.0,0.27490421455938696,"[50, 16, 21]","[6, 2, 0]","[5, 0, 0]"
2,0.46,0.6285714285714286,0.0,0.125,0.2585735276450638,0.7213114754098361,0.0,0.09523809523809523,0.2721831902159771,0.5569620253164557,0.0,0.18181818181818182,0.24626006904487915,"[44, 17, 18]","[9, 0, 1]","[8, 1, 2]"
3,0.51,0.6666666666666666,0.0,0.19354838709677416,0.30109879477459955,0.7868852459016393,0.0,0.14285714285714285,0.3099141295862607,0.5783132530120482,0.0,0.3,0.2927710843373494,"[48, 17, 18]","[7, 0, 0]","[6, 1, 3]"
4,0.5,0.6762589928057554,0.07692307692307691,0.11428571428571427,0.2983771218614361,0.7704918032786885,0.05555555555555555,0.09523809523809523,0.3070951513574464,0.6025641025641025,0.125,0.14285714285714285,0.29014041514041516,"[47, 12, 19]","[7, 1, 0]","[7, 5, 2]"
5,0.54,0.6901408450704226,0.14814814814814814,0.19354838709677416,0.36369496702961956,0.8032786885245902,0.1111111111111111,0.14285714285714285,0.3524156474976147,0.6049382716049383,0.2222222222222222,0.3,0.3757201646090535,"[49, 15, 17]","[6, 2, 1]","[6, 1, 3]"
6,0.5,0.6617647058823529,0.17142857142857143,0.13793103448275862,0.3376206929506364,0.7377049180327869,0.16666666666666666,0.09523809523809523,0.3332032266458496,0.6,0.17647058823529413,0.25,0.342156862745098,"[45, 14, 16]","[11, 3, 3]","[5, 1, 2]"
7,0.54,0.689655172413793,0.14814814814814814,0.14285714285714285,0.3544000375042233,0.819672131147541,0.1111111111111111,0.09523809523809523,0.34200711249891586,0.5952380952380952,0.2222222222222222,0.2857142857142857,0.36772486772486773,"[50, 15, 19]","[7, 2, 0]","[4, 1, 2]"
8,0.49,0.6715328467153285,0.13793103448275862,0.058823529411764705,0.29591522323852054,0.7540983606557377,0.1111111111111111,0.047619047619047616,0.30427617312863214,0.6052631578947368,0.18181818181818182,0.07692307692307693,0.2880014722119985,"[46, 12, 18]","[7, 2, 2]","[8, 4, 1]"
9,0.49,0.6428571428571429,0.0,0.24242424242424246,0.30513118928684285,0.7377049180327869,0.0,0.19047619047619047,0.3093937028363258,0.569620253164557,0.0,0.3333333333333333,0.3009845288326301,"[45, 17, 17]","[9, 0, 0]","[7, 1, 4]"
