datasize,92

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.43478260869565216,0.5862068965517242,0.28571428571428575,0.0,0.29471239061790266,0.6938775510204082,0.2608695652173913,0.0,0.31824903874593313,0.5074626865671642,0.3157894736842105,0.0,0.27441738675045824,"[34, 16, 17]","[10, 6, 3]","[5, 1, 0]"
1,0.44565217391304346,0.6071428571428572,0.2564102564102564,0.12121212121212123,0.3362139894958859,0.6938775510204082,0.21739130434782608,0.1,0.3370896184560781,0.5396825396825397,0.3125,0.15384615384615385,0.33534289784289784,"[34, 14, 15]","[8, 5, 3]","[7, 4, 2]"
2,0.42391304347826086,0.5714285714285714,0.22857142857142854,0.16216216216216214,0.3323135926345137,0.6530612244897959,0.17391304347826086,0.15,0.3256580893226856,0.5079365079365079,0.3333333333333333,0.17647058823529413,0.3392468098350451,"[32, 15, 16]","[7, 4, 1]","[10, 4, 3]"
3,0.44565217391304346,0.5555555555555556,0.3,0.2777777777777778,0.3826511151423091,0.6122448979591837,0.2608695652173913,0.25,0.37437148772552503,0.5084745762711864,0.35294117647058826,0.3125,0.39130525091392493,"[30, 16, 13]","[9, 6, 2]","[10, 1, 5]"
4,0.42391304347826086,0.6034482758620688,0.1111111111111111,0.125,0.2903652676047534,0.7142857142857143,0.08695652173913043,0.1,0.30041407867494824,0.5223880597014925,0.15384615384615385,0.16666666666666666,0.2809669600714377,"[35, 19, 13]","[6, 2, 5]","[8, 2, 2]"
5,0.4673913043478261,0.631578947368421,0.20512820512820512,0.19354838709677416,0.3558381946975143,0.7346938775510204,0.17391304347826086,0.15,0.35286897367642706,0.5538461538461539,0.25,0.2727272727272727,0.3588578088578089,"[36, 17, 12]","[7, 4, 5]","[6, 2, 3]"
6,0.43478260869565216,0.5811965811965812,0.1081081081081081,0.26666666666666666,0.3369650504126761,0.6938775510204082,0.08695652173913043,0.2,0.3269446909198462,0.5,0.14285714285714285,0.4,0.34761904761904755,"[34, 20, 14]","[10, 2, 2]","[5, 1, 4]"
7,0.45652173913043476,0.5932203389830508,0.2162162162162162,0.20689655172413793,0.36015121030726965,0.7142857142857143,0.17391304347826086,0.15,0.3460662525879917,0.5072463768115942,0.2857142857142857,0.3333333333333333,0.3754313319530711,"[35, 19, 15]","[8, 4, 2]","[6, 0, 3]"
8,0.42391304347826086,0.5585585585585586,0.18604651162790697,0.26666666666666666,0.3504036617384834,0.6326530612244898,0.17391304347826086,0.2,0.3355220349009169,0.5,0.2,0.4,0.3666666666666667,"[31, 18, 13]","[13, 4, 3]","[5, 1, 4]"
9,0.42391304347826086,0.6101694915254238,0.052631578947368425,0.14285714285714288,0.2859427843691766,0.7346938775510204,0.043478260869565216,0.1,0.2927240461401952,0.5217391304347826,0.06666666666666667,0.25,0.27946859903381643,"[36, 20, 13]","[9, 1, 5]","[4, 2, 2]"
