datasize,100

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.54,0.6821705426356589,0.32142857142857145,0.13333333333333336,0.4282699824350668,0.7719298245614035,0.3,0.07692307692307693,0.38295096716149346,0.6111111111111112,0.34615384615384615,0.5,0.4857549857549858,"[44, 21, 7]","[12, 9, 5]","[1, 0, 1]"
1,0.5,0.6717557251908397,0.1923076923076923,0.11764705882352941,0.3476443027158542,0.7719298245614035,0.16666666666666666,0.07692307692307693,0.338506522717049,0.5945945945945946,0.22727272727272727,0.25,0.3572891072891073,"[44, 24, 6]","[11, 5, 6]","[2, 1, 1]"
2,0.52,0.6771653543307086,0.2962962962962963,0.10526315789473684,0.36869019607843134,0.7543859649122807,0.26666666666666666,0.07692307692307693,0.3659919028340081,0.6142857142857143,0.3333333333333333,0.16666666666666666,0.37142857142857144,"[43, 19, 8]","[12, 8, 4]","[2, 3, 1]"
3,0.49,0.6614173228346457,0.1851851851851852,0.21052631578947367,0.3659648387091275,0.7368421052631579,0.16666666666666666,0.15384615384615385,0.3524516419253261,0.6,0.20833333333333334,0.3333333333333333,0.38055555555555554,"[42, 24, 4]","[12, 5, 7]","[3, 1, 2]"
4,0.56,0.736,0.3508771929824561,0.0,0.36386566125222447,0.8070175438596491,0.3333333333333333,0.0,0.38011695906432746,0.6764705882352942,0.37037037037037035,0.0,0.3489469862018882,"[46, 15, 7]","[11, 10, 6]","[0, 5, 0]"
5,0.51,0.6825396825396826,0.23076923076923075,0.18181818181818185,0.37105432428942464,0.7543859649122807,0.2,0.15384615384615385,0.3694107062528116,0.6231884057971014,0.2727272727272727,0.2222222222222222,0.3727126335821988,"[43, 21, 5]","[10, 6, 6]","[4, 3, 2]"
6,0.56,0.7187500000000001,0.33962264150943394,0.10526315789473684,0.3982663239731041,0.8070175438596491,0.3,0.07692307692307693,0.39464687359424194,0.647887323943662,0.391304347826087,0.16666666666666666,0.4019527794788052,"[46, 18, 7]","[9, 9, 5]","[2, 3, 1]"
7,0.55,0.696969696969697,0.32,0.1111111111111111,0.39371270247229323,0.8070175438596491,0.26666666666666666,0.07692307692307693,0.38353576248313087,0.6133333333333333,0.4,0.2,0.4044444444444444,"[46, 20, 9]","[9, 8, 3]","[2, 2, 1]"
8,0.53,0.6814814814814815,0.22727272727272724,0.1904761904761905,0.3870578934132545,0.8070175438596491,0.16666666666666666,0.15384615384615385,0.3758434547908232,0.5897435897435898,0.35714285714285715,0.25,0.39896214896214893,"[46, 23, 9]","[7, 5, 2]","[4, 2, 2]"
9,0.48,0.6564885496183206,0.12244897959183673,0.2,0.3387981638384621,0.7543859649122807,0.1,0.15384615384615385,0.3360773729194782,0.581081081081081,0.15789473684210525,0.2857142857142857,0.34156336787915736,"[43, 25, 6]","[11, 3, 5]","[3, 2, 2]"
