datasize,100

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.44,0.060606060606060615,0.1714285714285714,0.6060606060606061,0.288721092427547,0.047619047619047616,0.13636363636363635,0.7017543859649122,0.29524568998253203,0.08333333333333333,0.23076923076923078,0.5333333333333333,0.2824786324786325,"[1, 2, 9]","[2, 3, 8]","[18, 17, 40]"
1,0.32,0.08695652173913043,0.05128205128205128,0.5043478260869565,0.21470003445583913,0.09523809523809523,0.045454545454545456,0.5087719298245614,0.21648819017240073,0.08,0.058823529411764705,0.5,0.21294117647058822,"[2, 7, 16]","[4, 1, 12]","[15, 14, 29]"
2,0.38,0.1111111111111111,0.10256410256410256,0.5439999999999999,0.255494216591117,0.09523809523809523,0.09090909090909091,0.5964912280701754,0.2608794714057872,0.13333333333333333,0.11764705882352941,0.5,0.2503267973856209,"[2, 4, 9]","[1, 2, 14]","[18, 16, 34]"
3,0.36,0.0,0.10526315789473685,0.5483870967741935,0.21959604931814442,0.0,0.09090909090909091,0.5964912280701754,0.22913343965975544,0.0,0.125,0.5074626865671642,0.21082089552238806,"[0, 5, 12]","[3, 2, 11]","[18, 15, 34]"
4,0.34,0.04878048780487805,0.04761904761904762,0.5470085470085471,0.21457721477182926,0.047619047619047616,0.045454545454545456,0.5614035087719298,0.21815903394850764,0.05,0.05,0.5333333333333333,0.2111111111111111,"[1, 9, 10]","[4, 1, 15]","[16, 12, 32]"
5,0.45,0.11764705882352941,0.20512820512820512,0.6141732283464566,0.3179053727106781,0.09523809523809523,0.18181818181818182,0.6842105263157895,0.3204222677906889,0.15384615384615385,0.23529411764705882,0.5571428571428572,0.3154277095453566,"[2, 1, 10]","[5, 4, 8]","[14, 17, 39]"
6,0.34,0.1,0.0975609756097561,0.504201680672269,0.23443804583972153,0.09523809523809523,0.09090909090909091,0.5263157894736842,0.2374876585402901,0.10526315789473684,0.10526315789473684,0.4838709677419355,0.23146576117713638,"[2, 3, 14]","[4, 2, 13]","[15, 17, 30]"
7,0.4,0.16216216216216214,0.20512820512820512,0.532258064516129,0.30314645903186843,0.14285714285714285,0.18181818181818182,0.5789473684210527,0.3012075643654591,0.1875,0.23529411764705882,0.4925373134328358,0.3051104770266315,"[3, 1, 12]","[1, 4, 12]","[17, 17, 33]"
8,0.42,0.06451612903225806,0.15,0.5891472868217055,0.2738622575033259,0.047619047619047616,0.13636363636363635,0.6666666666666666,0.28354978354978355,0.1,0.16666666666666666,0.5277777777777778,0.26481481481481484,"[1, 2, 7]","[3, 3, 12]","[17, 17, 38]"
9,0.42,0.057142857142857134,0.21621621621621623,0.578125,0.28959447357274687,0.047619047619047616,0.18181818181818182,0.6491228070175439,0.2928533454849244,0.07142857142857142,0.26666666666666666,0.5211267605633803,0.2864073328862061,"[1, 3, 10]","[1, 4, 10]","[19, 15, 37]"
