datasize,100

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.41,0.5760000000000001,0.16,0.08,0.27703432961936764,0.6428571428571429,0.14285714285714285,0.0625,0.2827380952380953,0.5217391304347826,0.18181818181818182,0.1111111111111111,0.2715561411213585,"[36, 22, 11]","[14, 4, 4]","[6, 2, 1]"
1,0.45,0.6119402985074627,0.13333333333333333,0.09523809523809523,0.30064954488060985,0.7321428571428571,0.10714285714285714,0.0625,0.3005952380952381,0.5256410256410257,0.17647058823529413,0.2,0.30070387129210663,"[41, 25, 12]","[11, 3, 3]","[4, 0, 1]"
2,0.39,0.5426356589147286,0.16666666666666666,0.0,0.24031820076845936,0.625,0.14285714285714285,0.0,0.25595238095238093,0.4794520547945205,0.2,0.0,0.2264840182648402,"[35, 23, 15]","[15, 4, 1]","[6, 1, 0]"
3,0.45,0.5920000000000001,0.23076923076923075,0.17391304347826086,0.3449079856774086,0.6607142857142857,0.21428571428571427,0.125,0.3333333333333333,0.5362318840579711,0.25,0.2857142857142857,0.35731538992408557,"[37, 21, 11]","[15, 6, 3]","[4, 1, 2]"
4,0.45,0.6212121212121212,0.17391304347826086,0.0,0.27147536102426684,0.7321428571428571,0.14285714285714285,0.0,0.2916666666666667,0.5394736842105263,0.2222222222222222,0.0,0.25389863547758285,"[41, 21, 14]","[12, 4, 2]","[3, 3, 0]"
5,0.44,0.5937499999999999,0.20833333333333331,0.08333333333333333,0.30371076029758665,0.6785714285714286,0.17857142857142858,0.0625,0.30654761904761907,0.5277777777777778,0.25,0.125,0.30092592592592593,"[38, 21, 13]","[13, 5, 2]","[5, 2, 1]"
6,0.39,0.5669291338582677,0.11999999999999998,0.0,0.2308752584424535,0.6428571428571429,0.10714285714285714,0.0,0.25,0.5070422535211268,0.13636363636363635,0.0,0.2144686299615877,"[36, 22, 13]","[16, 3, 3]","[4, 3, 0]"
7,0.44,0.5909090909090909,0.2,0.0,0.2673701098358633,0.6964285714285714,0.17857142857142858,0.0,0.2916666666666667,0.5131578947368421,0.22727272727272727,0.0,0.24681020733652315,"[39, 22, 15]","[16, 5, 1]","[1, 1, 0]"
8,0.46,0.6201550387596898,0.13043478260869565,0.24000000000000005,0.3426889457096985,0.7142857142857143,0.10714285714285714,0.1875,0.3363095238095238,0.547945205479452,0.16666666666666666,0.3333333333333333,0.3493150684931507,"[40, 22, 11]","[13, 3, 2]","[3, 3, 3]"
9,0.4,0.5511811023622046,0.2,0.0,0.2532072923700202,0.625,0.17857142857142858,0.0,0.26785714285714285,0.49295774647887325,0.22727272727272727,0.0,0.24007682458386684,"[35, 22, 14]","[15, 5, 2]","[6, 1, 0]"
