datasize,100

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.54,0.6666666666666667,0.1,0.4545454545454546,0.42120024863103483,0.7916666666666666,0.07692307692307693,0.38461538461538464,0.41773504273504275,0.5757575757575758,0.14285714285714285,0.5555555555555556,0.4247234247234248,"[38, 8, 20]","[2, 1, 4]","[8, 4, 15]"
1,0.54,0.6355140186915889,0.1904761904761905,0.4999999999999999,0.4490981045997124,0.7083333333333334,0.15384615384615385,0.46153846153846156,0.4412393162393163,0.576271186440678,0.25,0.5454545454545454,0.45724191063174113,"[34, 6, 19]","[4, 2, 2]","[10, 5, 18]"
2,0.48,0.5714285714285714,0.0,0.47619047619047616,0.3494323961427351,0.5833333333333334,0.0,0.5128205128205128,0.3653846153846154,0.56,0.0,0.4444444444444444,0.33481481481481484,"[28, 7, 15]","[1, 0, 4]","[19, 6, 20]"
3,0.46,0.5471698113207547,0.24000000000000002,0.40579710144927544,0.4017270162064738,0.6041666666666666,0.23076923076923078,0.358974358974359,0.39797008547008544,0.5,0.25,0.4666666666666667,0.4055555555555556,"[29, 5, 24]","[8, 3, 1]","[11, 5, 14]"
4,0.56,0.6666666666666667,0.0,0.5432098765432098,0.4033396481858198,0.7083333333333334,0.0,0.5641025641025641,0.42414529914529914,0.6296296296296297,0.0,0.5238095238095238,0.3844797178130512,"[34, 6, 14]","[1, 0, 3]","[13, 7, 22]"
5,0.5,0.625,0.1,0.4117647058823529,0.3895885451362182,0.7291666666666666,0.07692307692307693,0.358974358974359,0.38835470085470086,0.546875,0.14285714285714285,0.4827586206896552,0.39083025451559933,"[35, 7, 22]","[3, 1, 3]","[10, 5, 14]"
6,0.5,0.576923076923077,0.09090909090909093,0.5135135135135135,0.39646416039671434,0.625,0.07692307692307693,0.48717948717948717,0.39636752136752135,0.5357142857142857,0.1111111111111111,0.5428571428571428,0.3965608465608465,"[30, 9, 17]","[5, 1, 3]","[13, 3, 19]"
7,0.53,0.6078431372549019,0.24999999999999994,0.5135135135135135,0.45886622631543456,0.6458333333333334,0.23076923076923078,0.48717948717948717,0.4545940170940171,0.5740740740740741,0.2727272727272727,0.5428571428571428,0.46321949655282985,"[31, 6, 17]","[5, 3, 3]","[12, 4, 19]"
8,0.54,0.6153846153846153,0.09523809523809525,0.5599999999999999,0.42696852348326875,0.6666666666666666,0.07692307692307693,0.5384615384615384,0.42735042735042733,0.5714285714285714,0.125,0.5833333333333334,0.42658730158730157,"[32, 7, 17]","[6, 1, 1]","[10, 5, 21]"
9,0.44,0.5523809523809524,0.0,0.4054054054054054,0.320791949826125,0.6041666666666666,0.0,0.38461538461538464,0.3295940170940171,0.5087719298245614,0.0,0.42857142857142855,0.3124477861319967,"[29, 8, 20]","[4, 0, 4]","[15, 5, 15]"
