datasize,100

ID,Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,+1,0,-1
0,0.49,0.6721311475409836,0.27450980392156865,0.07407407407407408,0.34373806184473005,0.7321428571428571,0.25925925925925924,0.058823529411764705,0.35007521527129365,0.6212121212121212,0.2916666666666667,0.1,0.33762626262626266,"[41, 15, 10]","[11, 7, 6]","[4, 5, 1]"
1,0.45,0.6393442622950819,0.2222222222222222,0.0,0.28755878052826284,0.6964285714285714,0.2222222222222222,0.0,0.3062169312169312,0.5909090909090909,0.2222222222222222,0.0,0.27104377104377103,"[39, 16, 11]","[15, 6, 6]","[2, 5, 0]"
2,0.45,0.6495726495726496,0.24,0.06060606060606061,0.3176407999749467,0.6785714285714286,0.2222222222222222,0.058823529411764705,0.3198723934018052,0.6229508196721312,0.2608695652173913,0.0625,0.3154401282965075,"[38, 14, 9]","[10, 6, 7]","[8, 7, 1]"
3,0.49,0.6771653543307087,0.21739130434782608,0.07407407407407408,0.3299534673089064,0.7678571428571429,0.18518518518518517,0.058823529411764705,0.33728861915136427,0.6056338028169014,0.2631578947368421,0.1,0.32293056585124785,"[43, 17, 11]","[9, 5, 5]","[4, 5, 1]"
4,0.46,0.6239999999999999,0.21739130434782608,0.13793103448275862,0.33238230722006323,0.6964285714285714,0.18518518518518517,0.11764705882352941,0.3330869384790953,0.5652173913043478,0.2631578947368421,0.16666666666666666,0.33168065090261883,"[39, 19, 11]","[10, 5, 4]","[7, 3, 2]"
5,0.48,0.694214876033058,0.19999999999999998,0.06896551724137931,0.32329045718773813,0.75,0.18518518518518517,0.058823529411764705,0.3313362381989833,0.6461538461538462,0.21739130434782608,0.08333333333333333,0.3156261612783352,"[42, 16, 7]","[9, 5, 9]","[5, 6, 1]"
6,0.47,0.603448275862069,0.2962962962962963,0.26666666666666666,0.3905849039761518,0.625,0.2962962962962963,0.23529411764705882,0.3855301379811184,0.5833333333333334,0.2962962962962963,0.3076923076923077,0.39577397910731243,"[35, 15, 10]","[16, 8, 3]","[5, 4, 4]"
7,0.47,0.6774193548387097,0.20833333333333334,0.0,0.2979005855575348,0.75,0.18518518518518517,0.0,0.3117283950617284,0.6176470588235294,0.23809523809523808,0.0,0.2852474323062559,"[42, 16, 10]","[9, 5, 7]","[5, 6, 0]"
8,0.47,0.6666666666666667,0.19999999999999998,0.07407407407407408,0.31738879212352783,0.7321428571428571,0.18518518518518517,0.058823529411764705,0.32538385724660235,0.6119402985074627,0.21739130434782608,0.1,0.3097772009517629,"[41, 17, 9]","[11, 5, 7]","[4, 5, 1]"
9,0.45,0.6379310344827587,0.23076923076923075,0.125,0.3317545493136453,0.6607142857142857,0.2222222222222222,0.11764705882352941,0.33352785558667913,0.6166666666666667,0.24,0.13333333333333333,0.33,"[37, 14, 9]","[13, 6, 6]","[6, 7, 2]"
