ANSWER,ID,SECTION,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
3,1,1,0.757928571,1.3908,0.918333333,0.557772727,0.125,0.602,0.26,0.003,1.787,2.63,2.142,1.417,0.354027058,0.25287647,0.075862941,0.556328234,0.268327222,0.351700594,0.069667467,0.310304716,1.377549252,2.238961039,1.214558412,0.764705882,1.246670657,0.35273351,0.171939477,0.40457324,0.583333333,0.432766426,0.64726649,0.828060523,0.59542676,0.416666667,0.567233574,0.181858973,0.003039514,0.21603903,0.814814815,0.449915671,0.209093282,0.126262626,0.224047141,0.285714286,0.268327222,0.383686469,0.608080808,0.329739218,0.204081633,0.351700594,0.253344891,0.262626263,0.268555667,0.06122449,0.069667467,0.153875358,0.003030303,0.177657974,0.448979592,0.310304716,0.547845972,0.675324675,0.54517689,0.176470588,0.206120006,0.452154028,0.324675325,0.45482311,0.823529412,0.793879994,0.397696105,0.30162413,0.448868399,0.230769231,0.165336374,0.602303895,0.69837587,0.551131601,0.769230769,0.834663626
2,1,2,0.696833333,0.860142857,0.858,0.819818182,0.013,0.187,0.46,0.395,1.313,1.537,1.092,1.565,0.151725882,0.177013529,0.075862941,0.278164117,0.191841791,0.276268698,0.118105901,0.41378361,1.105033459,1.367864693,1.093139293,1.111111111,1.272390822,0.447555549,0.065,0.460701754,0.461538462,0.409821604,0.552444451,0.935,0.539298246,0.538461538,0.590178396,0.339472573,0.598484848,0.397006596,0.6875,0.705854728,0.215418123,0.012322275,0.238423824,0.222222222,0.191841791,0.265903411,0.177251185,0.279099328,0.259259259,0.276268698,0.265240971,0.436018957,0.198293082,0.111111111,0.118105901,0.253437495,0.374407583,0.284183766,0.407407407,0.41378361,0.551827634,0.972515856,0.454054054,0.333333333,0.381051073,0.448172366,0.027484144,0.545945946,0.666666667,0.618948927,0.499376403,0.710973725,0.41536706,0.3,0.29947644,0.500623597,0.289026275,0.58463294,0.7,0.70052356
2,1,3,0.529166667,0.6595,0.638857143,0.825636364,0.026,0.058,0.038,0.012,1.045,1.732,1.572,4.085,0.381315539,0.508420718,0.222434064,0.699078487,0.160604988,0.266882493,0.113106379,0.459406141,1.111584483,1.5,1.262514329,1.210526316,1.388283127,0.445176669,0.30952381,0.376305366,0.428571429,0.375695184,0.554823331,0.69047619,0.623694634,0.571428571,0.624304816,0.451778718,0.098360656,0.93929639,0.628571429,0.849817535,0.19944769,0.194029851,0.123903249,0.210526316,0.160604988,0.248571498,0.432835821,0.20535926,0.280701754,0.266882493,0.240791019,0.28358209,0.186388428,0.122807018,0.113106379,0.311189792,0.089552239,0.484349063,0.385964912,0.459406141,0.546955582,0.59375,0.60068781,0.368421053,0.413232305,0.453044418,0.40625,0.39931219,0.631578947,0.586767695,0.492050393,0.395833333,0.475786925,0.304347826,0.297657082,0.507949607,0.604166667,0.524213075,0.695652174,0.702342918
2,1,4,0.888142857,0.690833333,0.4336,0.448217391,0.03,0.002,0.14,0.028,3.327,1.868,1.135,2.047,0.444868128,0.571973308,0.317762949,0.730854782,0.31467328,0.314698588,0.109733259,0.260894873,0.850720189,0.835294118,0.673016584,1.166666667,1.00005963,0.562480209,0.9375,0.640423484,0.4375,0.499979895,0.437519791,0.0625,0.359576516,0.5625,0.500020105,0.222708285,0.162790698,0.323380727,0.547619048,0.352987502,0.360917252,0.15,0.397158887,0.215384615,0.31467328,0.280735994,0.01,0.222991524,0.276923077,0.314698588,0.17620332,0.7,0.135490032,0.153846154,0.109733259,0.182143433,0.14,0.244359556,0.353846154,0.260894873,0.328051707,0.823529412,0.254370238,0.416666667,0.258556947,0.671948293,0.176470588,0.745629762,0.583333333,0.741443053,0.385616459,0.985915493,0.377955378,0.357142857,0.25854153,0.614383541,0.014084507,0.622044622,0.642857143,0.74145847
3,2,1,1.3908,0.757928571,0.918333333,0.557772727,0.602,0.125,0.26,0.003,2.63,1.787,2.142,1.417,0.40192926,0.562700965,0.120578778,0.884244373,0.351700594,0.268327222,0.069667467,0.310304716,0.725926858,0.446635731,0.82334451,1.307692308,0.80213647,0.64726649,0.828060523,0.59542676,0.416666667,0.567233574,0.35273351,0.171939477,0.40457324,0.583333333,0.432766426,0.181858973,0.003039514,0.21603903,0.814814815,0.449915671,0.383686469,0.608080808,0.329739218,0.204081633,0.351700594,0.209093282,0.126262626,0.224047141,0.285714286,0.268327222,0.253344891,0.262626263,0.268555667,0.06122449,0.069667467,0.153875358,0.003030303,0.177657974,0.448979592,0.310304716,0.397696105,0.30162413,0.448868399,0.230769231,0.165336374,0.602303895,0.69837587,0.551131601,0.769230769,0.834663626,0.547845972,0.675324675,0.54517689,0.176470588,0.206120006,0.452154028,0.324675325,0.45482311,0.823529412,0.793879994
2,2,2,0.860142857,0.696833333,0.858,0.819818182,0.187,0.013,0.46,0.395,1.537,1.313,1.092,1.565,0.281350482,0.241157556,0.120578778,0.442122186,0.276268698,0.191841791,0.118105901,0.41378361,0.904949974,0.731066461,0.914796501,0.9,0.785922048,0.552444451,0.935,0.539298246,0.538461538,0.590178396,0.447555549,0.065,0.460701754,0.461538462,0.409821604,0.339472573,0.598484848,0.397006596,0.6875,0.705854728,0.265903411,0.177251185,0.279099328,0.259259259,0.276268698,0.215418123,0.012322275,0.238423824,0.222222222,0.191841791,0.265240971,0.436018957,0.198293082,0.111111111,0.118105901,0.253437495,0.374407583,0.284183766,0.407407407,0.41378361,0.499376403,0.710973725,0.41536706,0.3,0.29947644,0.500623597,0.289026275,0.58463294,0.7,0.70052356,0.551827634,0.972515856,0.454054054,0.333333333,0.381051073,0.448172366,0.027484144,0.545945946,0.666666667,0.618948927
2,2,3,0.6595,0.529166667,0.638857143,0.825636364,0.058,0.026,0.038,0.012,1.732,1.045,1.572,4.085,0.578118225,0.433588669,0.252926724,0.79491256,0.266882493,0.160604988,0.113106379,0.459406141,0.899616732,0.666666667,0.792070218,0.826086957,0.720314164,0.554823331,0.69047619,0.623694634,0.571428571,0.624304816,0.445176669,0.30952381,0.376305366,0.428571429,0.375695184,0.451778718,0.098360656,0.93929639,0.628571429,0.849817535,0.248571498,0.432835821,0.20535926,0.280701754,0.266882493,0.19944769,0.194029851,0.123903249,0.210526316,0.160604988,0.240791019,0.28358209,0.186388428,0.122807018,0.113106379,0.311189792,0.089552239,0.484349063,0.385964912,0.459406141,0.492050393,0.395833333,0.475786925,0.304347826,0.297657082,0.507949607,0.604166667,0.524213075,0.695652174,0.702342918,0.546955582,0.59375,0.60068781,0.368421053,0.413232305,0.453044418,0.40625,0.39931219,0.631578947,0.586767695
2,2,4,0.690833333,0.888142857,0.4336,0.448217391,0.002,0.03,0.14,0.028,1.868,3.327,1.135,2.047,0.650383003,0.505853447,0.361323891,0.831044949,0.314698588,0.31467328,0.109733259,0.260894873,1.175474631,1.197183099,1.485847486,0.857142857,0.999940373,0.437519791,0.0625,0.359576516,0.5625,0.500020105,0.562480209,0.9375,0.640423484,0.4375,0.499979895,0.222708285,0.162790698,0.323380727,0.547619048,0.352987502,0.280735994,0.01,0.222991524,0.276923077,0.314698588,0.360917252,0.15,0.397158887,0.215384615,0.31467328,0.17620332,0.7,0.135490032,0.153846154,0.109733259,0.182143433,0.14,0.244359556,0.353846154,0.260894873,0.385616459,0.985915493,0.377955378,0.357142857,0.25854153,0.614383541,0.014084507,0.622044622,0.642857143,0.74145847,0.328051707,0.823529412,0.254370238,0.416666667,0.258556947,0.671948293,0.176470588,0.745629762,0.583333333,0.741443053
5,5,1,1.344307692,0.570957143,0.099,0.59389375,0.03,0.2377,0.008,0.0173,4.059,0.949,0.268,1.912,0.331252389,0.178366671,0.127404765,0.407695248,0.555322529,0.127000318,0.015729266,0.301947887,0.464181786,6.465789474,0.281257222,0.666666667,0.249941573,0.701891283,0.112065745,0.810503195,0.65,0.813870636,0.298108717,0.887934255,0.189496805,0.35,0.186129364,0.294843925,0.062749365,0.362395754,0.64,0.432557801,0.515424062,0.102389078,0.564691152,0.317073171,0.555322529,0.218911973,0.811262799,0.132025598,0.170731707,0.127000318,0.037957815,0.027303754,0.037284363,0.12195122,0.015729266,0.22770615,0.059044369,0.265998887,0.390243902,0.301947887,0.068592443,0.210526316,0.061936677,0.277777778,0.027544377,0.931407557,0.789473684,0.938063323,0.722222222,0.972455623,0.147770646,0.032560033,0.22021364,0.416666667,0.110203264,0.852229354,0.967439967,0.77978636,0.583333333,0.889796736
2,5,2,0.721272727,1.018777778,0.14,0.57345,0.187,0.248,0.14,0.025,1.17,2.019,0.14,2.538,0.280290483,0.229328577,0.025480953,0.50961906,0.276330454,0.319343828,0.00487601,0.399449707,1.345424906,1.186544343,1.648091603,0.833333333,1.152960119,0.414512524,0.429885057,0.366886171,0.55,0.463895223,0.585487476,0.570114943,0.633113829,0.45,0.536104777,0.305018402,0.043478261,0.762391108,0.952380952,0.665139477,0.293977004,0.311666667,0.199420487,0.268292683,0.276330454,0.415234387,0.413333333,0.344128175,0.219512195,0.319343828,0.057061329,0.233333333,0.023862281,0.024390244,0.00487601,0.23372728,0.041666667,0.432589057,0.487804878,0.399449707,0.162550137,0.428134557,0.106870229,0.083333333,0.017339609,0.837449863,0.571865443,0.893129771,0.916666667,0.982660391,0.120816953,0.360824742,0.064844836,0.1,0.015039209,0.879183047,0.639175258,0.935155164,0.9,0.984960791
