254,230,0.905511811
[178.48062546],[-31.56505454],[2.32096324]
[178.39007176],[-28.1543243],[2.96558007]
[177.2118489],[-24.64101673],[3.21337937]
[178.02808031],[-28.2243476],[2.58506717]
[178.09896838],[-22.21449954],[2.38568048]
[177.07231018],[-25.35917794],[2.49779993]
[177.87785623],[-22.47956758],[1.91616274]
[176.33408514],[-29.54090616],[2.94014969]
[176.76055991],[-31.97056177],[3.26540939]
[178.15461875],[-30.77399775],[2.8813123]
[176.33354845],[-27.70971862],[4.81941204]
[178.2113733],[-21.37402941],[6.06506665]
[177.66416463],[-26.39986653],[6.94334739]
[177.03348454],[-27.590351],[7.13192748]
[176.97859493],[-23.90121451],[9.11899773]
[177.09392345],[-25.37611162],[11.18092228]
[176.60505883],[-25.7231733],[12.0303247]
[177.11793513],[-27.26543524],[15.16114997]
[173.90393583],[-25.98308104],[14.58638969]
[172.36570304],[-26.88382387],[16.25843318]
[172.98002823],[-25.41774895],[16.77872277]
[173.12693953],[-26.03603416],[16.49763227]
[174.47965167],[-27.41761831],[17.56376145]
[179.73837123],[-25.31972985],[21.28379378]
[178.20709206],[-22.81509596],[22.02888955]
[177.20293121],[-20.35329785],[21.57765896]
[176.38482292],[-26.06802311],[21.02088956]
[173.75172816],[-26.81677924],[20.8275656]
[177.58652239],[-25.70931795],[19.24869307]
[175.46731773],[-26.04994599],[20.30671977]
[173.80743869],[-28.69672655],[23.02208931]
[175.95351325],[-26.94727473],[23.07312359]
[172.15454465],[-51.94411271],[-155.57847832]
[174.62200283],[-51.59874085],[-159.00490601]
[170.94047066],[-50.80480847],[-160.5678214]
[176.17402477],[-30.21688298],[18.64935437]
[176.26542406],[-31.74680511],[19.05723131]
[174.59047516],[-32.69114171],[17.34120367]
[174.39680719],[-32.75889554],[17.28733401]
[175.18295076],[-32.07913548],[16.00297727]
[175.72107496],[-32.07885799],[16.61597628]
[177.1069852],[-29.51971674],[16.01417905]
[176.11674049],[-47.96893665],[-164.80533042]
[175.52398344],[-31.45312913],[14.41456979]
[177.91961025],[-29.85480081],[14.87752007]
[178.57995839],[-46.32819881],[-172.28496434]
[178.88843992],[-43.69729438],[-173.90035538]
[177.76775549],[-27.39739273],[12.06206367]
[177.72989839],[-31.11357907],[11.23650768]
[177.68011926],[-28.52051128],[10.89174935]
[177.3253136],[-31.24218067],[9.59332479]
[177.81318402],[-31.36494221],[8.31069204]
[179.19103841],[-33.38077623],[6.94818365]
[177.68654374],[-31.09783609],[6.56750937]
[177.00871643],[-33.50756327],[5.22147535]
[176.82408023],[-34.50038162],[4.5341432]
[176.82287783],[-34.91992422],[3.98304593]
[175.95749928],[-33.4864714],[4.44603756]
[177.27862122],[-31.13015885],[1.99550883]
[175.31373217],[-35.44717797],[2.42175674]
[175.02489262],[-32.92696028],[2.95958769]
[175.57794591],[-35.23253142],[2.479091]
[175.62576303],[-34.59117841],[2.8530594]
[173.94958772],[-34.71064867],[2.95333738]
[175.37643614],[-33.1120673],[1.05981165]
[175.47870103],[-27.92335674],[0.60548376]
[175.66856725],[-29.67948219],[-0.08332675]
[175.13127652],[-28.08988407],[-3.03626]
[177.54111559],[-23.97232445],[-1.59092566]
[174.86088748],[-16.08617742],[1.18845759]
[173.21784539],[-22.69507922],[-0.66855233]
[174.38269391],[-24.77265885],[-1.09699632]
[174.40021479],[-34.34362555],[-1.38208143]
[173.41928736],[-34.43957283],[-0.43205336]
[173.65027228],[-32.95113253],[1.1453413]
[174.03116083],[-34.43934951],[0.4636256]
[173.89180876],[-24.3962728],[2.65421607]
[175.5429364],[-30.20359284],[2.83239289]
[175.46057598],[-33.73024415],[2.88799301]
[174.91272262],[-29.8799598],[3.86189133]
[179.57696371],[-48.58928169],[179.99948608]
[174.15044892],[-34.70184181],[3.71369207]
[174.92011638],[-35.9380628],[4.0159112]
[174.34809469],[-36.05579842],[4.75281914]
[173.511476],[-37.9155742],[5.19509848]
[174.23352197],[-38.64658553],[5.02720358]
[175.19007835],[-39.21508329],[5.83161837]
[175.07399988],[-40.65618221],[6.03326212]
[174.13800112],[-58.54170563],[-175.18955457]
[175.54246783],[-57.73343242],[-173.97639287]
[176.94207401],[-59.4352903],[-176.39553498]
[146.88073246],[-78.15128751],[-136.03934085]
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
[-179.19519521],[-39.84942226],[2.89247318]
,,
[170.85969919],[-41.09534313],[5.66443634]
[173.89013873],[-41.71054002],[5.66667901]
[174.0261247],[-39.70551884],[5.28401334]
[175.49526813],[-40.39896804],[2.97547728]
[174.32630237],[-37.72428407],[5.24164078]
[174.26035027],[-37.91492002],[4.21030978]
[175.816493],[-37.97009058],[4.49259314]
[174.61568872],[-37.17937716],[4.0549012]
[175.20287912],[-35.94625963],[3.56382181]
[175.52627869],[-38.07269881],[3.36983742]
[174.66948529],[-37.78884155],[2.55036735]
[175.29307939],[-36.94801173],[2.38733668]
[175.08620878],[-36.96488662],[1.55391439]
[175.95319957],[-36.83795173],[1.05519771]
[174.83920303],[-37.76101868],[0.94559773]
[174.53223364],[-37.27751446],[0.37261306]
[-179.17763846],[-51.29400139],[175.63648085]
[175.11471959],[-35.00970465],[-0.66129793]
[174.08336808],[-33.91202284],[-0.15060528]
[174.62855275],[-29.55771401],[-0.9377576]
[176.54296747],[-25.33247539],[-1.62304981]
[174.09444061],[-28.80353823],[-2.53350707]
[176.00409587],[-25.74134395],[-1.06448233]
[175.22547326],[-26.82798924],[-1.52330798]
[176.51224676],[-24.94223115],[-0.60302528]
[175.89479345],[-11.62418998],[-1.10239974]
[175.28407065],[-20.80153106],[-0.9072793]
[174.71633991],[-20.13104489],[-0.93566626]
[175.99536906],[-25.34506117],[-0.92504941]
[176.15704018],[-19.98176229],[-1.31282851]
[175.99834973],[-25.09794178],[-1.53354227]
[175.47679115],[-19.06289324],[-1.05018379]
[175.17834476],[-24.84231486],[-0.94076695]
[176.08193166],[-26.16399641],[-1.02640573]
[176.57185734],[-26.65488991],[-1.53812232]
[177.05520629],[-31.86368763],[-0.43307078]
[176.57247285],[-31.00947265],[-1.25259603]
[175.19027421],[-29.30404759],[-0.63916282]
[176.3283915],[-31.263301],[-0.47672789]
[176.6553373],[-32.21020418],[-1.27063076]
[175.8225631],[-30.69046567],[-1.08698428]
[176.53046369],[-33.70040039],[-1.01427783]
[177.17436827],[-33.41514437],[-2.19883825]
[176.4364222],[-32.26696274],[-0.62878045]
[176.402133],[-29.58040179],[-1.42864486]
[175.05554026],[-29.17173127],[-0.84113131]
[175.0589953],[-31.85607193],[-0.78668765]
[177.04910791],[-33.45215229],[-0.69608467]
[175.31213117],[-31.75781493],[-1.94980267]
[177.04836796],[-33.39304563],[-0.85273113]
[176.26516447],[-32.22395586],[-0.51637715]
[176.92770029],[-31.41414679],[-0.17796034]
[178.03349605],[-33.51280297],[0.34126316]
[176.50187968],[-34.44679862],[0.50244531]
[177.01315009],[-34.85475685],[1.36004657]
[177.05541902],[-32.87179229],[0.86157984]
[176.01395169],[-34.37187608],[0.64190714]
[177.68994001],[-34.33530002],[0.68351345]
[175.93056363],[-33.23847814],[2.0364621]
[177.64825383],[-34.24757388],[1.68069646]
[177.56696807],[-34.76218647],[1.52819632]
[177.19212948],[-33.63486182],[1.30584658]
[176.94803826],[-34.19909559],[2.44358827]
[178.36026367],[-34.02639315],[2.98119711]
[177.32141661],[-32.7015882],[2.80932144]
[177.82552074],[-33.90678989],[2.77075058]
[175.55002402],[-31.17098656],[3.92404997]
[177.47083032],[-33.29894025],[2.9094233]
[176.79929497],[-32.81714154],[3.59062944]
[177.06418582],[-33.91325997],[4.14294026]
[177.97445514],[-32.2226032],[4.52782053]
[177.31204589],[-32.99127806],[4.38113345]
[177.54454663],[-32.56716573],[3.90996014]
[175.28615977],[-31.30926709],[4.78906743]
[176.77622777],[-32.44987042],[4.40161108]
[176.79407606],[-32.85874067],[3.59342628]
[176.14030294],[-34.11469324],[4.51643111]
[176.41974133],[-33.77781877],[4.55394846]
[176.62166722],[-31.79359126],[3.28119682]
[176.4351076],[-32.02618076],[3.95332497]
[177.32822419],[-33.21194688],[4.99460202]
[175.439878],[-32.88122498],[4.92647452]
[175.80847132],[-32.32224754],[4.28983031]
[175.50241931],[-32.48478286],[4.20875299]
[175.65562332],[-31.45812961],[5.07654783]
[176.72368552],[-32.2247175],[4.16835326]
[175.65562332],[-31.45812961],[5.07654783]
[176.82580825],[-31.32817728],[4.0946005]
[176.82006743],[-31.4953167],[4.9715169]
[176.58197971],[-32.12083376],[4.55707499]
[175.2619082],[-30.59372428],[5.35483958]
[174.00138313],[-32.91072682],[5.25196765]
[176.41963763],[-31.59017508],[4.54099838]
[176.45012504],[-31.47907329],[4.0642879]
[175.53063785],[-25.11185813],[4.66498913]
[174.20246473],[-28.82861852],[5.0717554]
[175.12076736],[-30.78404737],[4.73185083]
[174.22280484],[-29.9491321],[3.88038741]
[175.09560987],[-28.00520981],[4.04417204]
[174.74477331],[-27.88077087],[3.50000942]
[173.85036309],[-27.00980876],[4.16824864]
[175.74654848],[-26.98402998],[3.8499948]
[175.20648223],[-25.9402872],[3.71933126]
[175.75635226],[-23.98497109],[3.48675758]
[174.80108048],[-25.86847022],[4.03928819]
[175.91805086],[-26.08024657],[3.62453094]
[175.11634156],[-24.1388175],[3.26472016]
[175.63605278],[-24.3069128],[3.86274236]
[173.27436392],[-23.15493519],[3.09794582]
[176.27599498],[-24.72953193],[3.63009784]
[175.31738491],[-26.68203591],[3.43869075]
[175.63863674],[-26.49514976],[3.91966443]
[174.8492837],[-25.51028294],[2.97034448]
[173.76322661],[-26.38223814],[3.61122334]
[176.55805658],[-28.36691663],[3.05356547]
[174.1861777],[-28.91064334],[3.66360443]
[175.42278839],[-27.67013109],[3.44977051]
[175.89505436],[-27.77260135],[3.37401134]
[174.16007107],[-29.84963449],[4.20001627]
[174.8823372],[-29.09815244],[3.87287224]
[176.3358514],[-30.18858587],[3.0088308]
[175.95718546],[-31.32937476],[3.62220679]
[176.38925341],[-26.66047644],[4.03874134]
[174.96922043],[-30.93551589],[3.56110398]
[176.38158616],[-31.36584519],[4.79644715]
[176.61829067],[-32.50751865],[4.69675345]
