[177.06504345],[-23.06946023],[-4.55907781]
[176.71780221],[-23.69508327],[-4.46039477]
[175.84816819],[-23.37830416],[-4.7210819]
[175.41171146],[-22.96637524],[-4.4358934]
[174.5759311],[-21.57720143],[-4.59230705]
[174.09134484],[-22.07238194],[-4.36906787]
[175.50040589],[-21.60920899],[-4.01479372]
[175.11589859],[-22.27107292],[-3.76741922]
[175.23173209],[-22.35863575],[-3.74492254]
[174.46937654],[-22.67813886],[-3.97284305]
[174.03971897],[-20.72203596],[-4.6413286]
[174.13233747],[-21.29383471],[-4.24628869]
[174.54402169],[-21.74219299],[-4.25613326]
[174.78847276],[-23.90902153],[-4.12377319]
[175.74879989],[-23.06659703],[-4.40460108]
[175.13258239],[-22.24799711],[-3.9490465]
[174.83466381],[-22.89418133],[-4.45053717]
[175.62304753],[-22.55082878],[-3.91479922]
[175.63595421],[-24.43803609],[-3.61603189]
[175.46225667],[-23.61062242],[-4.0752856]
[175.84685744],[-24.06265968],[-3.79459073]
[173.59628586],[-20.23522405],[-3.17929685]
[172.36017055],[-15.26419141],[-3.08364572]
[174.23886465],[-19.92977815],[-3.68223443]
[175.40126135],[-20.71747429],[-3.29738031]
[177.88070145],[-21.48646876],[-3.03306038]
[173.02426335],[-16.77743933],[-3.61095751]
[173.0482626],[-17.59596144],[-3.3036023]
[179.78486877],[-24.23335319],[-3.53897158]
[178.07990475],[-22.17249383],[-3.11607716]
[178.87938242],[-24.04088673],[-3.81395899]
[178.74048595],[-22.22573431],[-3.72742763]
[-179.78194037],[-25.79917871],[-3.64373871]
[178.11499482],[-22.90671723],[-3.41709651]
[178.86136312],[-23.12656427],[-3.48828791]
[178.04733244],[-22.92586258],[-3.43038275]
[178.26153312],[-21.9079954],[-3.86526886]
[178.65455375],[-21.90935459],[-4.34250005]
[179.02013442],[-20.77210421],[-4.03779955]
[179.54449379],[-21.30936877],[-4.41165797]
[178.68608514],[-21.99961071],[-3.88341082]
[176.58637663],[-20.66964883],[-4.45002532]
[178.17526326],[-22.7385255],[-4.25399438]
[176.92675529],[-21.29823455],[-3.46373039]
[177.20266637],[-21.23399367],[-3.86648013]
[178.294908],[-23.35543854],[-4.61622094]
[178.15490158],[-23.70006918],[-4.27508087]
[177.64013215],[-21.75150009],[-4.64433265]
[176.24765248],[-21.84748926],[-4.25206437]
[176.44518327],[-21.19324187],[-4.24638611]
[176.75499982],[-21.09194398],[-4.46707446]
[177.00820516],[-21.56650588],[-4.82453863]
[176.23041289],[-24.75214897],[-4.1241306]
[176.67547803],[-22.51296746],[-4.19437555]
[176.64346248],[-23.28171689],[-4.18224298]
[176.6702341],[-25.06173298],[-4.94176728]
[177.04197836],[-24.85497371],[-4.82865928]
[176.10763668],[-22.84291454],[-4.22089607]
[176.59349409],[-25.10539986],[-4.30127219]
[176.1060743],[-23.88226035],[-4.59926799]
[177.51635063],[-24.16510701],[-4.79735933]
[177.55439728],[-24.93076553],[-4.58876861]
[177.17434639],[-25.07020423],[-3.95133521]
[177.35016683],[-25.32989768],[-4.247685]
[176.55737051],[-24.81864333],[-4.0465626]
[177.22010507],[-24.81128648],[-4.24596177]
[176.07508912],[-24.80502532],[-4.50693117]
[177.35708141],[-20.12585541],[-3.68502915]
[177.71390685],[-21.40437514],[-3.64525432]
[173.70783957],[-18.62850026],[-4.21019616]
[171.04650618],[-17.25251214],[-3.74882042]
[174.62870367],[-18.6848085],[-3.02026902]
[176.02888488],[-21.70493103],[-3.41855039]
[177.7930979],[-20.58304434],[-3.58571135]
[175.75098333],[-20.04988626],[-4.0808442]
[176.84506535],[-21.9313111],[-3.83198427]
[174.48434461],[-20.75167189],[-3.69971206]
[176.45337353],[-23.34608683],[-3.25927076]
[176.16222896],[-22.49754414],[-3.40549052]
[177.99552755],[-24.62103114],[-2.67166441]
[177.93420489],[-23.06305188],[-2.57740389]
[177.61563647],[-21.55025284],[-3.16806874]
[177.40785495],[-22.12169268],[-2.82352548]
[177.78868521],[-22.38826568],[-3.6384303]
[178.7637583],[-24.88910332],[-2.98439873]
[178.13962103],[-20.67801433],[-3.11632012]
[177.54487126],[-21.78012438],[-3.18430237]
[177.61346438],[-22.09588423],[-2.7340635]
[178.12756727],[-23.25825741],[-3.13508305]
[176.56735599],[-20.39273335],[-3.40918224]
[175.1031671],[-21.03725429],[-2.94346154]
[177.90177936],[-22.87059143],[-3.31224914]
[177.76373707],[-22.5034722],[-3.16607067]
[179.51001593],[-20.93014759],[-3.19573815]
[178.84329078],[-19.88655614],[-3.11607964]
[178.79874331],[-18.84215309],[-3.89861111]
[179.64006403],[-23.8383746],[-3.37325546]
[179.44995848],[-21.87451407],[-3.26131906]
[177.40440108],[-20.43882417],[-3.84583182]
[178.25323802],[-19.16553666],[-3.51796479]
[177.90730859],[-24.18676298],[-3.4948794]
[175.84298104],[-23.87412795],[-2.95636258]
[173.48851528],[-20.36661211],[-3.80017369]
[176.41557249],[-23.67979741],[-4.17123785]
[175.38149492],[-23.25018413],[-3.56652702]
[178.52535387],[-23.4007001],[-4.0658776]
[178.49628086],[-22.89010113],[-4.52072146]
[177.55620621],[-20.00566247],[-4.72786656]
[177.14747374],[-21.0838954],[-4.55809194]
[177.89595245],[-24.72406251],[-4.10337541]
[176.57792223],[-21.80024133],[-4.51406353]
[176.63325175],[-22.08277715],[-4.69155952]
[176.43382219],[-22.7103363],[-4.84443457]
[176.11660854],[-23.61771082],[-4.84413393]
[175.44956203],[-23.18073258],[-4.70697674]
[175.45697438],[-21.78327593],[-4.65289263]
[175.50557737],[-24.44817193],[-3.99169497]
[173.26227455],[-23.00621154],[-4.53543296]
[173.5721365],[-22.41984187],[-4.32901441]
