[-172.72678657],[35.27764809],[7.75282384]
[-173.23332974],[35.83261774],[6.95864338]
[-173.96724816],[33.8018074],[6.88503889]
[-171.16748222],[37.3538955],[8.09904199]
[-173.25233626],[35.64185009],[7.28215342]
[-171.4296343],[35.7060217],[7.85906657]
[-175.98439446],[34.34174483],[7.58009285]
[-174.20214463],[34.28958809],[7.06293015]
[-172.58673553],[36.01234624],[7.73879525]
[-173.43530632],[36.89314225],[7.38990902]
[-173.19244074],[36.80057971],[7.48955565]
[-172.51235426],[35.37530413],[7.65733587]
[-172.28594588],[35.8297837],[7.35815624]
[-171.54157467],[38.75126605],[8.11693407]
[-174.54393668],[35.10742259],[6.85636727]
[-172.75882119],[37.44633973],[7.27793637]
[-174.22245587],[34.94996432],[6.62831228]
[-174.04689648],[36.12914962],[8.66670469]
[-175.09046882],[32.87292715],[7.68516305]
[-173.06243249],[34.64377729],[8.08498046]
[-173.29431154],[35.1705449],[7.61881301]
[-173.26281902],[34.74990227],[7.81456532]
[-172.39698469],[34.92647915],[8.12882252]
[-173.48341141],[34.46086298],[7.57829017]
[-173.50474785],[34.79600044],[7.6276236]
[-175.82721782],[34.95347713],[7.3980944]
[-173.85582964],[35.07652336],[7.64716118]
[-173.09448159],[34.2821861],[7.36400348]
[-173.58967596],[33.98338013],[7.52980547]
[-173.11155659],[35.33004572],[7.63470458]
[-173.22534058],[34.32126348],[7.67058623]
[-174.22507223],[34.41761812],[7.41491908]
[-172.00365774],[34.78854905],[7.91940083]
[-173.8729703],[36.22088982],[7.48024006]
[-172.87328017],[35.1982001],[7.7242024]
[-174.50715494],[34.53908002],[7.31349072]
[-175.0783115],[32.92773119],[7.69077333]
[-175.1477276],[34.60297354],[7.38999063]
[-172.90086726],[35.47634504],[8.51024141]
[-173.26281902],[34.74990227],[7.81456532]
[-172.41550053],[36.19373541],[8.4720877]
[-173.26281902],[34.74990227],[7.81456532]
[-173.26281902],[34.74990227],[7.81456532]
[-173.34883394],[34.31121996],[7.47285675]
[-172.87325175],[34.58775213],[7.60269776]
[-173.26281902],[34.74990227],[7.81456532]
[-172.56920828],[34.39460924],[8.05787591]
[-173.0046944],[33.21057428],[8.00212594]
[-173.92434583],[35.72830616],[8.21765304]
[-175.81343039],[35.6549956],[7.78128541]
[-173.0657],[33.21876599],[7.97413466]
[-172.56022879],[34.53301153],[8.16172357]
[-172.22850552],[35.24146326],[8.34246954]
[-172.22850552],[35.24146326],[8.34246954]
[-172.67991397],[36.90481152],[7.98794142]
[-172.22850552],[35.24146326],[8.34246954]
[-172.22850552],[35.24146326],[8.34246954]
[-172.22850552],[35.24146326],[8.34246954]
[-172.70648413],[34.79670726],[8.21280533]
[-173.35677905],[35.17859791],[7.58833556]
[-173.15637784],[34.28981349],[7.33461584]
[-171.88647774],[35.51087871],[7.93952007]
[-172.07936393],[35.88818169],[8.17572441]
[-170.67389088],[36.562163],[8.39509639]
[-172.72420331],[36.41089816],[7.60760525]
[-171.15127618],[36.63610886],[8.67003828]
[-171.88647774],[35.51087871],[7.93952007]
[-172.96755369],[35.01201963],[7.37899178]
[-171.88588541],[36.02032058],[7.37804288]
[-171.99469425],[34.34087091],[7.46462578]
[-174.30506367],[33.30598141],[7.35959945]
[-175.36593613],[32.2365053],[6.307309]
[-176.74920207],[-8.9254581],[3.30142837]
[-176.55688275],[-12.92070833],[2.37269143]
[-177.25685443],[-17.41236817],[1.70558847]
[-175.73004527],[-16.63701143],[1.95702486]
[-176.07289242],[-18.07720032],[2.28449212]
[-176.07289242],[-18.07720032],[2.28449212]
[-176.08263758],[-16.22262603],[1.88491151]
[-175.43559609],[-15.84088573],[1.33241106]
[-175.52884943],[-15.5366288],[1.5282669]
[-175.16095072],[-14.16999472],[2.30552689]
[-175.10976071],[-16.04408135],[2.21314782]
[-175.45201783],[-17.04711653],[2.77639631]
[-175.08917971],[-14.4352197],[2.99582047]
[-175.61449213],[-13.73897902],[2.83771537]
[-175.97654091],[-14.14111692],[3.28472565]
[-175.33475531],[-15.62490386],[2.20756598]
[-175.13982101],[-16.96316688],[2.21762508]
[-175.28777344],[-17.97154508],[2.26904634]
[-174.674165],[-16.59590435],[2.60888615]
[-175.28845821],[-18.00641606],[2.26909557]
[-174.88997646],[-14.95712146],[2.99454354]
[-173.96909067],[2.757693],[4.60656518]
[-170.77300859],[29.19949483],[9.76292135]
[-166.02717189],[35.05595014],[13.05632517]
[-166.08594854],[35.39059858],[13.19924541]
[-165.40004717],[33.42361442],[11.61457882]
[-163.70503013],[34.10349903],[12.91122711]
[-163.98648897],[34.65500844],[12.17308745]
[-165.26241005],[36.35093048],[10.56288865]
[-163.85090225],[37.96067268],[11.61529123]
[-166.15797573],[39.86136647],[11.38542171]
[-165.3318252],[43.3461423],[11.57567499]
[-166.6894705],[46.02155909],[9.19864002]
[-166.00681007],[45.18828766],[6.73905496]
[-172.10609593],[46.74648632],[-0.24319203]
[-173.90733104],[48.16820598],[-2.31558836]
[-174.08823129],[45.83992425],[-4.00212426]
[-177.37970158],[47.59191008],[-7.22328928]
[-178.25388682],[43.56036552],[-9.04136359]
[178.99083541],[44.77669418],[-10.75910444]
[-179.56803183],[40.53341944],[-10.64725407]
[-177.79646163],[41.86576682],[-9.90417175]
[-179.06184682],[39.47085219],[-9.97609385]
[177.73431899],[46.80016939],[-9.60459046]
[178.37687447],[45.69934295],[-8.98480732]
[-179.82245743],[47.47889714],[-6.93966836]
[-177.88774975],[48.20717851],[-3.96072917]
[-175.80813991],[47.19109139],[-1.95990452]
[-174.86608322],[46.7793476],[-1.11673582]
[-176.38184895],[44.10908368],[-0.84861865]
[-175.55620421],[45.99273179],[-0.96749513]
[-174.13886194],[45.20812863],[0.87629292]
[-174.7816614],[45.01267397],[1.63591049]
[-173.60867348],[44.97727661],[1.72228214]
[-173.14353186],[42.96033027],[2.06930106]
[-176.12616427],[41.17899599],[0.92530047]
[-175.16694718],[42.90784952],[1.08303135]
[-174.80045773],[44.96518227],[-0.10631722]
[-177.18764879],[46.22219486],[-1.95308673]
[-176.72586459],[44.44257441],[-4.04707287]
[-175.95491465],[45.99041477],[-5.52277674]
[-176.79160797],[46.59915743],[-5.28803816]
[-177.43044607],[44.97321299],[-4.65809717]
[-177.53699671],[44.90789507],[-5.40813362]
[-179.21391137],[43.24758542],[-7.11540872]
[-177.49032455],[45.43675778],[-7.86566391]
[178.22513207],[44.33554477],[-10.78526691]
[178.34350394],[45.26806763],[-12.47318395]
[178.0820615],[42.44885172],[-12.66382558]
[177.4384778],[42.33225032],[-12.70784475]
[176.44932062],[39.15481386],[-14.74112365]
[176.26328727],[37.01851714],[-14.7217949]
[175.84103913],[38.24612427],[-15.63617757]
[175.30354962],[41.75725805],[-15.49485882]
[174.00023833],[38.36917099],[-17.67173412]
[171.88518302],[41.98832547],[-18.61465522]
[171.84423582],[45.60628408],[-20.24976085]
[166.96601474],[44.60955034],[-22.11058878]
[172.99561641],[48.72359301],[-17.29780315]
[162.584923],[45.9574513],[-27.28154593]
[160.55909801],[48.33435765],[-30.10486691]
[168.00971527],[40.49113609],[155.8206229]
[170.65778493],[52.86258749],[-21.0856279]
[172.18280441],[45.74385072],[159.28418027]
[173.38092426],[49.21887628],[-18.2174462]
[-176.23610117],[29.48804197],[172.64466625]
[167.94883174],[36.6424697],[157.39058772]
[165.87321753],[37.00977038],[152.85446349]
[170.13054557],[40.18606704],[157.3708898]
[169.86348521],[48.65563573],[-23.23451434]
[170.86632873],[52.555483],[-22.58833299]
[163.8556248],[45.33623123],[-28.78632103]
[170.02637043],[43.57610652],[-24.83592067]
[168.76561369],[50.95445059],[-23.0561016]
[175.4080875],[47.27062859],[-19.00187116]
[-176.54049244],[42.63386453],[-12.67369186]
[-169.57054949],[38.54779435],[-5.52279849]
[-168.39566067],[31.25496408],[-2.30129552]
[-167.34696505],[22.4900963],[1.04754651]
[-167.18945621],[17.22593023],[3.16935463]
