[-158.39238428],[-13.5525451],[-2.45304065]
[-157.4669699],[-14.06861475],[-2.51577989]
[-158.76091824],[-13.55329727],[-1.79218431]
[-159.40320263],[-13.41351868],[-1.65108437]
[-160.06260103],[-14.39097088],[-1.28658697]
[-159.98731192],[-14.17887251],[-0.54686686]
[-161.85699564],[-13.9445876],[-0.13058367]
[-161.95704496],[-14.15494737],[0.29384019]
[-163.81454092],[-14.41909834],[0.83313269]
[-164.31766406],[-13.31455347],[0.69077705]
[-167.05465798],[-13.53321862],[1.62154197]
[-167.2338032],[-13.92450285],[2.46759227]
[-167.37213257],[-15.71818248],[3.34782391]
[-167.53516972],[-15.41554222],[3.58002116]
[-167.91264424],[-15.85759077],[5.05662652]
[-166.11494225],[-21.58409036],[5.53402487]
[-167.67221755],[-21.24778702],[5.74097676]
[-167.6374791],[-14.34981814],[6.26088838]
[-166.8187019],[-16.85719553],[5.70030863]
[-168.81145998],[-15.8768843],[6.52372029]
[-168.16176702],[-17.16741577],[6.29304694]
[-168.34371499],[-17.61103279],[6.2834225]
[-168.83177703],[-16.00949316],[6.24121898]
[-169.31867024],[-15.91655244],[5.95999887]
[-169.71582481],[-16.70696866],[6.23299581]
[-168.31285986],[-17.16323149],[5.38192466]
[-169.24433673],[-15.24288473],[4.81253937]
[-168.71690275],[-17.44789837],[4.39021892]
[-168.97100324],[-17.09574972],[4.36110778]
[-169.05049874],[-16.53763671],[3.77768931]
[-169.74836838],[-15.57686171],[3.29974369]
[-168.85755238],[-17.04392714],[2.76417497]
[-169.27745007],[-15.08703569],[2.50727309]
[-169.6320433],[-15.62948584],[2.48548796]
[-169.37783992],[-15.58237304],[2.2827021]
[-171.57685817],[-15.5603572],[2.89950099]
[-170.74885931],[-13.54003292],[2.39318172]
[-169.21862743],[-12.58439709],[1.78883553]
[-171.13772218],[-14.68115234],[1.5594004]
[-170.40587497],[-12.82363007],[1.44662415]
[-171.42309232],[-12.80503866],[1.68432587]
[-171.14665291],[-14.88291876],[0.48243249]
[-172.7482338],[-14.60945992],[0.13282255]
[-170.76554732],[-14.11526075],[-0.56429707]
[-170.57842137],[-16.29732075],[-1.67918779]
[-171.29001831],[-16.37345363],[-1.34843173]
[-170.82629971],[-13.37027017],[-2.43718231]
[-171.43396644],[-14.44893657],[-3.82629947]
[-171.98506591],[-12.49642739],[-4.10937951]
[-170.51132149],[-13.18714712],[-5.75612091]
[-171.18434623],[-14.37948053],[-7.2896177]
[-168.28331503],[-12.86764321],[-8.7520055]
[-169.44131628],[-13.31353469],[-8.56886367]
[-166.29550694],[-13.06539486],[-9.57100356]
[-163.86188102],[-16.50434413],[-10.84247849]
[-161.71840005],[-16.73803465],[-11.90500808]
[-160.01103718],[-16.87627492],[-12.75771222]
[-159.71608838],[-17.76284897],[-12.92336318]
[-159.37611691],[-17.49518611],[-12.52970009]
[-158.38959988],[-19.67595543],[-13.55908702]
[-159.48618085],[-20.29027254],[-13.18120301]
[-158.37739391],[-18.46005799],[-13.20408329]
[-159.69747549],[-19.77037043],[-13.10787487]
[-159.82847209],[-19.53698257],[-12.52039453]
[-158.94790391],[-19.87907781],[-12.89149241]
[-158.94108571],[-19.01984571],[-12.19384969]
[-160.57452384],[-17.96610533],[-12.24690658]
[-158.41827615],[-16.62091623],[-11.42255222]
[-159.13430724],[-15.49095242],[-11.2413701]
[-158.36390476],[-15.05508812],[-11.38883246]
[-159.48611938],[-15.5415284],[-10.66957733]
[-161.76369569],[-15.0297084],[-9.94845733]
[-154.99010136],[-34.65185968],[168.40507634]
[-156.11587497],[-36.93462631],[171.84385372]
[-156.07374878],[-40.93829864],[172.49182992]
[-158.19009394],[-42.17084703],[174.83644698]
[-158.37475463],[-43.15754038],[174.65459989]
[-156.8795271],[-37.0505676],[173.75732343]
[-158.20231432],[-38.83252485],[175.46782848]
[-162.74270336],[-19.87905258],[-0.46681255]
[-156.26376875],[-37.79409378],[176.23016427]
[-155.55829227],[-37.38164968],[175.55366701]
[-159.99018308],[-17.53645545],[-1.32256249]
[-159.67152359],[-15.054619],[-1.39112757]
[-161.82060979],[-15.86044102],[-2.7695539]
[-159.87667732],[-13.92196312],[-3.30780768]
[-161.58876945],[-13.46686569],[-3.70447345]
[-162.49877607],[-12.32412099],[-3.75614842]
[-162.49877607],[-12.32412099],[-3.75614842]
[-162.60274325],[-11.02284346],[-3.61001723]
[-162.02490764],[-11.43823559],[-5.5306794]
[-162.90494296],[-10.37139157],[-5.35520146]
[-165.6100434],[-9.52889316],[-5.37552133]
[-164.84067701],[-10.85164889],[-5.50729733]
[-165.09220673],[-9.6306814],[-6.21505676]
[-165.55049553],[-10.29837728],[-6.44675782]
[-166.69104239],[-9.20015397],[-6.73117976]
[-164.4788042],[-7.42132316],[-7.78034704]
[-163.98686325],[-7.04693823],[-7.73407076]
[-164.64157328],[-9.09940092],[-7.77666963]
[-165.75286584],[-7.93265426],[-7.40134203]
[-164.83405217],[-9.66058789],[-7.87448299]
[-165.23134245],[-10.71128852],[-8.00342137]
[-167.63435405],[-10.52088833],[-8.35249054]
[-166.0711366],[-7.3320978],[-8.47182593]
[-164.99129521],[-6.05535735],[-8.31567174]
[-165.49208778],[-7.08326778],[-8.92721339]
[-165.63098321],[-7.94599751],[-8.64903646]
[-167.70996774],[-7.0613201],[-8.24546768]
[-167.77930785],[-6.50803348],[-8.41281534]
[-168.3262855],[-8.00966187],[-8.46431534]
[-168.27751714],[-6.36776067],[-8.43381316]
[-167.28352557],[-6.26185353],[-8.75329957]
[-166.98243137],[-8.03597275],[-8.8782166]
[-167.84289332],[-7.6644697],[-8.81150143]
[-167.7924094],[-7.75611371],[-9.05900332]
[-167.85651252],[-7.83041176],[-8.85761925]
[-168.98766758],[-8.41864717],[-8.6699135]
[-167.22089017],[-8.48897727],[-8.49478493]
[-166.98903813],[-8.07003676],[-8.59642794]
[-169.00616156],[-8.34304248],[-8.66828329]
[-168.75434018],[-8.63043647],[-7.87848902]
[-167.79099498],[-8.70149306],[-8.13155961]
[-168.10544404],[-6.9933396],[-8.06953702]
[-168.26200088],[-10.89562064],[-8.38577961]
[-167.46308912],[-9.42179799],[-8.23376561]
[-168.25068113],[-9.56051938],[-7.79490912]
[-169.80753977],[-9.82012969],[-6.91845918]
[-170.00861281],[-10.7545374],[-6.81818997]
[-170.52693072],[-10.01925418],[-7.02888909]
[-168.79828399],[-10.06594116],[-7.10841798]
[-169.06464179],[-8.95284508],[-7.19835143]
[-169.08750645],[-9.12104234],[-7.61899141]
[-169.00019515],[-9.36421723],[-8.18645341]
[-169.87309849],[-11.31693173],[-8.78843641]
[-168.38991107],[-10.52454107],[-9.48780405]
[-168.46211025],[-10.95521253],[-9.64125984]
[-168.33187817],[-9.77697548],[-9.37108821]
[-168.34048267],[-8.81657951],[-9.52034946]
[-167.36078835],[-7.81779194],[-10.53737341]
[-168.27423991],[-9.49173757],[-10.25622263]
[-168.51698261],[-8.37247669],[-10.23649234]
[-166.67539253],[-6.35244176],[-9.79489303]
