[-176.3512958],[4.07681698],[-12.99961709]
[-175.41514229],[5.15619237],[-12.55705948]
[-176.55534107],[10.9410243],[-12.97607768]
[-178.55765502],[6.24194945],[-12.50818752]
[-176.79866345],[6.35938384],[-11.81688063]
[-177.71285897],[7.10211497],[-10.68092187]
[-178.16678283],[10.71336529],[-10.33223291]
[-178.1702383],[9.89675847],[-10.24517556]
[-178.13064852],[4.85273841],[-7.78777724]
[-179.38917967],[8.75986448],[-7.04862803]
[-179.07637912],[3.78343882],[-5.78616638]
[-179.46781131],[2.66607519],[-5.30372223]
[-178.59734662],[9.49078476],[-5.28891997]
[-177.82440623],[9.82755126],[-5.10797238]
[-176.54093553],[6.70771287],[-3.7863614]
[-176.36763719],[8.42031078],[-3.59848374]
[-178.46583271],[8.71664042],[-3.22095805]
[-177.56227585],[8.26135408],[-2.31336079]
[-177.80429597],[8.64715777],[-2.16362739]
[-178.2921198],[8.02246726],[-1.41622583]
[-178.83874583],[10.54450254],[-1.07255441]
[-178.73038196],[13.43582091],[-1.40254935]
[-176.26261341],[5.26450023],[-0.62615213]
[-177.17605222],[10.90089895],[-0.86407209]
[-177.97334793],[3.78225234],[-0.17166356]
[-177.60147094],[7.54450815],[0.15271243]
[-177.75860494],[7.82424525],[0.15283819]
[-178.92799169],[7.52672049],[0.18792284]
[-179.81565325],[7.75092712],[0.20006499]
[179.42565122],[7.38751761],[0.5187786]
[179.08185888],[9.31610924],[0.00250465]
[-179.07374455],[11.32233373],[0.39492707]
[-179.91868631],[8.5574485],[0.55858889]
[-179.81603582],[2.27990296],[0.69375198]
[179.94758537],[4.47295322],[0.0880687]
[179.59078726],[7.77494825],[0.22504101]
[179.7640885],[11.50874794],[-0.24829066]
[-179.62712913],[14.02807761],[-0.07898366]
[179.68122144],[4.11904302],[0.31809213]
[-179.51149284],[15.61879511],[-0.23549614]
[-179.35721164],[9.04292627],[0.19374168]
[-177.20354656],[11.48870271],[0.39101317]
[-178.92946635],[10.62713582],[0.30539866]
[-178.23537532],[12.58611826],[0.64620247]
[-176.11877071],[11.26380597],[0.41136333]
[-178.65911667],[16.24864902],[-0.35012742]
[-176.9074081],[9.56445263],[-0.04201281]
[-177.7113247],[11.92565035],[0.16692965]
[-178.099657],[14.42289271],[-0.12628421]
[-178.83410482],[15.11348131],[-0.48336228]
[-177.7854231],[19.90375843],[-0.5396903]
[-178.82564829],[21.23098831],[-0.70190336]
[-179.41621121],[21.46409064],[-0.78488119]
[-176.48568198],[27.20172902],[-1.31484428]
[-176.91972274],[29.62663029],[-0.92760061]
[-175.50827426],[35.29950719],[-1.96310125]
[-173.67761281],[35.42923027],[-0.77021737]
[-172.64629086],[31.64473902],[-0.49056407]
[-172.1344569],[34.44276239],[-0.82738653]
[-171.14869366],[33.53474053],[-0.23657955]
[-170.80253943],[31.49101519],[-0.56811677]
[-170.43538806],[31.94181576],[-0.32009023]
[-170.56095209],[32.27730191],[-0.73543967]
[-172.08477115],[30.92700391],[-1.01753531]
[-172.10410806],[31.49959658],[-0.91963535]
[-170.93371693],[32.22095256],[-0.60637617]
[-171.47511445],[32.17876646],[-0.35155326]
[-171.73377774],[29.74668447],[-0.94276546]
[-173.11246399],[29.70629359],[-1.3063255]
[-174.45544017],[30.55367429],[-1.88736619]
[-170.3469053],[30.21936428],[-0.99202327]
[-171.83414845],[31.37539059],[-0.98847762]
[-172.44745168],[29.86881777],[-1.7507352]
[-172.44745168],[29.86881777],[-1.7507352]
[-171.33542865],[29.32664924],[-1.54719115]
[-172.43903784],[29.37948232],[-1.96984701]
[-172.43903784],[29.37948232],[-1.96984701]
[-171.96713766],[29.39271858],[-2.25039544]
[-171.96034558],[28.52591857],[-2.36200399]
[-172.73204811],[26.14227491],[-1.51790515]
[-172.42914715],[20.461835],[-2.02728931]
[-171.46535132],[26.89506962],[-1.41212158]
[-171.48691755],[25.80883206],[-1.51417469]
[-171.93257303],[24.96581681],[-1.03918546]
[-171.00185422],[20.98240194],[-0.67979196]
[-170.68961949],[20.30927554],[-0.86919405]
[-170.68961949],[20.30927554],[-0.86919405]
[-172.73555049],[22.02769707],[-1.18066384]
[-172.25038208],[16.92399231],[-1.54748181]
[-172.3768318],[20.07510587],[-1.71877422]
[-172.48757401],[24.56835061],[-1.02893922]
[-172.65408433],[20.18338355],[-1.37271823]
[-172.85577806],[23.68964303],[-1.47508829]
[-172.3768318],[20.07510587],[-1.71877422]
[-172.03410573],[21.69195532],[-2.04789225]
[-172.23595353],[20.4345831],[-1.40431417]
[-171.76228837],[23.5779736],[-2.38908883]
[-172.01308984],[23.19690254],[-2.7273699]
[-174.16364721],[23.41863896],[-2.64593754]
[-173.16456628],[25.70829606],[-3.47962007]
[-173.58386145],[25.75255203],[-3.17703142]
[-173.58386145],[25.75255203],[-3.17703142]
[-173.78966843],[23.19047046],[-2.96500009]
[-173.13547445],[25.06363028],[-3.6953649]
[-173.5924732],[24.12483405],[-3.63172142]
[-173.59833416],[20.03944804],[-4.2274064]
[-173.07407221],[25.01649307],[-3.67517481]
[-173.95932223],[23.68354405],[-2.96296385]
[-173.23305869],[28.1072757],[-3.38154529]
[-173.25426187],[28.67580406],[-3.57769979]
[-174.77922387],[27.40232707],[-4.03953845]
[-175.09068899],[32.46547023],[-4.38176824]
[-177.32805571],[31.79024154],[-5.27192199]
[179.39179133],[32.98570017],[-6.98746148]
[176.38751647],[32.79381307],[-7.95627003]
[173.61907844],[31.28827981],[-8.08919252]
[170.6170734],[32.05729208],[-7.69029476]
[168.69810055],[34.18806027],[-7.47509606]
[169.71087835],[30.40153389],[-5.75858157]
[170.62573051],[34.1465101],[-5.3360322]
[171.70907368],[31.95559085],[-5.25675208]
[175.29526375],[29.22198931],[-1.79266177]
[179.31433813],[20.55753483],[0.42215465]
[-177.65112465],[18.41717994],[2.07608898]
[-177.2558162],[10.18260713],[3.58805391]
[-172.99786264],[3.29342474],[6.0606505]
[-170.51233659],[-0.90855806],[6.04890873]
[-169.85624734],[-8.63286141],[6.85297611]
[-165.84335255],[-7.81452075],[6.0894413]
[-165.25872411],[-9.55883758],[5.47107876]
[-158.97809458],[-9.13463891],[4.3416819]
[-158.7916695],[-10.11902224],[3.3490325]
[-164.89714299],[-5.33185522],[5.80978278]
[-165.03351896],[-6.45507299],[5.44439229]
[-168.01854222],[-8.89044787],[7.41660191]
[-166.9682575],[-6.76518804],[7.02245996]
[-163.76462833],[-8.8258734],[4.28649523]
[-172.35017232],[-6.25766482],[5.99871899]
[-172.09726765],[-9.25485034],[5.98145107]
[-173.75405673],[-7.90499097],[5.78016376]
[-172.05746487],[-8.94719223],[5.69774435]
[-173.39636829],[-6.96275457],[6.10980355]
[-171.35495215],[-2.38820953],[5.99203635]
[-171.93572664],[-3.88771198],[5.32059633]
[-172.78856421],[-5.73742136],[4.81594172]
[-173.52166842],[3.47435828],[4.07804367]
[-176.34270634],[4.24396815],[3.85456689]
[-173.59458357],[2.34673183],[3.58153171]
[-173.14360151],[0.47893598],[2.78217106]
[-175.59341065],[5.87897889],[2.56055664]
[-175.21951656],[7.92555257],[2.12988328]
[-175.5710707],[15.02968421],[2.42023617]
[-174.48099564],[19.41940208],[2.07120941]
[-173.74593334],[16.27253259],[2.4935148]
[-175.09176935],[13.83435183],[1.89089705]
[-175.03566723],[12.44447235],[2.0682469]
[-175.11225163],[13.97008406],[1.69596438]
[-175.12374169],[14.70644855],[1.67723234]
[-175.12374169],[14.70644855],[1.67723234]
[-173.81028773],[19.37737958],[1.52615589]
[-176.5891592],[21.11801598],[0.58644553]
[-173.66556076],[13.12650263],[1.09070513]
[-176.56103203],[16.07614014],[0.90170785]
[-175.60954562],[15.24324709],[0.88106229]
[-175.63328773],[18.16507512],[1.01551758]
[-173.72949926],[18.55667763],[1.16919015]
[-176.1958975],[13.83106562],[0.38127262]
[-174.24056339],[13.48135624],[0.46105341]
[-176.05462297],[10.57786301],[0.19831264]
[-175.37143502],[10.63602959],[0.39515861]
[-175.43911798],[9.83828948],[0.03495754]
[-176.27815602],[18.72868554],[0.37600136]
[-175.36479399],[9.13602138],[0.12778243]
[-176.05462297],[10.57786301],[0.19831264]
[-175.90216184],[14.00300567],[-0.83488245]
[-174.26981287],[7.5289391],[-0.3603024]
[-174.31853837],[3.70396989],[-0.23910789]
[-174.13761849],[13.99244297],[-0.26741297]
[-175.2541871],[14.30742935],[-0.68309663]
[-175.85321984],[20.29625607],[-0.1509557]
[-177.69491946],[14.80221491],[-0.89966487]
[-179.45210143],[-6.95197626],[0.13073215]
[-178.68863391],[-4.24083521],[0.38375472]
