




[-171.5658409],[-22.02741735],[11.42160139]
[-172.13322221],[-21.13962883],[11.97959274]
[-171.77165496],[-20.24210067],[11.99820857]
[-175.76382625],[-31.44761213],[-166.32346281]
[-175.7278845],[-33.13894865],[-166.22178575]
[-175.35503435],[-32.32496848],[-166.20651404]
[-171.90621069],[-20.71627265],[11.68685184]
[-174.29303874],[-21.36536829],[11.5516043]
[-173.0551408],[-22.57298107],[12.29876367]
[-172.33143255],[-21.17713006],[11.40080396]
[-174.19235316],[-22.26855256],[12.51876901]
[-174.01730519],[-21.66197387],[12.29320574]
[-179.11568797],[-29.82312224],[-165.99745327]
[-172.79133317],[-22.59039347],[11.51839734]
[-178.02124585],[-32.29877933],[-165.42900684]
[-177.30520124],[-33.88151668],[-166.29404061]
[-172.23691478],[-21.66168052],[11.97113859]
[-174.1451492],[-22.48106284],[12.72227464]
[-175.02490205],[-22.13921454],[11.77709755]
[-174.66467083],[-19.74295021],[11.74039535]
[-179.89526285],[-34.7422391],[-165.89154262]
[-177.32617491],[-35.48656044],[-166.11857067]
[-179.3085263],[-34.62355569],[-166.53563173]
[-174.18504492],[-19.68041351],[11.62861864]
[-176.48989646],[-21.99872517],[11.86757338]
[-175.72524329],[-22.25604338],[11.306374]
[-173.00972725],[-21.94344296],[11.32666041]
[-174.3403577],[-21.25739811],[11.77200952]
[-175.01001383],[-22.42717704],[11.45662651]
[-174.58892054],[-21.38108725],[11.04456277]
[-175.52870533],[-21.1067745],[11.22966032]
[-174.47479698],[-21.49191535],[10.73515826]
[-179.15366585],[-34.16619604],[-167.04503056]
[-175.04378121],[-21.23409316],[11.29315794]
[-175.49296376],[-21.10999513],[10.76592562]
[-176.62754227],[-21.05572537],[10.47723508]
[-179.90267239],[-33.50779196],[-167.65407653]
[-175.33583475],[-19.73112689],[11.50308023]
[-174.35664749],[-22.60345826],[10.51233419]
[-176.23830409],[-17.77686024],[11.27911286]
[-175.2790622],[-20.71717461],[11.66479263]
[-174.46476267],[-19.0340841],[10.79876932]
[-175.59816083],[-19.68023751],[10.9670245]
[179.92451926],[-34.50337118],[-167.16071752]
[-176.70320897],[-21.92392859],[11.77913785]
[-177.2537253],[-21.81201073],[11.52995538]
[-178.45527277],[-24.19188287],[12.1014818]
[179.36161458],[-27.25108404],[11.13128009]
[-177.76225502],[-32.63313603],[12.53796804]
[-175.50224496],[-25.11524063],[12.61145836]
[-176.64482036],[-20.04899876],[12.20567261]
[-177.41570686],[-22.40926011],[12.81946611]
[-178.55999126],[-19.32821792],[12.62758473]
[-178.15489156],[-22.28008396],[12.74938239]
[-178.1133672],[-22.60543462],[12.37917597]
[-175.98152071],[-21.86257647],[13.35626115]
[-176.35805796],[-20.92992992],[13.06754209]
[-176.0044188],[-22.38962311],[13.26560901]
[-178.15931992],[-24.72255103],[12.13738638]
[-176.20045442],[-24.87013072],[12.79845185]
[-175.82330532],[-23.01519477],[12.9878643]
[-176.2508397],[-20.72821892],[13.99717416]
[-174.67632561],[-21.57110686],[13.60573899]
[-178.13463319],[-23.60284956],[12.98216589]
[-178.20638386],[-21.64156844],[14.23010453]
[-175.20035676],[-18.79607891],[12.27202164]
[-178.60959643],[-22.18416078],[13.38656158]
[-179.34998022],[-22.62532545],[13.67066679]
[-176.15562922],[-19.57222989],[12.29730299]
[-174.99276554],[-20.43570559],[13.67468305]
[-176.55981913],[-17.88277032],[13.39349388]
[-175.05742962],[-19.14739844],[13.38626022]
[-176.18893679],[-22.81944361],[13.32092449]
[-178.61550971],[-21.26602389],[12.36814218]
[-176.67098351],[-22.01459737],[12.07117851]
[-177.81303533],[-26.12346204],[13.08758879]
[-177.76289292],[-23.91912896],[12.77818445]
[178.86430458],[-25.47457681],[14.18589391]
[179.16917044],[-27.12967062],[14.57801446]
[-179.79356871],[-24.03630642],[13.92612832]
[-179.07959561],[-27.4761199],[13.33500545]
[-178.26955688],[-25.17955228],[13.51172929]
[179.54040779],[-25.27241912],[14.73705156]
[179.59435114],[-25.18837711],[14.35689084]
[178.82663476],[-25.64051403],[14.80554223]
[-179.4419825],[-27.43146255],[13.13937494]
[-179.58815943],[-28.01895996],[13.089985]
[-178.68575559],[-24.39122476],[14.00310004]
[-179.04550305],[-23.23379786],[13.82799489]
[-178.28105275],[-24.57392616],[13.51831794]
[-174.6280823],[-24.08634855],[11.63475559]
[-178.44654564],[-26.7333707],[12.54205205]
[-179.64886955],[-25.48136599],[12.80946606]
[-179.91656558],[-24.40055961],[12.7133442]
[-176.37299929],[-23.16700989],[12.2286656]
[-174.58232181],[-22.7528702],[11.73829431]
[-174.31668642],[-25.07261128],[11.46505421]
[-176.51087008],[-25.04056347],[12.16558201]
[-176.49706398],[-24.28421356],[12.47131231]
[-177.92142525],[-25.29316579],[11.91395223]
[-177.38593653],[-25.01732743],[12.27406475]
[-178.29948237],[-26.52507453],[12.66967396]
[-179.39110556],[-24.90353709],[12.98645389]
[-177.07321449],[-23.9706305],[11.84342706]
[-177.65901077],[-25.09141512],[11.88705451]
[-177.04880117],[-23.80999205],[11.64570216]
[-178.74667534],[-23.76127962],[12.09251219]
[-178.18603774],[-21.65141627],[11.48387317]
[-177.11919848],[-23.09137839],[11.79257198]
[178.70664792],[-24.34034789],[11.94797399]
[179.28008679],[-24.04823295],[11.13966742]
[-179.90056161],[-24.69455346],[11.01605121]
[-179.47495074],[-24.71633522],[11.09022482]
[179.44596923],[-23.42191385],[10.47369519]
[179.48949825],[-26.49814241],[11.00162433]
[-179.35058406],[-26.38835637],[10.86113925]
[-177.9551595],[-25.01103072],[10.76989593]
[179.93574868],[-22.62600112],[10.79764443]
[-178.90671484],[-24.18162532],[10.50475275]
[179.47174529],[-22.98254573],[11.28776228]
[178.86251312],[-23.45449096],[11.47672769]
[179.18138889],[-24.82323707],[11.11924954]
[-179.92582676],[-24.79090025],[10.62767488]
[-179.28457658],[-23.45232363],[10.52328492]
[179.09759141],[-22.6928768],[10.45344289]
[-178.98321656],[-21.59295829],[10.71758173]
[-178.91093715],[-22.37548273],[10.05968714]
[-179.30451617],[-23.69107986],[10.09294496]
[-178.45348844],[-23.20047335],[10.75418349]
[-178.97389142],[-23.38583206],[10.50915631]
[-179.05255376],[-24.11697492],[10.72348651]
[-178.09230979],[-23.70281138],[10.20953559]
[-178.2736998],[-23.37247192],[10.53519427]
[-178.36285199],[-23.9322968],[10.84805737]
[-178.2911084],[-23.85624245],[10.19343299]
[-177.77139996],[-24.25063186],[10.36433188]
[-178.9337141],[-24.78604971],[10.57732457]
[-178.80124026],[-23.02998443],[10.01578906]
[-177.12836433],[-24.77011665],[9.99465819]
[-178.52204743],[-22.34100756],[10.01367233]
[-178.04341295],[-23.45535009],[9.68925427]
[-177.5188309],[-22.18337907],[9.72740087]
[-177.7085608],[-22.16880882],[10.13553246]
[-178.41526455],[-20.80327447],[10.02353058]
[-177.05588127],[-20.67833933],[10.04165004]
[-178.65278025],[-21.68241447],[10.2681228]
[-178.81581768],[-22.52761491],[9.38393173]
[-178.40906487],[-22.06810194],[9.89787684]
[-177.2748371],[-24.01213296],[9.12757213]
[-176.59969684],[-22.59248366],[9.62931277]
[-176.15886492],[-24.18712657],[9.18468973]
[-177.96970531],[-22.53585207],[10.02483477]
[-176.40047018],[-23.21638367],[10.05026187]
[-177.09492856],[-23.19225096],[9.71392061]
[-176.60903257],[-23.25615853],[10.18278618]
[-177.68091492],[-23.09599348],[10.47002471]
[-177.68091492],[-23.09599348],[10.47002471]
[-177.32796338],[-19.23021179],[10.56633852]
[179.52168888],[-23.34926745],[11.11406716]
[-178.90953921],[-21.94650164],[10.72628489]
[-177.30481478],[-19.47937269],[10.0093489]
[178.99043692],[-21.43812752],[11.4408813]
[179.50959559],[-23.69357453],[11.89788627]
[179.22934191],[-24.20896688],[11.7991955]
[177.94840112],[-21.73878273],[13.4210688]
[-178.46401037],[-21.5867694],[11.88093194]
[179.94285077],[-19.82288269],[12.30153371]
[178.24424868],[-22.07811034],[13.19482286]
[179.65247763],[-21.76509075],[13.19173035]
[178.06545691],[-22.781876],[14.30643757]
[179.03579419],[-23.19437176],[13.99881067]
[177.92171678],[-23.36871307],[14.19325938]
[176.81042936],[-25.12669886],[15.26226357]
[178.8330127],[-25.55710837],[14.2250402]
[176.59776818],[-22.46471035],[15.74387786]
[177.05492841],[-24.18286114],[15.79103738]
[176.4789981],[-24.56754911],[15.71721534]
[175.66436273],[-24.81257638],[16.07328835]
[176.39673266],[-26.86935359],[16.56244588]
[174.65993159],[-26.59526877],[16.5052297]
[175.18593049],[-23.62143721],[16.79001643]
[177.65241548],[-22.72758515],[15.58483616]
[176.59948599],[-24.85387296],[14.89375709]
[176.40128297],[-24.38927249],[15.95772687]
[179.01008545],[-22.04242623],[14.38244344]
[178.26889242],[-24.54385814],[15.89119605]
[179.22681249],[-20.98387928],[14.49754224]
[177.29274546],[-24.50642658],[15.65077935]
[177.0837549],[-23.82396413],[14.88135436]
[178.31482224],[-22.31895812],[14.44990344]
[176.17007757],[-24.3261975],[15.06657545]
[177.63293329],[-23.74240046],[14.29424001]
[176.50576113],[-23.6928211],[15.73948007]
[177.27663501],[-25.17398209],[14.98856358]
[177.75738532],[-23.49737424],[15.43122497]
[178.96413921],[-24.39756814],[15.10552625]
[178.2745852],[-24.65224473],[15.20752782]
[177.51254513],[-24.68304168],[15.19815645]
[179.01577461],[-26.12021882],[14.21015965]
[177.90160664],[-23.72666063],[15.10974858]
[177.80166855],[-25.62742995],[15.42070977]
[179.40150248],[-21.79999351],[14.37997136]
[178.02749674],[-22.59411822],[15.66280555]
[179.63837164],[-22.26496027],[14.8043158]
[-179.64779754],[-23.75659333],[14.63995222]
[178.43152563],[-22.19579158],[15.46943891]
[177.56327919],[-23.90686241],[15.71862238]
[178.39214236],[-24.05454245],[16.06835822]
[-178.73879017],[-22.22974099],[15.02487477]
[-179.44333669],[-22.58932665],[15.91649243]
[179.39234141],[-25.98541201],[16.09022621]
[177.51214214],[-26.57449247],[16.65679752]
[179.0420124],[-27.13784152],[16.09942823]
[177.60187921],[-25.68506415],[15.95884212]
[176.28074605],[-30.6167744],[16.51998147]
[-175.42866847],[-22.69333217],[14.62613893]
[-176.11948759],[-23.06959902],[15.19975512]
[-173.89915882],[-23.6534242],[14.02124342]
[-177.59353457],[-24.54841407],[15.95870786]
[177.7907072],[-26.76544762],[15.48511869]
[179.04415777],[-27.60852952],[14.44356347]
[178.99080977],[-23.63227293],[15.25336565]
[178.70949575],[-22.76105383],[14.57928812]
[178.82297104],[-25.71998644],[14.44559708]
[177.82959322],[-24.65479169],[14.16348974]
[178.76914028],[-24.15190605],[13.97226901]
[179.90758629],[-24.34620547],[13.00620156]
[-177.44920823],[-23.2112609],[12.35810996]
[-177.99673885],[-22.36933763],[13.41976014]
[-177.59094012],[-22.19144932],[12.89523546]
[-177.21534079],[-25.24940466],[12.65006744]
[-177.60162477],[-24.37028805],[12.975055]
[-175.41037105],[-21.39448742],[11.38355178]
[-175.6248132],[-21.60320313],[11.35773464]
[-175.09336066],[-18.76898182],[11.52765093]
[-175.93365635],[-23.1718947],[10.62302548]
[-176.64699608],[-22.64900813],[10.10855044]
[-176.17402894],[-22.21860014],[10.33095867]
[-176.51796652],[-21.70927666],[10.96439876]
[-176.84302375],[-22.20648916],[10.59768071]
[-177.91001005],[-23.51088204],[10.75144291]
[-173.01160847],[-20.39719502],[9.79092448]
[-173.34533271],[-17.74323413],[9.982304]
[-172.39528959],[-18.08879762],[9.12743249]
[-175.14713811],[-18.38942703],[10.53628967]
[-172.89504872],[-20.59734066],[9.05487682]
[-172.85215484],[-20.37700154],[9.28474773]
[-174.46156332],[-20.61639655],[9.31844362]
[-175.79878104],[-24.20733634],[9.68529726]
[-173.75737621],[-20.79210987],[9.2394944]
[-174.68129234],[-20.7483165],[9.61054612]
[-175.02243295],[-21.48439874],[9.70067474]
[-174.01844537],[-20.65123196],[9.8026212]
[-173.87671811],[-22.61430365],[10.34133304]
[-174.33357208],[-23.14052024],[10.38044555]
[-174.11677615],[-24.0774895],[10.92433433]
[-174.40692728],[-24.62015421],[10.89258689]
[-176.07991375],[-23.45379893],[10.98158783]
[-175.91860118],[-24.77138167],[10.29724265]
[-174.10204697],[-24.24243702],[8.98986251]
[-175.69238936],[-22.842157],[9.19977964]
[-174.50697814],[-23.08663922],[9.51664793]
[-174.48849608],[-22.30980697],[8.77690698]
[-175.77626154],[-20.84932177],[9.27775756]
[-174.4607765],[-20.62924235],[8.41395503]
[-174.68149021],[-21.6286234],[7.98874864]
[-175.29723624],[-20.05726128],[7.74643272]
[-173.64320899],[-19.36480671],[7.45749475]
[-176.46737807],[-21.36853201],[7.41432775]
[-175.7287995],[-22.45796324],[7.32249972]
[-175.37412681],[-24.42056445],[6.81331659]
[-174.7091212],[-21.61846007],[6.30022265]
[-173.69739556],[-21.57815419],[6.51948803]
[-173.32385778],[-21.55864719],[6.12194685]
[-174.23620284],[-19.69523751],[6.97381187]
[-175.1437733],[-22.5448045],[6.48152764]
[-174.62772184],[-22.26951115],[7.0081775]
[-174.58130718],[-22.28381077],[6.42299773]
[-174.59037905],[-24.22663965],[6.57445031]
[-178.38513548],[-24.18270714],[7.4095275]
[-174.42107257],[-17.26512494],[7.27082315]
[-173.65148307],[-15.44882971],[8.14330834]
[-175.73886283],[-20.74313446],[8.01574492]
[-175.9362204],[-20.77993569],[7.81735412]
[-175.91292634],[-21.47934907],[7.74102019]
[-174.51433594],[-18.4918256],[7.99509686]
[-171.61108461],[-21.64687812],[7.42141657]
