[174.9374303],[31.75326683],[-2.42797255]
[174.45870949],[32.2238434],[-2.62149406]
[173.83507655],[33.03670453],[-2.14851938]
[173.06041792],[31.93067314],[-2.04938209]
[174.4673407],[32.22771486],[-1.68985046]
[172.18860423],[31.75864554],[-2.3786442]
[174.14996899],[34.4532829],[-2.10409445]
[174.57802135],[32.0858648],[-1.52142188]
[176.81464359],[34.21551844],[-1.44995344]
[176.80645468],[34.58791005],[-1.20457653]
[177.74583185],[36.01907526],[-1.57524821]
[177.88191309],[34.9147487],[-0.8909986]
[177.62193516],[34.55241353],[-1.50937919]
[178.69670344],[34.2056733],[-1.12726359]
[177.62193516],[34.55241353],[-1.50937919]
[178.5937237],[34.35141626],[-1.0427193]
[178.04655332],[34.97195071],[-1.52920453]
[178.06653771],[34.61113905],[-0.87111912]
[176.13240595],[34.67499476],[-1.66502016]
[178.04655332],[34.97195071],[-1.52920453]
[178.01268636],[35.26290961],[-1.59126552]
[177.85734944],[34.54757703],[-2.11380831]
[177.77487366],[34.14587843],[-1.4457354]
[177.25590852],[34.82020157],[-1.9333643]
[177.64214933],[33.42099205],[-1.95621518]
[177.36918357],[35.46981531],[-1.97670369]
[177.1691493],[35.00965507],[-1.85173454]
[177.44420321],[32.55736067],[-1.7206196]
[177.50465702],[31.23996854],[-1.71677567]
[177.82115373],[29.47656061],[-1.32552455]
[179.70447083],[26.85706654],[-0.97106649]
[-179.85594184],[23.9033718],[-1.31446201]
[179.95138275],[21.84739275],[-1.53393753]
[-177.3337928],[8.28709575],[-1.05571009]
[-173.98270265],[-7.89178737],[-0.36917192]
[-174.57036735],[-8.24003492],[-0.38485163]
[-173.59000584],[-8.41216046],[-0.98887375]
[-174.68893066],[-8.1432255],[-0.47044067]
[-175.89877431],[-7.05714162],[-0.90413463]
[-178.13977501],[-11.70709086],[-1.38435631]
[-177.87099462],[-12.49061723],[-1.82879167]
[-178.2692679],[-12.36685517],[-1.93606902]
[-179.11527075],[-10.35345267],[-2.33063338]
[-179.40573132],[-12.62977535],[-2.40279952]
[179.86375976],[-11.00066012],[-2.72170106]
[-172.62273009],[-32.55402016],[175.16357021]
[-177.9466613],[-13.01377608],[-3.19690896]
[-177.95461128],[-13.59862748],[-2.55765012]
[-176.67856217],[-15.84682873],[-2.78798251]
[-177.86024261],[-16.67123934],[-2.60639653]
[-178.14577877],[-15.90433408],[-3.24430997]
[-177.40243763],[-19.05701428],[-3.29660577]
[-178.79507039],[-17.58092801],[-3.57309533]
[-178.51275149],[-17.45266912],[-3.91828104]
[-178.88234029],[-18.79367263],[-4.24161669]
[-179.82710079],[-17.3278851],[-3.5544288]
[-177.96747013],[-16.97236408],[-4.66957012]
[-177.22199936],[-18.71305623],[-4.47120233]
[-178.74229331],[-22.06686593],[-3.56764091]
[-177.72515342],[-18.89513944],[-4.40936809]
[-175.90945986],[-19.13275544],[-5.11670845]
[-175.70365589],[-20.0432389],[-4.39269264]
[-175.82978385],[-20.01747094],[-4.62666919]
[-175.02734944],[-19.35533791],[-4.76071191]
[-176.33541792],[-19.13009718],[-5.28744729]
[-177.08659135],[-20.61677867],[-5.25399249]
[-176.0810816],[-16.88401192],[-5.38725248]
[-176.27640207],[-19.78299706],[-5.42293812]
[-176.97460758],[-19.21790629],[-5.29079557]
[-178.41524542],[-20.39503414],[-4.18320775]
[179.23804667],[-19.37575436],[-5.10059304]
[-179.52944273],[-19.19575497],[-4.77211116]
[178.59014118],[-21.21969551],[-3.79363865]
[179.04700605],[-20.38416078],[-3.15376013]
[177.91572482],[-19.65526439],[-3.24186896]
[178.14582527],[-18.58638523],[-3.15843435]
[179.20096549],[-20.94170091],[-3.12506912]
[-178.1683951],[-20.44447365],[-3.77406187]
[-177.19658592],[-22.28863472],[-3.16882255]
[-174.70271193],[-19.62477677],[-3.65905673]
[-172.64483949],[-21.02970626],[-3.55489192]
[-172.63389854],[-19.29818072],[-2.93299857]
[-167.34915141],[-13.60406037],[-3.9058288]
[-166.08283853],[-11.91289385],[-3.14253481]
[-157.11278607],[-32.00181714],[173.26153446]
[-163.89457913],[-14.60669915],[-3.13264837]
[-163.04763767],[-14.44992454],[-2.8247632]
[-163.22999433],[-15.64998526],[-2.96403482]
[-166.15836734],[-16.5669076],[-3.44430098]
[-167.74440794],[-16.00598128],[-3.23862907]
[-167.11566638],[-14.85911253],[-4.04865402]
[-168.94572665],[-13.12702186],[-4.30933604]
[-170.50277631],[-18.36248369],[-4.08275168]
[-172.79405591],[-19.36668035],[-4.22492312]
[-174.22827408],[-21.11321881],[-4.01493787]
[-178.10019919],[-18.86690722],[-3.16400826]
[-177.79255952],[-19.59289772],[-4.18699773]
[-178.41839486],[-20.69177629],[-3.88075289]
[-179.37335969],[-18.22980692],[-3.79278086]
[-178.85599033],[-18.70724101],[-5.08235553]
[-178.05403544],[-18.54968114],[-5.50096982]
[-179.56073885],[-18.57969336],[-6.64403038]
[-177.70550926],[-19.66166324],[-7.30021953]
[179.98483966],[-19.61137827],[-7.92318501]
[-176.77106471],[-16.6274865],[-8.41813483]
[-172.87432988],[-13.09704144],[-8.99446939]
[-173.93413101],[-15.67271746],[-9.7512293]
[-172.16990604],[-11.98608761],[-10.58056833]
[-172.30693772],[-12.19941173],[-10.59188044]
[-162.77772705],[-30.0205988],[165.25491572]
[-171.93613711],[-11.35325412],[-11.16500359]
[-175.99313846],[-11.19157858],[-11.17904065]
[-178.82161654],[-11.29726413],[-10.66832756]
[-175.9839933],[-11.41360577],[-11.25185876]
[-176.97566603],[-13.34927032],[-11.67025251]
[176.34008232],[-6.24831869],[-10.72906041]
[-176.14552185],[-6.20898001],[-12.65714054]
[-175.27222138],[-3.58834878],[-12.34573157]
[-172.95486804],[-6.05629038],[-12.15110644]
[-174.89183345],[-13.44837092],[-10.59868857]
[-174.1280854],[-8.63304024],[-11.59562781]
[-174.01185666],[-7.97950017],[-10.77291623]
[-172.85767592],[-8.457876],[-10.75667233]
[-173.70581374],[-9.61166681],[-10.94566553]
[-174.7852571],[-15.98628288],[-10.47988223]
[-174.72808987],[-15.04677021],[-10.84916926]
[-175.51339247],[-13.57561968],[-10.56815042]
[-175.45338568],[-14.17148595],[-10.58764319]
[-174.36399982],[-14.86830878],[-10.16352607]
[-177.78898816],[-16.12869042],[-9.79179461]
[-176.80812581],[-15.07533274],[-9.53114006]
[-176.63641471],[-12.3374448],[-9.92417586]
[-176.31174947],[-16.77032434],[-9.51799661]
[-176.38544293],[-18.38484044],[-9.93980911]
[-177.08369554],[-20.61224946],[-9.49185844]
[-176.00288343],[-19.66959727],[-9.66621278]
[-178.16378162],[-24.58307701],[-7.91863605]
[-179.11177703],[-15.79166659],[-9.87865702]
[-178.24949476],[-15.08845092],[-9.13704905]
[-178.52973043],[-17.255067],[-9.16473957]
[-179.22025459],[-17.65308871],[-8.06379986]
[-178.50371185],[-17.58822026],[-7.78949846]
[-177.7057375],[-13.2438544],[-8.13294119]
[-177.33480882],[-17.01913156],[-7.9790457]
[-175.07683707],[-16.69291529],[-7.69799248]
[-174.92926806],[-16.63069245],[-7.45601716]
[-174.66658571],[-14.50890863],[-7.37333173]
[-175.44734324],[-16.87677871],[-6.33380698]
[-176.45657857],[-16.71688907],[-6.05102351]
[-177.59176953],[-15.97552654],[-5.9533847]
[-174.44071769],[-20.72118271],[-5.89992833]
[-177.5406742],[-18.31551491],[-6.52168498]
[-179.28003921],[-18.85487851],[-6.48290465]
[-179.72028281],[-19.09851539],[-6.63965083]
[-179.4117384],[-17.44138478],[-6.27066166]
[-178.65284266],[-17.48979515],[-6.16968043]
[-176.97077515],[-14.38689602],[-7.32621727]
[-179.21545083],[-17.01296619],[-6.81857353]
[-178.04415311],[-16.79015007],[-7.61669808]
[-176.87445911],[-24.9182101],[-6.24878175]
[-174.86934098],[-21.2111313],[-6.68401407]
[-174.89773874],[-19.43232541],[-6.5772437]
[-174.29228817],[-18.18944898],[-7.05153947]
[-177.61657771],[-20.00491925],[-7.34544014]
[-176.67938197],[-20.57731939],[-7.99336189]
[-178.33216282],[-18.00670753],[-8.33121109]
[-178.62027182],[-20.7778214],[-8.18132241]
[-178.39214838],[-18.18491565],[-8.40864404]
[-176.50616673],[-18.68364995],[-8.68680161]
[-176.62155909],[-18.29625248],[-9.2839306]
[-176.82496081],[-18.7508723],[-9.38208338]
[-177.88242552],[-17.22964401],[-8.96711628]
[-176.61381514],[-17.65801269],[-9.80180958]
[-174.50631422],[-19.80955524],[-9.32584911]
[-176.99010801],[-20.57207073],[-8.49918335]
[-175.50240672],[-15.26526668],[-9.19848111]
