[178.78389851],[-21.45731601],[1.77135322]
[179.38023077],[-23.42017378],[1.8961896]
[178.87015925],[-22.09592447],[1.77344602]
[179.38023077],[-23.42017378],[1.8961896]
[178.63886351],[-24.91537461],[2.43978188]
[178.77303293],[-22.81179285],[2.2725326]
[178.83204528],[-22.92355473],[2.21149482]
[179.10526552],[-24.61298608],[2.2730783]
[179.86287397],[-24.70177776],[1.58384958]
[179.44692453],[-23.87649691],[2.41135649]
[178.08389596],[-22.63326532],[2.07123719]
[179.59067617],[-24.78782047],[2.1795482]
[179.45364769],[-24.18024187],[2.18884293]
[179.04648499],[-25.07262324],[2.50940932]
[179.22408775],[-25.29902582],[2.57120885]
[178.71353007],[-22.51743023],[2.45315145]
[179.77313448],[-24.14481685],[2.01767043]
[178.83194346],[-23.24818238],[2.31877516]
[179.00891992],[-21.64307895],[1.83791866]
[179.30993531],[-23.32689029],[1.9524551]
[179.00258204],[-23.29362885],[1.82013588]
[178.8574537],[-22.67068094],[1.82266985]
[177.91789918],[-23.06268081],[1.99322564]
[179.41652973],[-23.2122625],[1.95763271]
[178.78369893],[-23.65616214],[1.75095706]
[178.46918351],[-21.87041931],[1.68260739]
[178.2468833],[-25.30161901],[2.07972484]
[178.77801206],[-22.91966723],[1.75517412]
[178.2310269],[-23.19827616],[2.07159513]
[178.64760083],[-21.59362355],[1.76939531]
[178.40568901],[-24.99461645],[2.13643645]
[178.43898783],[-24.2065832],[2.13898524]
[177.0841121],[-23.84359531],[2.99223678]
[178.17662531],[-21.88809634],[1.5491289]
[177.82529815],[-24.72936348],[2.71183571]
[177.88313246],[-23.22592921],[2.24420957]
[177.91789918],[-23.06268081],[1.99322564]
[178.30081756],[-23.12029236],[2.06536481]
[178.73070185],[-23.76251537],[2.20145491]
[178.30081756],[-23.12029236],[2.06536481]
[177.80953168],[-24.50922833],[2.43376766]
[178.43898783],[-24.2065832],[2.13898524]
[176.80083062],[-23.31789466],[2.36204176]
[178.58054256],[-24.11362796],[2.14109889]
[178.92075029],[-23.54665767],[1.75445234]
[178.30081756],[-23.12029236],[2.06536481]
[178.58054256],[-24.11362796],[2.14109889]
[177.56713846],[-23.30715896],[2.10563923]
[177.43788033],[-23.86152321],[2.29785581]
[176.83934156],[-22.97212685],[2.07395139]
[178.38128018],[-23.95185085],[1.57616584]
[176.83934156],[-22.97212685],[2.07395139]
[178.2680119],[-23.87868364],[2.49553594]
[178.00774569],[-22.88461633],[2.00556391]
[179.05183469],[-26.08004331],[2.27268012]
[177.43484206],[-23.18042452],[2.29340876]
[177.3552348],[-24.95714237],[2.23162645]
[177.82449822],[-23.23221209],[1.91873095]
[177.42684261],[-24.6734074],[2.29517143]
[177.20651553],[-22.83159176],[2.22659245]
[177.95921877],[-25.08960101],[2.42890851]
[178.61944344],[-25.35393295],[2.2050092]
[179.36117507],[-24.81297454],[1.58747732]
[178.61378028],[-24.77203431],[1.80449297]
[179.14548226],[-24.34415872],[2.00502663]
[179.45094968],[-24.54919482],[1.64959016]
[178.99053726],[-24.70780764],[1.51597124]
[179.59999496],[-25.56505118],[1.69965713]
[177.91198253],[-27.22111122],[2.13459139]
[178.71199524],[-24.94372268],[1.92845343]
[179.0585217],[-26.2725117],[2.09550572]
[178.098726],[-26.04404219],[2.55202817]
[179.13272595],[-23.01449113],[1.86318507]
[179.86539905],[-21.99760248],[1.8128403]
[179.37535229],[-20.08356688],[1.60736774]
[179.76371086],[-21.12634178],[1.19682965]
[179.36500935],[-18.09886006],[1.8103885]
[-178.33890821],[-21.1000322],[1.54657217]
[-179.02161886],[-20.58395638],[1.86110552]
[-179.16165731],[-21.01020828],[0.9709911]
[-178.64714111],[-20.87094587],[1.93111599]
[-178.83669936],[-21.26377708],[1.39937826]
[-179.69052329],[-20.04071879],[1.89576496]
