[-179.56523736],[-24.13368055],[6.30772592]
[179.7345794],[-20.85155614],[6.02454711]
[179.92724975],[-21.1633002],[5.79609819]
[179.82540987],[-23.47687758],[5.28848742]
[179.57739317],[-20.5639739],[5.09426735]
[179.94536837],[-20.40946297],[5.30177356]
[179.39224827],[-20.74601625],[4.60522756]
[-179.34184176],[-20.40707251],[4.09207302]
[-178.29985625],[-21.61782875],[3.63778719]
[179.69222709],[-20.8679523],[4.44780484]
[-178.8808725],[-22.9268594],[3.51473684]
[-178.61720261],[-20.53373394],[3.25175493]
[-177.93377343],[-20.97505113],[2.12275588]
[179.55018447],[-19.32113094],[2.29913891]
[178.85648917],[-19.65523147],[2.13104635]
[-179.9096616],[-18.59385042],[1.5669073]
[-178.42003885],[-16.8024355],[1.47795428]
[-178.42272985],[-16.36298888],[0.7809675]
[-170.73310391],[-39.01103391],[176.7095057]
[-177.79334984],[-18.98790706],[0.73572078]
[-177.46071516],[-20.60254402],[0.02717821]
[-177.36064782],[-16.76670283],[0.09014086]
[-177.25178023],[-18.73515016],[-0.30610956]
[-176.18995925],[-16.50393641],[-1.63034927]
[-177.09407414],[-15.36509991],[-2.51167745]
[-174.49991895],[-13.52798884],[-4.08862856]
[-178.03084007],[-9.28825395],[-4.21827961]
[-177.24605798],[-11.36174856],[-4.32931844]
[-175.72666107],[-11.352125],[-4.61965568]
[-176.71465717],[-13.08217012],[-5.1151048]
[-175.10448266],[-10.5430976],[-4.04697213]
[-174.78420392],[-11.25513497],[-3.85489042]
[-176.06248389],[-12.42867541],[-3.64696311]
[-175.52367011],[-12.44317096],[-3.43689459]
[-174.26858772],[-13.15241555],[-3.30018998]
[-174.96574002],[-13.42270543],[-2.98940488]
[-173.74439679],[-15.28019811],[-3.3445499]
[-174.86910986],[-14.66250283],[-2.91039938]
[-173.16492236],[-16.12098442],[-2.7827491]
[-175.66832854],[-18.05537601],[-1.13069528]
[-175.33718952],[-18.80924463],[-0.94951869]
[-175.23203485],[-16.11694305],[0.08648606]
[-176.07430459],[-15.52920171],[0.81741072]
[-175.43079921],[-13.92778178],[2.67339586]
[-173.21460463],[-14.17006941],[3.10908451]
[-173.21460463],[-14.17006941],[3.10908451]
[-172.7896806],[-11.37253628],[3.39039572]
[-172.84767785],[-11.77722552],[4.0312366]
[-171.36732097],[-10.5038215],[3.15767169]
[-173.98836053],[-12.58094759],[4.0510551]
[-173.48685115],[-13.17119239],[4.11833188]
[-174.67593504],[-15.62849081],[3.71588396]
[-175.40616885],[-16.19794605],[4.16121025]
[-172.78176503],[-16.97958826],[4.29328405]
[-174.9538619],[-17.99662557],[4.66727103]
[-173.48630551],[-17.52052],[4.84216487]
[-168.703766],[-39.06534351],[-177.77149471]
[-166.3509652],[-38.76295713],[-178.09120731]
[-174.6795637],[-20.45742112],[5.28447216]
[-174.08514683],[-19.54919233],[4.74351078]
[-167.59828819],[-39.62431322],[-178.677408]
[-163.65004406],[-39.04040973],[-179.91564606]
[-173.22824487],[-16.55696806],[3.99645623]
[-171.56493012],[-16.59371645],[3.10434585]
[-173.01008546],[-17.98712696],[3.98256204]
[-173.11483927],[-15.71892283],[3.71353376]
[-173.11907029],[-15.75523162],[3.71616774]
[-173.24375096],[-17.24696124],[3.23250692]
[-175.17089821],[-17.09455724],[3.79196253]
[-174.29278895],[-17.1548432],[3.98604412]
[-174.21964115],[-16.83483141],[2.78689015]
[-169.46681531],[-14.50801616],[2.41527608]
[-169.02792162],[-15.28099053],[1.84653247]
[-170.07449615],[-12.85504428],[1.5303407]
[-168.71881247],[-14.56165301],[1.57769556]
[-166.75326687],[-14.5308846],[1.017677]
[-167.00075417],[-12.6544197],[1.32089866]
[-168.3713152],[-11.9471195],[1.4130548]
[-168.3713152],[-11.9471195],[1.4130548]
[-169.11581314],[-13.01492672],[2.12087574]
[-169.75028959],[-13.3493769],[2.65286913]
[-170.45362056],[-14.18885704],[2.55816202]
[-168.76747072],[-15.54775157],[2.10755481]
[-168.33359683],[-14.35378252],[2.58135601]
[-165.2789758],[-11.10721432],[2.32773428]
[-166.53099722],[-12.2419961],[2.85810088]
[-165.76478132],[-13.98766787],[2.7779221]
[-166.19493897],[-12.83921169],[3.52001051]
[-165.67874025],[-13.11082706],[2.82750913]
[-167.44906092],[-14.91383149],[2.61534753]
[-168.90248798],[-15.0231561],[3.55978234]
[-169.01598689],[-17.01417793],[3.17835566]
[-172.18939202],[-15.3405385],[4.13293282]
[-171.92503932],[-16.04148531],[3.86473725]
[-171.94614502],[-17.31026576],[3.92930265]
[-171.10223492],[-15.0627893],[3.18886066]
[-170.16019129],[-16.23682152],[3.02647707]
[-170.84645364],[-15.11679607],[2.6524]
[-169.39047419],[-18.0563836],[1.77856576]
[-168.35051722],[-15.22239798],[2.03640672]
[-168.00813698],[-17.21832287],[1.24227312]
[-170.3164271],[-15.25010187],[1.92839739]
[-167.09854858],[-13.3646588],[0.92664016]
[-169.45793635],[-16.27777252],[1.58167964]
[-169.66142826],[-14.41797564],[1.82159348]
[-169.17812955],[-15.49931092],[1.32086527]
[-171.92179426],[-16.91056028],[1.77827675]
[-170.12216475],[-16.15573628],[1.76883717]
[-170.18946764],[-16.48608961],[1.63367621]
[-171.18038978],[-13.15537609],[2.03180859]
[-172.05390405],[-15.32447688],[2.58597384]
[-170.48467439],[-15.91833088],[2.41568749]
[-169.93072656],[-14.06293332],[1.7820252]
[-170.3183574],[-15.16341691],[2.5949055]
[-169.14362049],[-14.00437068],[2.0895324]
[-169.2382892],[-12.31978058],[2.22245665]
[-169.3186208],[-15.63119407],[2.24584628]
[-169.48286631],[-14.84672014],[2.04502312]
