
[-179.27506549],[-19.96446108],[8.45249895]

[177.13227718],[-24.63359983],[7.50964241]
[176.26619406],[-27.42844516],[7.14527308]
[175.65143837],[-25.20444753],[8.02173715]
[172.42416896],[-21.52215875],[7.29576582]
[170.64238026],[-21.13500742],[6.22143837]
[174.41141295],[-24.69807564],[7.68218673]
[175.50739775],[-27.00858993],[7.8179923]
[172.87312441],[-25.02509347],[8.46163198]
[172.1824445],[-22.51217831],[8.3400166]
[171.9442552],[-25.77290679],[8.36595052]
[173.31840027],[-24.21305737],[7.47753575]
[173.36207099],[-25.93405257],[7.09924939]
[172.84631918],[-24.15415061],[7.28313121]
[172.20856293],[-24.20745126],[6.84346412]
[171.16571139],[-21.82959983],[7.22234595]
[171.23746983],[-22.20410063],[6.97096376]
[170.92213726],[-23.38840774],[6.88166734]
[172.55250596],[-24.65302119],[6.60558695]
[172.87503758],[-22.45234546],[6.06597118]
[173.3865842],[-23.00700632],[6.93848369]
[172.21635209],[-20.74725849],[6.77537133]
[173.62726136],[-22.54440833],[6.61035181]
[173.33223865],[-26.73453432],[6.57560269]
[174.54139295],[-25.56684905],[7.03312427]
[174.03270775],[-26.42399155],[7.00658552]
[172.57613573],[-25.19829408],[6.96513574]
[172.29652822],[-24.6251908],[7.36171982]
[173.74982958],[-24.13436773],[8.13864683]
[172.77264708],[-23.72129344],[8.04002093]
[172.00848077],[-29.93382973],[9.58302064]
[171.93319177],[-28.97523792],[9.31104776]
[176.02840636],[-22.38812283],[9.1454113]
[177.02022773],[-29.45607497],[10.28173098]
[173.43741748],[-27.07234839],[9.0893926]
[177.58831016],[-30.7639483],[12.61746784]
[177.97196814],[-30.82314378],[12.57316019]
[177.42796752],[-30.78644948],[12.57838894]
[178.44145862],[-27.05977521],[12.00078931]
[177.36374793],[-29.87159844],[11.69945765]
[177.83941103],[-27.92697691],[12.15453462]
[176.24665009],[-28.11177257],[12.81147521]
[176.69703837],[-28.70514138],[12.25224159]
[176.63683575],[-28.08822415],[12.09537152]
[176.62040269],[-29.74934271],[11.2810161]
[178.96301625],[-30.62561243],[12.45804839]
[177.6627934],[-31.16417806],[12.85937602]
[176.86114447],[-30.18271197],[12.56267812]
[179.32458089],[-29.66199494],[10.46213499]
[178.46424988],[-27.086327],[10.94764227]
[178.821986],[-27.6936799],[11.02496357]
[-178.3554303],[-30.48378915],[5.73334944]
[179.28297389],[-51.68435689],[-170.86080674]
[175.3390486],[-51.95617577],[-168.00922646]
[173.26531359],[-28.66990423],[11.59498053]
