話者コード,話者イニシャル,年齢,性別,職業,現住所,出身地,父親の出身地,母親の出身地
C1_F_01A,HM,23,M,アルバイト,神奈川県 川崎市,山梨県 甲府市,東京都 ?,山梨県 ?
C1_F_02A,TK,23,M,学生,東京都 町田市,和歌山県 田辺市,和歌山県 田辺市,和歌山県 西牟婁郡
C1_F_03A,HO,30,M,会社員,東京都 杉並区,三重県 伊勢市,三重県 伊勢市,三重県 度会郡
C1_F_04A,YI,25,M,会社員,東京都 板橋区,東京都 板橋区,静岡県 富士市,東京都 八王子市
C1_F_05A,YY,19,M,学生,神奈川県 川崎市,神奈川県 川崎市,山口県 宇部市,山口県 宇部市
C1_F_06A,TS,33,M,会社員,神奈川県 横浜市,静岡県 御殿場市,静岡県 静岡市,静岡県 御殿場市
C1_F_07A,SH,46,F,主婦,神奈川県 茅ケ崎市,富山県 ?,富山県 ?,富山県 ?
C1_F_08A,JS,27,F,主婦,神奈川県 横浜市,神奈川県 横浜市,長崎県 ?,長崎県 ?
C1_F_09A,KK,33,F,アルバイト,神奈川県 横浜市,神奈川県 横浜市,山形県 ?,広島県 呉市
C1_F_10A,MY,24,F,会社員,神奈川県 鎌倉市,群馬県 桐生市,群馬県 桐生市,群馬県 伊勢崎市
C1_F_11A,AM,27,F,会社員,神奈川県 横須賀市,神奈川県 横須賀市,石川県 石崎市,石川県 輪島市
C1_F_12A,TT,22,F,大学生,神奈川県 川崎市,神奈川県 川崎市,東京都 文京区,東京都 田無市
C1_F_??B,IK,27,F,主婦(車販売会社会社員),神奈川県 鎌倉市,富山県 富山市,富山県 魚津市,富山県 富山市
