話者コード,話者イニシャル,年齢,性別,職業,現住所,出身地,父親の出身地,母親の出身地
C1_M_01A,HN,33,M,俳優,東京都 東久留米市,石川県 金沢市,石川県 松任市,石川県 加賀市
C1_M_02A,HT,21,M,学生,東京都 柳沢市,山口県 宇部市,山口県 宇部市,山口県 宇部市
C1_M_03A,MM,55,M,無職,東京都 田無市,大阪府 堺市,北海道 北見市,北海道 北見市
C1_M_04A,TN,27,M,アルバイト,東京都 八王子市,東京都 多摩市,新潟県 朝日村,新潟県 朝日村
C1_M_05A,TT,29,M,会社員,神奈川県 平塚市,群馬県 前橋市,群馬県 前橋市,群馬県 前橋市
C1_M_06A,YI,37,M,会社員,東京都 大田区,東京都 大田区,旧満州(中国) 大連市,岐阜県 中津川市
C1_M_07A,MO,45,F,会社員,東京都 世田谷区,東京都 ?,栃木県 ?,東京都 ?
C1_M_08A,CY,27,F,イベント,神奈川県 横浜市,神奈川県 海老名市,神奈川県 海老名市,新潟県 ?
C1_M_09A,TN,36,F,主婦,東京都 東久留米市,東京都 東大和市,鹿児島県 ?,東京都 ?
C1_M_10A,NU,34,F,主婦,神奈川県 相模原市,東京都 町田市,東京都 町田市,福島県 ?
C1_M_11A,KT,33,F,会社員,東京都 町田市,東京都 杉並区,東京都 台東区,千葉県 松戸市
C1_M_12A,HI,32,F,会社員,東京都 大田区,群馬県 前橋市,群馬県 前橋市,群馬県 前橋市
C1_M_??B,YK,46,M,車販売会社会社員,神奈川県 鎌倉市,東京都 豊島区,長野県 上山田町,東京都 豊島区
