話者コード,話者イニシャル,年齢,性別,職業,現住所,出身地,父親の出身地,母親の出身地
T1_F_01A,AN,33,M,会社員,神奈川県 鎌倉市,福岡県 北九州市,福岡県 北九州市,山口県 宇部市
T1_F_02A,TN,29,M,会社員,神奈川県 鎌倉市,兵庫県 赤穂市,兵庫県 赤穂市,兵庫県 赤穂市
T1_F_03A,HY,34,M,会社員,神奈川県 鎌倉市,大阪府 河内長野市,高知県 高岡郡,大阪府 大阪市
T1_F_04A,SH,23,M,会社員,神奈川県 藤沢市,東京都 青梅市,岡山県 岡山市,東京都 国立市
T1_F_05A,KK,23,M,会社員,神奈川県 藤沢市,広島県 呉市,広島県 呉市,広島県 呉市
T1_F_06A,TS,27,M,会社員,神奈川県 藤沢市,群馬県 高崎市,群馬県 前橋市,群馬県 高崎市
T1_F_07A,SS,29,F,声優,東京都 品川区,愛知県 丹羽郡,愛知県 丹羽郡,愛知県 一宮市
T1_F_08A,SK,32,F,会社員,東京都 町田市,東京都 町田市,東京都 町田市,東京都 町田市
T1_F_09A,TS,27,F,会社員,神奈川県 川崎市,神奈川県 横浜市,神奈川県 横浜市,神奈川県 横浜市
T1_F_10A,NS,21,F,会社員,神奈川県 横須賀市,神奈川県 横須賀市,神奈川県 横須賀市,山形県 鶴岡市
T1_F_11A,MY,48,F,パート,神奈川県 藤沢市,福岡県 飯塚市,福岡県 嘉穂郡,福岡県 筑紫野市
T1_F_12A,SO,43,F,パート,神奈川県 鎌倉市,神奈川県 鎌倉市,神奈川県 鎌倉市,神奈川県 藤沢市
T1_F_??B,NK,25,F,旅行会社会社員,神奈川県 横浜市,神奈川県 横浜市,大阪府 ?,大阪府 ?
