話者コード,話者イニシャル,年齢,性別,職業,現住所,出身地,父親の出身地,母親の出身地
T1_M_01A,KI,29,M,音楽家,神奈川県 鎌倉市,長崎県 佐世保市,熊本県 ?,京都府 ?
T1_M_02A,HU,26,M,無職,神奈川県 鎌倉市,北海道 室蘭市,北海道 室蘭市,北海道 室蘭市
T1_M_03A,AK,24,M,会社員,神奈川県 藤沢市,神奈川県 藤沢市,神奈川県 藤沢市,神奈川県 横須賀市
T1_M_04A,TK,22,M,学生,神奈川県 川崎市,茨城県 東茨城郡,茨城県 東茨城郡,茨城県 東茨城郡
T1_M_05A,TK,21,M,フリーター,神奈川県 横浜市,神奈川県 横浜市,? ?,? ?
T1_M_06A,MY,27,M,会社員,神奈川県 藤沢市,愛知県 名古屋市,秋田県 秋田市,神奈川県 横浜市
T1_M_07A,RN,32,F,主婦,神奈川県 鎌倉市,神奈川県 藤沢市,熊本県 ?,熊本県 ?
T1_M_08A,NK,39,F,アルバイト,神奈川県 横浜市,神奈川県 横浜市,神奈川県 横浜市,富山県 ?
T1_M_09A,NY,24,F,学生,東京都 練馬区,東京都 練馬区,東京都 練馬区,東京都 中野区
T1_M_10A,TS,29,F,ナレーター,東京都 文京区,大分県 大野郡,大分県 大野郡,大分県 大野郡
T1_M_11A,AO,22,F,学生,神奈川県 厚木市,宮城県 多賀城市,宮城県 仙台市,宮城県 石巻市
T1_M_12A,TK,21,F,俳協,東京都 杉並区,東京都 杉並区,東京都 ?,栃木県 ?
T1_M_??B,MO,34,M,旅行会社会社員,神奈川県 横須賀市,神奈川県 横須賀市,神奈川県 横須賀市,神奈川県 横須賀市
