ID,Swell_1,Serious_1,Bite_1,Cheerful_1,Calm_1,Friendly_1,Eminent_1,Swell_2,Serious_2,Bite_2,Cheerful_2,Calm_2,Friendly_2,Eminent_2,Swell_3,Serious_3,Bite_3,Cheerful_3,Calm_3,Friendly_3,Eminent_3,Swell_4,Serious_4,Bite_4,Cheerful_4,Calm_4,Friendly_4,Eminent_4,Syako,Talkable,Yasashi,Kigaau
1,3,1,2,2,1,3,1,2,4,2,2,4,2,2,2,2,2,4,2,2,4,2,4,2,2,4,2,2,1,3,2,3
2,3,4,1,2,2,3,5,2,4,1,1,2,2,5,3,2,1,1,3,2,5,2,5,2,1,3,2,5,2,4,1,3
3,4,4,5,2,5,2,5,4,2,4,3,2,2,5,5,1,4,4,1,2,5,2,5,2,2,5,1,5,2,2,2,2
4,3,4,4,2,5,1,5,3,2,2,4,2,1,5,5,2,3,4,2,1,5,2,4,2,2,2,1,5,3,3,2,1
5,4,2,2,3,2,5,4,3,3,2,2,2,2,5,4,2,2,3,2,2,5,2,3,2,2,2,2,5,2,3,2,2
6,3,1,2,3,2,4,4,2,2,2,2,3,2,5,2,4,2,2,3,2,4,3,4,2,1,3,2,5,2,2,2,2
7,3,2,5,3,1,3,4,2,4,2,2,2,2,4,4,2,4,3,3,3,3,2,4,3,2,2,3,4,2,2,1,4
8,3,2,2,4,2,5,1,2,4,2,2,2,5,1,3,2,5,3,3,5,1,4,3,4,4,2,5,1,2,3,4,5
9,2,1,3,4,4,4,3,4,2,4,4,4,4,3,5,4,4,2,3,3,3,4,2,4,2,4,3,3,2,3,1,3
10,2,2,1,3,1,3,3,2,3,1,2,2,2,3,3,4,4,2,4,2,3,3,2,3,3,2,3,3,3,2,2,3
11,1,2,1,2,1,1,2,1,2,1,2,2,2,2,2,2,4,2,2,3,2,1,2,1,2,2,2,2,1,2,1,2
12,2,1,1,3,2,4,2,2,4,1,1,4,2,4,2,3,4,2,2,3,4,2,4,1,2,4,2,5,3,4,2,2
13,2,2,1,2,3,2,4,3,2,3,3,3,3,2,1,5,2,1,2,1,5,1,4,1,2,2,1,5,1,1,1,2
14,2,2,3,2,3,3,3,3,1,3,2,,3,2,2,4,2,2,3,2,4,2,5,2,2,3,2,4,2,1,1,2
15,2,2,2,4,2,3,4,3,2,2,2,2,2,4,2,2,2,3,2,2,4,2,4,3,2,3,2,4,2,2,2,2
16,2,4,4,2,4,2,2,2,5,2,1,4,3,2,2,5,2,1,3,2,4,2,3,2,2,3,2,3,2,4,2,2
17,4,2,4,4,2,2,5,4,2,2,4,2,2,5,2,4,2,2,4,2,5,2,4,2,2,4,2,5,2,4,1,2
18,3,2,2,2,3,2,5,3,1,3,2,2,2,3,2,2,2,2,3,2,5,2,4,3,2,4,2,4,1,2,1,4
19,2,2,2,2,3,1,5,4,3,2,3,3,1,5,4,3,4,4,2,1,5,4,4,3,2,,1,5,2,2,1,2
20,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,4,4,2,3,3,4,3,3,3,3,3,3,3,2,3
21,2,4,3,3,2,3,3,2,4,3,3,3,2,3,2,4,2,2,3,2,4,3,3,2,3,3,2,4,3,3,1,2
22,3,4,3,2,3,3,4,3,2,2,2,2,3,5,2,4,1,2,2,3,5,2,4,3,2,2,3,5,2,1,2,3
23,2,2,2,3,2,3,4,3,2,2,3,4,3,2,2,4,3,2,4,2,2,2,2,2,3,3,3,4,3,3,2,3
24,4,2,4,4,2,2,3,2,2,4,3,2,2,4,1,4,2,2,4,2,4,2,2,1,3,3,2,4,1,2,2,2
25,4,1,5,3,2,5,4,3,3,3,3,2,4,3,5,3,5,3,2,4,2,3,2,2,3,2,4,3,3,2,2,3
26,2,4,2,3,2,2,3,2,4,2,2,3,2,4,3,3,2,3,2,2,4,2,2,2,2,4,2,5,1,3,2,3
27,2,2,4,2,4,2,4,2,4,2,1,4,2,4,5,5,4,2,2,2,5,1,4,1,1,5,1,5,1,1,2,3
28,2,5,1,1,2,2,4,1,5,1,1,2,2,4,4,4,1,2,3,2,4,1,5,1,1,4,1,4,2,1,2,2
29,2,2,3,2,2,4,5,5,2,4,4,1,4,1,3,2,4,4,1,5,2,3,1,2,3,2,3,3,1,2,1,2
30,2,4,2,2,4,4,5,5,4,2,2,4,4,5,2,4,2,2,4,4,5,1,4,2,2,4,2,5,2,3,1,2
31,2,2,2,2,2,2,3,2,2,2,3,2,1,3,4,2,3,3,3,1,3,4,3,2,2,3,1,4,3,5,1,1
32,3,1,2,4,1,2,5,3,1,3,4,2,2,4,4,2,2,2,3,2,4,3,2,2,2,2,2,5,2,2,1,1
33,4,2,4,3,2,3,3,5,1,5,4,4,4,2,4,2,4,4,4,4,1,4,4,4,2,4,3,2,4,5,4,4
34,2,1,1,3,2,2,5,2,1,1,3,2,3,5,3,3,1,2,2,3,5,2,3,1,2,2,2,5,1,2,1,2
35,3,1,1,4,1,2,4,2,2,1,2,1,2,4,3,2,1,2,2,2,4,2,2,1,2,1,2,5,4,4,3,2
36,4,1,3,4,1,4,4,5,1,4,4,1,5,4,4,1,3,4,1,4,4,4,1,4,4,1,4,4,4,4,4,4
37,4,3,4,4,2,4,2,2,4,3,3,3,3,3,3,3,4,3,3,4,2,2,4,2,3,3,4,3,4,4,3,4
38,4,5,3,2,2,3,5,3,4,2,2,3,3,5,4,5,2,3,2,2,5,4,4,2,3,2,3,5,2,3,2,3
39,3,1,4,4,1,4,1,3,1,3,4,1,2,4,1,1,1,1,4,1,5,2,1,1,4,1,2,5,1,3,1,1
40,4,1,4,3,1,4,3,5,1,5,3,4,4,3,5,1,3,3,3,4,3,3,1,2,3,2,4,3,4,5,1,2
41,4,2,2,4,2,5,1,1,2,3,3,2,4,1,2,4,2,2,2,4,1,3,2,1,2,2,4,1,4,4,1,2
43,2,2,1,3,1,4,5,4,2,4,3,2,4,4,4,2,2,3,2,4,4,4,2,4,3,2,5,3,4,5,2,4
46,3,2,4,4,2,3,3,2,2,2,2,2,2,4,2,2,4,3,3,3,4,4,2,4,3,3,3,4,2,4,2,3
47,3,2,4,2,2,5,2,2,1,2,3,1,3,3,5,1,5,3,1,5,3,3,1,4,3,2,3,2,2,4,2,3
48,3,2,3,3,2,3,2,3,2,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,2,4,3,2,4
50,4,2,4,5,1,4,3,5,2,3,5,1,5,3,5,2,4,5,3,5,3,5,2,3,5,3,5,3,5,5,4,5
