はい,2.45,2.66
おか,3.58,3.79
あり,3.79,4.01
D_ア,6.39,6.78
D_アノー,7.01,7.46
妄想,8.42,8.73
科学,8.73,9.03
何とか,9.03,9.73
ちょっと,10.61,10.79
指定,10.79,11.01
されて,11.01,11.28
る,11.28,11.36
方,11.36,11.62
も,11.62,11.95
いる,11.95,12.14
とは,12.14,12.36
右,13.17,13.36
の,13.36,13.48
も,13.48,13.76
町,14.0,14.25
でも,14.25,14.46
その,14.46,14.68
人,14.68,15.1
たち,15.1,15.4
が,15.4,15.5
望んで,15.5,16.12
そういう,16.12,16.55
先,17.44,17.65
には,17.65,17.98
いかない,17.98,18.45
と,18.45,18.55
思う,18.55,18.88
ので,18.88,19.19
何度,19.5,19.82
でも,19.82,20.06
ない,20.06,20.3
ですし,20.3,20.75
D_ア,21.27,21.4
そう,21.4,21.65
で,21.65,21.77
なく,21.77,22.04
と,22.04,22.15
思います,22.15,22.61
D_ア,23.56,23.7
そういう,23.7,24.06
こと,24.06,24.31
お待ち,24.31,24.69
よく,24.69,24.87
寄って,24.87,25.17
きて,25.17,25.36
くだされ,25.36,25.79
ば,25.79,26.0
かって,26.0,26.28
落ち着け,26.28,26.7
ば,26.7,26.83
いいんじゃない,26.83,27.23
会社,28.35,28.75
得,31.54,31.77
正,31.77,31.93
ですね,31.93,32.25
そう,33.58,34.08
ですね,34.08,34.38
ホント,36.24,36.46
に,36.46,36.78
