D_マ,1.45,1.79
いや,2.41,2.59
でも,2.59,2.95
どうしても,3.51,3.95
女の子,3.95,4.35
と,4.35,4.44
触れ合い,4.44,4.79
たい,4.79,4.94
です,4.94,5.07
よ,5.07,5.21
それ,5.49,5.72
が,5.72,5.87
仮,5.94,6.19
止め,6.19,6.41
で,6.41,6.49
あっても,6.49,6.81
かも,10.99,11.22
しれ,11.22,11.37
ない,11.37,11.54
まで,11.63,11.86
も,11.86,12.18
町,12.67,12.99
最近,12.99,13.41
その,13.41,13.59
進化,13.59,13.9
して,13.9,14.09
いる,14.09,14.19
と,14.19,14.34
言って,14.34,14.58
も,14.58,14.78
そんな,16.31,16.78
まだ,17.59,17.91
生身,19.43,19.83
の,19.83,20.06
人間,20.43,20.68
ほど,20.68,20.9
の,20.9,21.01
利益,21.01,21.3
が,21.3,21.36
ない,21.36,21.54
者,21.54,21.68
